tingkat setelah parent,parent,similarity
2,banjir,"[('longsor', 0.7020419836044312), ('kekeringan', 0.6403771042823792), ('tanggul', 0.6280034184455872), ('kemacetan', 0.6163849234580994), ('erosi', 0.6139939427375793), ('luapan', 0.6087362766265869), ('pendangkalan', 0.5970373153686523), ('bandang', 0.5954942107200623), ('bencana', 0.5949968099594116), ('kebakaran', 0.592870831489563)]"
2,kelaparan,"[('wabah', 0.7254995703697205), ('epidemi', 0.7152317762374878), ('kekeringan', 0.6980215907096863), ('kesengsaraan', 0.6552020311355591), ('malapetaka', 0.6528469324111938), ('kesusahan', 0.6507555842399597), ('kolera', 0.6446535587310791), ('kepanikan', 0.6189945936203003), ('berkepanjangan', 0.6022981405258179), ('penderitaan', 0.5947527885437012)]"
2,gempa,"[('tsunami', 0.6986302137374878), ('letusan', 0.6307534575462341), ('guncangan', 0.6146719455718994), ('bencana', 0.5899478793144226), ('longsor', 0.5516852736473083), ('erupsi', 0.5497839450836182), ('ledakan', 0.5459515452384949), ('mengguncang', 0.544715940952301), ('pascagempa', 0.5174664258956909), ('banjir', 0.512455940246582)]"
2,kekeringan,"[('kelaparan', 0.6980215907096863), ('erosi', 0.690958559513092), ('pendangkalan', 0.6743497848510742), ('epidemi', 0.6658161282539368), ('berkepanjangan', 0.6453440189361572), ('pengikisan', 0.6423711180686951), ('banjir', 0.6403771042823792), ('abrasi', 0.6378408670425415), ('kelangkaan', 0.6311964392662048), ('sedimentasi', 0.626994252204895)]"
2,kebakaran,"[('ledakan', 0.6575784087181091), ('pemadaman', 0.6104346513748169), ('banjir', 0.592870831489563), ('kecelakaan', 0.573072612285614), ('bencana', 0.5725118517875671), ('terbakar', 0.570141077041626), ('musibah', 0.5656459927558899), ('kebocoran', 0.5514767169952393), ('longsor', 0.548268735408783), ('insiden', 0.5412068963050842)]"
2,longsor,"[('erosi', 0.7324599623680115), ('tertimbun', 0.7117583155632019), ('longsoran', 0.7116907835006714), ('banjir', 0.7020419836044312), ('pengikisan', 0.6588835120201111), ('amblas', 0.6559628248214722), ('subsiden', 0.6430581212043762), ('abrasi', 0.6388352513313293), ('pendangkalan', 0.6218270659446716), ('kekeringan', 0.6179543733596802)]"
2,tsunami,"[('gempa', 0.6986302137374878), ('earthquake', 0.601925790309906), ('terjangan', 0.597658634185791), ('letusan', 0.578025758266449), ('guncangan', 0.5731687545776367), ('gempabumi', 0.5609593391418457), ('bencana', 0.5605586767196655), ('diterjang', 0.5605236887931824), ('taifun', 0.5476126074790955), ('longsor', 0.5412030220031738)]"
2,bahaya,"[('ancaman', 0.6728236675262451), ('ketakutan', 0.5971754193305969), ('risiko', 0.5943428874015808), ('malapetaka', 0.5674025416374207), ('kerentanan', 0.5620706081390381), ('kerawanan', 0.5592927932739258), ('kemalangan', 0.5551775693893433), ('kesusahan', 0.5538588166236877), ('dampaknya', 0.5538120865821838), ('kegelisahan', 0.5460911989212036)]"
3,tanggul,"[('bendungan', 0.7429750561714172), ('bendung', 0.7295394539833069), ('waduk', 0.7142320871353149), ('selokan', 0.7119014859199524), ('parit', 0.6798520684242249), ('jebol', 0.663144588470459), ('drainase', 0.6403782367706299), ('terowongan', 0.6334431767463684), ('banjir', 0.6280034184455872), ('jebolnya', 0.6161178350448608)]"
3,kemacetan,"[('macet', 0.7596261501312256), ('ketidaknyamanan', 0.6481205224990845), ('kepanikan', 0.6471317410469055), ('banjir', 0.6163848638534546), ('hambatan', 0.6134273409843445), ('keterlambatan', 0.6078033447265625), ('pelebaran', 0.598075807094574), ('penundaan', 0.5928143262863159), ('kerugian', 0.5699536204338074), ('kebocoran', 0.5648893117904663)]"
3,erosi,"[('sedimentasi', 0.8297510147094727), ('abrasi', 0.8129388093948364), ('pengikisan', 0.7993384599685669), ('pengendapan', 0.7605287432670593), ('pendangkalan', 0.7492383122444153), ('pelapukan', 0.7444639205932617), ('longsor', 0.7324599623680115), ('intrusi', 0.707360565662384), ('penyusutan', 0.702079713344574), ('kontaminasi', 0.7001864314079285)]"
3,luapan,"[('meluap', 0.7316169738769531), ('meluapnya', 0.6789474487304688), ('genangan', 0.6719455122947693), ('pendangkalan', 0.6459969282150269), ('menggenangi', 0.6291806101799011), ('luap', 0.6269817352294922), ('banjir', 0.6087362170219421), ('keruh', 0.6017407178878784), ('sedimentasi', 0.5768824815750122), ('goncangan', 0.5766595005989075)]"
3,pendangkalan,"[('sedimentasi', 0.804084837436676), ('erosi', 0.7492384314537048), ('abrasi', 0.7263917326927185), ('pengikisan', 0.7167892456054688), ('rusaknya', 0.6954792141914368), ('eutrofikasi', 0.6931717395782471), ('kekeringan', 0.6743499040603638), ('pengendapan', 0.6694627404212952), ('penyusutan', 0.666143000125885), ('penumpukan', 0.6632780432701111)]"
3,bandang,"[('banjir', 0.5954942107200623), ('diterjang', 0.5802686810493469), ('longsor', 0.5755302906036377), ('terjangan', 0.5148249268531799), ('rawan', 0.5130870938301086), ('lamping', 0.5058847069740295), ('menggenangi', 0.5054583549499512), ('terparah', 0.5009835362434387), ('porak', 0.5003023147583008), ('tsunami', 0.4909984767436981)]"
3,letusan,"[('erupsi', 0.8659065365791321), ('vulkanik', 0.7084173560142517), ('kaldera', 0.6925520896911621), ('ledakan', 0.6614747643470764), ('berapi', 0.653251588344574), ('vulkanis', 0.6513082981109619), ('tubrukan', 0.6407479047775269), ('freatik', 0.637042760848999), ('gempa', 0.6307533979415894), ('semburan', 0.6286265850067139)]"
3,guncangan,"[('goncangan', 0.708687424659729), ('getaran', 0.676841139793396), ('ledakan', 0.661625325679779), ('gempa', 0.6146718859672546), ('susulan', 0.6102031469345093), ('benturan', 0.6069521903991699), ('kepanikan', 0.6051959991455078), ('hantaman', 0.6041735410690308), ('terjangan', 0.6025983691215515), ('deformasi', 0.5824751853942871)]"
3,erupsi,"[('letusan', 0.8659065961837769), ('vulkanik', 0.6959483623504639), ('kelud', 0.6793757081031799), ('vulkanis', 0.6708786487579346), ('kaldera', 0.6685068607330322), ('freatik', 0.657067596912384), ('letusannya', 0.6475775837898254), ('berapi', 0.6405206322669983), ('tubrukan', 0.6245659589767456), ('longsoran', 0.6211605072021484)]"
3,ledakan,"[('tabrakan', 0.6787225008010864), ('guncangan', 0.6616252064704895), ('letusan', 0.6614747047424316), ('kebakaran', 0.6575783491134644), ('semburan', 0.644906759262085), ('meledak', 0.6421293020248413), ('kebocoran', 0.6397943496704102), ('peledakan', 0.6224795579910278), ('erupsi', 0.6147971749305725), ('bom', 0.6061505079269409)]"
3,mengguncang,"[('melanda', 0.7312303185462952), ('diguncang', 0.6645016074180603), ('dilanda', 0.6286627054214478), ('menerpa', 0.5891726016998291), ('menghantam', 0.574303150177002), ('meletus', 0.5490998029708862), ('gempa', 0.544715940952301), ('diterjang', 0.5348866581916809), ('menerjang', 0.5298652648925781), ('lantakkan', 0.5158651471138)]"
3,pascagempa,"[('tsunami', 0.5359630584716797), ('gempa', 0.5174663066864014), ('diterjang', 0.4947444796562195), ('bencana', 0.49339285492897034), ('pemadaman', 0.4922291040420532), ('terjangan', 0.4850718677043915), ('ledakan', 0.4765295088291168), ('susulan', 0.4703965485095978), ('guncangan', 0.45778077840805054), ('kebakaran', 0.45550650358200073)]"
