title,date,description,source
Poshidrosal Analisis Potensi Letusan Gunung Api Bawah Laut-Picu Tsunami,"Rabu, 18 Mei  2022 07:37 WIB",10 gunung api laut ditemukan pusat hidro oseanografi angkatan laut pushidrosal komandan pushidrosal laksamana madya tni nurhidayat pusat vulkanologi mitigasi bencana geologi pvmbg kementerian esdm pushidrosal temuan gunung api laut memetakan potensi tsunami gunung api laut meletus badan vulkanologi ngitung meletus tsunami pulau pulau tsunaminya penduduknya diungsikan nurhidayat permintaan pusat vulkanologi mitigasi bencana geologi kementerian esdm tim pushidrosal analisis potensi tsunami gunung api meletus hitung arah larinya air pantai situlah ketahuan tingginya tsunami hitung badan vulkanologi mengecek paparnya nurhidayat pushidrosal konsen wilayah timur wilayah timur indonesia gunung diidentifikasi getaran akibat gempa vulkanik sumbernya ditemukan ahli getaran misterius gempa gempanya vulkanik ketemu kedalamannya 5 ribu 5 kilo terangnya 10 gunung api laut ditemukan laut banda kepulauan maluku memiliki nama namanya aurora namanya yudo sagoro namanya moro gada gapuro sagoro komandan pushidrosal laksamana madya tni nurhidayat wartawan pertemuan hydrographic service standards committee hssc selasa 17 5 2022 10 gunung api laut ditemukan diterima namanya delapan lengkap lerengnya diambil nurhidayat temuan 10 gunung api proses ekspedisi snellius belanda 1990 wilayah ekspedisi jalacitra aurora 2021 aurora mencoba melintasi wilayah ditemukan aneh kemarin ekspedisi jalacitra aurora 2021 coba melintas aneh tujuannya situ gunung gunung daerah almahera dapatkan gunung api laut ekspedisi jalacitra aurora menemukan massa air purba air purba gunung laut mengeluarkan lava material material panas membentuk lobang lobang panasnya panas dingin lobang ambil rigit mencoba nama temuan gunung api laut nama nama diserahkan united nations educational scientific cultural organization unesco diterima delapan nama nama nama gunung api laut gapuro segoro yudo sagoro spica rigel yiew vero moro gada moro sagoro aurora nurhidayat menyebut temuan gunung api laut pembelajaran dunia delapan diterima unesco nurhidayat menyebut eskpedisi jalacitra banda gunung api laut terindentifikasi sesuai namanya ekspedisi jalacitra alur laut banda mengajak 88 peneliti 88 peneliti profesor doktor universitas kapal banda hasilnya ambon universitas pattimura terangnya mengungkap pushidrosal melaksanakan ekspedisi daerah laut rawan dieksplorasi ekspedisi mempermudah kinerja kementerian kementerian energi sumber daya mineral esdm kementerian kementerian esdm cari pakai data data seismik peralatan modern kamera laut mengambil dasar dasar laut paparnya gambas video 20detik,www.detik.com
"2 Rumah di Makassar Terbakar Saat Ditinggal Mudik, Saksi Dengar Ledakan","Kamis, 05 Mei  2022 12:06 WIB",2 rumah warga antang makassar terbakar ditinggal penghuninya mudik kampung halaman palopo warga mendengar ledakan gas rumah terbakar pantauan lokasi kebakaran tepatnya jalan kampung kelurahan antang kecamatan manggala polisi berjaga lokasi kebakaran dipasang garis polisi 3 unit sepeda motor hangus terbakar peristiwa kamis 5 5 02 40 wita tabung gas 3 kilogram bertumpuk rumah terbakar 2 rumah warga makassar terbakar ditinggal penghuninya mudik palopo https akcdn net id community media visual 2022 05 05 2 rumah warga makassar terbakar ditinggal penghuninya mudik palopo 4 169 jpeg 620 kondisi 2 rumah warga makassar terbakar ditinggal penghuninya mudik palopo foto ishak warga mendirikan tenda darurat petugas lampu jalan perbaikan lokasi syukur api kencang api tenang takutnya api menyeberang motor warga barjo 49 ditemui kamis 5 5 2 rumah warga makassar terbakar ditinggal penghuninya mudik palopo https akcdn net id community media visual 2022 05 05 2 rumah warga makassar terbakar ditinggal penghuninya mudik palopo 2 169 jpeg 620 isi rumah ludes dilahap jago merah foto ishak kejadian warga menyelamatkan motor rumah diakui tabung gas rumah meledak diambil gas meledak bantu siram siram paparnya mengaku api membesar sadar kebakaran rumahnya rumah hangus terbakar dengar teriak teriak tengok jendela panas tengok api rumah rumah tertutup api barjo 2 rumah warga makassar terbakar ditinggal penghuninya mudik palopo https akcdn net id community media visual 2022 05 05 2 rumah warga makassar terbakar ditinggal penghuninya mudik palopo 3 169 jpeg 620 polisi memasang garis polisi mengusut kebakaran rumah ditinggal pemiliknya mudik foto ishak beruntung api menyeberang rumahnya rumah terbakar menyimpan tabung gas meledak kebakaran syukur api kencang api tenang takutnya api menyeberang motor diambil gas meledak bantu siram siram ketua rw 1 nursalim mengaku kebakaran saksi kejadian diperiksa polisi saksi rumah diambil dibawa polisi keterangannya kantor polisi 2 rumah warga makassar terbakar ditinggal penghuninya mudik palopo https akcdn net id community media visual 2022 05 05 2 rumah warga makassar terbakar ditinggal penghuninya mudik palopo 169 jpeg 620 warga membantu memadamkan api api terlanjur membesar menghabiskan rumah seisinya foto ishak pemilik rumah terbakar perjalanan kampung halamannya palopo makassar insiden pemilik rumah perjalanan palopo beber nursalim peristiwa warga berusaha memadamkan api kewalahan menelepon dinas kebakaran damkar makassar api berhasil dikuasai 03 50 wita penyebab kebakaran diduga akibat arus pendek korban jiwa peristiwa kepala damkar makassar hasanuddin keterangannya gambas video 20detik,www.detik.com
2 Rumah di Makassar Terbakar Saat Ditinggal Penghuninya Mudik ke Palopo,"Kamis, 05 Mei  2022 08:40 WIB",2 rumah warga kota makassar sulawesi selatan sulsel terbakar ditinggal pemiliknya mudik kampung halaman kota palopo warga rumah kebakaran api membesar peristiwa kebakaran jalan kampung kelurahan antang kecamatan manggala makassar kamis 5 5 2022 02 45 wita rumah terbakar rumahnya terbakar milik bakri daeng situju bersaudara mudik palopo ketua tempat rumah terbakar murniati wartawan kamis 5 5 murniati mengaku menerima laporan pemilik rumah mudik rumah milik warganya luput pengawasan warga rumahnya terbakar melapor waktu mudik warga berjibaku membantu memadamkan api api rumah membesar suruh anak anak bantu cepat padamkan api membesar warga kewalahan menelepon dinas pemadam kebakaran damkar makassar data damkar makassar api berhasil dikuasi 03 50 wita 5 armada 26 personel dikerahkan lokasi 2 unit rumah terbakar 4 kk danton regu 5 damkar makassar sultan api berhasil dipadamkan petugas menduga kebakaran akibat arus pendek listrik salah rumah warga terbakar korban luka meninggal dunia peristiwa diduga akibat arus pendek korban jiwa peristiwa kepala damkar makassar hasanuddin keterangannya gambas video 20detik,www.detik.com
20 Makam Warga Tionghoa di Aceh Barat Tergerus Abrasi,"Senin, 01 Jun 2020 05:04 WIB",20 makam warga keturunan tionghoa kabupaten aceh barat provinsi aceh tergerus abrasi akibatnya makam mengalami kerusakan pemakaman tionghoa berlokasi tepi pantai desa suak ribee kecamatan johan pahlawan meulaboh kabupaten aceh barat 20 makam diterjang abrasi laut kepala desa suak ribee meulaboh aceh barat teuku razali dilansir minggu 1 6 2020 gerusan abrasi dilaporkan 2 minggu razali menilai puluhan makam terlepas laut penanganan razali mewanti wanti penjaga makam mengubungi ahli waris makam dibongkar terendam banjir jasad dipindahkan terjangan abrasi parah makam tergerus tanah lokasi usaha masyarakat bibir pantai meulaboh amblas laut teuku razali,www.detik.com
"3 Kecamatan di Maros Alami Kekeringan, Warga Gunakan Air Keruh dan Asin","Senin, 24 Agu 2020 16:22 WIB",3 kecamatan kabupaten maros sulawesi selatan sulsel mengalami kekeringan akibat musim kemarau akibatnya warga terpaksa air kubangan sumur airnya asin keruh dirasakan warga desa tupabbiring kecamatan bontoa maros pagi petang puluhan warga didominasi perempuan hilir mudik rumah sumur mengangkat baskom jeriken berisikan air 15 liter berjalan pematang sawah tandus sulitnya air bersih dirasakan warga pesisir 4 membeli air bersih keperluan minum warga mengandalkan air galian sumur mengering puasa kesusahan air bersih air sumur mandi mencuci minum beli air sumur asin sumur kering kedepan warga syamsiah senin 28 08 2020 air asin keruh dimanfaatkan warga 3 kecamatan maros mengalmi kekeringan bakri https akcdn net id community media visual 2020 08 24 air asin keruh dimanfaatkan warga 3 kecamatan maros mengalmi kekeringan bakri 169 png 620 foto air asin keruh dimanfaatkan warga 3 kecamatan maros mengalmi kekeringan bakri air sumur ambil lantas butuh waktu mendiamkan air jernih tawar terkadang air sumur terpaksa oplos air bersih beli tawar berhemat kadang campur air tawar dibeli air sumur airnya dipakai mencuci berbusa mandi asin airnya air asin keruh dimanfaatkan warga 3 kecamatan maros mengalmi kekeringan bakri https akcdn net id community media visual 2020 08 24 air asin keruh dimanfaatkan warga 3 kecamatan maros mengalmi kekeringan bakri 1 169 png 620 foto kubangan sumur diandalkan warga mengambil air bakri krisis air bersih dialami warga tahunnya musim kemarau solusi pemerintah mengatasi bencana tahunan warga berkali aksi protes pasrah protes warga demo dijanji janji hasilnya data badan penanggunalan bencana daerah bpbd maros kekeringan musim kemarau kecamatan kecamatan terdampak parah mengalami krisis air bersih terdampak kecamatan parah daerah pesisir kecamatan bonto lau maros bencana kekeringan musim kemarau kepala bpbd maros fadli bpbd distribusi air bersih warga terdampak utamanya wilayah pesisir mobil tangki dikerahkan memenuhi kebutuhan air minum warga turun distribusi danramil lau turun mendistribusikan air bersih kecamatan bontoa besok bawa bergilir wilayahnya wilayah pantai barat sulawesi makassar parepare memasuki puncak musim kemarau musim kemarau november 2020 wilayah pantai barat memasuki puncak kemarau agustus semptember november musim kemarau diprediksi peralihan wilayah pantai barat cenderung kering wilayah pesisir timur kepala bmkg maros hartanto,www.detik.com
"Diterjang Puting Beliung, 4 Kamar Napi di Lapas Aceh Barat Rusak","Senin, 13 Apr 2020 02:07 WIB",4 unit kamar tahanan lembaga pemasyarakatan kelas meulaboh lapas kabupaten aceh barat mengalami kerusakan kerusakan akibat terjangan angin puting beliung 16 warga binaan terpaksa tempatkan warga binaan waktu menunggu perbaikan kepala lembaga pemasyarakatan kelas meulaboh aceh barat sugiyanto dilansir senin 13 4 2020 korban jiwa peristiwa kamar tahanan atap unit rumah pegawai lapas rusak lapas melaporkan musibah kantor wilayah kementerian hukum ham provinsi aceh bersyukur warga binaan korban musibah aman sugiyanto puting beliung disertai hujan lebat kabupaten aceh barat minggu 12 4 sore,www.detik.com
"Pergerakan Tanah di Cianjur, Satu Rumah Ambruk-Puluhan Terancam","Kamis, 11 Nov 2021 18:15 WIB",5 rumah rusak berat puluhan terancam akibat pergerakan tanah kampung subela desa sukajadi kecamatan campaka cianjur salah rumah ambruk informasi dihimpun retakan tanah pekan kondisinya bertambah parah tanah anjlok diguyur hujan deras minggu 7 11 petang puncaknya rabu 10 11 sore dimana rumah rusak parah ambruk pilihan rumah terancam pergerakan tanah kampung subela mengalami penurunan sedalam 1 meter 1 5 meter bergerak akibat kondisi tanah labil hujan deras pjs kepala desa sukajadi yudi supriadi kamis 11 11 2021 menurutnya warga rumahnya terdampak mengungsi rumah keluarga terdekatnya tempat aman pemerintah desa mendirikan posko menunggu terkait menangani rumah terdampak rusak kasi kedaruratan bpbd kabupaten cianjur asep sudrajat menerima laporan terkait pergerakan tanah personil diturunkan melalukan penanganan assement laporan terima personil lapangan tercatat rumah rusak ringan rusak berat lainya ambruk berkoordinasi tim geologi bmkg menangani pergerakan tanah kecamatan campaka relokasi rumah terdampak terancam menunggu hasil kajian tim geologi bmkg,www.detik.com
Puting Beliung Rusak 50 Rumah di Sukabumi,"Rabu, 09 Mar 2022 20:51 WIB",50 rumah rusak akibat puting beliung kampung sinagarkolot desa nagrak utara kecamatan nagrak kabupaten sukabumi situasi mencekam angin kencang menerpa perkampungan warga peristiwa puting beliung 14 00 wib kejadian warga rumah suara mendengung angin kencang genting berjatuhan posisi rumah takut lari hujan turun anak entin warga ketua rabu 9 3 2022 entin genting rumah menimpanya genting rumah warga berterbangan korban kejatuhan genting tidur masjid kepanikan melanda eti dapur rumahnya roboh kuatnya angin puting beliung menerpa perkampungan kejadian dikagetkan suara derak kayu bangunan dapurnya roboh posisi rumah tiduran angin kencang dapur roboh pintu susah dibuka kayu berjatuhan lari ajak posisi rumah eti kades nagrak utara basroh ramdansyah 50 rumah warga mengalami kerusakan menyebut bertambah asesmen data 50 rumah 20 rumah rusak berat 20 rumah rusak 10 rumah rusak ringan korban jiwa akibat kejadian warga mengalami rusak ringan mengungsi kerabat tetangganya basroh lokasi kejadian relawan gabungan bpbd aparat desa kecamatan kepolisian tni membersihkan material puing bangunan berserakan petugas memotong pohon tumbang perkampungan tni patroli lokasi kejadian warga mengungsi meninggalkan harta bendanya rumah mengimbau warga waspada memperhatikan harta benda kapolsek nagrak akp deden sulaeman gambas video 20detik,www.detik.com
9 Kecamatan di Kabupaten Bogor Alami Kekeringan Sejak Agustus 2020,"Senin, 07 Sep 2020 16:03 WIB",9 kecamatan kabupaten bogor alami kekeringan musim kemarau masyarakat kecamatan kecamatan membutuhkan pasokan air bersih segitu 9 kecamatan dilanda kekeringan agustus distribusi air 5 agustus permintaan desa kecamatan kasi kedaruratan bpbd kabupaten bogor muhamad adam dihubungi senin 7 9 2020 berdasarkan data bpbd mencatat kecamatan membutuhkan bantuan air bersih kecamatan citeureup jasinga tenjo cariu ciampea cigudeg kekeringan desa kecamatan klapanunggal jonggol gunung putri 9 kecamatan 20 756 kk 48 120 warga terdampak kekeringan bpbd pdam menyalurkan air bersih kelurahan desa membutuhkan air bersih menyurati bpbd bantuan langkah bpbd membantu warga terdampak kekeringan bantuan kebutuhan air bersih kebutuhan minum memasak,www.detik.com
"Abrasi di Kragan Rembang Makin Parah, Dana Rehab Dianggarkan Rp 19,2 M","Kamis, 24 Feb 2022 02:07 WIB",abrasi kecamatan kragan rembang dinilai parah pemerintah kabupaten rembang menyebut anggaran rp 19 2 miliar pemerintah pusat penanganan abrasi kecamatan kragan desa kecamatan kragan abrasinya terbilang parah desa karanganyar kragan karangharjo pandangan kulon rp 19 2 miliar penanganan abrasi karanganyar barat persisnya cover kilometer upati rembang abdul hafidz forum musyawarah perencanaan pembangunan musrenbang kantor kecamatan kragan dikutip situs jatengprov id rabu 23 2 2022 kepala badan perencanaan pembangunan daerah bappeda kabupaten rembang dwi wahyuni hariyati pemkab rembang mengusulkan penanganan abrasi kecamatan kragan sarang pemerintah pusat kementerian pupr memfokuskan kragan kewenangan kabupaten mendorong sarang berupaya mencarikan sumber anggaran manapun dwi dwi menyebut desain penanganan abrasi kewenangan pemerintah pusat penanganan darurat abrasi daerah kragan warga tanggul tumpukan karung diisi pasir rajekan bambu menahan hantaman gelombang air laut gambas video 20detik,www.detik.com
