Title,Date,Description,Source
"Dankormar Minta Prajurit ""Hantu Laut"" Selamatkan dan Evakuasi Korban Gempa Cianjur","Selasa, 22 Nov 2022 16:12 WIB",komandan korps marinir dankormar mayor jenderal widodo dwi purwanto prajuritnya memprioritaskan langkah penyelamatan evakuasi korban gempa cianjur jawa barat disampaikannya memimpin upacara pelepasan 400 prajurit berjuluk hantu laut markas tni angkatan laut mabesal jakarta selasa 22 11 2022 prioritas pencarian evakuasi korban cari selamatkan evakuasi info jam 20 00 malam korban tertimbun bangunan cari temukan evakuasi widodo prajurit mabesal jakarta selasa jenderal bintang prajuritnya memperbaiki sarana prasarana pokok vital rusak akibat gempa aspek diperbaiki jalan nasional menghubungkan bogor cianjur terputus akibat bencana listrik mati fasilitas kesehatan puskesmas rusak prioritas perlindungan masyarakat rentan prioritaskan penyelamatan evakuasi anak tua renta fokuskan widodo berharap prajuritnya melaksanakan tugas harap laksanakan tugas terbaik penuh keikhlasan imbuh tni mengerahkan 500 prajurit membantu evakuasi korban gempa cianjur 100 prajurit diberangkatkan senin 21 11 2022 malam diberitakan berdasarkan laporan badan nasional penanggulangan bencana bnpb warga meninggal dunia pasca gempa bumi kabupaten cianjur provinsi jawa barat bertambah data selasa 09 55 wib siang dilaporkan 103 meninggal dunia mayoritas warga meninggal tertimpa reruntuhan bangunan ambruk peristiwa 31 dilaporkan hilang pencarian 377 luka luka kabupaten cianjur 1 luka kabupaten bandung 1 luka berat 9 luka ringan kabupaten sukabumi 2 luka ringan kabupaten bogor warga mengungsi bertambah 7 060 jiwa tersebar titik 8 kk mengungsi kabupaten sukabumi 4 jiwa mengungsi kabupaten bogor kerusakan infrastruktur tercatat 3 075 rumah rusak ringan 33 unit rumah rusak 59 rumah rusak berat,www.kompas.com
"5 Titik Banjir di Tangerang Selatan Pagi Ini, Puri Bintaro Indah hingga Kampung Bulak","Jumat, 02 Des 2022 09:04 WIB",banjir menggenangi daerah kota tangerang selatan provinsi banten jumat 2 12 2022 pagi kepala bidang kabid kedaruratan logistik bpbd tangerang selatan faridzal gumay 10 kawasan tergenang banjir kemarin pagi 10 kawasan surut malam kawasan jurangmangu permai pondok safari perumahan lebak pinus kampung gunung tol kunciran bintaro surut pagi daftar titik banjir wilayah kota tangerang selatan pagi banjir menggenangi perumahan warga puri bintaro indah rw 22 kelurahan jombang kecamatan ciputat kawasan tergenangi air ketinggian 90 sentimeter 23 00 wib genangan air puri bintaro indah perlahan berangsur surut 20 sentimeter 260 kepala keluarga terdampak banjir daerah terendam banjir kisaran 80 sentimeter pagi kampung batas indah gang aren 03 04 rw 01 kelurahan pondok betung kecamatan pondok aren 400 kepala keluarga 20 mengungsi kemarin bpbd kota tangerang selatan melaporkan ketinggian genangan air kawasan berangsur surut pagi perumahan pondok maharta kelurahan pondok kacang timur kecamatan pondok aren 400 kepala keluarga terdampak banjir ketinggian air berkisar 50 70 sentimeter berangsur surut perlahan kawasan banjir pagi villa bintaro regency rw 12 kelurahan pobdok kacang timur kecamatan pondok aren ketinggian genangan air berkisar 35 60 sentimeter berdampak 300 kepala keluarga 12 mengungsi berbeda kawasan berangsur surut air kavling kampung bulak 04 rw 02 kelurahan pondok kacang timur kecamatan pondok aren terkini peningkatan debit air 60 sentimeter kemarin ketinggian air banjir 35 sentimeter,www.kompas.com
IDI Cianjur Kerahkan Seluruh Dokter Tangani Korban Gempa Bumi,"Senin, 21 Nov 2022 20:14 WIB",ketua ikatan dokter indonesia idi cianjur ronny hadyanto mengerahkan dokter anggotanya turun menangani korban gempa cianjur 200 tenaga medis dokter dokter spesialis anggota idi cianjur bertugas wilayah cianjur turun menangani korban gempa ronny pernyataan tertulis senin 21 november 2022 berkoordinasi bnpb dinas kesehatan dinkes cianjur pemerintah kabupaten rumah sakit darurat pendopo kabupaten cianjur jalan siti zaenab gempa bumi magnitudo 5 5 berpusat darat 10 barat daya cianjur jawa barat menghancurkan bangunan rumah penduduk pondok pesantren rumah sakit ronny memaparkan pembaruan data 17 30 wib 58 korban meninggal dunia dewasa lansia anak anak rsud sayang cianjur 54 korban jiwa rsud cimacan 4 korban jiwa korban meninggal akibat cedera kaki kepala korban luka total mencapai 700 rsud sayang cianjur menampung 200 korban luka ketua idi wilayah jawa barat eka mulyana timnya mengerahkan tim siaga bencana idi jawa barat perjalanan cianjur seraya membawa perlengkapan tenda peleton obat obatan berkoordinasi idi cabang jawa barat cianjur membantu sisi tenaga medis ketua pengurus idi adib khumaidi pusat krisis kesehatan pengabdian masyarakat dipimpin corona rintawan mengerahkan bantuan tenaga medis lokasi bencana cianjur pb idi informasi tim idi cianjur kebutuhan sdm dokter bedah bedah orthopaedi perlengkapan alat alat kesehatan dukungan sarana prasarana analisa bangunan antisipasi kebutuhan rs lapangan persiapan rujukan medis bandung rs hasan sadikin tambahan pb idi idi wilayah cabang duka cita mendalam keluarga korban terdampak gempa bumi nesa aqila,www.tempo.co
"3 Program Prioritas DKI Jakarta 2023: Banjir, Kemacetan dan Antisipasi Dampak Resesi","Rabu, 30 Nov 2022 02:01 WIB",pemerintah provinsi dki jakarta memiliki program prioritas 2023 pengendalian banjir penanganan kemacetan antisipasi dampak penurunan pertumbuhan ekonomi total anggaran dialokasikan fokus program 41 27 persen apbd dki 2023 rp 34 58 triliun rancangan apbd anggaran 2023 difokuskan 3 program prioritas kepala badan pengelolaan keuangan daerah bpkd dki jakarta michael rolandi cesnanta brata keterangan tertulis selasa 29 november 2022 pengendalian banjir pemerintah dki membangun infrastruktur program antisipasi banjir pembangunan waduk tanggul pengaman pantai pengadaan pompa pintu air kegiatan operasional pasca bencana perawatan pompa banjir saluran drainase pengelolaan ruang terbuka hijau penanganan kemacetan pemprov dki membangun infrastruktur pengurai kemacetan proyek transportasi masal mrt lrt kegiatan operasional penyaluran subsidi operasional transjakarta mrt lrt pelayanan angkutan bus sekolah program prioritas antisipasi dampak resesi ekonomi 2023 pemerintah dki jakarta menyusun kegiatan penyaluran pangan murah subsidi pangan kartu jakarta pintar kjp kartu lansia jakarta klj kartu penyandang disabilitas jakarta kpdj,www.tempo.co
"Banjir-Tanah Longsor Berulang hingga Menggenangi Jalan Nasional, BPBD Terbitkan Surat Edaran Bersih Drainase di Semua Desa","Rabu, 07 Des 2022 11:50 WIB",badan penanggulangan bencana daerah bpbd kulon progo daerah istimewa yogyakarta menerbitkan surat edaran panewu camat lurah kepala desa menggiatkan normalisasi drainase mengantisipasi potensi banjir meningkatnya curah hujan desa kerap terkena banjir dilaksanakan pembersihan drainase secepatnya bergerak puncak curah hujan desember februari kepala pelaksana harian bpbd kulon progo joko satyo agus nahrowi kantornya selasa 6 12 2022 salah langganan banjir jalan nasional jembatan rel kereta api bandara yogyakarta international airport yia kalurahan kalidengen kapanewon temon banjir berasal luapan sungai muat gorong gorong jalan nasional lubang gorong gorong rawan tersumbat batang pisang pohon sampah joko tempat banjir muncul wilayah akibat luapan sungai wilayah kalurahan hargomulyo kokap luapan sungai kanjangan sungai papah sentolo sen haisero kapanewon panjatan sungai sungai kanjangan genangannya joko pemerintah meninjau lokasi bencana lokasi longsor banjir bersih bersih drainase salah langkah mengantisipasi bencana kerugian timbul banjir merendam 8 kalimenur 5 6 desember 2022 hujan deras debit sungai papah pinggir dusun meningkat dukuh kalimenur eko yulianto banjir senin sore pasalnya curah hujan ketinggian air meningkat warga melaporkan banjir menggenangi pekarangan 8 19 30 wib senin kemarin air cepat merendam 8 air merendam 25 rumah dihuni 28 kepala keluarga air menggenang jalan nasional sukoreno 21 30 wib delapan rumah banjir eko 8 dihuni mayoritas petani pedagang pegawai negeri warga merugi akibat hasil panen terendam banjir salah satunya genangan banjir kalimenur merusak beras gabah jagung penggilingan 8 milik sawijan 61 air penggilingan 19 00 wib ketinggian air 60 beras gabah jagung tumpukan terbawah terendam basah semalaman rusak dipakai air merendam gabah 10 15 karung beras 3 4 karung jagung 20 karung kerugian puluhan juta rupiah hitung kerugiannya sawijan banjir kerugian mencapai rp 200 juta,www.kompas.com
"Banjir di Jalan Nasional Menuju Bandara YIA, Kendaraan Memadat dan Sempat Tersendat","Senin, 05 Des 2022 22:54 WIB",banjir menggenangi jalan nasional dusun sidatan kaligintung kidul kalurahan kalidengen kapanewon temon kabupaten kulon progo daerah istimewa yogyakarta air meluap jembatan air menggenang jalan raya kendaraan memadat tersendat jalan raya perlintasan bandar udara yogyakarta international airport yia polisi bantu mengatur lintas memadat pengaturan arus lintas jalur utama pemantau luapan air jalur jalan nasional wilayah sidatan plh kasi humas polres kulon progo iptu dwi wijayanto pesan singkat senin 5 12 2022 hujan deras mengguyur wilayah kulon progo 13 00 wib mengakibatkan sungai arah kaligintung debitnya air meluap jembatan jembatan kereta api bandara yia air menggenang jembatan rel kereta bandara 17 00 wib luapan air aman dilewati kendaraan roda roda luapan air lantaran gorong gorong tersumbat sampah dibawa air hulu debit air gorong gorong menampung arus air meluap jalan nasional menghubungkan wates purworejo warga polisi lantas membersihkan sampah terbawa arus air beruntung banjir menyebabkan arus lintas macet genangan air cepat surut pemantauan volume air titik wilayah temon aman kondusif jalan tergenang air kendaraan dwi masyarakat membuang sampah sembarangan hujan turun mengganggu aliran air menyebabkan air meluap jalan dwi lurah kalidengen sunardi hujan deras mengakibatkan pemukiman tergenang banjir luapan air pemukiman sidatan warga terbiasa kondisi pemukiman aman lantaran warga membangun tanggul mengantisipasi luapan sungai waktu warga membangun tanggul antisipasi luapan air air utara jalan sunardi ujung telepon,www.kompas.com
"Melalui Dai Ambassador Dompet Dhuafa, South East Asia Group Berikan Bantuan Rp 50 Juta untuk Korban Gempa Cianjur","Kamis, 01 Des 2022 18:10 WIB",dai ambassador dompet dhuafa uztadz genry nuswantoro menerima amanah south east asia group agency menyerahkan bantuan korban bencana gempa bumi cianjur kamis 1 12 2022 bantuan diserahkan li direktur south east asia group agency disaksikan budi santoso kepala kantor cabang dagang ekonomi indonesia kdei taiwan kepala bidang tenaga kdei taiwan purwanti uta draja bantuan uang tunai 100 000 new taiwan dollar ntd rp 50 juta direktur south east asia group agency li berharap bantuan meringankan beban korban gempa bumi cianjur berharap bantuan meringankan beban korban gempa bumi cianjur agama kemanusiaan li keterangan pers diterima kompas com kamis 1 12 2022 senada kepala kantor dagang ekonomi indonesia kdei taiwan budi santoso berharap bantuan berguna penyintas gempa cianjur corps dai dompet dhuada cordofa menggelar pelepasan dai ambassador diberangkatkan taiwan hong kong jumat 11 11 2022 keberangkatan genry taiwan hong kong berdakwah mempererat hubungan dompet dhuafa indonesia negara taiwan semangat meretas dakwah melintas batas kolaboraksi dompet dhuafa digaungkan membutuhkan,www.kompas.com
BNPB Kunjungi Pos Induk DMC Dompet Dhuafa di Cianjur untuk Bicarakan Konsolidasi dan Penyetaraan Data,"Senin, 28 Nov 2022 12:01 WIB",deputi bidang pencegahan badan nasional penanggulangan bencana bnpb prasinta dewi kunjungan pos induk disaster management center dmc dompet dhuafa kantor berita cianjur jalan gatot mangkupraja nomor 15 nagrak cianjur minggu 27 11 2022 kunjungan hangat prasinta dewi mengapresiasi kinerja dompet dhuafa ikhtiar penanggulangan bencana merespon gempa bumi cianjur relawan menjangkau ujung lokasi mengapresiasi tingginya teman teman dompet dhuafa memiliki kinerja bagus meluangkan waktu penanggulangan bencana berharap semangat penanggulangan bencana semangat prasinta keterangan pers diterima kompas com senin 28 11 2022 kunjungan bnpb dmc dompet dhuafa menyetarakan data konsolidasi arahan penanganan dampak gempa bumi cianjur mengimbau koordinasi tujuan penanganan gempa bumi cianjur mengalami perkembangan sasaran tujuan membangun masyarakat pemerintah kolaborasi antarpihak lembaga pengusaha media masyarakat dibutuhkan penyetaraan data bantuan menumpuk titik kabar terkait penyintas bantuan prasinta senada general manager disaster risk reduction dmc dompet dhuafa shofa qudus menyambut kunjungan bnpb dmc dompet dhuafa bertugas senantiasa berkoordinasi berkolaborasi bnpb kunjungan membantu penanganan emergency response penyintas gempa bumi cianjur bantu penyintas gempa bumi cianjur dmc dompet dhuafa program layanan salah satunya dapur keliling darling corner gizi cozy https asset kompas com crops hyzvfy poxs x9xkcqzg8tl339a 0x0 798x532 750x500 data photo 2022 11 28 6384380499bfe jpeg dok humas dompet dhuafa bantu penyintas gempa bumi cianjur dmc dompet dhuafa program layanan salah satunya dapur keliling darling corner gizi cozy dmc menggulirkan ragam layanan merespon gempa bumi cianjur data situation report sitrep release harian dmc tergabung join need assessment jna depannya respon dompet dhuafa terkait early recovery mendirikan mandi cuci kakus mck musala darurat shofa informasi dmc dompet dhuafa mengerahkan layanan bantu penyintas gempa bumi cianjur 1 layanan search rescue evakuasi total 15 jiwa ditemukan 2 layanan kesehatan manfaat 1 733 jiwa 3 layanan pemulasaraan jenazah melayani 39 jenazah 4 distribusi logistik makanan digulirkan 3 099 jiwa 280 jiwa terbantu logistik non makanan 5 layanan psychological first aid pfa psychological religi manfaat 279 jiwa 6 layanan aksi bersih program bersih sehat bis manfaat 417 jiwa 7 layanan dapur keliling darling corner gizi cozy 8 layanan pos hangat 9 layanan taman ceria penyintas anak anak upaya keyakinan dukungan kemanusiaan menguatkan membutuhkan membantu korban gempa cianjur mengirimkan donasi laman donasi dompet dhuafa,www.kompas.com
"Gempa Magnitudo 6,1 Garut, 2 Rumah Warga di Cianjur Dilaporkan Rusak","Sabtu, 03 Des 2022 21:32 WIB",gempa bumi magnitudo 6 4 dimutakhirkan magnitudo 6 1 kabupaten garut jawa barat sabtu 3 12 2022 sore berdampak kerusakan bangunan wilayah kabupaten cianjur informasi badan penanggulangan bencana daerah bpbd cianjur rumah warga wilayah kecamatan kadupandak dilaporkan rusak diasesmen kerusakannya akibat gempa rumahnya layak sekretaris bpbd cianjur rudi wibowo dihubungi kompas com sabtu 3 12 2022 malam wilayah kadupandak bpbd cianjur laporan kerusakan materil wilayah kecamatan cidaun cidaun pusat gempanya posisi menunggu informasi pengecekan pusdalops lapangan rudi korban luka meninggal dunia nihil gempa bumi magnitudo 6 1 kabupaten garut jawa barat sabtu 3 12 2022 sore wilayah cianjur stasiun geofisika bandung kordinator bmkg provinsi jawa barat rahayu pusat gempa pesisir pantai kedalaman 109 kilometer 17 20 wib hasil monitoring bmkg aktivitas gempa bumi susulan,www.kompas.com
"Gempa Magnitudo 6,2 Guncang Jember, Tak Berpotensi Tsunami","Selasa, 06 Des 2022 13:56 WIB",gempa kekuatan magnitudo 6 2 mengguncang kabupaten jember jawa timur selasa 6 12 2022 gempa berpusat 284 kilometer arah barat daya jember jawa timur laporan dampak sekretaris bpbd jember heru widagdo kompas com dihubungi selasa gempa waktu singkat jember heru berkoordinasi personel bpbd jember memantau dampak gempa laporan gempa berpotensi tsunami heru warga panik salah warga jember miftahul arifin merasakan gempa gempa kerasa sebentar gempa magnitudo 6 2 mengguncang kabupaten jember selasa 13 07 wib pusat gempa terletak 10 7 lintang selatan 113 41 bujur timur 284 kilometer arah barat daya jember gempa kedalaman 10 kilometer berpotensi tsunami,www.kompas.com
