tingkat setelah parent,parent,similarity
1,ekonomi,"[('perekonomian', 0.7561678290367126), ('ekonominya', 0.6743767261505127), ('politik', 0.6289196014404297), ('sosial', 0.6239102482795715), ('keuangan', 0.6213864684104919), ('sosio', 0.6185004115104675), ('makro', 0.607036292552948), ('bisnis', 0.5964821577072144), ('moneter', 0.5907645225524902), ('makroekonomi', 0.5849147439002991)]"
2,perekonomian,"[('ekonomi', 0.7561678290367126), ('ekonominya', 0.6767619848251343), ('perekonomiannya', 0.6377432346343994), ('kesejahteraan', 0.6043583154678345), ('pertumbuhan', 0.5939990878105164), ('pertanian', 0.5916220545768738), ('perdagangan', 0.5869290828704834), ('infrastruktur', 0.5803229808807373), ('keuangan', 0.5725429654121399), ('industrialisasi', 0.5701508522033691)]"
2,ekonominya,"[('perekonomian', 0.676762044429779), ('ekonomi', 0.6743767261505127), ('perekonomiannya', 0.6640518307685852), ('produktivitas', 0.6137518286705017), ('industrialisasi', 0.6076307892799377), ('inflasi', 0.6042708158493042), ('urbanisasi', 0.5959572792053223), ('kestabilan', 0.5767720937728882), ('pertumbuhan', 0.5661026835441589), ('finansial', 0.5616228580474854)]"
2,keuangan,"[('perbankan', 0.7136131525039673), ('finansial', 0.6956011056900024), ('moneter', 0.6549646854400635), ('keuangannya', 0.6304056644439697), ('investasi', 0.6298735737800598), ('pembiayaan', 0.625451922416687), ('ekonomi', 0.6213864684104919), ('likuiditas', 0.6213087439537048), ('perpajakan', 0.617017924785614), ('fiskal', 0.608287513256073)]"
2,sosio,"[('geopolitik', 0.6826532483100891), ('sosiologis', 0.6727766990661621), ('kultural', 0.6691096425056458), ('ketidaksetaraan', 0.6457462906837463), ('ketimpangan', 0.6272773742675781), ('stratifikasi', 0.6246249675750732), ('ekonomi', 0.6185003519058228), ('institusional', 0.6147065758705139), ('kerakyatan', 0.6036258339881897), ('liberalisasi', 0.6035548448562622)]"
2,makro,"[('mikro', 0.6979314088821411), ('kuantitatif', 0.691617488861084), ('kualitatif', 0.6695172190666199), ('spasial', 0.6480231881141663), ('konseptual', 0.6299801468849182), ('matematis', 0.6259665489196777), ('makroekonomi', 0.6146345734596252), ('ekologis', 0.6128057837486267), ('berkelanjutan', 0.6123526692390442), ('fisis', 0.6105653643608093)]"
2,bisnis,"[('bisnisnya', 0.686161994934082), ('pemasaran', 0.6518283486366272), ('periklanan', 0.6253592371940613), ('perbankan', 0.6094455122947693), ('usaha', 0.6003714799880981), ('industri', 0.5981689095497131), ('perhotelan', 0.5969977974891663), ('ekonomi', 0.5964820981025696), ('ritel', 0.587775468826294), ('korporasi', 0.5806972980499268)]"
2,moneter,"[('imf', 0.6838259100914001), ('fiskal', 0.6591417193412781), ('keuangan', 0.6549646854400635), ('perbankan', 0.6433130502700806), ('likuiditas', 0.6387322545051575), ('finansial', 0.607912540435791), ('ekonomi', 0.5907645225524902), ('deregulasi', 0.5874499678611755), ('makroekonomi', 0.576980710029602), ('investasi', 0.5722920894622803)]"
2,makroekonomi,"[('mikroekonomi', 0.710793673992157), ('neoliberal', 0.6361110210418701), ('keynesian', 0.6301881074905396), ('makro', 0.6146344542503357), ('statistika', 0.6048861742019653), ('ekonomi', 0.5849145650863647), ('moneter', 0.5769807696342468), ('metodologi', 0.5750213265419006), ('neoliberalisme', 0.57185298204422), ('inferensi', 0.5709127187728882)]"
3,perekonomiannya,"[('ekonominya', 0.6640518307685852), ('perekonomian', 0.637743353843689), ('masyarakatnya', 0.5605455040931702), ('pertanian', 0.5495892763137817), ('industrinya', 0.5258686542510986), ('industri', 0.5246209502220154), ('agraris', 0.5239324569702148), ('pertumbuhannya', 0.523770272731781), ('sektor', 0.518994927406311), ('ekonomi', 0.5122763514518738)]"
