title,date,description,source
Masih Berani Kritik Ekonomi RI? Luhut: Datangi Saja Saya!,"Kamis, 01 Jul 2021 15:53 WIB",menteri koordinator bidang kemaritiman investasi luhut binsar pandjaitan ekonomi mengalami pemulihan pertengahan 2021 data dipaparkan luhut ekonomi indonesia mengalami gejolak pandemi melanda 2020 kuartal i 2020 ekonomi indonesia tumbuh melambat level 2 97 ekonomi indonesia anjlok minus 5 32 kuartal ii 2020 corona melanda ekonomi indonesia pemulihan minus kuartal i 2021 ekonomi indonesia tercatat level minus 0 74 luhut lantas menantang pengamat mengkritik kondisi ekonomi negeri mendatanginya advertisement scroll to resume content pemulihan ekonomi 2021 pengamat datangi luhut konferensi pers virtual kamis 1 7 2021 luhut pemerintah mengeluarkan kebijakan ekonomi pulih pandemi covid 19 ppkm darurat luhut pemerintah menyalurkan bantuan sosial bansos menjaga ekonomi data pemulihan ekonomi berhasil langkah kebijakan pandemi berhasil presiden berhasil menavigasi sulit pemerintah koordinasi menambah bansos ppkm darurat melindungi masyarakat menengah langkah dampak ppkm darurat dimitigasi recovery ekonomi cepat sambung luhut gambas video 20detik,www.detik.com
"Ekspor Lesu, Neraca Dagang RI 2019 Masih Tekor US$ 3,2 Miliar","Rabu, 15 Jan 2020 11:44 WIB",neraca dagang indonesia 2019 tercatat defisit us 3 2 miliar angka berasal ekspor setahun penuh us 167 5 miliar impornya us 170 72 miliar dilaporkan kepala badan pusat statistik bps suhariyanto konferensi pers kantornya jakarta rabu 15 1 2020 defisit terbilang dibanding tekor neraca dagang 2018 terhitung defisit 2019 dibanding defisit 2018 suhariyanto advertisement scroll to resume content defisit neraca dagang berhasil ditekan penurunan impor dibandingkan tahunan ekspor indonesia 2019 dibandingkan 2018 impor berhasil ditekan us 188 7 miliar us 170 7 miliar amerika serikat india belanja negara defisit 2019 neraca dagangnya indonesia indonesia ekspor dibandingkan impor negara negara negara negara neraca dagangnya surplus indonesia 2019 australia thailand china indonesia impornya dibanding ekspor ketiga negara data neraca perdagangan ri 2019 januari defisit us 1 16 miliar februari surplus us 330 juta maret surplus us 540 juta april defisit us 2 5 miliar mei surplus us 210 juta juni surplus us 200 juta juli defisit us 60 juta agustus surplus us 85 juta september defisit us 160 juta oktober surplus us 161 3 juta november defisit us 1 33 miliar desember defisit us 30 juta gambas video 20detik,www.detik.com
Neraca Perdagangan Januari Diramalkan Surplus,"Kamis, 15 Feb 2018 10:12 WIB",berhasil mencatatkan surplus disepanjang neraca perdagangan januari 2018 diramalkan surplus us 233 juta laju ekspor 8 58 laju impor 19 64 ekonom bank permata josua pardede dihubungi jakarta kamis 15 2 2018 neraca perdagangan januari surplus us 233 juta laju ekspor 8 58 yoy laju impor 19 64 yoy josua advertisement scroll to resume content josua ekspor meningkat januari kenaikkan volume mitra dagang utama amerika serikat jepang negara asean salah satunya sektor manufaktur tren kenaikan harga komoditas global januari menopang kinerja ekspor impor meningkat josua seiring meningkatnya aktivitas sektor manufaktur domestik ekonom pt bank bca david samual neraca perdagangan indonesia 2018 mengalami surplus us 434 juta surplus neraca perdagangan didukung peningkatan ekspor impor surplus trade balance januari 2018 ekspor tumbuh 7 2 impor 16 4 david,www.detik.com
"Tak Cuma Apel dan Jeruk, Laptop dari China Juga Banjiri RI","Senin, 16 Des 2019 19:00 WIB",total impor indonesia november 2019 us 15 34 miliar turun 9 24 dibanding november 2018 dibandingkan oktober 2019 impor tipis 3 94 angka impor barang modal terbilang mencapai us 2 5 miliar angka 2 58 sebulan turun 3 55 november 2018 impor barang modal salah salah laptop notebook berasal china notebook china transporter radio equipment as contoh barang modal kepala bps suhariyanto gedung bps jakarta senin 16 12 2019 advertisement scroll to resume content impor china meningkat november 2019 berasal mesin perlengkapan mekanis 13 7 us 885 88 juta us 1 miliar kelompok porsi impor produk laptop notebook impor laptop november 2019 tercatat us 123 2 juta 53 dibandingkan oktober 2019 tercatat us 80 4 juta diperhatikan peningkatannya november 2019 sektor buah buah 48 8 dibandingkan oktober 2019 dibandingkan november 2018 nilainya 109 47 barang jenis konsumsi november buah buahan apel jeruk mandarin china menyebabkan barang konsumsi mengalami kenaikan data bps angka impor apel november 2019 mencapai us 56 16 juta angka 120 98 dibandingkan impor apel oktober us 25 41 juta produk jeruk mandarin impor november mencapai us 12 8 juta angka 190 dibandingkan posisi oktober 2019 us 4 4 juta total nilai impor china mencapai us 4 2 miliar negara sumber barang impor ri jepang us 1 23 miliar berdasarkan negara impor tiongkok mengalami peningkatan us 226 9 juta apel jeruk laptop china banjiri ri https akcdn net id community media visual 2019 12 14 7e918f42 cdaa 4d0a b92e e596a4333d99 jpeg a 1 gambas video 20detik,www.detik.com
Toko Kelontong Siap-siap Tinggal Nama Kalau Nggak Lakukan Ini dari Sekarang,"Senin, 30 Mei  2022 16:35 WIB",usaha mikro menengah umkm melek digital bersaing pasar global umkm berkontribusi penggerak perekonomian lokal nasional head of commercial business development sampoerna rima tanago bertransformasi sesuai kebutuhan zaman rima sampoerna retail community src jaringan toko kelontong binaan pt hm sampoerna tbk membawa perubahan signifikan anggotanya mencapai 160 000 toko kelontong indonesia advertisement scroll to resume content transformasi adaptif inovatif kebutuhan masyarakat rima berharap kehadiran src menggerakkan masyarakat mendukung umkm berbelanja toko kelontong kehadiran toko kelontong indonesia masyarakat zaman warisan tradisi dijaga giat mendukung digitalisasi toko kelontong merilis aplikasi ayo src toko sistemnya diperbaharui waktu waktu toko kelontong menyesuaikan era digital senin 30 5 2022 rima pedagang kelontong src masyarakat konsumen mitra bisnis pemangku kepentingan dipupuk dampak kontribusinya kepentingan kekuatan jaringan tersebar luas 34 provinsi indonesia rima diharapkan bermanfaat perekonomian kesejahteraan masyarakat solidaritas fondasi utama toko kelontong src depannya diproyeksikan jaringan toko kelontong terbesar terintegrasi indonesia harapannya komitmen didukung komponen masyarakat serba membawa perubahan halaman 1 2,www.detik.com
"UMKM Tembus Pasar Ekspor Nggak Susah Kok, Intip Caranya","Rabu, 30 Mar 2022 13:13 WIB",kalangan dpr mengapresiasi program xpora pt bank negara indonesia persero tbk bni membawa umkm go global 2021 bank pelat merah menyalurkan kredit rp2 49 triliun program xpora xpora angin segar umkm inovasi patut diapresiasi menjadikan umkm pilar pemulihan ekonomi anggota komisi vi dpr ri mufti anam rapat bank bank bumn rabu 30 3 2022 program xpora bni proaktif mempertemukan umkm pasar negeri agenda business matching maret mempertemukan umkm kopi wilayah jatim buyer kanada filipina jerman advertisement scroll to resume content mufti xpora bni role model pemberdayaan umkm berorientasi ekspor perbankan bank bank bumn jaringan global luas berperan memfasilitasi mendorong pemetaan potensi pasar ekspor dilayani pembiayaannya membantu umkm terintegrasi xpora mufti program xpora bni meningkatkan optimisme publik terkait kemampuan umkm go global produsen batik ekspor total puluhan miliar produsen olahan ikan indonesia timur ekspor membangun optimisme pemulihan ekonomi politisi pdi perjuangan mufti berharap program xpora didorong potensi umkm go global bni memperluas pemberdayaan umkm orientasi utama go global memajukan umkm memperkuat posisi bni bank global otomatis dorongan ekspor bni memiliki solusi layanan keuangan ekspor ekosistem layanan keuangan global pungkas mantan ketua hipmi jatim,www.detik.com
"Ekonomi Tumbuh 7,07%, Bagaimana Biar Nggak Ambyar karena COVID-19?","Jumat, 06 Agu 2021 10:34 WIB",mencatat pertumbuhan ekonomi 7 07 tahunan kuartal ii 2021 tantangan indonesia berat kuartal iii iv dibayangi melonjaknya angka penularan virus corona utamanya dipicu munculnya varian delta lantas pemerintah mengantisipasinya langkah langkah antisipatif memperkuat 3t testing tracing treatment faktor mengelola mengendalikan penyebaran covid 19 menteri keuangan sri mulyani indrawati konferensi pers kssk virtual jumat 6 8 2021 advertisement scroll to resume content sri mulyani masyarakat memiliki peranan membantu pemerintah menanggulangi dampak berkepanjangan pandemi virus corona menerapkan disiplin menjaga 5m memakai masker mencuci tangan menjaga jarak menjauhi kerumunan mengurangi mobilitas sambungnya melanjutkan perlindungan sosial pemerintah meningkatkan belanja perlindungan sosial perluasan perpanjangan program bantuan sosial internet siswa mahasiswa guru dosen diskon listrik perlindungan sosial ditingkatkan anggarannya perpanjangan program dukungan insentif usaha sri mulyani tren pemulihan sektor usaha dijaga dikeluarkan waktu ppnbm pembelian kendaraan ppnbm pembebasan pembelian rumah barusan mengeluarkan pembebasan ppn sewa pertokoan pusat perbelanjaan sambung sri mulyani diharapkan kekuatan sektor usaha insentif usaha insentif pph 21 ditanggung pemerintah ppn dipercepat restitusi pph menurun fasilitas perpajakan kebutuhan anggaran penguatan program penanganan covid 19 dipenuhi realokasi refocusing anggaran kali refocusing mengalokasikan anggaran prioritas kesehatan bantuan sosial bantuan dukungan usaha kementerian lembaga menahan belanja prioritas refocusing,www.detik.com
Begini Cara LPEI Perangi Corona,"Rabu, 20 Mei  2020 12:43 WIB",pandemi covid 19 indonesia berdampak sektor kesehatan sosial ekonomi masyarakat menyebabkan masyarakat mengalami tekanan perekonomian kondisi indonesia eximbank lembaga pembiayaan ekspor indonesia special mission vehicle kementerian keuangan ri melaksanakan program corporate social responsible csr donasi 10 unit wastafel portable 50 paket sembako masyarakat warga kampung nelayan blok eceng kawasan muara angke corporate secretary lpei yadi j ruchandi kegiatan terlaksana berkat sinergi lpei smv dibawah kementerian keuangan ri didukung ikatan alumni universitas indonesia iluni lembaga kemanusiaan human initiative hi koperasi blok eceng advertisement scroll to resume content yadi penyediaan wastafel portabel diharapkan memudahkan masyarakat menjaga kebersihan kegiatan donasi lpei hari berkat sinergi smv kementerian keuangan ri dibantu ikatan alumni universitas indonesia iluni menyediakan wastafel portable lembaga kemanusiaan human initiative hi koperasi blok eceng menerima membantu mendistribusikan wastafel portable lokasi strategis warga menggunakannya mudah siaran pers rabu 20 5 2020 penyerahan memperhatikan mematuhi protokol kesehatan tetapkan pemerintah menjaga kebersihan masker menerapkan aturan physical distancing kegiatan wujud kepedulian lpei smv kementerian keuangan ri masyarakat terdampak covid 19 mendukung pemerintah mencegah penyebaran covid 19 harapannya kegiatan membantu meningkatkan kesadaran masyarakat menjaga kebersihan kesehatan membantu mengurangi beban ekonomi rasakan warga terdampak gambas video 20detik,www.detik.com
"Airlangga Ungkap Penyebab Ekspor RI Melonjak, Capai US$ 19,16 M","Rabu, 16 Feb 2022 21:05 WIB",ekspor indonesia januari 2022 mencatatkan kinerja positif nilai ekspor ri mengalami pertumbuhan 25 31 yoy total us 19 16 miliar menteri koordinator bidang perekonomian airlangga hartarto ekspor komoditas andalan ri solid tren kenaikan harga harga komoditas minyak kernel meningkat 17 96 mtm nikel meningkat 11 69 mtm aluminium meningkat 11 52 mtm menurutnya faktor utama berhasil menjaga kinerja ekspor positif hilirisasi komoditas mendorong peningkatan nilai ekspor januari 2022 kinerja positif ekspor sejalan laporan ihs markit pesanan barang ekspor indonesia januari 2022 rekor kenaikan tertinggi dibandingkan periode januari survei dijalankan advertisement scroll to resume content indikator laporan ihs markit sinyal positif output manufaktur terbukti tercatat ekspor industri pengolahan meningkat 31 16 yoy us 15 71 miliar prospek permintaan bertumbuh output perekonomian meningkat airlangga keterangan tertulis rabu 16 2 2022 prospek penguatan output perekonomian level purchasing managers index pmi indonesia level ekspansif berdasarkan data pmi indonesia januari 2022 level 53 7 melanjutkan level ekspansi 5 level pmi ri unggul negara asean thailand 51 7 filipina 50 0 myanmar 48 5 sejalan peningkatan ekspor sisi impor indonesia januari 2022 meningkat us 18 23 miliar tumbuh 36 77 yoy peningkatan impor januari 2022 prospek akselerasi pemulihan ekonomi komponen utamanya berasal aktivitas produksi domestik menggeliat terbukti impor bahan baku penolong barang modal tumbuh menguat pertumbuhan 39 57 yoy 41 94 yoy terangnya airlangga bersamaan tingkat kepercayaan masyarakat mendorong peningkatan aktivitas ekonomi demand domestik impor barang konsumsi 10 25 yoy airlangga neraca perdagangan indonesia melanjutkan tren surplus 21 mei 2020 januari 2022 indonesia mengalami surplus us 0 93 miliar kendati menurutnya prospek neraca perdagangan dihadapkan risiko diwaspadai salah satunya meningkatnya risiko geopolitik rusia ukraina imbas kondisi harga komoditas energi mengalami peningkatan segi impor airlangga kenaikan harga minyak mentah mendorong kenaikan impor migas sisi harga komoditas batubara menyebabkan ekspor indonesia terdorong tingginya harga minyak kelapa sawit salah komoditas ekspor utama neraca perdagangan indonesia positif depannya kinerja positif perdagangan internasional indonesia dipertahankan didorong ditingkatkan pemerintah mengerahkan strategi kebijakan mengoptimalkan performa neraca perdagangan strategi utama pemerintah diselaraskan pengendalian covid 19 aktivitas ekonomi tumbuh kerja ekonomi internasional digencarkan menciptakan diversifikasi negara tujuan ekspor program hilirisasi kunci peningkatan nilai ekspor pungkas airlangga gambas video 20detik,www.detik.com
Fakta-fakta Krisis Ekonomi Parah yang Menjerat Sri Lanka,"Jumat, 08 Apr 2022 20:00 WIB",sri lanka dilanda krisis ekonomi negara asia selatan mengalami kekurangan bbm pemadaman listrik belasan jam bahan makanan mahal fakta fakta krisis ekonomi sri lanka utang bengkak februari 2022 negara memiliki cadangan us 2 31 miliar utang negeri dibayar us 4 miliar 2022 obligasi negara internasional isb senilai us 1 miliar jatuh tempo juli advertisement scroll to resume content isb terbesar utang negeri sri lanka us 12 55 miliar asian development bank jepang china pemberi pinjaman utama tinjauan ekonomi negara dirilis imf utang publik meningkat cadangan devisa sri lanka pembayaran utang ancaman inflasi meroket krisis ekonomi sri lanka ancaman inflasi negara dunia inflasi makanan sri lanka mencapai 30 2 maret negara mengalami depresiasi 40 mata uang dolar as utang publik dana moneter internasional 120 pdb obligasi sri lanka senilai us 1 miliar jatuh tempo juli cadangan devisa kabarnya minim situasi negara runyam krisis energi faktor menyebabkan ratusan masyarakat sri lanka mengamuk demo mengutip reuters faktor faktor menambah beban inflasi negara peringatan ekonomi eropa asia bergulat lonjakan biaya hidup invasi rusia ukraina membebani inflasi negara asia situasi ekonomi global ditambah bebannya krisis sri lanka menteri gubernur bank sentral mundur menteri gubernur bank sentral sri lanka memutuskan mengundurkan protes masyarakat panas dikutip cnn menteri kehakiman menteri pemuda olahraga keponakan presiden mengumumkan mengundurkan jabatannya menteri dikabarkan ama pengumuman gubernur bank sentral sri lanka ajith nivard cabraal mengikuti langkah menteri keputusan diambil buntut gejolak ekonomi negara terpuruk halaman demo menuntut presiden mundur biang kerok krisis sri lanka langsung klik halaman 1 2,www.detik.com
