title,date,description,source
Masih Berani Kritik Ekonomi RI? Luhut: Datangi Saja Saya!,"Kamis, 01 Jul 2021 15:53 WIB","\- menteri koordinator bidang kemaritiman dan investasi luhut binsar pandjaitan mengatakan ekonomi terus mengalami pemulihan hingga pertengahan 2021 ini. dalam data yang dipaparkan luhut, ekonomi indonesia mengalami gejolak saat pandemi melanda di awal 2020. pada kuartal i-2020, ekonomi indonesia tumbuh melambat di level 2,97%. ekonomi indonesia kemudian anjlok hingga minus 5,32% di kuartal ii-2020 saat corona melanda. ekonomi indonesia terus menunjukkan pemulihan meski masih keadaan minus. terakhir, pada kuartal i-2021, ekonomi indonesia tercatat di level minus 0,74%. luhut lantas menantang pengamat yang masih mengkritik kondisi ekonomi dalam negeri untuk bisa mendatanginya. advertisement scroll to resume content ""pemulihan ekonomi terjadi lagi di 2021 ini, kalau pengamat bilang begini- begini, datangi saja saya,"" tegas luhut dalam konferensi pers virtual, kamis (1/7/2021). luhut menegaskan, pemerintah telah mengeluarkan sejumlah kebijakan agar ekonomi bisa terus pulih selama masa pandemi covid-19. dalam masa ppkm darurat nanti, kata luhut, pemerintah juga akan terus menyalurkan bantuan sosial (bansos) untuk bisa menjaga ekonomi. ""ini data pemulihan ekonomi berhasil, langkah kebijakan selama pandemi ini kita berhasil presiden berhasil menavigasi di keadaan yang sulit,"" katanya. ""pemerintah koordinasi untuk menambah bansos selama ppkm darurat, terutama melindungi masyarakat menengah ke bawah. melalui langkah itu dampak ppkm darurat akan dimitigasi dan _recovery_ ekonomi akan lebih cepat dari sebelumnya,"" sambung luhut. [gambas:video 20detik]",www.detik.com
"Ekspor Lesu, Neraca Dagang RI 2019 Masih Tekor US$ 3,2 Miliar","Rabu, 15 Jan 2020 11:44 WIB","\- neraca dagang indonesia sepanjang 2019 tercatat defisit us$ 3,2 miliar. angka ini berasal dari ekspor setahun penuh yang sebesar us$ 167,5 miliar dan impornya sebesar us$ 170,72 miliar. demikian dilaporkan oleh kepala badan pusat statistik (bps) suhariyanto dalam konferensi pers di kantornya, jakarta, rabu (15/1/2020). defisit ini memang terbilang lebih kecil dibanding tekor neraca dagang 2018, namun terhitung masih cukup tinggi. ""defisit 2019 lebih kecil dibanding defisit 2018,"" kata suhariyanto. advertisement scroll to resume content defisit neraca dagang berhasil ditekan lewat penurunan impor yang cukup dalam. meski demikian, dibandingkan secara tahunan ekspor indonesia sepanjang 2019 masih lebih kecil dibandingkan 2018. sementara impor berhasil ditekan dari us$ 188,7 miliar menjadi us$ 170,7 miliar. amerika serikat, india, dan belanja menjadi tiga negara yang paling defisit sepanjang 2019 neraca dagangnya terhadap indonesia. artinya indonesia lebih banyak ekspor dibandingkan impor terhadap negara-negara tersebut. sementara negara-negara yang neraca dagangnya paling surplus terhadap indonesia di 2019 adalah australia, thailand, dan china. indonesia lebih banyak impornya dibanding ekspor terhadap ketiga negara tersebut. berikut data neraca perdagangan ri selama 2019 januari: defisit us$ 1,16 miliar februari: surplus us$ 330 juta maret: surplus us$ 540 juta april: defisit us$ 2,5 miliar mei: surplus us$ 210 juta juni: surplus us$ 200 juta juli: defisit us$ 60 juta agustus: surplus us$ 85 juta september: defisit us$ 160 juta oktober: surplus us$ 161,3 juta november: defisit us$ 1,33 miliar desember: defisit us$ 30 juta [gambas:video 20detik]",www.detik.com
Neraca Perdagangan Januari Diramalkan Surplus,"Kamis, 15 Feb 2018 10:12 WIB","\- setelah berhasil mencatatkan surplus disepanjang tahun lalu, neraca perdagangan pada januari 2018 juga diramalkan surplus sebesar us$ 233 juta dengan laju ekspor sebesar 8,58% dan laju impor sebesar 19,64%. hal itu diungkapkan oleh ekonom dari bank permata josua pardede saat dihubungi , jakarta, kamis (15/2/2018). ""neraca perdagangan januari diperkirakan surplus us$ 233 juta dengan laju ekspor diperkirakan sebesar 8,58% yoy dan laju impor sebesar 19,64% yoy,"" kata josua. advertisement scroll to resume content josua mengatakan ekspor yang meningkat di januari tahun ini dikarenakan kenaikkan volume dari mitra dagang utama seperti amerika serikat, jepang, dan negara di asean salah satunya di sektor manufaktur. ""selain itu, tren kenaikan harga komoditas global sepanjang bulan januari juga masih akan menopang kinerja ekspor,"" tambah dia. sedangkan untuk impor yang meningkat, kata josua, seiring dengan meningkatnya aktivitas sektor manufaktur domestik. sementara itu, ekonom dari pt bank bca david samual mengatakan neraca perdagangan indonesia pada bulan pertama di 2018 mengalami surplus sebesar us$ 434 juta. dia menyebutkan, surplus neraca perdagangan didukung oleh peningkatan ekspor dan juga impor. ""surplus, _trade balance_ januari 2018 dengan ekspor tumbuh 7,2%, dan impor sebesar 16,4%,"" kata david.",www.detik.com
"Tak Cuma Apel dan Jeruk, Laptop dari China Juga Banjiri RI","Senin, 16 Des 2019 19:00 WIB","\- total impor indonesia sepanjang november 2019 sebesar us$ 15,34 miliar atau turun 9,24% dibanding november 2018. sementara dibandingkan dengan oktober 2019, impor bulan ini naik tipis 3,94%. dari angka itu impor barang modal terbilang cukup tinggi yakni mencapai us$ 2,5 miliar. angka itu naik 2,58% dari bulan sebulan dan turun 3,55% dari november 2018. dari impor barang modal itu salah salah satu yang paling besar adalah laptop termasuk notebook yang berasal dari china. ""notebook dari china dan beberapa transporter dan radio equipment dari as. itu contoh beberapa barang modal,"" kata kepala bps suhariyanto di gedung bps, jakarta, senin (16/12/2019). advertisement scroll to resume content impor dari china yang meningkat cukup tinggi di november 2019 memang berasal dari mesin dan perlengkapan mekanis yang naik 13,7% dari us$ 885,88 juta menjadi us$ 1 miliar. dari kelompok itu yang porsi impor yang paling tinggi adalah produk laptop termasuk notebook. jika dilihat secara keseluruhan impor laptop pada november 2019 tercatat us$ 123,2 juta atau naik 53% dibandingkan oktober 2019 yang tercatat us$ 80,4 juta. sementara jika diperhatikan peningkatannya di november 2019 paling besar terjadi di sektor buah-buah yang naik 48,8% jika dibandingkan oktober 2019. bahkan jika dibandingkan dengan november 2018 nilainya naik 109,47%. ""beberapa barang jenis konsumsi yang naik di november antara lain buah-buahan seperti apel dan jeruk mandarin dari china. itu yang menyebabkan barang konsumsi mengalami kenaikan,"" tambahnya. menurut data bps angka impor apel di november 2019 mencapai us$ 56,16 juta. angka itu naik 120,98% jika dibandingkan impor apel di oktober us$ 25,41 juta. untuk produk jeruk mandarin impor di november mencapai us$ 12,8 juta. angka itu naik 190% jika dibandingkan posisi oktober 2019 sebesar us$ 4,4 juta total nilai impor dari china mencapai us$ 4,2 miliar. sementara negara kedua yang menjadi sumber barang impor ri adalah jepang sebesar us$ 1,23 miliar. ""berdasarkan negara impor, dari tiongkok juga mengalami peningkatan paling tinggi yakni us$ 226,9 juta,"" ujarnya. ![tak cuma apel dan jeruk, laptop dari china juga banjiri ri](https://akcdn.detik.net.id/community/media/visual/2019/12/14/7e918f42-cdaa-4d0a-b92e-e596a4333d99.jpeg?a=1) --- [gambas:video 20detik]",www.detik.com
Toko Kelontong Siap-siap Tinggal Nama Kalau Nggak Lakukan Ini dari Sekarang,"Senin, 30 Mei  2022 16:35 WIB","\- usaha mikro, kecil, dan menengah (umkm) harus melek digital agar bisa bersaing di pasar global. hal ini karena umkm berkontribusi sebagai penggerak perekonomian lokal maupun nasional. head of commercial business development sampoerna, rima tanago mengungkapkan misalnya saat ini juga harus bertransformasi sesuai dengan kebutuhan zaman. rima mengungkapkan saat ini sampoerna retail community (src) jaringan toko kelontong binaan pt hm sampoerna tbk membawa perubahan signifikan bagi para anggotanya, yang kini telah mencapai 160.000 toko kelontong di seluruh indonesia. advertisement scroll to resume content dia mengungkapkan transformasi menjadi adaptif dan inovatif terhadap kebutuhan masyarakat masa kini. rima berharap kehadiran src akan menggerakkan masyarakat dalam mendukung umkm dengan berbelanja di toko kelontong. ""kehadiran toko kelontong di indonesia sudah dekat dengan masyarakat sejak zaman dulu. sehingga, warisan dan tradisi ini perlu terus dijaga. itu sebabnya kami juga giat dalam mendukung digitalisasi toko kelontong dengan merilis aplikasi ayo src toko yang sistemnya selalu diperbaharui dari waktu ke waktu sehingga toko kelontong dapat menyesuaikan dengan era digital,"" jelas dia, senin (30/5/2022). rima menyebutkan antara pedagang kelontong src, masyarakat sebagai konsumen, mitra bisnis, dan pemangku kepentingan lainnya perlu terus dipupuk agar dampak dan kontribusinya makin terasa untuk kepentingan bersama. kekuatan jaringan yang tersebar luas di 34 provinsi di indonesia ini, kata rima, diharapkan makin bermanfaat bagi perekonomian dan kesejahteraan masyarakat. ""solidaritas merupakan fondasi utama dari toko kelontong src yang ke depannya diproyeksikan menjadi jaringan toko kelontong terbesar dan terintegrasi di indonesia. harapannya, komitmen kami ini dapat didukung oleh seluruh komponen masyarakat karena bersama kita serba bisa dalam membawa perubahan,"" jelas dia. __ selanjutnya __ halaman 1 2",www.detik.com
"UMKM Tembus Pasar Ekspor Nggak Susah Kok, Intip Caranya","Rabu, 30 Mar 2022 13:13 WIB","\- kalangan dpr mengapresiasi program xpora dari pt bank negara indonesia (persero) tbk (bni) yang telah mampu membawa umkm untuk go global. sepanjang 2021, bank pelat merah itu menyalurkan kredit sebesar rp2,49 triliun melalui program xpora. ""saya kira xpora menjadi angin segar bagi umkm. ini merupakan inovasi yang patut diapresiasi, terutama untuk menjadikan umkm sebagai pilar pemulihan ekonomi,"" ujar anggota komisi vi dpr ri, mufti anam seusai rapat dengan bank- bank bumn, rabu (30/3/2022). dengan program xpora, lanjut dia, bni cukup proaktif mempertemukan umkm dan pasar luar negeri melalui agenda business matching, seperti awal maret lalu yang mempertemukan umkm kopi di wilayah jatim dengan buyer dari kanada, filipina, dan jerman. advertisement scroll to resume content menurut mufti, xpora bni bisa menjadi role model bagaimana pemberdayaan umkm berorientasi ekspor dilakukan oleh perbankan. ""karena bank-bank bumn yang punya jaringan global luas seharusnya ikut berperan memfasilitasi dan mendorong pemetaan potensi pasar ekspor, lalu dilayani pula pembiayaannya. jadi membantu umkm-nya itu terintegrasi, seperti xpora ini,"" ujarnya. mufti menambahkan, program xpora bni mampu meningkatkan optimisme publik terkait kemampuan umkm kita untuk go global. ""misalnya ada produsen batik yang bisa ekspor total sampai puluhan miliar. juga ada produsen olahan ikan di indonesia timur yang akhirnya bisa ekspor. ini membangun optimisme untuk pemulihan ekonomi,"" jelas politisi pdi perjuangan itu. mufti berharap ke depan program xpora harus terus didorong. banyak sekali potensi umkm yang bisa go global, tetapi sebagian dari mereka belum tahu caranya. ""bni perlu terus memperluas pemberdayaan umkm dengan orientasi utama go global,"" tuturnya. ""saya kira ini penting bukan hanya untuk memajukan umkm, tetapi juga bagian dari memperkuat posisi bni sebagai bank global, karena otomatis dengan dorongan ekspor ini menunjukkan bni memiliki solusi dan layanan keuangan ekspor, mempunyai ekosistem layanan keuangan global,"" pungkas mantan ketua hipmi jatim tersebut.",www.detik.com
"Ekonomi Tumbuh 7,07%, Bagaimana Biar Nggak Ambyar karena COVID-19?","Jumat, 06 Agu 2021 10:34 WIB","\- setelah mencatat pertumbuhan ekonomi 7,07% secara tahunan di kuartal ii-2021. tantangan indonesia justru lebih berat di kuartal iii dan iv karena dibayangi melonjaknya angka penularan virus corona yang utamanya dipicu munculnya varian delta. lantas bagaimana pemerintah mengantisipasinya? ""langkah-langkah antisipatif juga dilakukan dengan memperkuat 3t yaitu _testing, tracing,_ dan _treatment_ yang merupakan faktor paling penting di dalam mengelola dan mengendalikan penyebaran covid-19,"" kata menteri keuangan sri mulyani indrawati dalam konferensi pers kssk secara virtual, jumat (6/8/2021). advertisement scroll to resume content selain itu, kata sri mulyani, masyarakat juga memiliki peranan yang luar biasa penting dalam membantu pemerintah menanggulangi dampak berkepanjangan pandemi virus corona. ""dengan menerapkan dan disiplin di dalam menjaga 5m, memakai masker, mencuci tangan, menjaga jarak, menjauhi kerumunan, dan mengurangi mobilitas,"" sambungnya. ia melanjutkan, untuk dapat melakukan perlindungan sosial yang semakin baik, pemerintah meningkatkan belanja perlindungan sosial dan juga dilakukan perluasan serta perpanjangan beberapa program bantuan sosial seperti internet untuk siswa mahasiswa guru dan dosen, diskon listrik sampai akhir tahun dan berbagai perlindungan sosial yang ditingkatkan baik jumlahnya maupun anggarannya. perpanjangan beberapa program dukungan dan insentif usaha, kata sri mulyani, juga dilakukan agar tren pemulihan di sektor usaha dapat terus dijaga. ""beberapa yang sekarang baru saja dikeluarkan selain yang waktu itu ppnbm untuk pembelian kendaraan, ppnbm pembebasan untuk pembelian rumah, kita juga barusan mengeluarkan untuk pembebasan ppn sewa untuk pertokoan dan pusat perbelanjaan,"" sambung dia lagi. sri mulyani mengatakan, hal ini diharapkan akan memberikan kekuatan bagi sektor usaha selain insentif usaha yang selama ini sudah kita berikan yaitu insentif seperti pph 21 yang ditanggung pemerintah, ppn yang dipercepat restitusi, pph yang menurun dan juga berbagai fasilitas perpajakan lainnya. adapun kebutuhan anggaran untuk penguatan program penanganan covid-19 tersebut dipenuhi melalui realokasi dan refocusing anggaran. ""kami melakukan empat kali refocusing yang terus mengalokasikan anggaran untuk yang paling prioritas yaitu kesehatan, bantuan sosial dan bantuan untuk dukungan usaha dan meminta kementerian lembaga untuk menahan belanja yang memang tidak prioritas dan bisa dilakukan refocusing,"" tegasnya.",www.detik.com
Begini Cara LPEI Perangi Corona,"Rabu, 20 Mei  2020 12:43 WIB","\- pandemi covid-19 di indonesia berdampak ke sektor kesehatan, sosial dan ekonomi masyarakat. hal ini menyebabkan banyak masyarakat yang mengalami tekanan pada perekonomian mereka. di tengah kondisi tersebut, indonesia eximbank/lembaga pembiayaan ekspor indonesia bersama special mission vehicle di bawah kementerian keuangan ri melaksanakan program corporate social responsible (csr) berupa donasi sebanyak 10 unit wastafel portable dan 50 paket sembako kepada masyarakat khususnya warga kampung nelayan blok eceng yang berada di kawasan muara angke. corporate secretary lpei, yadi j ruchandi menyampaikan bahwa kegiatan ini dapat terlaksana berkat sinergi antara lpei dengan smv dibawah kementerian keuangan ri yang didukung oleh ikatan alumni universitas indonesia (iluni), lembaga kemanusiaan human initiative (hi) dan koperasi blok eceng. advertisement scroll to resume content yadi menjelaskan penyediaan wastafel portabel ini diharapkan bisa memudahkan masyarakat untuk tetap menjaga kebersihan. ""kegiatan donasi yang dilakukan lpei pada hari ini berkat sinergi bersama smv kementerian keuangan ri. kami juga dibantu oleh ikatan alumni universitas indonesia (iluni) dalam menyediakan wastafel portable tersebut, serta lembaga kemanusiaan human initiative (hi) & koperasi blok eceng yang akan menerima dan membantu mendistribusikan wastafel portable tersebut ke lokasi yang strategis sehingga warga dapat menggunakannya dengan mudah,"" kata dia dalam siaran pers, rabu (20/5/2020). dia menjelaskan penyerahan ini tetap memperhatikan dan mematuhi protokol kesehatan yang di sudah di tetapkan pemerintah seperti menjaga kebersihan, menggunakan masker dan menerapkan aturan physical distancing. kegiatan ini merupakan wujud kepedulian lpei bersama smv kementerian keuangan ri kepada masyarakat yang terdampak covid-19, sekaligus mendukung pemerintah dalam mencegah penyebaran covid-19. ""harapannya, kegiatan ini dapat membantu meningkatkan kesadaran masyarakat untuk menjaga kebersihan dan kesehatan, serta dapat membantu mengurangi beban ekonomi yang di rasakan oleh warga yang terdampak,"" jelas dia. [gambas:video 20detik]",www.detik.com
"Airlangga Ungkap Penyebab Ekspor RI Melonjak, Capai US$ 19,16 M","Rabu, 16 Feb 2022 21:05 WIB","\- ekspor indonesia pada januari 2022 kembali mencatatkan kinerja positif. diketahui, nilai ekspor ri mengalami pertumbuhan sebesar 25,31% (yoy), sehingga total menjadi us$ 19,16 miliar. menteri koordinator bidang perekonomian, airlangga hartarto mengatakan ekspor komoditas andalan ri tetap solid, meski di tengah tren kenaikan harga. terutama pada harga komoditas minyak kernel yang meningkat sebesar 17,96% (mtm), nikel meningkat sebesar 11,69% (mtm), dan aluminium meningkat sebesar 11,52% (mtm). menurutnya hal ini menjadi faktor utama yang berhasil menjaga kinerja ekspor tetap positif. selain itu juga, hilirisasi pada komoditas tersebut turut mendorong peningkatan nilai tambah ekspor di januari 2022. kinerja positif ekspor juga sejalan dengan laporan ihs markit yang menyebutkan pesanan barang ekspor indonesia di januari 2022 merupakan rekor kenaikan tertinggi jika dibandingkan dengan periode bulan januari sejak survei dijalankan. advertisement scroll to resume content ""berbagai indikator termasuk laporan dari ihs markit tersebut menjadi sinyal positif bagi output manufaktur. terbukti, saat ini tercatat ekspor industri pengolahan meningkat 31,16% yoy menjadi sebesar us$15,71 miliar. ke depan, dengan prospek permintaan yang semakin bertumbuh, maka output perekonomian juga akan terus meningkat,"" ujar airlangga dalam keterangan tertulis, rabu (16/2/2022). prospek penguatan output perekonomian juga ditunjukkan oleh level purchasing managers' index (pmi) indonesia yang terus berada pada level ekspansif. berdasarkan data, pmi indonesia pada januari 2022 berada di level 53,7, atau melanjutkan level ekspansi selama 5 bulan berturut-turut. level pmi ri disebut unggul di antara beberapa negara asean lainnya, seperti thailand (51,7), filipina (50,0), dan myanmar (48,5). sejalan dengan peningkatan ekspor, sisi impor indonesia pada januari 2022 juga meningkat menjadi sebesar us$18,23 miliar, yakni tumbuh sebesar 36,77% (yoy). ""peningkatan impor januari 2022 menunjukkan prospek akselerasi pemulihan ekonomi karena komponen utamanya berasal dari aktivitas produksi domestik yang terus menggeliat. terbukti, impor bahan baku penolong dan barang modal tumbuh menguat, masing-masing dengan pertumbuhan sebesar 39,57% yoy dan 41,94% (yoy),"" terangnya. airlangga menjelaskan, di saat yang bersamaan tingkat kepercayaan masyarakat juga naik. hal ini ikut mendorong peningkatan aktivitas ekonomi dan demand domestik, sehingga impor barang konsumsi naik sebesar 10,25% (yoy). dikatakan airlangga, neraca perdagangan indonesia juga masih melanjutkan tren surplus selama 21 bulan berturut-turut, sejak mei 2020. dia menjelaskan pada januari 2022, indonesia mengalami surplus sebesar us$0,93 miliar. kendati demikian, menurutnya ke depan prospek neraca perdagangan akan dihadapkan pada berbagai risiko, sehingga harus diwaspadai. salah satunya yaitu dengan meningkatnya risiko geopolitik antara rusia dan ukraina. imbas kondisi tersebut, harga komoditas energi diperkirakan akan mengalami peningkatan. sementara dari segi impor, lanjut airlangga, kenaikan harga minyak mentah diperkirakan mendorong kenaikan impor migas. namun, di sisi lain harga komoditas batubara juga akan naik, yang menyebabkan ekspor indonesia juga akan terdorong naik. lebih lanjut, dengan masih tingginya harga minyak kelapa sawit yang merupakan salah komoditas ekspor utama, maka secara umum neraca perdagangan indonesia diperkirakan akan tetap positif ke depannya. ""kinerja positif pada perdagangan internasional indonesia akan terus dipertahankan, bahkan didorong untuk ditingkatkan. pemerintah akan mengerahkan berbagai strategi dan kebijakan guna mengoptimalkan performa neraca perdagangan yang sudah baik ini,"" jelasnya. ""strategi utama pemerintah akan tetap diselaraskan dengan pengendalian covid-19, sehingga aktivitas ekonomi akan tetap tumbuh, di saat yang sama kerja sama ekonomi internasional akan terus digencarkan guna menciptakan diversifikasi negara tujuan ekspor. terakhir, program hilirisasi akan menjadi kunci peningkatan nilai tambah ekspor,"" pungkas airlangga. [gambas:video 20detik]",www.detik.com
Fakta-fakta Krisis Ekonomi Parah yang Menjerat Sri Lanka,"Jumat, 08 Apr 2022 20:00 WIB","\- sri lanka dilanda krisis ekonomi. negara di asia selatan itu mengalami kekurangan bbm, pemadaman listrik belasan jam, hingga bahan makanan yang kini mahal. berikut ini fakta-fakta krisis ekonomi di sri lanka ## utang bengkak pada februari 2022, negara itu hanya memiliki cadangan us$ 2,31 miliar. sementara utang luar negeri yang harus dibayar sekitar us$ 4 miliar pada tahun 2022, termasuk obligasi negara internasional (isb) senilai us$ 1 miliar yang jatuh tempo pada juli ini. advertisement scroll to resume content isb merupakan bagian terbesar dari utang luar negeri sri lanka sebesar us$ 12,55 miliar. termasuk dengan asian development bank, jepang, dan china di antara pemberi pinjaman utama lainnya. dalam tinjauan ekonomi negara yang dirilis bulan lalu, imf mengatakan bahwa utang publik telah meningkat. sementara cadangan devisa sri lanka tidak cukup untuk pembayaran utang. ## ancaman inflasi meroket krisis ekonomi sri lanka disebut menjadi ancaman inflasi bagi negara lain di dunia. saat ini, inflasi makanan di sri lanka mencapai 30,2% di bulan maret. negara itu juga mengalami depresiasi 40% mata uang terhadap dolar as dalam satu bulan. utang publik yang diperkirakan oleh dana moneter internasional sebesar 120% dari pdb. belum lagi obligasi sri lanka senilai us$ 1 miliar yang jatuh tempo pada bulan juli. sementara cadangan devisa kabarnya minim. situasi negara itu makin runyam juga karena krisis energi. semua faktor itu menyebabkan ratusan masyarakat sri lanka mengamuk, mereka pun melakukan demo. mengutip reuters, faktor-faktor inilah yang disebut akan menambah beban inflasi di negara lain. hal itu juga yang menjadi peringatan bagi ekonomi eropa hingga asia yang tiba- tiba bergulat dengan lonjakan biaya hidup. sebelumnya invasi rusia ke ukraina yang membebani inflasi di beberapa negara asia. kini situasi ekonomi global ditambah bebannya dengan krisis di sri lanka. ## menteri-gubernur bank sentral mundur para menteri hingga gubernur bank sentral sri lanka juga telah memutuskan untuk mengundurkan diri saat protes dari masyarakat semakin panas. dikutip dari cnn, menteri kehakiman serta menteri pemuda dan olahraga, yang juga keponakan presiden mengumumkan akan mengundurkan diri dari jabatannya. menteri lain juga dikabarkan melakukan hal yang ama. setelah pengumuman itu, gubernur bank sentral sri lanka ajith nivard cabraal mengikuti langkah para menteri. keputusan itu diambil sebagai buntut gejolak ekonomi negara yang semakin terpuruk. ## _halaman berikutnya soal demo menuntut presiden mundur dan biang kerok krisis di sri lanka. langsung klik_ selanjutnya __ halaman 1 2",www.detik.com
