title,date,description,source
"Kalau AS Resesi, Apa Dampaknya ke RI?","Rabu, 08 Jun 2022 15:55 WIB","\-

The Fed memprediksi pertumbuhan ekonomi Amerika Serikat pada kuartal II-2022
akan menurun. Jika itu terjadi, AS terancam resesi karena pada kuartal I
pertumbuhan ekonomi negara itu telah terkoreksi.

Ramalan itu berdasarkan pelacakan GDPNow Fed Atlanta, yang menunjukan
pertumbuhan ekonomi AS kuartal II hanya 0,9%. Sementara pada kuartal
sebelumnya ekonomi AS hanya tumbuh 1,5%.

Menanggapi hal itu, Executive Director Lembaga Riset Independen dan Otonom
INDEF, Tauhid Ahmad mengatakan, jika AS mengalami resesi tentu akan
berpengaruh kepada pertumbuhan ekonomi Indonesia. Ia menyebut, ekonomi
Indonesia juga akan menurun tetapi sedikit.

ADVERTISEMENT

SCROLL TO RESUME CONTENT

""Tentu akan turun tetapi sedikit ya, pengaruhnya saya kira relatif sedikit
nggak langsung besar,"" ujarnya kepada detikcom, Rabu (8/6/2022).

Tauhid mengatakan penurunan pada ekonomi Indonesia lebih kepada sektor
perdagangan. Menurutnya, potensi pasar Indonesia di Amerika Serikat akan
menurun terutama pada produk yang rutin diekspor ke AS.

""Kalau resesi kan mereka akan mengurangi atau mengerem belanja konsumsi
masyarakat, resesi secara umum adanya penurunan pendapatan masyarakat yang
biasanya konsumsi kemudian direm,"" ujarnya.

""Ini berimplikasi pada pasar kita dalam beberapa produk yang dibutuhkan
mereka, apakah itu sepatu, alas kaki, dan beberapa produk lainnya,"" lanjutnya.

Kedua, berpengaruh pada tingkat investasi. Meskipun investasi AS di Indonesia
tidak sebesar dari Singapura hingga China, ekonomi tetap menurun jika Negeri
Paman Sam resesi.

""Sedikit banyak (investasi) investor akan goyang, karena melihat kondisi
domestiknya (AS) tidak menunjang, itu akan menahan laju investasi ke negara
luar. Investor AS biasanya akn melihat, kalau ekonominya belum pulih, mereka
ekspansinya tidak akan jor-joran. Tetapi tidak langsung menurun, ekspansinya
saja tertahan,"" ungkapnya.

 __

Selanjutnya __

Halaman

1  2

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
"Jokowi Perkirakan 60 Negara Alami Kesulitan Ekonomi, Ada Indonesia?","Jumat, 10 Jun 2022 19:38 WIB","\-

Presiden Joko Widodo (Jokowi) menyebut, 60 negara diperkirakan akan mengalami
kesulitan keuangan dan ekonomi. Negara-negara tersebut akan menjadi negara
'gagal' jika tidak segera mengatasi masalah ekonominya.

Jokowi mulanya menjelaskan, saat ini inflasi menjadi momok semua negara.
Jokowi mengatakan, ada negara inflasinya di atas 70%. Bahkan, Amerika Serikat
(AS) yang biasanya inflasi hanya 1%, kini menjadi 8,3%.

""Hati-hati juga ini yang menjadi momok semua negara sekarang ini adalah
inflasi, jadi momok semua negara. Kita meskipun ada kenaikan sedikit tapi
masih bisa kita jaga dan kendalikan,"" kata Jokowi dalam acara HUT Himpunan
Pengusaha Muda Indonesia (Hipmi), Jumat (10/6/2022).

ADVERTISEMENT

SCROLL TO RESUME CONTENT

""Coba dilihat sudah ada negara yang inflasinya sudah di atas 70%. Amerika yang
biasanya hanya 1 persen sekarang sudah 8,3%,"" sambungnya.

Menurutnya, hal itu merupakan masalah besar semua negara. Dia menyebut,
diperkirakan 60 negara mengalami masalah keuangan dan ekonomi.

""Inilah problem besar semua negara. Diperkirakan ada 60 negara yang akan
mengalami kesulitan keuangan maupun ekonomi dan diperkirakan mereka akan
menjadi negara gagal kalau tidak bisa segera mengatasi ekonominya. Inilah yang
perlu saya ingatkan kepada kita semuanya,"" katanya.

Jokowi mengatakan, inflasi ini dipicu dua masalah besar yakni kenaikan harga
energi dan pangan.

""Problem besarnya sekarang ini ada dua urusan ekonomi, yang pertama kenaikan
energi, yang kedua kenaikan harga pangan, hati-hati dengan ini, yang itu semua
akan memunculkan kenaikan inflasi tadi,"" jelasnya.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
"Desa Minim Sumber Daya Alam, Bagaimana Maksimalkan Ekonominya?","Kamis, 11 Jun 2020 17:41 WIB","\-

Menteri Desa, Pembangunan Daerah Tertinggal dan Transmigrasi (Mendes PDTT)
Abdul Halim Iskandar mengusulkan agar badan usaha milik desa (BUMDes) bisa
lebih inovatif dalam mengelola keuangannya supaya bisa terus eksis mendukung
ekonomi desa. Misalnya dengan saling berkolaborasi antarsesama BUMDes lainnya
dalam memaksimalkan pengelolaan keuangannya.

Hal ini menurutnya lumrah dilakukan untuk mendukung desa-desa yang tak
memiliki banyak sumber daya alam atau manusia potensial sebagai pendapatan
BUMDes-nya.

""1 contoh BUMDes yang sudah bagus, BUMDes yang memiliki potensi pengelolaan
(SDA dan SDM) bisa saja kemudian menjual saham dan dibeli oleh BUMDes-BUMDes
di desa-desa yang tidak memiliki potensi. Supaya apa? supaya terjadi
pemerataan pendapatan dari berbagai eksplorasi dan upaya peningkatan ekonomi
masyarakat,"" ujar Abdul dalam dalam webinar nasional bertajuk Mendayagunakan
Modal Desa untuk Menggerakkan Investasi Nasional, Kamis (11/6/2020).

ADVERTISEMENT

SCROLL TO RESUME CONTENT

Menurutnya upaya peningkatan ekonomi secara kreatif perlu terus digodok oleh
desa-desa agar bisa terus berkembang.

""Saya dengar ada beberapa pemikiran begini namanya BUMDes itu ya kops desa
kecil, tidak boleh kemudian BUMDes itu melakukan investasi di desa lainnya.
Menurut saya tidak bisa. Ada saatnya kita harus berikan ruang seluas-luasnya
antardesa antar-BUMDes untuk melakukan berbagai upaya peningkatan ketahanan
dan pertumbuhan ekonomi di masing-masing desa,"" tegasnya.

Abdul berprinsip bila terjadi pemerataan ekonomi di seluruh desa di Indonesia,
bukan tidak mungkin Indonesia menjadi lebih sejahtera secara menyeluruh.

""Saya berprinsip seperti itu karena saya berkeyakinan betul bahwa apapun yang
berkembang di desa kemudian terakumulasi agregatnya adalah bahwa kesejahteraan
desa, kemaslahatan desa pertumbuhan ekonomi desa di situ ada kesejahteraan
bangsa Indonesia, pertumbuhan ekonomi bangsa Indonesia. Itulah makanya kalau
kita fokus bangun desa, pada hakikatnya kita adalah bangun Indonesia karena
desa adalah Indonesia dan Indonesia adalah desa,"" tandasnya.

Ekonomi desa sendiri diyakini bisa cepat pulih usai serangan COVID-19 lewat
topangan sejumlah pusat-pusat ekonomi yang ada di desa-desa tersebut. Mulai
dari pasar tradisional, lahan-lahan pertanian, hingga perhotelan atau
penginapan.

Berikut 10 pusat-pusat ekonomi desa yang berpeluang paling cepat pulih selama
masa new normal nanti:

1\. Kelompok pertokoan di 6.809 desa  
2\. Pasar dengan bangunan permanen di 6.236 desa  
3\. Pasar dengan bangunan semi permanen di 8.781 desa  
4\. Pasar tanpa bangunan di 4.317 desa  
5\. Hotel di 1.709 desa  
6\. Penginapan di 3.429 desa  
7\. BUMDes di 50.199 desa yang aktif bertransaksi 37.125 BUMDes  
8\. Lahan intensifikasi di kawasan transmigrasi 1,8 juta Ha (yang siap digarap
509 ribu Ha)  
9\. Desa pertanian pangan ada di 65.325 desa  
10\. Desa pertanian non pangan ada di 4.748 desa

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Jurus Jokowi Siapkan Desa Jadi Penyangga Kota saat Krisis,"Kamis, 24 Sep 2020 12:22 WIB","\-

Presiden Joko Widodo (Jokowi) mengungkapkan ada tiga jurus yang akan dilakukan
pemerintah untuk meningkatkan perekonomian desa di tengah pandemi Corona. Dia
bilang, ekonomi harus menjadi penyangga ekonomi jika terjadi krisis di
perkotaan.

Jokowi bilang jika terjadi krisis ekonomi di perkotaan maka yang terjadi
adalah perpindahan penduduk dari kota ke desa.

""Ketika terjadi krisis ekonomi di perkotaan maka desa menjadi penyangga,
menjadi _buffer_ ,"" kata Jokowi saat membuka rapat terbatas (ratas) mengenai
percepatan peningkatan ekonomi desa secara virtual, Kamis (24/9/2020).

ADVERTISEMENT

SCROLL TO RESUME CONTENT

Di antara tiga jurus yang sudah disiapkan, Jokowi mengatakan yang pertama
adalah menargetkan dalam jangka pendek program yang berkaitan dengan jaring
perlindungan sosial berjalan baik.

""Seperti PKH, bansos tunai, BLT desa, betul-betul harus kita pastikan tepat
sasaran dan berjalan efektif. Dan pastikan itu diterima oleh masyarakat di
desa yang terdampak COVID dan yang sangat membutuhkan,"" katanya.

Jokowi juga mengatakan pelaksanaan program padat karya tunai di desa harus
mampu mengurangi beban masyarakat yang kehilangan pekerjaan, kesulitan mencari
kerja, serta masyarakat yang berasal dari kelompok tidak mampu.

Kedua, Jokowi meminta seluruh pejabat negara menjadikan pandemi Corona sebagai
momentum untuk mengintegrasikan atau mengkonsolidasikan program penanggulangan
kemiskinan dengan peningkatan ekonomi desa.

""Saya minta semua kementerian jangan membuat program sendiri-sendiri yang
lepas-lepas tidak terintegrasi tidak terpadu, sehingga, outcome hasilnya tidak
terlihat, ini harus terintegrasi betul,"" jelasnya.

Mantan Gubernur DKI Jakarta ini mencontohkan program desa yang terintegrasi
adalah Kementerian Desa memastikan program dana desa digunakan untuk kegiatan
produktif. Sementara Kementerian PUPR menyediakan infrastruktur dasarnya,
sedangkan Kementerian Perhubungan memenuhi konektivitas transportasinya.

Selanjutnya __

Halaman

1  2

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Ada Ancaman 'Hantu' di Balik Pertumbuhan Ekonomi RI 5%,"Rabu, 11 Mei  2022 10:08 WIB","\-

Badan Pusat Statistik () telah merilis angka di kuartal I-2022 mencapai 5,01%.
Di waktu yang sama angka inflasi untuk April 2022 juga dirilis, angkanya
3,47%. Di balik ekonomi dalam negeri yang tumbuh 5% tersebut, ada inflasi yang
bakal menghantui masyarakat.

Meski pertumbuhan ekonomi cukup tinggi, pemerintah diminta untuk benar-benar
bersiaga mencermati tren inflasi yang disebut 'menggila'. Sebab inflasi yang
menanjak bisa menekan daya beli masyarakat yang ekonominya belum pulih benar
dari dampak pandemi Covid-19.

""Kementerian Perdagangan harus menjalankan kebijakan pengaturan penyediaan
barang dengan baik, dengan treatment yang pas untuk mengantisipasi harga yang
semakin melonjak agar tidak membebani rakyat. Jangan sampai tak optimalnya
pengelolaan kebijakan minyak goreng oleh Kemendag terulang lagi,"" Anggota
Komisi VI DPR Mufti Anam, Rabu (11/5/2022).

ADVERTISEMENT

SCROLL TO RESUME CONTENT

Ia mengatakan, sejak beberapa waktu lalu pihaknya sudah mengingatkan bahwa
Ramadan dan Lebaran tahun ini menjadi batu ujian bagaimana pemerintah
mengelola inflasi. Sebab, pada periode Ramadan dan Lebaran tahun lalu, situasi
ekonomi jauh berbeda dibanding 2022.

""Makanya sejak tahun lalu ketika rapat dengan kementerian, kami sampaikan,
tidak istimewa kalau pamer keberhasilan pengelolaan inflasi Ramadan-Lebaran
2021 karena daya beli belum pulih. Nah 2022 ekonomi mulai pulih, ditambah
gejolak pasokan, maka ini tantangan, seharusnya sudah diantisipasi sejak lama
kalau kerja analisa datanya berjalan baik,"" ujarnya.

Mufti mencatat, inflasi pada bulan Ramadan 2021 (April 2021) cukup rendah
yaitu 0,13%. Sedangkan inflasi pada saat Lebaran 2021 (Mei 2021) sebesar
0,32%. ""Nah, tahun ini, bulan Maret belum apa-apa inflasi sudah 0,66%. Dan
terbukti April menggila 0,95%,"" jelas mantan ketua HIPMI Jatim itu.

Dia memaparkan, fluktuasi harga ada sebabnya, sehingga seharusnya bisa menjadi
alat prediksi. Tugas kementerian terkait, terutama Kemendag, untuk memastikan
suplai berjalan optimal sehingga meminimalisasi potensi gejolak harga.

""Penyebab gejolak harga kan bisa dipetakan. Misalnya, gangguan cuaca di negara
sentra pangan. Kemudian dampak memanasnya geopolitik dunia. Maka sebenarnya
bisa dilakukan analisis data, oh komoditas A bahaya ini, maka solusinya
seperti apa,"" jelasnya.

""Kami melihat ada kelambanan dalam merespons dinamika tersebut, sehingga
kebijakan atau treatment baru terbit ketika harga sudah melambung. Masalahnya,
kebijakan itu pun tidak terkontrol dengan baik, sehingga gejolak berlarut-
larut seperti dalam kasus minyak goreng,"" imbuh Mufti.

Mufti meminta pemerintah, khususnya Kemendag, untuk belajar betul dari kasus
minyak goreng di mana berbagai aturan ternyata tidak berdampak di lapangann
karena lemahnya pengawasan dan kurang mampunya Kemendag dalam melakukan
orkestrasi kebijakan.

""Negara harus lebih kuat dengan membangun komunikasi stakeholder yang baik.
Ketika ada gejolak harga, panggil. Negara berhak dong panggil pelaku usaha.
Ada juga diatur di UU Perdagangan, ketika gejolak harga, pemerintah lakukan
stabilisasi termasuk dengan menerapkan kebijakan-kebijakan tertentu bagi
pelaku usaha,"" paparnya.

 _Lanjut halaman berikutnya._

 __

[Gambas:Video 20detik]

  
  

Selanjutnya __

Halaman

1  2

 ",www.detik.com
"Desember Surplus US$ 1,02 M, Neraca Dagang RI Cerah Setahun Full!","Senin, 17 Jan 2022 11:48 WIB","\-

Kinerja ekspor pada bulan Desember masih lebih baik dibanding dengan impor.
Itu artinya, neraca dagang RI kembali surplus.

Badan Pusat Statistik mencatat, ekspor pada Desember 2021 masih tumbuh secara
tahunan meski turun dibanding bulan sebelumnya.

""Nilai ekspor Desember 2021 mencapai US$ 22,38 miliar. Turun 2,04% kalau
dibandingkan bulan November. Namun, bula dibandingkan dengan ekspor Desember
2020, atau yoy, masih ada peningkatan yaitu 35,30%,"" ujar Margo Yuwono dalam
konferensi pers, Senin (17/1/2022).

ADVERTISEMENT

SCROLL TO RESUME CONTENT

Sementara impor, lanjut Margo pada Desember 2021 mencapai US$ 21,36 miliar.
Nilai ini tumbuh 10,51% bila dibandingkan dengan impor pada November 2021.

Sedangkan impor Desember 2021 ini, kalau dibandingkan nilai impor 2020
mengalami peningkatan besar 47,93%. Migasnya meningkat 127,95%, non migas
38,78%.

""Pada desember 2021 ini terjadi surplus US$ 1,02 miliar. Dikarenakan ekspor
Desember ini US$ 22,38 miliar sedangkan impornya US$ 21,36 miliar. Sehingga
ini surplus US$ 1,02 miliar,"" tuturnya..

Berikut neraca dagang RI di 2021

Januari surplus US$ 2 miliar  
Februari surplus US$ 2,01 miliar  
Maret Surplus US$ 1,57 miliar  
April Surplus US$ 2,19 miliar  
Mei Surplus US$ 2,36 miliar  
Juni Surplus US$ 1,23 miliar  
Juli Surplus US$ 2,59 miliar  
Agustus Surplus US$ 4,74 miliar  
September Surplus US$ 4,37 miliar  
Oktober Surplus US$ 4,3 miliar  
November Surplus US$ 3,51 miliar  
Desember surplus US$ 1,02 miliar

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
"DPRD Soroti Pertumbuhan Ekonomi Hanya 2,61 Persen, Gubsu Edy Minta Maaf","Kamis, 14 Apr 2022 13:09 WIB","\-

DPRD Sumatera Utara menyoroti bertambahnya angka kemiskinan di Provinsi
Sumatera Utara. Selain itu, DPRD juga menyoroti pertumbuhan ekonomi yang
rendah.

Hal ini disampaikan Ketua DPRD Baskami Ginting saat Rapat Paripurna Hari Jadi
ke-74 Provinsi Sumut. Baskami awalnya menyampaikan soal luas wilayah di Sumut
yang terbesar ketiga di Sumatera.

""Provinsi Sumatera Utara memiliki 70.981,23 km persegi yang menempatkan
provinsi yang tercinta ini menjadi provinsi terbesar ketiga di pulau Sumatera
setelah Provinsi Riau dan Sumatera Selatan,"" kata Baskami saat rapat di gedung
DPRD Sumut, Kamis (14/4/2022).

  

Luas wilayah itu didukung dengan 6132 desa, 455 kecamatan, serta 33 kabupaten
dan kota. Sementara jumlah penduduk di Sumut yaitu 15 juta.

""Dari jumlah penduduk tersebut sesuai hasil rilis BPS Provinsi Sumatera Utara
sesuai hasil rilis Provinsi Sumatera Utara pada Maret 2021, jumlah penduduk
miskin di Sumatera Utara bertambah 60,57 ribu jiwa menjadi 1,34 juta jiwa,""
ucap Baskami.

Baskami mengatakan kondisi angka kemiskinan ini diperparah dengan angka
pertumbuhan ekonomi yang rendah. Baskami menyebut pertumbuhan ekonomi di Sumut
hanya 2,61 persen.

""Kondisi ini semakin parah dengan capaian pertumbuhan ekonomi yang hanya
sebesar 2,61 persen pada tahun 2021,"" tuturnya.

Menanggapi hal itu, Gubernur Sumut Edy Rahmayadi menyampaikan permintaan maaf.
Dia mengakui pertumbuhan ekonomi hanya 2,61 persen.

""Saya meminta maaf tidak mampu membawa pertumbuhan ekonomi hingga 3 persen.
Setelah dihitung dan setelah dilaporkan, keluar dari Jakarta, pertumbuhan
ekonomi Sumut hanya 2,61 persen,"" ujar Edy.

Edy mengatakan pertumbuhan ekonomi yang rendah ini tidak terlepas dari adanya
pandemi virus Corona. Dia mengatakan pihaknya juga sudah terus melakukan upaya
untuk meningkatkan pertumbuhan ekonomi ini.

""Saya, kami sudah berbuat sampai meningkatkan daya serap APBD, APBN dari Dana
Alokasi Khusus (DAK) dan Dana Alokasi Umum (DAU) sudah mencapai 89 sampai 90
persen. Kita dorong untuk bisa diserap melalui berbagai kegiatan di Sumatera
Utara,"" jelas Edy.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Menyambut Ide Ridwan Kamil Jadikan Mahasiswa CEO Desa,"Rabu, 31 Okt 2018 13:27 WIB","\-

Gubernur Jawa Barat Ridwan Kamil menyampaikan kepada mahasiswa IPB telah
menemukan formula baru dalam mengatasi permasalahan ekonomi pembangunan desa.
Pembangunan desa dapat dilakukan dengan pengembangan pertanian melalui Produk
Unggulan Desa (Prudes) dan Produk Unggulan Kawasan Pedesaan (Prukades). Prudes
dan Prukades bersinergi dengan embung desa, badan usaha milik desa (BUMDes),
dan Sarana Olahraga Desa.

Ridwan Kamil menyampaikan gagasan itu saat berbicara di _Stadium Generale_ ""
_Leadership in the Digital Era_ "" yang digelar Direktorat Kemahasiswaan dan
Pengembangan Karier IPB. Acara tersebut diselenggarakan di Auditorium Common
Class Room (CCR), Kampus IPB Dramaga, Bogor.

Mantan Walikota Bandung itu juga menjelaskan pemerintahannya akan terus
bekerja untuk mendorong Program Produk Unggulan Desa di mana ke depan akan
menumbuhkembangkan perekonomian masyarakat. Pemprov menargetkan akan ada Satu
Desa Satu Produk Unggulan. ""Pemprov Jabar membutuhkan SDM berkualitas untuk
mengelola desa, oleh karena itu saya mengajak mahasiswa IPB untuk menjadi CEO
mengelola desa.""  
  
Dalam mengurus perekonomian desa pemprov tidak bisa berjalan sendirian,
membutuhkan sinergi antarelemen salah satunya pemuda milenial, dan juga
melibatkan Kadin (Kamar Dagang Industri) sebagai mentor pendamping pengelolaan
sebuah desa. Hal ini disambut baik oleh mahasiswa IPB.  
  
Keterlibatan pemuda dalam mengelola sebuah desa merupakan sebuah terobosan
inovatif. Pemuda milenial saat ini memiliki kreativitas yang bisa disalurkan
untuk pembangunan desa, salah satunya Perpaduan Ekonomi Kreatif & Ekonomi
Digital. Dengan beralihnya ekonomi pedesaan menuju ekonomi digital dapat
memotong rantai penjualan, dari produsen langsung kepada konsumen. Sekaligus
pelaku usaha pedesaan yang melakukan digitalisasi usaha dapat mengenal
langsung keadaan para pelanggannya. Dengan begitu para produsen akan belajar
bagaimana memasarkan dan mengiklankan produknya dengan cara yang lebih
efisien.

Berdasarkan Badan Pemberdayaan Masyarakat dan Pemerintah Desa Jawa Barat,
Provinsi Jabar memiliki potensi sumber daya manusia dan sumber daya alam yang
kompetitif, dan masyarakatnya hidup dalam akar tradisi yang kondusif. Wilayah
administrasi pemerintahan Jabar memiliki 17 Kabupaten, 9 Kota, dan 620
Kecamatan, terdiri dari 5242 desa dan 632 kelurahan. Jumlah penduduk Jabar
mencapai 40.737.592 jiwa dengan kepadatan rata-rata mencapai 981 jiwa/km2.
Dari total penduduk tersebut 57% di antaranya tinggal di perdesaan.

Potensi tersebut belum digarap secara optimal, dalam arti belum dikelola
secara profesional dan proporsional yang berorientasi kepada kepentingan
masyarakat serta berdasar pada prinsip kesetaraan dan keadilan. Kondisi ini
menempatkan masyarakat Jabar saat ini pada posisi yang kurang menguntungkan,
sehingga menyisakan sejumlah permasalahan yang kompleks dan perlu penanganan
dengan segera.  
  
Hal ini salah satunya disebabkan oleh ketidakoptimalan operasionalisasi
strategi pemberdayaan masyarakat yang diterapkan pada masa lalu, serta kondisi
perekonomian yang semakin berat dan belum kondusif. Sehingga, sebagian besar
masyarakat terperangkap dalam kondisi ketidakberdayaan, terutama untuk keluar
dari kemiskinan.  
  

ADVERTISEMENT

SCROLL TO RESUME CONTENT

Pelaksanaan pembangunan masih banyak yang tidak didasarkan pada kebutuhan dan
kepentingan masyarakat banyak, namun lebih dikarenakan kepentingan tertentu,
baik kepentingan aparat pusat, daerah, maupun perangkat desa. Hal tersebut
seyogianya sudah harus ditinggalkan dan didorong ke arah pembangunan yang
lebih baik, terukur, melibatkan masyarakat banyak (transparan), baik dalam
perencanaan (aspiratif), pelaksanaan, maupun tindak lanjutnya (partisipatif),
dengan mempedomani ketentuan dan perundang-undangan yang berlaku, sehingga
dapat dipertanggungjawabkan (akuntabel).

Fakta bahwa pelaksanaan pembangunan belum mencapai sasaran yang tepat sesuai
dengan yang ditetapkan tercermin dari perolehan Indeks Pembangunan Manusia
(IPM) Jabar, di mana berdasarkan perhitungan sementara Badan Pusat Statistik
(BPS) pada 2017 menunjukkan angka 70,05 --suatu kondisiyang memprihatinkan.
Angka IPM ini menyiratkan bahwa target-target pelaksanaan program setiap
tahunnya belum mencapai kinerja yang ditetapkan.

Menghadapi era idustri 4.0, Ridwan Kamil menegaskan pengetahuan dan penguasaan
teknologi sangat diperlukan untuk bersaing dengan negara lainnya. ""Saya
menantang IPB untuk bisa memajukan pertanian lewat digital, misalnya menjual
beras lewat aplikasi. Saya akan latih itu petani-petani bagaimana caranya
menjual beras secara _online._ Inilah revolusi digital lima tahun ke depan
untuk mensejahterakan para petani,"" katanya.  
  
Sementara itu, Rektor IPB Arif Satria menyampaikan bahwa IPB harus terus
berkembang dan menjadi perguruan tinggi pertama yang bisa mengekspor inovasi.
Rektor berharap inovasi-inovasi yang ada di IPB ini bisa dimanfaatkan Provinsi
Jabar untuk pembangunan ekonomi dan manusia.

Hal tersebut sebagai imbal balik karena Provinsi Jabar dalam sepuluh tahun
terakhir telah memberikan andil besar bagi IPB di antaranya memberikan mobil
listrik, bus kampus, membantu pembangunan Auditorium Fakultas Ekonomi dan
Manajemen, dan memberikan beasiswa bagi mahasiswa S1, S2, dan S3.

_mahasiswa Ekonomi Pembangunan IPB 2017_  
  

 ",www.detik.com
"Disinggung Titiek Soeharto, Seperti Apa Swasembada Era Orde Baru?","Minggu, 18 Nov 2018 13:40 WIB","\- Titiek Soherto mengungkit zaman Orde Baru (Orba) yang pernah swasembada
pangan. Pencapaian dan keberhasilan Orde Baru di bawah kepemimpinan Presiden
Soeharto disebut akan kembali tercapai jika Prabowo Subianto terpilih menjadi
presiden.  
  
Seperti apa kondisi ekonomi dan swasembada pangan pada zaman Presiden
Soeharto?  
  
Direktur Eksekutif Institute for Development of Economics and Finance (INDEF)
Enny Sri Hartati, dia memaparkan berbagai kebijakan ekonomi di era Orba, mulai
dari kebijakan pangan, fiskal, makro ekonomi, hingga kemiskinan.  
  

ADVERTISEMENT

SCROLL TO RESUME CONTENT

Pertama kebijakan di sektor pangan, Enny mengatakan pemerintah kala itu
menempatkan petani sebagai subjek. Oleh karenanya, berbagai kebijakan dibuat
secara optimal untuk menopang kegiatan pertanian, termasuk dari sisi
pembiayaan buat petani.  
  
  
""Pertama membangun kelembagaan pertanian. Dulu di desa desa ada pembiayaan
Kupedes, jadi kredit pedesaan dan ada Simpedes, Kupedes, dan lain-lain,""
katanya kepada , Minggu (18/11/2018).  
  
Di samping itu, infrastruktur pertanian di era Orba juga digenjot untuk
mendukung ketahanan pangan.  
  
""Termasuk bangun irigasi. Dulu kan waduk waduk dibangun, kan termasuk dengan
Bengawan Solo dan sebagainya. Itu kan konkret, gimana infrastruktur pertanian
jadi perhatian,"" ujarnya.  
  
Tak hanya dari sisi infrastruktur, pemerintahan di era Orba juga membangun
kelembagaan berupa penyuluhan di bidang pertanian. Fungsinya adalah memberi
pendampingan buat petani yang butuh pemahaman lebih.  
  
  
Kala itu Bulog juga berperan untuk menyerap gabah milik petani, sekaligus
sebagai penyangga stok pangan nasional.  
  
""Dulu pemerintah kan membentuk Bulog sebagai buffer stock, fungsinya sekaligus
untuk penyangga stok nasional. Dan fungsinya dua, bawah dan atas, bawah itu
kalau petani dalam panen itu harganya mau jatuh Bulog hadir menyerap gabah
petani,"" paparnya.  
  
  

 ",www.detik.com
Sandiaga Uno Gercep Tanggapi Keluhan Pelaku UMKM dan Dalang Cilik di Lombok,"Minggu, 26 Jun 2022 18:45 WIB","\-

Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno terus memberikan dukungan
kepada para pelaku Usaha Mikro Kecil dan Menengah (UMKM). Hal itu dibuktikan
dengan kunjunganya ke Desa Wisata Buwun Sejati, Kecamatan Narmada, Kabupaten
Lombok, Nusa Tenggara Barat, pada Sabtu (25/6/2022).

Dalam kesempatan itu, Menparekraf bertemu beberapa pelaku UMKM lokal di sana.
Diantaranya adalah Sahdan, yang memproduksi gula semut. Saat itu, Sahdan
langsung mengeluhkan kesulitan produksi yang dialaminya.

""Kendala kita di sini alat wajan sudah rapuh semua. Masih ada tapi wajannya
sudah menipis,"" ujar Sahdan dalam sebuah keterangan dikutip , Minggu
(26/6/2022).

ADVERTISEMENT

SCROLL TO RESUME CONTENT

Mendengar keluhan tersebut, Sandiaga pun langsung menghadiahi Sahdan 4 wajan
besar untuk produksi gula semutnya.

""Mudah-mudahan bisa membantu produksi, sehingga nanti produksinya bisa
bertambah,"" ujar Sandiaga di Desa Buwun Sejati,

Seperti diketahui, sejatinya produksi gula semut dari Desa Buwun Sejati sudah
didistribusikan hampir ke seluruh Indonesia. Sandiaga berharap, dari UMKM yang
dijalani Sahdan dapat membuka lapangan kerja untuk masyarakat sekitar dan
meningkatkan pendapatan.

Selain itu, Sandiaga juga bertemu dengan Zahria Febrianti, seorang dalang
cilik yang belajar mendalang 3 bulan terakhir diajarkan oleh sang ayah. Zahria
menangis saat bertemu Sandiaga. Dalang cilik itu pun curhat tentang speaker
yang biasa dipakainya mendalang sudah usang. Kondisi suaranya sering macet dan
tidak terdengar.

Dengan cepatnya, Sandiaga langsung meminta tim untuk membelikan speaker baru
untuk Zahria mendalang sebagai mengapresiasinya karena dalang cilik itu mau
melestarikan budaya Indonesia.

""Ini yang diperlukan untuk desa wisata. Anak-anak mudanya tetap mencintai
budayanya,"" ujar Menparekraf .

 ",www.detik.com
