USD,IDR,persen,inflasi,klasifikasi
0,0,0,0,rendah
0,0,1,0,rendah
0,2500000,0,0,rendah
0,100,60,0,parah
0,0,0,0,rendah
0,373000000000000,7,0,parah
0,0,0,0,rendah
0,41000000000000,0,0,parah
0,0,0,0,rendah
0,21000000000000,0,0,parah
0,21000000000000,0,0,parah
0,0,0,0,rendah
0,15000000000,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,76,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,18300000000000,0,0,parah
0,67500000000000,52,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,2.46,0,rendah
0,0,17,0,parah
0,0,40,0,parah
0,0,68,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
75000000,15000000000,17,0,parah
0,0,0,0,rendah
0,3200000000,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,300000000000000,0,0,parah
0,0,0,0,rendah
0,150000000,0,0,sedang
41,615000000000,83,0,parah
0,0,0,0,rendah
0,5000000000,0,0,parah
0,0,70,0,parah
0,0,20,0,parah
0,0,0,0,rendah
0,0,1000,0,parah
0,0,0,0,rendah
0,300000000000000,0,0,parah
0,0,0,0,rendah
20800000000,300000000000000,0,0,parah
1100000000,20000000000000,0,0,parah
1100000000,20000000000000,0,0,parah
0,8000000000,40,0,parah
1,0,2.87,0,rendah
0,0,0,0,rendah
5160000000,0,0.91,0,parah
430000000000,0,17,1,parah
5160000000,0,0,0,parah
0,900000000000000,60,0,parah
0,0,60,0,parah
0,0,0,0,rendah
0,20000000000000,0,0,parah
1,0,3,0,rendah
0,8000000000,0,0,parah
0,0,0,0,rendah
383000000,0,1,0,sedang
0,0,0,0,rendah
219350000000,0,1,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,5.7,1,parah
24120000000,22990000000,2.46,0,parah
252400000,0,2.46,0,sedang
0,0,0,0,rendah
292100000,0,1,0,sedang
0,15598,5.2,1,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,24000000000,5.6,1,parah
1100000,21000000000000,0,0,parah
2000000000,21000000000000,0,0,parah
0,0,0,0,rendah
1100000,21000000000000,0,0,parah
500,17000000000000,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
30800000000,34500000000000,2.8,0,parah
0,0,0,0,rendah
1100000,21000000000000,0,0,parah
20900000000,0,809,0,parah
0,0,0,0,rendah
0,0,5.7,0,sedang
0,0,0,0,rendah
27500000000,0,2.49,0,parah
0,0,1,0,rendah
0,0,27,1,parah
0,900000,6.4,1,parah
0,0,1,0,rendah
0,0,27,1,parah
0,0,5,0,rendah
0,0,4.74,0,rendah
0,0,0,0,rendah
1500000000,0,5.4,0,parah
0,0,40,0,parah
45520000000,226000000000000,5.4,1,parah
0,0,4.5,0,rendah
0,21000000000000,0,0,parah
0,237700000000000,1.22,0,parah
0,700000000000000,77,0,parah
0,0,0.4,0,rendah
0,0,0,0,rendah
0,0,29.2,1,parah
0,100000000000000,0,0,parah
0,0,5.72,1,parah
0,0,10,0,sedang
0,1000000000,0,0,sedang
0,0,0,0,rendah
0,1000000000,0,0,sedang
0,1,3.7,0,rendah
0,1,0,0,rendah
5160000000,0,2.46,0,parah
0,7400000000000,5.01,1,parah
5160000000,0,0.80,1,parah
0,0,0,0,rendah
0,1000000000,0,0,sedang
0,1000000000,0,0,sedang
45520000000,0,5.72,0,parah
50590000000,1,5.4,1,parah
0,0,0,0,rendah
0,1000,0,0,rendah
0,100000000,90,1,parah
50590000000,0,2.46,0,parah
0,30800000000000,60,0,parah
0,0,0,0,rendah
0,1,126,0,parah
0,0,0,0,rendah
0,160600000000000,0,0,parah
0,1,1,0,rendah
0,0,3,0,rendah
0,0,61,0,parah
0,0,5.72,0,sedang
0,0,20,0,parah
0,200000000000,0,0,parah
0,500000,50,0,parah
