Title,Date,Description,Source
"10 Korban Ledakan di Sawahlunto Dapat Manfaat Jaminan Sosial Rp 2,9 Miliar dari BPJS Ketenagakerjaan","Kamis, 15 Des 2022 21:03 WIB",badan penyelenggara jaminan sosial bpjs ketenagakerjaan tim layanan cepat tanggap lct jemput bola mempercepat proses pembayaran manfaat jaminan sosial 10 korban meninggal musibah ledakan tambang batu sawahlunto sumatera barat sumbar jumat 9 12 2022 alhasil bpjs ketenagakerjaan berhasil membayarkan manfaat jaminan sosial ketenagakerjaan ahli waris korban total nominal mencapai rp 2 9 miliar manfaat jaminan sosial diserahkan simbolis wali kota walkot sawahlunto deri asta deputi direktur bpjs ketenagakerjaan wilayah sumbarriau diwakili asisten deputi direktur bidang pelayanan ocky olivia kepala bpjs ketenagakerjaan cabang solok maulana anshari siregar ahli waris aula bukit asam sawahlunto wali kota walkot sawahlunto deri asta pekerjaan apapun memiliki risiko perlindungan jaminan sosial ketenagakerjaan salah dimiliki pekerja wilayah sawahlunto bentuk memiliki jaminan ketenagakerjaan jaminan pekerja santunan istri anak anak kesulitan deri keterangan pers diterima kompas com kamis 15 12 2022 asisten deputi direktur bidang pelayanan bpjs ketenagakerjaan ocky olivia duka mendalam keluarga korban wujud hadirnya negara perlindungan kesejahteraan pekerja bpjs ketenagakerjaan berkomitmen pelayanan optimal peserta musibah bergerak cepat koordinasi terkait peserta korban ocky penelusuran korban 14 peserta aktif bpjs ketenagakerjaan 10 meninggal dunia menjalani perawatan ocky kesempatan kepala bpjs ketenagakerjaan cabang solok maulana anshari siregar manfaat jaminan sosial santunan meninggal dunia kecelakaan 48 upah dilaporkan manfaat jaminan pensiun jp dibayarkan lumpsum berkala beasiswa pendidikan anak korban jenjang pendidikan sekolah dasar sd perguruan maksimal rp 174 juta saldo jaminan tua jht dimiliki korban korban perawatan ditanggung biaya perawatan batasan biaya sembuh maulana maulana apapun manfaat jaminan sosial menggantikan nyawa cintai mengimbau pemberi mendaftarkan pekerjanya peserta bpjs ketenagakerjaan nusa alam lestari nal musibah tambang batu sawahlunto dijadikan pelajaran risiko kecelakaan kematian maulana pekerjaperlu memiliki perlindungan jaminan sosial ketenagakerjaan cemas risiko dialihkan bpjs ketenagakerjaan selaras kampanye lakukan keras bebas cemas maulana,www.kompas.com
BPJS Ketenagakerjaan Luncurkan Fitur e-Klaim untuk Bantu Klaim Manfaat bagi PMI,"Kamis, 15 Des 2022 18:08 WIB",badan penyelenggara jaminan sosial bpjs ketenagakerjaan meluncurkan fitur bernama electronic klaim klaim fitur pekerja migran indonesia pmi klaim manfaat bpjs ketenagakerjaan peluncuran klaim merayakan ulang hut 45 bpjs ketenagakerjaan pekerja migran internasional hpmi direktur utama dirut bpjs ketenagakerjaan anggoro eko cahyo fitur salah bentuk komitmen bpjs ketenagakerjaan mengedepankan pelayanan optimal peserta hadirnya fitur hadiah spesial pmi dunia kebutuhan kemudahan kecepatan akses layanan bpjs kesehatan anggoro dikutip keterangan persnya kamis 15 12 2022 anggoro peluncuran fitur klaim hadapan 150 calon pmi kegiatan bertajuk kumpul bareng pmi menurutnya klaim bukti bpjs ketenagakerjaan badan pemerintah melindungi pmi bpjs ketenagakerjaan peserta manfaat maksimal direktur pelayanan bpjs ketenagakerjaan roswita nilakurnia fitur klaim diakses peserta ahli waris instansi terkait mengakses laman peserta memilih program diklaim isi data peserta informasi kecelakaan dialami pastikan nomor handphone alamat email tertera aktif unggah dokumen pendukung klaim proses klik menu submit roswita informasi peserta bpjs ketenagakerjaan pmi perlindungan program jaminan kecelakaan jkk jaminan kematian jkm persiapan pelatihan indonesia negara penempatan kampung halaman iurang terjangkau rp 370 000 pmi mengikuti program jaminan tua jht iuran tambahan rp 50 000 manfaat diperoleh lengkap perawatan batas biaya sembuh bantuan biaya pmi gagal berangkat ditempatkan senilai rp 7 5 juta santunan kematian rp 58 juta anak pmi berhak beasiswa pendidikan tingkat sekolah dasar sd perguruan senilai maksimal rp 74 4 juta anak manfaat beasiswa anak pmi meninggal dunia mengalami cacat total akibat kecelakaan besarnya manfaat anggoro mengimbau pmi terdaftar legal perlindungan bpjs ketenagakerjaan beragam kemudahan bukti negara hadir bpjs ketenagakerjaan melindungi warga negara indonesia fokus terbebas cemas risiko sejalan kampanye galakkan keras bebas cemas anggoro informasi kesempatan bpjs ketenagakerjaan berkolaborasi mnc bank menyediakan layanan perbankan pmi penarikan dana negara penempatan direktur utama dirut mnc kapital indonesia tbk yudi hamka apresiasi kepercayaan bpjs ketenagakerjaan kepercayaan mnc bank mengakomodasi pembayaran klaim manfaat bpjs ketenagakerjaan kesejahteraan pekerja indonesia,www.kompas.com
"Ahli Waris Terima Santunan dari Asabri, Briptu Khoirul Anam Dapat Kenaikan Pangkat Istimewa","Rabu, 30 Nov 2022 17:33 WIB",briptu muh khoirul anam mekanik teknisi tewas kecelakaan helikopter polri p1103 bangka beitung santunan asabri kepala cabang asabri madiun supriyadi khoirul menerima santunan risiko kematian rp 350 juta beliau meninggal tewas dinas gugur tewas menerima santunan risiko kematian tewas rp 350 juta ditambah nilai tunai asuransi rp 3 juta rumah duka desa milangasri kecamatan panekan kabupaten magetan rabu 30 11 2022 supriyadi asuransi simbolis diserahkan keluarga ahli waris simbolis serahkan orangtua almarhum menikah syarat administrasi lakukan besok kondisinya imbuhnya jenazah briptu muh khoirul anam rumah duka desa milangasri kecamatan panekan kabupaten magetan rabu siang kenaikan pangkat istimewa analis kebijakan madya bidang polair baharkam polri kombes agusman inspektur upacara penyerahan jenazah khoirul keluarga magetan agusman pemulangan jenazah khoirul kapolri jenderal listyo sigit mako udara pondok cabe agusman khoirul kenaikan pangkat istimewa tingkat bripda briptu almarhum kenaikan pangkat istimewa tingkat permintaan keluarga jenaza khoirul anam disemayamkan rumah duka pemakaman kedinasan pemakaman desa milangasari kamis 1 12 2022,www.kompas.com
"Berziarah ke Makam Sunan Giri, Pelajar MTSN 1 Kediri Meninggal Tertabrak Mobil di Area Parkir","Selasa, 27 Des 2022 09:50 WIB",enam pelajar mtsn 1 kediri tertabrak mobil ziarah makam sunan giri jalan desa klangonan kecamatan kebomas kabupaten gresik senin 26 desember 2022 09 45 wib enam pelajar siswa mengalami luka meninggal prihatin peristiwa area parkir makam sunan giri kasat lantas polres gresik akp agung fitriansyah kanit laka lantas ipda wiji mulyono kecelakaan mobil toyota kijang innova nomor polisi 1140 dikemudikan peziarah bernama bambang suteja 62 warga margahayu raya barat kecamatan buah batu kota bandung melaju selatan utara memarkir mobilnya bambang hati hati memperhatikan posisi kendaraan depannya mobil dikemudikannya menabrak kendaraan daihatsu ayla nopol 1481 jq dikemudikan moch khoirur roziqin 36 warga kyai abdullah 02 rw 06 kota surabaya akibatnya mobil daihatsu ayla terdorong keras menghajar 6 pelajar mtsn 1 kediri berdiri daihatsu ayla keenam pelajar tertabrak posisi terjepit berdiri terparkir bus pengangkut peziarah bernomor polisi 7588 ap dikemudikan sugeng santoso 55 warga kedung baruk beringin 03 rw 04 kota surabaya siswa mengalami luka ringan siswa mengalami luka berat luka berat meninggal dunia wiji berdasarkan data sat lantas polres gresik nama pelajar meninggal dunia zahra amira syifa sanjaya berusia 12 warga dusun sawahan 02 rw 02 desa watugede kecamatan puncu kabupaten kediri zahra mengalami luka parah kepala menghembuskan nafas korban mengalami luka parah kepala kanit gakkum satlantas polres gresik ipda wiji pasien dirawat rs semen gresik bernama elsa yosephin berusia 13 warga sambirejo pare kediri mega aura lestari berusia 12 warga sisadane pare kediri putri silvi lambang sari berusia 13 warga turus pare kediri siswa psl 13 warga desa turus kecamatan pare kabupaten kediri nv 13 warga jalan barito desa bendo asri kecamatan pare kabupaten kediri kelimanya siswa dilarikan rsud soetomo surabaya melibatkan kendaraan mobil toyota innova menyeruduk mobil ayla parkir mobil ayla abu abu menyasak enam pelajar berdiri bus dprd kota surabaya wisata religi makam sunan giri humas rumah sakit semen gresik tolib bahasuan pasien mengalami luka luka dirawat rs semen gresik dinyatakan pulang pasien mengalami luka parah dirujuk rs soetomo surabaya pelajar dirujuk surabaya kaeylia dinda berusia 13 kaeylia dinda mengalami multiple fractur trauma tulang fraktur alias menderita patah tulang pasien mengalami trauma perut patah paha patah rahang pasien dirujuk rumah sakit soetomo fraktur tolib kondisinya engkel kanan patah engkel kiri patah trauma dada diobservasi benturan dada pelajar pulang neifa vizzela berusia berusia 13 warga bendo asri pare kediri sopir terlibat kecelakaan beruntun menjalani pemeriksaan laporan reporter sugiyono willy abraham sumber surya,www.tribunnews.com
"Siswi MTsN Meninggal Tertabrak Mobil di Parkiran Saat Ziarah, Neifa Selamat Setelah Ditolong Guru","Selasa, 27 Des 2022 09:52 WIB",enam siswa mtsn 1 kediri korban kecelakaan lintas senin 26 12 2022 parkiran tertabrak mobil berziarah makam sunan giri kabupaten gresik akibat kecelakaan salah enam pelajar tersebur zas 12 meninggal dunia tergencet mobil parkiran menderita luka luka peristiwa rombongan siswa ziarah makam sunan giri kabupaten gresik keterangan kasat lantas polres gresik akp agung fitriansyah kanit laka lantas ipda wiji mulyono mobil toyota kijang innova nopol 1140 dikemudikan bambang suteja 62 warga margahayu raya barat kecamatan buah batu kota bandung melaju selatan utara parkir memperhatikan kendaraan depannya menabrak kendaraan daihatsu ayla nopol 1481 jq dikemudikan moch khoirur roziqin 36 warga kyai abdullah 02 rw 06 kota surabaya mobil daihatsu ayla menabrak 6 siswa depannya bus nopol 7588 ap dikemudikan sugeng santoso 55 warga kedung baruk beringin 03 rw 04 kota surabaya akibatnya siswa mengalami luka ringan siswa mengalami luka berat luka berat meninggal dunia wiji data sat lantas polres gresik nama siswa meninggal dunia zas 12 warga dusun sawahan desa watugede kecamatan puncu kabupaten kediri korban luka ringan ey 13 warga dusun suwalo desa sambirejo kecamatan pare kabupaten kediri kdp 13 warga jalan sarinjing desa darungan kecamatan pare kabupaten kediri mal 12 warga desa sisadane kecamatan pare kabupaten kediri siswa psl 13 warga desa turus kecamatan pare kabupaten kediri nv 13 warga jalan barito desa bendo asri kecamatan pare kabupaten kediri korban luka dilarikan rumah sakit semen gresik salah pasien selamat neifa vizzela berusia 13 warga bendo asri pare kediri kondisi neifa lemas tangannya diinfus neifa mengalami akibat benturan luka ringan neifa bus ditumpanginya parkir parkir wisata sunan giri ojek area makam enam temannya menunggu rombongan pelajar mtsn 1 kediri ziarah neifa berinisiatif turun ojek berdiri kendaraan parkir tepi jalan mobil ayla bus dprd kota surabaya mobil jalan kencang lari jatuh ditolongin guru neifa salah korban terbaring lemas peristiwa cepat mobil parkir ditabrak menabrak pelajar mtsn 1 kediri tergencet bus dprd kota surabaya parkir tepi jalan humas rumah sakit semen gresik tolib bahasuan pasien mengalami luka luka dirawat rs semen gresik dinyatakan pulang pasien mengalami luka parah dirujuk rs soetomo surabaya pasien dirujuk surabaya kaeylia dinda berusia 13 mengalami multiple fraktur trauma tulang fraktur die mangalami patah tulang trauma perut patah paha patah rahang pasien dirujuk rumah sakit soetomo fraktur tolib pasien dirawat rs semen gresik bernama elsa yosephin berusia 13 warga sambirejo pare kediri mega aura lestari berusia 12 warga sisadane pare kediri putri silvi lambang sari berusia 13 warga turus pare kediri kondisinya engkel kanan patah engkel kiri patah trauma dada diobservasi benturan dada pasien pulang neifa vizzela berusia berusia 13 warga bendo asri pare kediri neifa mengalami akibat benturan kecelakaan merenggut nyawa pelajar mtsn 1 kediri zahra amira syifa sanjaya perempuan berusia 12 warga dusun sawahan 02 rw 02 desa watugede kecamatan puncu kabupaten kediri mengalami luka parah kepala menghembuskan napas korban mengalami luka parah kepala kanit gakkum satlantas polres gresik ipda wiji sopir terlibat kecelakaan beruntun menjalani pemeriksaan diolah artikel tayang tribunjatim com judul,www.tribunnews.com
"Kecelakaan Rombongan Travel Jakarta–Kuningan di Jalur Gronggong, 1 Tewas 9 Luka","Sabtu, 24 Des 2022 15:58 WIB",kecelakaan maut jalur gronggong desa patapan kecamatan beber kabupaten cirebon jawa barat sabtu 24 12 2022 truk box ekspedisi gagal menyalip menabrak mobil minibus luxio mengangkut 8 penumpang jakarta kuningan sopir minibus meninggal dunia lokasi 9 luka luka dilarikan rumah sakit puskesmas beber video kecelakaan direkam warga viral media sosial video amatir kecelakaan jalur gronggong tersebar media sosial korban penumpang mobil minibus tergeletak pinggir jalan raya pengendara melintas merekam kejadian kecelakaan menghambat arus arah cirebon kuningan jalur gronggong memiliki kontur jalan turunan tanjakan curam berkelok kanit gakkum satlantas polresta cirebon iptu mei handikusuma kejadian mobil truk box ekspedisi bernomor 8679 melaju arah kuningan cirebon pengemudi truk berusaha menyalip kendaraan sisi kanan jalan bersamaan mobil minibus luxio nomor polisi 2699 kmk melaju cirebon kuningan pengemudi truk mengendalikan menabrak minibus sisi lawan arah polisi menyebut sopir minibus meninggal dunia lokasi bertabrakan truk ekspedisi keterangan sopir truk box truk box ekspedisi melaju kuningan cirebon mendahului arah kanan tabrakan daihatsu luxio arah cirebon kuningan kejadian sopir luxio meninggal dunia mei ditemui kompas com pos polisi ciperna minggu 24 12 2022 kecelakaan sambung mei 9 mengalami luka luka mobil truk tujuh minibus anak anak titi petugas ugd puskesmas beber menyebut 7 penumpang luka luka luka kepala tangan kaki sakit dada 7 luka kepala kaku benturan dada rujukan rumah sakit kuningan berdomisili kuningan titi ditemui kompas com puskesmas beber,www.kompas.com
"Tabrak Pikap Berlogo PLN, Mantan Pebalap asal Ngawi Meninggal","Jumat, 02 Des 2022 22:23 WIB",kecelakaan melibatkan sepeda motor mobil pikap jalan jaksa agung suprapto jumat 2 12 2022 peristiwa terekam cctv menewaskan arik purwo sundoro 33 warga desa karangasri kecamatan ngawi kabupaten ngawi jawa timur arik mantan pebalap drag race ngawi kasat lantas polres ngawi akp achmad fahmi adiatma kecelakaan 01 46 wib kejadiannya malam suprapto pesan singkat jumat rekaman rekaman cctv beredar media sosial sepeda motor kawasaki ninja dikendarai arik melaju kencang menabrak pikap berlogo pln mobil belok kanan sepeda motor dikendarai korban muncul arah berlawanan menabrak sebelah kiri mobil pengemudi sepeda motor terpental ditolong warga korban meninggal dunia perawatan rumah sakit soeroto ngawi lakukan pendalaman kejadian imbuh achmad fachmi kendaraan terlibat kecelakaan diamankan pos unit penegakan hukum satlantas polres ngawi,www.kompas.com
Pelajar yang Tewas Tertabrak Kereta Api Tinggalkan Surat: Makasih Ya Bu Sudah Merawatku,"Jumat, 16 Des 2022 10:12 WIB",polisi identitas korban tewas tertabrak kereta api jalur kereta sentolo wates kawasan pedukuhan gembongan kalurahan sukoreno kapanewon sentolo kabupaten kulon progo daerah istimewa yogyakarta diy korban tewas berinisial 16 warga pemuda tanggung tertemper kereta 157 lodaya melintas 20 11 wib kamis 15 12 202 kecelakaan lintasan rel kereta api padukuhan gembongan korban laki laki bernama umur 16 pelajar plh kasi humas polres kulon progo iptu dwi wijayanto via pesan jumat 15 12 2022 dwi polisi mengecek lokasi menerima laporan tertemper kereta lokasi warga berkumpul korban tergeletak kondisi mengenaskan tangan kiri putus kaki kanan putus kepala pecah piket polsek sentolo babinsa bhabinkamtibmas piket reskrim identifikasi polres pmi mencari potongan potongan tubuh korban dwi polisi kepastian korban pemilik motor vario hitam 424 lr tergeletak lokasi kejadian polisi keterangan keluarganya peristiwa mengantar makanan rumah kerabatnya timur lokasi tabrakan menyuruh mengantar makanan pamannya pamit pergi bermain rumah temannya mengantar makanan disangka pergi meninggalkan surat dompetnya meja surat bertuliskan makasih buk ws gelem ngrumat tekan saiki ns maaf bahagiain ibuk makasih buk terima kasih bu merawat membesarkanku maaf membahagiakan terima kasih bu keterangan keluarga rumah anak permasalahan dwi humas pmi kulon progo wisnu rangga regu relawan ambulans diturunkan evakuasi korban sulit mencari tubuh korban tercerai sulit dikenali rangga timnya fokus evakuasi tubuh hancur tubuh diketemukan tangan kiri korban jasad bawa rsud nyi ageng serang rangga,www.kompas.com
"Lansia Tewas Saat Menyeberang Jalan Padat Kendaraan dengan Motor, Tabrakan dengan Motor Lain","Kamis, 08 Des 2022 16:21 WIB",pria usia 72 berkendara motor tewas kecelakaan lintas jalan nasional kilometer 23 jalan jogja wates pedukuhan kenteng kalurahan demangrejo kapanewon sentolo kabupaten kulon progo daerah istimewa yogyakarta lansia sujud suyanto 72 pedukuhan karongan kalurahan kedungsari kapanewon pengasih sujud tewas luka berat patah tulang tubuhnya tulang hidung kaki kiri luka bibir cidera berat kepala korban meninggal dunia kejadian tabrakan kanit gakkum satlantas polres kulon progo ipda satya kurnia pesan kamis 8 12 2022 sujud mengendara supra fit 4139 barat timur kamis 8 12 2022 07 30 wib berjalan pinggir jalan sebelah kanan selatan kendaraan arah kilometer 23 jalan nasional padat kendaraan bus mobil truk sepeda jam jalan raya sibuk lansia berniat menyeberang utara menyeberang supra fit bertabrakan honda scoopy 4120 cp timur scoopy dikendarai azahra choirunnisa 21 pedukuhan siliran kalurahan karangsewu kapanewon galur jarak lantas tabrakan terelakkan satya motor rusak perisai velg korban luka berat peristiwa inu sujud meninggal dunia tkp luka berat azahra mengalami robek pipi pelipis cidera kepala dilarikan rumah sakit satya,www.kompas.com
"2 Warga Purbalingga Tewas Setelah Tabrak Pohon di Batam, Diduga Mengantuk","Sabtu, 17 Des 2022 18:19 WIB",warga kabupaten purbalingga jawa agit setia 29 dedi prianto 30 tewas menabrak pohon jalan bukit daeng muka kuning batam kepulauan riau kepri sabtu 17 12 2022 01 00 wib dugaan mengantuk mengendarai sepeda motor honda beat bernomor polisi bp 2159 kanit gakkum satlantas polresta barelang iptu victor hutahean kecelakaan melaju arah mukakuning batuaji tanjakan bukit daeng sepeda motor kendarai diduga hilang kendali menabrak pohon naas tewas kondisinya mengenaskan victor telepon sabtu 17 12 2022 laporan warga polisi lokasi kecelakaan bawa kamar jenazah rs bp batam terang victor victor mengimbau pengendara waspada berhati hati berkendara personel penyelidikan kendati memiliki keluarga batam victor paguyuban purbalingga batam mengusahakan proses pemakaman dimakankan batam diterbangkan kampung halaman vicktor,www.kompas.com
