mati,luka,hilang,tenggelam,pesawat,klasifikasi
7,1,0,0,0,sedang
5,12,1,0,0,sedang
1,1,0,0,0,rendah
3,0,1,0,0,sedang
0,5,0,0,0,rendah
3,0,0,0,0,tinggi
1,0,0,0,0,sedang
1,0,0,1,0,rendah
1,0,0,0,0,sedang
1,0,0,0,0,sedang
1,0,0,0,0,sedang
0,0,0,7,0,sedang
0,0,0,0,0,rendah
0,0,0,2,0,rendah
0,0,0,1,0,rendah
0,0,0,1,1,sedang
1,0,0,0,1,sedang
0,0,0,0,1,tinggi
0,0,2,1,0,rendah
0,0,1,0,1,sedang
1,0,0,0,1,sedang
0,0,4,0,1,sedang
0,0,0,0,1,tinggi
0,0,1,0,1,sedang
1,0,1,0,1,sedang
0,0,0,0,1,tinggi
1,0,1,0,1,sedang
1,0,1,0,1,sedang
1,0,4,0,1,sedang
0,0,1,0,1,sedang
1,0,0,0,0,sedang
1,0,0,0,0,sedang
5,12,0,0,0,tinggi
0,0,1,0,1,sedang
1,0,1,0,1,sedang
1,1,0,0,1,sedang
1,0,0,0,1,sedang
0,0,0,0,1,tinggi
0,0,0,0,0,rendah
0,0,0,0,1,tinggi
0,0,0,0,1,tinggi
2,0,0,0,1,sedang
0,0,2,0,0,rendah
0,0,0,0,0,rendah
1,0,1,0,1,sedang
1,0,1,0,1,sedang
1,1,0,0,0,rendah
1,0,1,0,0,rendah
1,9,0,0,0,sedang
3,0,0,0,0,tinggi
0,0,0,0,0,rendah
0,0,0,0,0,rendah
3,0,0,0,0,tinggi
0,0,17,0,1,tinggi
0,0,0,0,0,rendah
1,0,1,0,1,sedang
0,0,17,0,1,tinggi
3,0,0,0,0,tinggi
1,0,0,0,1,sedang
3,1,0,0,0,sedang
2,2,0,0,0,rendah
1,1,0,0,1,sedang
1,0,0,0,1,sedang
2,0,1,0,1,sedang
2,2,0,0,0,rendah
1,15,0,0,0,sedang
1,0,0,0,1,sedang
0,0,1,0,1,sedang
2,0,1,0,1,sedang
0,0,0,0,0,rendah
2,2,0,0,0,rendah
3,0,1,0,1,sedang
0,1,0,0,0,rendah
0,0,0,0,0,rendah
2,2,0,0,0,rendah
1,0,1,0,1,sedang
0,0,0,0,0,rendah
0,0,0,0,0,rendah
1,0,0,0,1,sedang
0,0,0,0,0,rendah
0,0,0,0,0,rendah
1,0,1,0,0,rendah
1,0,1,0,1,sedang
0,0,0,0,0,rendah
1,1,0,0,0,rendah
0,33,1,0,0,sedang
106,0,0,0,0,tinggi
0,2,0,0,0,rendah
11,1,0,0,0,sedang
12,0,0,0,0,tinggi
1,0,1,0,0,rendah
2,0,0,0,0,sedang
1,0,0,0,1,sedang
1,0,0,0,1,sedang
0,0,0,0,0,rendah
1,1,0,0,0,rendah
0,0,0,0,1,tinggi
0,0,0,0,1,tinggi
0,0,0,0,0,rendah
1,8,0,0,0,sedang
1,14,0,0,0,sedang
0,0,0,0,0,rendah
1,0,0,0,0,sedang
0,0,0,0,0,rendah
1,0,0,0,0,sedang
1,0,0,0,0,sedang
1,30,0,0,0,sedang
1,0,0,0,0,sedang
0,0,0,0,0,rendah
1,1,1,0,0,rendah
1,0,0,0,0,sedang
0,0,0,0,0,rendah
1,2,1,0,0,rendah
0,3,1,0,0,rendah
1,5,0,0,0,rendah
1,1,0,0,0,rendah
0,5,0,0,0,rendah
2,0,0,0,0,sedang
1,1,0,0,0,rendah
0,4,1,0,0,rendah
1,0,0,0,0,sedang
1,0.9,0,0,0,rendah
1,0,0,0,0,sedang
1,0,1,0,0,rendah
1,0,0,0,0,sedang
5,0,1,1,0,sedang
1,0,0,0,0,sedang
1,0,0,0,0,sedang
1,0,0,0,0,sedang
1,1,0,0,0,rendah
1,0,0,0,0,sedang
1,1,0,0,0,rendah
1,0,0,0,0,sedang
1,0,0,0,0,sedang
1,0,0,0,0,sedang
1,0,0,0,0,sedang
1,0,0,0,0,sedang
0,1,0,0,0,rendah
1,0,0,0,0,sedang
1,0,0,0,0,sedang
3,0,1,0,0,sedang
0,1,0,0,0,rendah
1,1,0,0,0,rendah
1,0,0,0,0,sedang
1,0,0,0,0,sedang
3,0,1,0,0,sedang
3,0,1,0,0,sedang
0,1,0,0,0,rendah
3,0,0,0,0,tinggi
0,1,0,0,0,rendah
0,7,0,0,0,sedang
