title,date,description,source
5 Berita Terpopuler Internasional Hari Ini,"Senin, 31 Okt 2022 17:54 WIB","\-

Amerika Serikat (AS) berencana mengerahkan enam pesawat pengebom B-52
berkemampuan nuklir ke sebuah pangkalan udara di wilayah Australia bagian
utara. Langkah AS ini berpotensi memicu ketegangan baru dengan China.

Seperti dilansir _Reuters_ , Senin (31/10/2022), rencana pengerahan pesawat
pengebom AS itu dilaporkan oleh media terkemuka _Australian Broadcasting Corp_
(ABC) dalam programnya berjudul 'Four Corners' dengan mengutip dokumen-dokumen
AS.

Disebutkan ABC dalam laporannya bahwa sejumlah fasilitas khusus pesawat
pengebom akan dibangun di pangkalan udara Tindal yang terpencil di Australia
bagian utara, atau sekitar 300 kilometer sebelah sebelah Darwin, ibu kota
Australia Utara atau Northern Territory.

ADVERTISEMENT

SCROLL TO RESUME CONTENT

Selain berita tersebut, berikut ini berita-berita internasional yang menarik
perhatian pembaca , hari ini, Senin (31/10/2022):

Perdana Menteri (PM) Korea Selatan (Korsel) Han Duck-soo menjanjikan
penyelidikan menyeluruh terhadap tragedi pesta Halloween di Itaewon yang
menewaskan lebih dari 150 orang, dan membuat negara itu berkabung.

Dilansir kantor berita _Reuters_ , Senin (31/10/2022), para pejabat Korsel
mengatakan jumlah korban tewas telah meningkat semalam menjadi 154 orang
dengan 149 lainnya terluka, 33 orang di antaranya dalam kondisi serius.

""Pemerintah akan melakukan penyelidikan menyeluruh atas apa yang menyebabkan
kecelakaan ini dan melakukan yang terbaik untuk membuat perubahan kelembagaan
yang diperlukan sehingga kecelakaan seperti itu tidak terulang,"" kata Perdana
Menteri Han saat para pejabat pemerintah bertemu untuk membahas tentang
bencana tersebut.

Menteri Luar Negeri (Menlu) Rusia Sergei Lavrov menyentil Presiden Amerika
Serikat (AS) Joe Biden soal perang di Ukraina. Lavrov mengharapkan Biden
memiliki kebijaksanaan dalam menangani konfrontasi global, yang mirip dengan
situasi saat krisis rudal Kuba terjadi tahun 1962 silam.

Seperti dilansir _Reuters_ , Senin (31/10/2022), invasi Rusia ke Ukraina yang
dimulai sejak 24 Februari lalu, telah memicu konfrontasi terbesar antara
Moskow dan Barat sejak krisis rudal Kuba terjadi yang nyaris membuat Uni
Soviet dan AS terlibat perang nuklir.

Presiden AS saat itu, John F Kennedy, mendapati pemimpin Soviet Nikita
Khrushchev mengerahkan rudal-rudal nuklir ke Kuba, setelah invasi Teluk Babi
yang gagal dan adanya pengerahan rudal-rudal nuklir AS di wilayah Italia juga
Turki.

Invasi Teluk Babi merujuk pada upaya orang-orang yang diasingkan dari Kuba,
yang didukung AS, untuk menggulingkan kekuasaan Komunis. Upaya itu berhasil
digagalkan oleh otoritas Kuba pada saat itu.

Korban tewas akibat ambruknya sebuah jembatan gantung di Gujarat, India, telah
bertambah menjadi sedikitnya 132 orang. Jembatan gantung berusia satu abad itu
diduga ambruk karena tidak mampu menahan beban dari banyaknya orang yang
berada di atas jembatan dalam satu waktu.

Halaman 1  2

Selanjutnya __

 ",www.detik.com
Dishub Usut TransJ Tabrak Lansia Diduga Akibat Korban Lalai saat Nyeberang,"Senin, 31 Okt 2022 15:28 WIB","\-

Seorang warga lanjut usia (lansia) tewas dalam perawatan setelah tertabrak bus
TransJakarta (TransJ) di Jakarta Pusat (Jakpus). Dinas Perhubungan (Dishub)
DKI Jakarta menyelidiki info korban diduga lalai hingga tertabrak bus TransJ.

""Informasi dari TJ, jika kita melihat dari CCTV yang ada, memang ada unsur
kelalaian si korban dalam posisi menyeberang, katanya lari. Ini diselidiki,""
kata Kepala Bidang Angkutan Jalan Dishub DKI Jakarta Yayat Sudrajat saat
dihubungi, Senin (31/10/2022).

""Ini di kami juga belum mendapatkan info yang detail terkait dengan hal
tersebut,"" sambungnya.

ADVERTISEMENT

SCROLL TO RESUME CONTENT

Yayat mengatakan saat ini pihaknya masih menunggu hasil penyelidikan polisi.
Dia menyebut lokasi kecelakaan itu terjadi di non-bus rapid TransJakarta
(BRT).

""Sampai saat ini kita masih menunggu hasil penyelidikan dari kepolisian,""
katanya.

Sebelumnya, kecelakaan melibatkan TransJakarta terjadi di daerah Kebon Sirih,
Jakarta Pusat. Bus TransJakarta dengan nomor polisi B-7003-SGX menabrak
seorang lansia berinisial FNR (62) hingga tewas.

Peristiwa itu terjadi pada Jumat (28/10), sekitar pukul 21.30 WIB. Korban
meninggal dunia dalam perawatan di rumah sakit.

""Korban luka pada bagian kepala bagian belakang sobek, kaki kanan dari paha
belakang sampai betis lecet dan memar. Korban meninggal dalam perawatan,"" kata
Kasi Laka Lantas Ditlantas Polda Metro Jaya Kompol Edy Purwanto dalam
keterangan kepada wartawan, Sabtu (29/10).

 ",www.detik.com
Truk Trailer Terperosok di Sidoarjo Bikin Lalin Macet 5 Km,"448 Views  |  Senin, 31 Okt 2022 16:51 WIB","Truk kontainer mengangkut biji plastik terperosok di jembatan layang Trosobo.
Akibatnya kemacetan dari arah Surabaya ke Krian mengular hingga 5 kilometer.

 ",www.detik.com
"3 Kendaraan Tabrakan Beruntun di Tol Cipularang, 2 Orang Tewas","Minggu, 30 Okt 2022 00:45 WIB","\-

Tiga kendaraan terlibat kecelakaan beruntun di Tol Cipularang, Kecamatan
Sukatani, Purwakarta, Jawa Barat. Kecelakaan terjadi tepatnya di Km 90.

Dilansir detikJabar, Minggu (30/10/2022) kecelakaan terjadi pada Sabtu (29/10)
pukul 17.00 WIB. Akibat tabrakan tersebut, dua orang tewas di lokasi kejadian.

Kecelakaan beruntun terjadi dari arah Bandung menuju Jakarta. Kecelakaan
bermula ketika mobil pikap yang melaju kencang mendahului menggunakan bahu
jalan. Sopir yang kurang antisipasi kemudian menabrak truk yang ada di
depannya, lalu datang minibus menabrak pikap itu.

ADVERTISEMENT

SCROLL TO RESUME CONTENT

""Kronologis kejadian awal dari pengendara pikap mengarah ke arah jakarta
dengan menggunakan bahu jalan, kecepatan tinggi tidak bisa mengantisipasi
akhirnya menabrak truk dan datang kendaraan Mobilio langsung menabrak
mobilio,"" ujar Kanit PJR Tol Cipularang, Iptu Herdianto.

Kendaraan yang terlibat yaitu pikap bernomor polisi D-8416-FS dikemudian Ondo
Revanda Sipayung dan minibus bernomor polisi B-1634-NYR yang dikemudikan Erwan
Triagus Gunawan. Sedangkan truk yang ditabrak kabur usai kejadian.

""Untuk yang ditabrak (truk) nihil identitas, melarikan diri. Korban sementara
dua meninggal dunia di tempat satu luka berat, yang di Mobilio luka ringan,""
katanya.

Baca selengkapnya di sini.

[Gambas:Video 20detik]

  
  
  

 ",www.detik.com
PM Korsel Janjikan Penyelidikan Menyeluruh Atas Tragedi Itaewon,"Senin, 31 Okt 2022 14:01 WIB","\-

Perdana Menteri (PM) Korea Selatan (Korsel) Han Duck-soo menjanjikan
penyelidikan menyeluruh terhadap tragedi pesta Halloween di Itaewon yang
menewaskan lebih dari 150 orang, dan membuat negara itu berkabung.

Dilansir kantor berita _Reuters_ , Senin (31/10/2022), para pejabat Korsel
mengatakan jumlah korban tewas telah meningkat semalam menjadi 154 orang
dengan 149 lainnya terluka, 33 orang di antaranya dalam kondisi serius.

""Pemerintah akan melakukan penyelidikan menyeluruh atas apa yang menyebabkan
kecelakaan ini dan melakukan yang terbaik untuk membuat perubahan kelembagaan
yang diperlukan sehingga kecelakaan seperti itu tidak terulang,"" kata Perdana
Menteri Han saat para pejabat pemerintah bertemu untuk membahas tentang
bencana tersebut.

ADVERTISEMENT

SCROLL TO RESUME CONTENT

""Identifikasi telah selesai untuk keseluruhan 154 orang yang meninggal kecuali
satu orang, dan saya percaya sudah waktunya untuk tindakan lanjutan seperti
prosedur pemakaman dilakukan dengan sungguh-sungguh,"" imbuh Han Han. ""Kami
akan melakukan yang terbaik untuk memberikan dukungan yang diperlukan dengan
mencerminkan sebanyak mungkin pendapat keluarga yang ditinggalkan,"" tandasnya.

Presiden Yoon Suk-yeol, yang telah menyatakan masa berkabung nasional dan
menetapkan Itaewon sebagai zona bencana, mengunjungi altar peringatan di dekat
balai kota Seoul dan memberikan penghormatan kepada para korban pada hari
Senin (31/10).

Tragedi itu adalah yang paling mematikan di negara itu sejak tenggelamnya
kapal feri Sewol tahun 2014 yang menewaskan 304 orang, terutama siswa sekolah
menengah.

Tragedi tersebut terjadi ketika lautan manusia dengan kostum dan topeng khas
Halloween memadati distrik Itaewon. Mereka berkerumun dan berdesak-desakan
hingga akhirnya terinjak-injak. Orang-orang terjepit di dalam gang, sehingga
petugas darurat tidak bisa mengeluarkan mereka dari kerumunan penuh sesak.
Pihak berwenang mengatakan mayoritas korban adalah wanita muda berusia 20-an
tahun.

[Gambas:Video 20detik]

Halaman 1  2

Selanjutnya __

 ",www.detik.com
Pemkot Tangerang Gelar Razia Tertibkan Jam Operasional Truk Tanah,"Senin, 31 Okt 2022 17:40 WIB","\-

Pemerintah Kota Tangerang melakukan operasi gabungan untuk melakukan
pengecekan dan pengawasan truk tanah yang melintasi Kota ataupun Kabupaten
Tangerang. Operasi gabungan ini dipimpin langsung oleh Kapolres Metro
Tangerang Kota Kombes Pol Zain Dwi Nugroho pada hari ini.

Untuk diketahui, operasi ini digelar sebagai upaya menanggapi keluhan
masyarakat karena adanya kemacetan iring-iringan dari truk tanah. Mulai hari
ini, pengemudi yang didapati melanggar akan langsung diberhentikan dan diberi
imbauan dan truk akan diparkirkan sementara di kantong-kantong parkir yang
sudah disiapkan. Truk tersebut boleh kembali melintas sesuai dengan jam
operasional yang berlaku.

Kapolres Metro Tangerang Kota Kombes Pol Zain Dwi Nugroho memimpin langsung
operasi tersebut dan meminta berbagai pihak untuk melakukan pengecekan secara
persuasif. Selain itu, sebanyak 115 personel dikerahkan untuk operasi ini.

ADVERTISEMENT

SCROLL TO RESUME CONTENT

""Saya minta seluruh stakeholder dapat bekerja sama dengan baik dan
melakukannya secara persuasif dan humanis. Tidak ada giat penegakan hukum
dalam pelaksanaannya, sehingga apa yang dilakukan Pemerintah Kota Tangerang
maupun Pemerintah Kabupaten Tangerang untuk tertib lalu lintas dan aspek
keselamatan dapat tercipta dengan baik,"" ujar Zain dalam keterangan tertulis,
Senin (31/10/2022).

""Personel kita tempatkan di dua titik pengawasan dalam Pos Terpadu yakni di
exit tol Benda, Kota Tangerang, wilayah hukum Polsek Benda dan Pos terpadu
perempatan Dadap, wilayah hukum Polsek Teluknaga,"" imbuhnya.

Sementara itu, Kepala Dinas Perhubungan Kota Tangerang, Wahyudi Iskandar
menerangkan pengawasan tersebut dilakukan selain mengatasi kemacetan, juga
menertibkan aspek keselamatan dan meminimalisir potensi terjadinya kecelakaan
lalu lintas.

""Waktu operasional kendaraan truk tanah, pasir dan sejenisnya dengan berat 8,5
ton berlaku mulai pukul 22.00 WIB sampai dengan 05.00 WIB,"" kata Wahyudi.

Menurut Wahyudi pengawasan terhadap jam operasional dan kepatuhan truk-truk
tanah dan sejenisnya, sudah diatur Pemerintah Kota Tangerang melalui Peraturan
Wali Kota (Perwali) Tangerang No 93 tahun 2022 dan Peraturan Bupati (Perbup)
Tangerang No 12 Tahun 2022.

""Operasi dilakukan melibatkan personel gabungan TNI-POLRI, Dishub, Satpol PP
termasuk berkolaborasi dengan stakeholder pemerintah kabupaten (Pemkab)
Tangerang untuk sama-sama melakukan pengawasan,"" tandasnya.

 ",www.detik.com
Mobil Terperosok Sungai di Demak Ternyata Dikendarai Pasangan Maling,"Senin, 31 Okt 2022 16:23 WIB","\-

Sebuah mobil terperosok dan terguling di sungai Desa Kedunguter, Kecamatan
Karangtengah, Kabupaten Demak, Jawa Tengah. Polisi menyebut mobil itu
dikendarai pasangan suami istri yang diduga merupakan komplotan pencuri
sepeda.

Kasat Reskrim Polres Demak, AKP M Zazid, mengatakan bahwa pelaku pencuri
sepeda tersebut merupakan pasangan suami istri. Keduanya berasal dari
Kecamatan Pageruyung, Kendal.

Zazid mengatakan, pasangan yang mengalami kecelakaan itu diduga telah
melakukan tindak pidana pencurian. Saat ini polisi tengah mendalami dugaan
tersebut.

  

""Ya betul, (pencuri sepeda). Saat ini sedang ditangani, disidik, dan
diproses,"" ujar Kasat Reskrim Polres Demak, AKP M Zazid melalui telepon, Senin
(31/10/2022).

Polisi juga telah memeriksa pasangan suami istri tersebut. Kepada polisi,
lanjutnya, pasangan itu mengaku sudah beberapa kali mencuri.

""Saat kita tanya, dia mengaku sudah pernah melakukan pencurian beberapa kali
sebelum ini,"" kata dia.

Diberitakan sebelumnya, warga Desa Kedunguter, Demak mencurigai sebuah mobil
minibus warna putih yang berhenti di sekitar lokasi. Saat warga mendekati,
pengendara mobil tersebut segera kabur.

Warga kemudian membuntuti mobil tersebut. Mobil tersebut akhirnya terjebak
memasuki jalan buntu.

Diduga karena panik, pengemudi mobil mencoba memundurkan kendaraannya. Apes,
mobil tersebut justru terperosok ke sungai.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Sopir Avanza yang Tabrak-Seret Motor di Malang Terbukti Mabuk,"Senin, 31 Okt 2022 18:16 WIB","\-

Pelaku tabrak lari dua kendaraan dan sempat viral di medsos telah diamankan
polisi. Saat peristiwa itu terjadi, diketahui pelaku sedang dalam kondisi
terpengaruh miras.

Sopir mobil Toyota Avanza sekaligus pelaku tabrak lari Ahmad Faisal Adi (36)
warga Kecamatan Sumbermanjing Wetan, Kabupaten Malang itu mengaku jika saat
kejadian dirinya terpengaruh Miras.

""Iya, waktu itu saya panik dan dalam keadaan mabuk habis minum arak (di daerah
Beji). Lalu waktu itu saya nabrak, dari situ saya panik terus saya tancap
gas,"" ujar Faisal saat diwawancarai awak media pada Senin (31/10/2022).

Faisal mengatakan dia sempat panik dan memutuskan untuk kabur usai menabrak 2
motor yang dikendarai Rafinal Wathan (21) dan Alexander Yosafat (22).

""Saya tancap gas lagi. Tapi pas sudah di daerah Soekarno Hatta itu ban saya
kempes. Akhirnya saya dimassa dan diamankan polisi,"" kata dia.

Anggota Satlantas Polres Batu Aipda Syaifudin Zuhri menjelaskan kejadian
bermula saat Faisal pulang dari daerah Beji, Kota Batu pada Sabtu (29/10/2022)
sekitar pukul 01.30 WIB. Saat mengemudi pelaku dalam keadaan terpengaruh
miras.

""Dia (pelaku) habis minum arak di Beji terus mengemudi kencang ke arah Malang.
Saat berada di Jalan Ir Soekarno, Kota Batu pelaku menabrak dua sepeda motor.
Saat itu satu pengemudi sepeda motor terjatuh ke samping dan satu lagi
terpental ke atas kap mobil dan jatuh ke samping,"" terangnya.

Pelaku yang sempat berhenti, panik dan memutuskan untuk lari meninggalkan
korban. Ternyata saat itu salah satu kendaraan yang ditabrak menyangkut bagian
depan mobil Faisal dan terseret cukup jauh.

""Saat berada di Jalan Soekarno Hatta, Kota Malang ban kempes dan warga yang
mengejar merusak kendaraan pelaku hingga ringsek dan terguling. Petugas
kepolisian yang berada di lokasi langsung mengamankan pelaku,"" tuturnya.

Akibat kejadian tersebut, dua pengendara sepeda motor mengalami luka-luka dan
sempat menjalani perawatan di Rumah Sakit (RS) UMM.

""Untuk satu pengendara Honda CB BA 6378 D (Rafinal Wathan) mengalami luka
babras di punggung dan pengendara Yamaha Lexy AD 3445 AYD (Alexander Yosafat)
mengalami memar kepala. Keduanya sudah dipulangkan dari RS UMM beberapa waktu
lalu,"" ucap dia.

""Tapi korban yang memar di kepala saat dirumah mengaku mual-mual, pusing dan
akhirnya dirawat Rumah Sakit Persada. Insyallah saat ini sudah pulang,""
sambungnya.

Dikatakan Syaifudin, pelaku telah mengaku bersalah dan akan bertanggung jawab
terhadap pengobatan dan juga ganti rugi motor para korban.

""Tidak ada korban jiwa. Saat ini pelaku sudah kami amankan dan periksa. Dia
mengakui kesalahannya dan siap bertanggung jawab,"" tandasnya.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Tragis! Jurnalis Pakistan Tewas Terlindas Kendaraan Eks PM Imran Khan,"Senin, 31 Okt 2022 13:52 WIB","\-

Tragis! Seorang jurnalis wanita di Pakistan tewas terlindas kendaraan yang
membawa mantan Perdana Menteri (PM) Imran Khan dalam sebuah insiden tidak
biasa di wilayah timur negara tersebut. Insiden itu terjadi saat Khan memimpin
konvoi bersama para pendukungnya menuju ke ibu kota Islamabad.

Seperti dilansir _Reuters_ , Senin (31/10/2022), insiden yang terjadi pada
Minggu (20/11) waktu setempat itu memaksa Khan untuk menghentikan 'long march'
yang dipimpinnya menuju Islamabad. Konvoi itu dimaksudkan untuk menekan
pemerintah federal agar menggelar pemilu lebih cepat.

Konvoi yang dipimpin Khan itu berangkat dari kota Lahore dan diperkirakan akan
tiba di Islamabad pada Jumat (4/11) mendatang.

ADVERTISEMENT

SCROLL TO RESUME CONTENT

""Terkejut dan sangat sedih dengan kecelakaan mengerikan yang menyebabkan
kematian reporter Channel 5 Sadaf Naeem dalam konvoi kami hari ini,"" demikian
pernyataan Khan via Twitter.

Khan juga menyatakan bahwa aktivitas yang dijadwalkan partainya, Pakistan
Tehreek-e-Insaf (PTI) telah dibatalkan usai insiden tersebut.

Seorang jurnalis setempat lainnya, Qazzafi Butt, yang menyaksikan insiden
mengerikan itu menuturkan kepada _Reuters_ bahwa Naeem (40) kehilangan
keseimbangan saat berupaya memanjat kendaraan truk yang membawa Khan, untuk
merekam keterangannya.

Ban truk itu, sebut Butt, melindas kepala Naeem setelah dia terjatuh ke atas
jalanan. Ketua PTI Mussarat Jamshed Cheema, dalam pernyataan terpisah, telah
mengonfirmasi bahwa Naeem terlindas kendaraan yang membawa Khan.

Belum ada keterangan resmi dari kepolisian setempat terkait insiden ini.

[Gambas:Video 20detik]

  
  

Halaman 1  2

Selanjutnya __

 ",www.detik.com
2 Orang Tewas dalam Tabrakan Beruntun di Tol Cipularang!,"Sabtu, 29 Okt 2022 22:34 WIB","\-

Tabrakkan beruntun melibatkan tiga kendaraan terjadi di ruas Jalan Tol
Cipularang Kilometer 90, Kecamatan Sukatani, Purwakarta, Jawa Barat.
Kecelakaan yang terjadi Sabtu (29/10/2022) sekitar pukul 17.00 WIB itu
mengakibatkan dua orang tewas di lokasi kejadian.

""Kronologis kejadian awal dari pengendara pikap mengarah ke arah jakarta
dengan menggunakan bahu jalan, kecepatan tinggi tidak bisa mengantisipasi
akhirnya menabrak truk dan datang kendaraan Mobilio langsung menabrak
mobilio,"" ujar Kanit PJR Tol Cipularang, Iptu Herdianto

Kendaraan yang terlibat yaitu pikap bernomor polisi D 8416 FS dikemudian Ondo
Revanda Sipayung dan minibus bernomor polisi B 1634 NYR yang dikemudikan Erwan
Triagus Gunawan. Sedangkan truk yang ditabrak kabur usai kejadian.

  

Herdianto menjelaskan ketiga kendaraan itu melaju dari arah Bandung menuju
Jakarta. Setiba di lokasi kejadian, pikap yang melaju kencang mendahului
menggunakan bahu jalan. Sopir yang kurang antisipasi kemudian menabrak truk
yang ada di depannya, lalu datang minibus menabrak pikap itu.

""Untuk yang ditabrak (truk) nihil identitas, melarikan diri. Korban sementara
dua meninggal dunia di tempat satu luka berat, yang di Mobilio luka ringan,""
katanya.

Dilihat , kendaraan pikap ringsek pada bagian depan kendaraan setelah menabrak
kencang truk. Sedangkan minibus rusak pada bagian kap mobilnya.

Sementara evakuasi korban berlangsung alot karena badan korban terjepit bagian
kendaraan. Proses evakuasi harus menggunakan alat pemotong.

Petugas baru berhasil mengevakuasi korban dan bangkai kendaraan sekitar pukul
19.00 WIB. Korban dibawa ke Rumah Sakit Abdul Radjak Purwakarta, sedangkan
bangaki kendaraan dibawa ke pull derek di Jatiluhur. Kasus kecelakaan ini
sudah ditangani Unit Laka Lantas Polres Purwakarta.

Adapun identitas korban tewas sebagai berikut:

1\. Sopir pikap atas nama Ondo Revanda Sipayung (23) warga pargampulan,
Kecamatan Panambojan, Panei Simalungun.

2\. Penumpang pikap atas nama Zubelty Sinaga, warga pargampulan, Kecamatan
Panambojan , Panei Simalungun.

 ",www.detik.com
