title,date,description,source
Evakuasi 2 Kereta Babaranjang yang Adu Banteng Selesai,"Selasa, 08 Nov 2022 00:30 WIB","\-

PT KAI Divre IV Tanjung Karang memastikan jalur perlintasan kereta api Stasiun
Rengas yang sempat tertutup gerbong kereta telah bisa dilewati. Saat ini tim
masih melakukan normalisasi di jalur tersebut.

Humas PT KAI Divre IV Tanjung Karang, Jaka Jarkasih saat dihubungi mengatakan
semua gerbong yang menutupi jalur telah berhasil di evakuasi.

""Alhamdulillah, jam 14.30 WIB tadi selesai dievakuasi. Jalur sudah bisa
dilewati KA, dan saat ini dilakukan proses normalisasi,"" ujarnya kepada ,
Senin (7/11/2022).

  

Meski demikian, pihaknya masih tetap menghentikan sementara waktu perjalanan
KA penumpang dari Stasiun Tanjungkarang maupun Stasiun Baturaja . Proses
perjalanan kereta api telah dibatalkan untuk yang hari ini.

""Perjalanan KA penumpang tetap dibatalkan semua untuk hari ini, kemungkinan
besok pagi baru bisa dilanjutkan kembali layanan perjalanan kereta api,""
katanya.

Lebih lanjut Jaka memastikan, keempat korban terdiri dari 2 masinis dan 2
asisten masinis dari kedua kereta api terlibat kecelakaan hanya mengalami
luka-luka ringan dan dalam keadaan sadar.

""Mereka sudah di RS Urip, sudah dirawat. Luka-luka ringan saja dan tidak ada
masalah, tapi memang ada lecet-lecet dan lebam-lebam sedikit tidak begitu
parah,"" imbuhnya.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Horee.... Bus Trans Jatim Digratiskan Selama Hari Pahlawan,"Selasa, 08 Nov 2022 05:31 WIB","\-

Kabar gembira untuk warga Jatim khususnya yang tinggal di wilayah Sidoarjo,
Surabaya dan Gresik. Pasalnya pada Hari Pahlawan 10 November 2022 mendatang
Gubernur Jawa Timur Khofifah Indar Parawansa menggratiskan biaya Bus Trans
Jatim sehari penuh.

""Insyaallah nanti tanggal 10 November 2022, tarif Bus Trans Jatim digratiskan
untuk masyarakat. Pembebasan tarif selama satu hari penuh ini merupakan
layanan dari Pemprov Jatim untuk memperingati Hari Pahlawan,"" kata Khofifah
dalam keterangannya, Senin (7/11/2022).

Khofifah berharap masyarakat bisa memanfaatkan momen ini semaksimal mungkin.
Dengan harapan minat masyarakat menggunakan transportasi umum Bus Trans Jatim
akan semakin meningkat sehingga mengurangi kepadatan kendaraan, menjaga
keamanan berkendara dan juga tentunya lebih hemat.

""Berdasarkan data Dinas Perhubungan Jatim, untuk saat ini rata-rata pengguna
angkutan massal Trans Jatim ini 3.500-4.000 penumpang per harinya. Dengan
adanya pembebasan tarif di Hari Pahlawan ini diharapkan shifting masyarakat
dari roda 2 ke angkutan umum bertambah,"" harap Khofifah.

Lebih lanjut Khofifah menerangkan bahwa bus Trans Jatim dilengkapi dengan
fasilitas keamanan. Di mana setiap armada Bus Trans Jatim telah dibekali
dengan teknologi kecerdasan buatan (artificial intelligence/AI) yang menunjang
keamanan berkendara.

Seperti teknologi AI yang terpasang di beberapa komponen, yang meliputi MDVR,
CCTV, driver safety monitoring (DSM), advanced driver assistance system
(ADAS), indicator R-Watch, touch panel dan reverse camera.

Perangkat seperti DSM ini dapat memberikan driver behavior analysis untuk
memantau perilaku pengemudi agar tidak melakukan pelanggaran selama armada
beroperasi.

Begitu juga adanya perangkat ADAS dan indicator R-Watch dapat memberikan
peringatan awal jika armada kendaraan terdeteksi menyimpang dari jalur,
melewati batas kecepatan atau jika terjadi potensi tabrakan depan.

""Silahkan memanfaatkan layanan Bus Trans Jatim. Busnya nyaman dan aman. Juga
sudah dilengkapi dengan teknologi yang canggih,"" kata Khofifah.

Sebagai informasi, Bus Trans Jatim diluncurkan pada pertengahan Agustus lalu.
Sejak itu sebanyak 22 armada bus Trans Jatim beroperasi. Moda transportasi ini
berangkat pulang pergi (PP) dari Terminal Porong Sidoarjo, Bus Trans Jatim
Koridor I ini melintasi rute tujuan Terminal Purabaya Surabaya di Bungurasih,
Sidoarjo, dan berakhir di Terminal Bunder Gresik.

Di hari-hari biasa, Bus Trans Jatim bisa dimanfaatkan masyarakat dengan tarif
yang sangat terjangkau. Untuk umum Rp 5.000, sedangkan pelajar sekolah atau
santri Rp 2.500.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Kronologi Kecelakaan Maut yang Menewaskan Mantan Ketua Bawaslu Jatim,"Selasa, 08 Nov 2022 14:06 WIB","\-

Mantan Ketua Badan Pengawas Pemilu (Bawaslu) Jawa Timur periode 2017-2022 Moh.
Amin berpulang. Amin tewas dalam kecelakaan maut di wilayah Pamekasan, Madura.

Tragedi kecelakaan ini sempat direkam pengendara bernama Dedy. Saat itu, ia
sedang melintas di Jalan Raya Tlanakan Desa Branta Pesisir, Kecamatan
Tlanakan, Pamekasan. Video Dedy pun sempat viral di media sosial dan grup
WhatsApp.

Dalam video berdurasi 1 menit tersebut, terlihat sebuah mobil mini bus
bernopol M 1313 AA berwarna putih yang ditumpangi Amin terhimpit bagian depan
mobilnya dengan pikap bernopol M 8030 XD.

""Kalau nggak salah mobil putih dari arah kota terus mobil pikapnya menuju
kota,"" tutur Dedy saat dihubungi detikJatim, Selasa (8/11/2022).

Sementara itu, Kanit Laka Lantas Polres Pamekasan Iptu Bambang Budiyanto
membenarkan kecelakaan tersebut. Ia menjelasnya, kecelakaan berawal dari
kendaraan Amin yang melaju dari arah timur ke barat dengan kecepatan tinggi.

Sesampainya di TKP, mobil tersebut mendahului kendaran lain, sehingga terjadi
adu moncong dengan pikap yang dikemudikan Abdul Fatah (54), warga Dusun Ombul
4, Desa Bandaran, Kecamatan Tlanakan, Pamekasan.

Adu moncong ini mengakibatkan Amin meninggal dunia saat mendapat perawatan di
RS. Sementara korban lainnya mengalami luka-luka.

""Moh Amin korban yang meninggal itu penumpangnya, yang nyetir Ahmad Hidayatur
Rosi, warga Dusun Talang, Desa Talang, Kecamatan Saronggi, Kabupaten Sumenep
menderita luka-luka. Untuk mobil pikap ada 3 penumpang perempuan juga luka-
luka,"" kata Bambang

Saat ini, kasus tersebut tengah ditangani Sat Lantas Polres Pamekasan.
Sedangkan barang bukti kedua kendaraan sudah diamankan di kantor polantas
Jalan Raya Nyalaran Pamekasan.

Sebelumnya, kabar meninggalnya Amin dibenarkan Komisioner Bawaslu Jatim, Nur
Elya Anggarini. Elly mengatakan, Bawaslu Jatim sangat berduka dan kehilangan
sosok Amin.

Elly juga menceritakan kenangan saat ia bekerja bersama Amin. Elly mengingat
almarhum sebagai sosok yang tidak pernah sedih.

""Selama saya sama yang bersangkutan, almarhum orang yang menurut saya nggak
pernah sedih ya, segala suasana beliau bawa gembira bahagia,"" kata Elly,
Selasa (8/11/2022).

Tak hanya itu, Elly menambahkan, Amin senantiasa melakoni pekerjaan apapun
dengan ikhlas. Hal ini membuat setiap permasalahan dalam pekerjaan menjadi
lebih cepat selesai.

""Hal-hal yang rumit itu menjadi cepat diselesaikan. Jadi orang yang kenal sama
almarhum ini biasanya akan merasa dekat meskipun baru kenal,"" imbuhnya.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Petugas Evakuasi Gerbong Kereta yang Terlibat Tabrakan di Lampung,"Senin, 07 Nov 2022 15:32 WIB","\-

Petugas PT KAI Divre IV Tanjung Karang, Lampung hingga saat ini masih
melakukan proses evakuasi gerbong kereta yang bertabrakan di Stasiun Rengas,
Lampung Tengah, dini hari tadi. Selama proses evakuasi, seluruh jadwal
keberangkatan KA di Lampung dibatalkan.

Humas PT KAI Divre IV Tanjung Karang, Jaka Jarkasih kepada detikSumut
mengatakan, saat ini tim evakuasi masih melakukan proses pemotongan beberapa
bagian gerbong. Proses evakuasi gerbong kereta menggunakan cara manual alat
berat yang didatangkan dari Kabupaten Lahat, Sumatera Selatan.

""Iya saya masih berada dilokasi, di sini tim masih melakukan evakuasi beberapa
gerbong kereta karena menutupi jalur satu dan dua, target kami mengevakuasi
dulu beberapa gerbong dari jalur dua Stasiun Rengas agar nanti bisa digunakan
kembali,"" kata dia saat dihubungi, Senin (7/11/2022).

  

""Ada bantuan dari Lahat, kereta crane. Ada juga alat berat mobil serta tim
juga melakukan evakuasi dengan cara manual. Yang jelas kami berusaha secepat
mungkin untuk melakukan evakuasi ini agar jalur kereta bisa digunakan
kembali,"" terangnya.

Akibat kecelakaan dua kereta api batu bara rangkaian panjang (babaranjang)
ini, aktivitas di semua stasiun kereta api di Lampung lumpuh. Seluruh jadwal
keberangkatan atau perjalan kereta api juga dibatalkan.

Dalam peristiwa 4 orang terluka dan saat ini tengah dirawat di RS Urip
Sumoharjo, Bandar Lampung. Keempat korban yakni dua masinis dan dua asisten
dari masing-masing kereta api yang terlibat kecelakaan.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
40 Stasiun di Lampung Lumpuh Akibat Tabrakan Kereta Api di Stasiun Rengas,"Senin, 07 Nov 2022 13:09 WIB","\-

Aktivitas di 40 stasiun kereta api di Lampung lumpuh akibat tabrakan kereta
api batu bara rangkaian panjang (babaranjang) di Stasiun Rengas, Lampung
Tengah. PT KAI memastikan seluruh jadwal perjalanan KA pada hari ini
dibatalkan.

""Jadi semua keberangkatan di Stasiun Tanjung Karang dibatalkan. Hari ini ada
tiga jadwal keberangkatan,"" kata Wakil Kepala PT KAI Divre IV Tanjung Karang,
Senin (7/11/2022).

Dia menyebutkan, perjalanan KA dari Stasiun Tanjung Karang ke stasiun lainnya
tidak bisa dilaksanakan karena terkendala di Stasiun Rengas. Saat ini, gerbong
kereta api yang terlibat tabrakan di sana masih dalam proses evakuasi.

  

Adapun jadwal keberangkatan KA yang dibatalkan yakni Kereta Ekspres tujuan
Kertapati, Kereta Kuala Stabas tujuan Baturaja, Kereta Kuala Stabas Kotabumi.

Riswansyah menyampaikan dengan pembatalan ini para penumpang bisa
mengembalikan tiket yang sudah terlanjur dibeli.

""Para penumpang bisa melakukan refund ke loket. Kami akan kembalikan 100
persen, kami juga meminta maaf atas ketidaknyamanan atas peristiwa ini,""
terangnya.

Sebelumnya, Dua kereta api batu bara rangkaian panjang (babaranjang) terlibat
tabrakan di Stasiun Rengas, Lampung Tengah, dini hari tadi. Tabrakan antara
kedua kereta api itu terjadi sekitar pukul 02.25 WIB.

""Ya benar, peristiwanya tadi malam sekitar pukul 02.25 WIB. Dua KA Babaranjang
terlibat kecelakaan di Stasiun Rengas, Lampung Tengah,"" kata Humas PT KAI
Divre IV Tanjung Karang, Jaka Jarkasih, Senin (7/11/2022).

Dia menjelaskan, kecelakaan kereta api itu KA babaranjang dari arah Stasiun
Bekri dengan nomor Plb 3031A melintas di jalur I Stasiun Rengas, kemudian
datang dari arah berlawanan KA babaranjang dengan nomor Plb 3056A melalui
Stasiun Tegineneng yang juga masuk jalur I Stasiun Rengas.

""Akibatnya keduanya langsung beradu di jalur tersebut,"" katanya.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Cerita Nelayan Masalembu Mengapung 6 Jam Setelah Perahunya Terbalik,"Minggu, 30 Okt 2022 15:11 WIB","\-

Seorang nelayan tenggelam setelah perahu yang ditumpanginya terbalik diterjang
angin di tengah laut. Beruntungnya, korban selamat meski sempat terlempar ke
laut dan mengapung selama 6 jam.

Korban bernama Saleh (50), warga Dermaga Barat Dusun Ra'at, Masalembu,
Sumenep. Dia pun menceritakan kronologi kejadian tersebut.

Menurut Saleh, kejadian itu terjadi pada Rabu (26/10). Pada saat itu, Saleh
hendak kembali ke Masalembu dengan perahu. Di tengah perjalanan menyeberangi
laut, tiba-tiba ada angin dari arah belakang dan langsung menghantam perahu
yang ditumpanginya.

""Saya mau pulang ke Masalembu tiba-tiba dihantam tornado (angin) dari
belakang,"" kata Saleh, Minggu (30/10/2022).

Perahu Saleh pun terbalik dan dia terlempar ke laut. Dia pun mengapung di laut
selama kurang lebih 6 jam. Selama mengapung di laut, Saleh bertahan
menggunakan sebuah jeriken hingga malam hari.

Saleh juga berusaha terus berenang mencari pertolongan. Beruntungnya, Saleh
bertemu dengan kapal nelayan yang menolongnya.

""Saya berenang mencari arah lampu kapal nelayan. Setelah bertemu kapal
nelayan, saya ditanya dari mana? Saya bilang orang Masalembu mencari ikan
tenggelam,"" katanya.

Kapal nelayan yang menolong Saleh kemudian melaporkan kejadian tersebut ke
Badan Nasional Pencarian dan Pertolongan (Basarnas) Banjarmasin. Saleh
akhirnya dijemput oleh kapal Basarnas tersebut.

Hari ini, Saleh baru tiba diantarkan kapal Basarnas ke Pulau Masalembu.
Kedatangan Saleh pun disambut tangis haru keluarga dan warga setempat.

""Saya mengucapkan terimakasih ke Basarnas yang telah membawa korban (Saleh)
yang selama 5 jam berhasil bertahan di tengah laut,"" kata anggota DPRD Sumenep
asal Masalembu, Darul Hasyim.

Untuk diketahui, Masalembu merupakan salah satu kepulauan terluar di Kabupaten
Sumenep. Secara geografis, pulau ini lebih dekat ke Pulau Kalimantan daripada
ke daratan Madura.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
"Monkey Forest Ubud: Jam Buka, Harga Tiket, Fasilitas","Minggu, 06 Nov 2022 15:38 WIB","\-

Mau liburan seru di hutan dan berinteraksi dengan monyet di Bali? Cobain
liburan ke Monkey Forest Ubud, yuk langsung cek jam buka, harga tiket, hingga
panduan wisatanya.

Monkey Forest Ubud berlokasi di Jalan Monkey Forest Ubud, Kabupaten Gianyar,
Bali. Wisatawan bisa mengunjungi beberapa spot dan berkeliling berfoto ria di
Monkey Forest Ubud.

Objek wisata populer di Gianyar ini, buka setiap hari mulai pukul 09.00 Wita
hingga 18.00 Wita. Monkey Forest Ubud jaraknya sekitar 24,2 kilometer dari
pusat Kota Denpasar.

  

Jika datang dari Bandara Ngurah Rai Bali, maka wisatawan perlu menempuh jarak
sekitar 36 kilometer ke lokasi, atau sekitar satu jam lebih perjalanan.

Wisatawan bisa membeli tiket mulai pukul 09.00 Wita sampai 17.00 Wita. Setiap
pengunjung dikenakan biaya masuk yang terbagi menjadi dua kategori, yaitu
dewasa dan anak-anak.

Dilansir dari laman resmi Monkey Forest Ubud, harga tiket masuk saat _weekday_
pun berbeda dengan _weekend._ Rincian harga tiketnya sebagai berikut.

   Dewasa Rp 80.000
   Anak-anak Rp 60.000

   Dewasa Rp 100.000
   Anak-anak Rp 80.000

 _Simak halaman selanjutnya aktivitas seru..._

Halaman 1  2

Selanjutnya __

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
"Bus Tabrak Truk Mogok di Ringroad Sewon Bantul, Satu Orang Tewas","Senin, 07 Nov 2022 10:21 WIB","\-

Kecelakaan antara bus, truk, dan sepeda motor terjadi di Jalan Ringroad
Selatan, barat Simpang Empat Druwo, Bantul. Akibat kecelakaan tersebut satu
orang meninggal dunia.

Kasi Humas Polres Bantul Iptu I Nengah Jeffry mengatakan kecelakaan berawal
saat truk nopol BE 8690 BJ mengalami mogok di Ringroad Selatan, tepatnya di
depan Hotel Flory, Kalurahan Panggungharjo, Kapanewon Sewon, Bantul, pukul
04.15 WIB tadi. Truk tersebut berhenti di jalur cepat.

""Tiba-tiba dari arah barat ke timur melaju bus (AB 7010 AW) dan membentur
bagian belakang truk. Kemudian truk membentur motor (AB 6603 EG) yang berhenti
di depan truk,"" kata Jeffry dalam keterangannya, Senin (7/11/2022).

  

Akibat kejadian tersebut, bagian depan bus mengalami kerusakan. Menurut
Jeffry, data sementara ada korban yang dibawa ke Rumah Sakit Panembahan
Senopati Bantul.

""Korban satu orang dibawa ke RS Panembahan Senopati Bantul. Saat ini kasus
tersebut masih ditangani Unit Laka (Satlantas Polres Bantul),"" ujarnya.

Terpisah, Kasubsi Operasi dan Siaga Basarnas Jogja Asnawi Suroso menjelaskan
pihaknya sempat membantu melakukan pertolongan terhadap korban kecelakaan
tersebut karena terjepit di bak belakang truk. Akan tetapi saat berhasil
dievakuasi oleh petugas gabungan, korban sudah dalam kondisi meninggal dunia.

""Setelah melakukan proses evakuasi kurang lebih 45 menit korban yang terjepit
berhasil dievakuasi dalam kondisi meninggal dunia,"" kata Asnawi.

Korban meninggal dunia bernama Irwan (19), warga Kapanewon Semanu, Kabupaten
Gunungkidul. Menurut Asnawi, Irwan merupakan kernet bus.

""Sedangkan untuk dua korban yang selamat dan mengalami luka-luka dibawa ke RS
Panembahan Senopati,"" ujarnya.

Adapun dua orang korban selamat dan mengalami luka-luka atas nama Lasina (71)
dan Jumiyati (52), keduanya warga Duren Seribu, Depok, Jawa Barat.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
"Ngalam Mbois: Donny Hermawan, Pembuat Kartu Tarot Ketiga di Indonesia","Senin, 07 Nov 2022 11:01 WIB","\-

Warga Malang memang punya segudang kreativitas. Salah satunya seperti yang
dilakukan oleh Donny Hendrawan. Dia merupakan pembuat kartu tarot atau tarot
creator.

Pria yang tinggal di Kelurahan Tasikmadu, Kecamatan Lowokwaru, Kota Malang itu
berhasil membuat kartu tarot yang diberi nama 'Imaginary Friends'.

Imaginary Friend ciptaan Donny diklaim sebagai kartu tarot ketiga yang
diciptakan di Indonesia. Disampaikan Donny, ada dua orang yang telah membuat
tarot jauh sebelum dirinya.

Pertama yakni, Ani Sekarningsih dengan kartu tarot wayangnya yang kini
harganya tembus Rp 14 juta. Lalu pembuat kartu kedua adalah Hisyam A. Fachri
dengan tarot nusantaranya.

Kartu tarot buatan Donny sama seperti pada umumnya. Total ada sebanyak 78
kartu. Bedanya visual yang dibuat menyesuaikan dengan imajinasi Donny sejak
kecil hingga dewasa.

""Sejarahnya, tarot itu artinya manusia dalam bahasa Yunani (taroci). Dulu
manusia ingin tahu memahami dirinya dan akhirnya tercipta tarot sebagai
medianya,"" cerita Donny kepada , Senin (7/11/2022).

""Kalau di saya, kuda di kartu tarot klasik itu tak gambarkan motor, kalau
pedang ya tak ganti pisau. Soal desain, konsep simbol matahari di mana-mana
tetap sama,"" sambungnya.

Sebelum membuat kartu tersebut, Donny sempat mengalami kecelakaan pada tahun
2020 hingga membuat kakinya patah dan mengalami gangguan otak.

""Waktu pandemi tahun 2020 itu aku mengalami kecelakaan, itu jalan kaki
ketabrak kaki patah. Kena otak juga sampai nggak bisa _hapean,_ nggak bisa
gerak selama 5 bulan,"" ungkapnya.

Setelah mengalami insiden itu, Donny juga kehilangan minat untuk melakukan
hobinya. Mulai bermain musik, membaca, hingga kesenian lainnya terasa hambar
baginya.

Dari situ, dia secara spontanitas mulai tergerak dan menggambar simbol-simbol
kartu tarot, padahal dirinya tidak memiliki _basic_ menggambar. Dalam kurun
waktu beberapa bulan 78 kartu tarot buatanya terselesaikan.

""Waktu itu aku nggak nyangka. Loh aneh iki, arena memang membuat 78 kartu
dalam waktu singkat itu sangat luar biasa yang menurutku sebenarnya nggak
mungkin,"" kata Donny.

Pengambilan nama 'Imaginary Friend' sendiri menyesuaikan dengan ilustrasi
gambar yang dibuatnya berdasarkan pengalaman masa kecilnya.

""Namanya Imaginary Friend itu karena menurutku pasti kita di masa kecil itu
selalu punya teman imajiner. Semua orang saya kira,"" terangnya.

""Hingga kemudian kita tinggalkan setelah kita masuk fase akil balig, saat
mimpi basah. Saat kita kenal _kodew_ (perempuan), uang, jajan akhirnya teman
imajiner itu kita lupakan bahkan sampai sekarang,"" sambungnya.

Donny sendiri mengaku belajar tarot sejak tahun 2000. Awalnya dia peramal
kartu tarot. Berjalannya waktu, Donny semakin tertarik dan mencoba mendalami
tarot.

""D isitu juga ikut kumpul di toko sulap gitu lah, di situ akhirnya mulai
berkembang jaringan tarot gitu. Saling bertukar informasi. Terus buat
komunitas Oracle,"" tandasnya.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
"Kecelakaan 2 Motor di Jalan Patuk Gunungkidul, 1 Korban Terluka","Minggu, 06 Nov 2022 19:35 WIB","\-

Terjadi kecelakaan lalu lintas di Jalan Jogja-Wonosari di Sambipitu, Bunder,
Patuk, Minggu (6/11/2022) sekitar pukul 16.30 WIB.

Kecelakaan tersebut melibatkan dua sepeda motor berpelat nomor AB-33XX-UU dan
AB-63XX-HJ.

Dikutip dari akun Twitter resmi Polda Daerah Istimewa Yogyakarta (DIY),
@PoldaJogja, kecelakaan itu menyebabkan satu korban terluka. Korban kini
dirawat di RS Nur Rohmah Playen, Gunungkidul.

  

Dalam cuitannya pada pukul 19.17 WIB, akun @PoldaJogja menyebutkan korban
tersebut mengalami luka patah kaki sebelah kanan.

""Laka ini ditangani Polsek Patuk, dilaporkan oleh Briptu Rezky Kurniapeghi
@GkPatuk,"" dikutip detikJateng dari akun Twitter @PoldaJogja, Selasa (6/11)
malam.

Selain menampilkan foto sepeda motor yang terlibat kecelakaan, cuitan tersebut
juga mengunggah foto korban yang sedang menjalani perawatan di kamar rumah
sakit.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
