title,date,description,source
Dugaan di Balik Tak Terekamnya Suara Pilot Sriwijaya Air SJ182,"Kamis, 03 Nov 2022 22:05 WIB","\-

Pada 9 Januari 2021 pesawat Sriwijaya Air SJ182 jatuh di Perairan Kepulauan
Seribu menelan ratusan korban jiwa. Setelah cockpit voice recorder (CVR) dan
dianalisis, suara kapten pilot Sriwijaya Air SJ182 tak terekam di kokpit
pesawat.

Komite Nasional Keselamatan Transportasi (KNKT) melakukan analisis CVR
Sriwijaya Air SJ182 dan diungkap kepada publik. Hasilnya terungkap suara
kapten pilot Sriwijaya Air SJ182 rute Jakarta-Pontianak tidak terekam di
kokpit pesawat.

""Kami kebetulan dari cockpit voice recorder (CVR) yang ditemukan kami
mendapatkan bahwa suara kaptennya tidak terekam. Kami tidak bisa menentukan
mengapa suara kaptennya tidak terekam. Namun, ada dugaan bahwa kaptennya tidak
menggunakan headset,"" kata Ketua Sub Komite Investigasi Kecelakaan Penerbangan
KNKT Nurcahyo Utomo dalam rapat dengar pendapat (RDP) Komisi V DPR di kompleks
parlemen, Senayan, Jakarta, Kamis (3/11/2022).

ADVERTISEMENT

SCROLL TO RESUME CONTENT

Pada mikrofon di dalam kokpit pesawat, kata Nurcahyo, justru tertutup suara
noise atau bising sehingga suara pembicaraan tak bisa direkam. Nurcahyo
mengatakan hal ini mengakibatkan pihaknya tak bisa menganalisis interaksi
kerja sama di kokpit.

""Kemudian ada mikrofon yang di dalam kokpit yang kami harapkan bisa merekam
apa pun suara yang ada di kokpit. Namun demikian ternyata pada channel ini
tertutup suara bising pada 400 hertz sehingga suara pembicaraan tidak bisa
direkam,"" katanya.

""Jadi dari cockpit voice recorder ini kita tidak bisa menganalisa, bagaimana
kerja sama di kokpit, apa saja perintahnya kapten kepada kopilot. Namun suara
kopilot bisa kita dengar sepanjang waktu, suara dari pengatur lalu lintas
udara juga bisa kita dengar,"" imbuh dia.

![Rapat Komisi V DPR bersama Kemenhub hingga KNKT membahas investigasi
kecelakaan Sriwijaya Air SJ182. \(Firda Cynthia
Anggrainy/detikcom\).](https://akcdn.detik.net.id/community/media/visual/2022/11/03/rapat-
komisi-v-dpr-bersama-kemenhub-hingga-knkt-membahas-investigasi-kecelakaan-
sriwijaya-air-sj182-firda-cynthia-anggrainydet_169.jpeg?w=620)Rapat Komisi V
DPR bersama Kemenhub hingga KNKT membahas investigasi kecelakaan Sriwijaya Air
SJ182. (Firda Cynthia Anggrainy/detikcom).  
  
---  
  
### Pilot Tak Sadari Perubahan di Kokpit

Selain itu, Nurcahyo mengungkapkan selama penerbangan terdapat perubahan di
kokpit pesawat, yaitu perubahan posisi thrust lever. Namun, perubahan sikap
pesawat ini disebut tidak disadari pilot.

""Kemudian selama penerbangan ini terdapat beberapa perubahan di kokpit antara
lain perubahan posisi thrust lever. Kemudian perubahan penunjukan indikator
mesin karena tenaga mesin kiri berkurang, sementara sebelah kanan tidak
berkurang,"" kata Nurcahyo dalam rapat.

""Kemudian, perubahan sikap pesawat yang tadinya belok ke kanan jadi datar dan
kemudian belok ke kiri, yang tergambar di electronic attitude atau EADI.
Perubahan-perubahan ini tidak disadari oleh pilot,"" lanjutnya.

KNKT berasumsi bahwa pilot mempercayakan pada sistem otomatisasi yang ada di
pesawat. Lantas, sang pilot diduga mengurangi monitornya terhadap instrumen di
pesawat.

""Nah, adanya perubahan-perubahan di dalam kokpit ini tidak disadari oleh
pilotnya, kami tidak tahu apa yang terjadi. Namun kemudian kami asumsikan
bahwa pilotnya percaya pada sistem otomatisasi yang ada di pesawat,"" kata dia.

""Kalau pesawat sudah diset arah tertentu ketinggian tertentu maka autopilot
akan mengatur apa yang sudah diset, dan auto-throttle akan mengatur sesuai
permintaan autopilot sehingga kondisi ini mungkin telah berdampak pada
pengurangan monitor terhadap instrumen dan kondisi-kondisi yang terjadi,""
lanjutnya.

Halaman 1  2  3

Selanjutnya __

 ",www.detik.com
Dugaan KNKT soal Tak Terekamnya Suara Kapten Sriwijaya Air SJ182 di CVR,"6,173 Views  |  Kamis, 03 Nov 2022 18:14 WIB","Komite Nasional Keselamatan Transportasi (KNKT) ungkap hasil investigasi
kecelakaan pesawat Sriwijaya Air SJ182. Dalam hasil investigasi tersebut
ditemukan bahwa suara kapten Sriwijaya Air tak terekam di cockpit voice
recorder (CVR), sedangkan suara kopilot bisa terdengar.

 ",www.detik.com
Hasil Investigasi KNKT Terkait Jatuhnya Sriwijaya Air SJ182,"19,571 Views  |  Kamis, 03 Nov 2022 17:36 WIB","Komite Nasional Keselamatan Transportasi (KNKT) sampaikan hasil investigasi
kecelakaan pesawat Sriwijaya Air SJ182 rute Jakarta-Pontianak yang jatuh di
Perairan Kepulauan Seribu pada 9 Januari 2021. Setidaknya, ada enam penyebab
kecelakaan Sriwijaya Air SJ182 yang disimpulkan berdasarkan hasil investigasi.

 ",www.detik.com
"Kronologi Kecelakaan Mazda Tabrak Pesepeda di PIK 2, Enam Orang Luka-luka","Minggu, 16 Oktober 2022 14:52 WIB"," \- Sebuah kecelakaan mobil jenis sedan Mazda menabrak enam pesepeda terjadi
di Jembatan Baruyungan PIK 2 Jakarta - Banten Kelurahan Dadap, Kosambi,
Kabupaten Tangerang. Tabrakan itu terjadi pada Ahad pukul 06.40.

Kepala Satuan Lalu Lintas Polres Metro Tangerang Kota Komisaris Joko Sembodo
mengatakan tidak ada korban jiwa dalam kecelakaan itu. Namun enam pesepeda
korban tabrakan itu harus mendapat perawatan di Rumah Sakit Budha Tzu Chi di
Jalan Pantai Indah Kapuk Boulevard, Kamal Muara, Penjaringan, Kota Jakarta
Utara.

## Kronologi Kecelakaan

Kepala Unit Kecelakaan Lalulintas Satlantas Polres Metro Tangerang Kota Ajun
Komisaris Badruz mengatakan kronologi kecelakaan itu bermula saat sedan Mazda
putih yang dikemudikan TJ melaju dari arah Jakarta Utara menuju ke arah PIK 2
Tangerang.

""Pada saat melintasi Jembatan Baruyungan kendaraan kehilangan kendali ke kiri
masuk ke jalur sepeda dan menabrak pengendara sepeda gowes,"" kata Badruz.

## Video Pasca-Kecelakaan Beredar

Dalam video yang beredar di media sosial terlihat sedan putih Mazda dalam
kondisi rusak pada bagian depan dan kaca pecah setelah menabrak para pesepeda.

Tampak beberapa korban yang tergeletak di atas badan Jembatan Baruyungan.
Kerumunan para pesepeda terlihat di lokasi kejadian. Sejumlah sepeda juga
rusak terparkir di sisi jembatan.

Polisi langsung melakukan olah Tempat Kejadian Perkara (TKP) pada Ahad pukul
07.15. Polisi membawa pengendara mobil yang menabrak rombongan pesepeda ke
Polres Metro Tangerang di jalan Daan Mogot. Kecelakaan ini ditangani Unit
Penegakan Hukum Satlantas Polres Metro Tangerang.

 ",www.tempo.co
"Kecelakaan di Jalan Arif Rahman Hakim Depok, Pengendara Motor Terlindas Truk","Sabtu, 29 Oktober 2022 05:50 WIB"," \- Kecelakaan maut terjadi di Jalan Arif Rahman Hakim, Pancoran Mas, Depok,
Jumat malam 28 Oktober 2022 sekitar pukul 19.40.

Sebuah truk nopol B 9698 NQC menyeruduk sepeda motor nopol B 6770 EVR yang
tengah melintas di depannya.

Saksi mata di lokasi, Opik 44 tahun mengatakan, kecelakaan bermula saat satu
keluarga yang terdiri dari ayah ibu dan satu orang anak melintasi jalan
tersebut menggunakan sepeda motor.

""Tiba-tiba dari arah belakang melintas truk langsung menyeruduk motor
tersebut,"" kata Opik ditemui Tempo.

Opik yang saat itu sedang melakoni pekerjaan hariannya sebagai tukang parkir
mengaku tidak terlalu melihat kronologi kejadiannya, namun ia mendengar jelas
suara truk melindas salah seorang pengendara sepeda motor tersebut.

Opik segera memberi pertolongan dengan memanggil ambulan untuk evakuasi
korban. ""Korban langsung dibawa ke rumah sakit,"" katanya.

Hingga berita ini diturunkan, belum ada keterangan resmi dari pihak
kepolisian. Kecelakaan ini menyebabkan arus lalu lintas di Jalan Arif Rahman
Hakim sempat tersendat.

ADE RIDWAN YANDWIPUTRA

 ",www.tempo.co
DPRD DKI Setuju Tambah Anggaran Perbaikan Jalan untuk Cegah Kecelakaan di Musim Hujan,"Jumat, 14 Oktober 2022 09:50 WIB"," \- Komisi D DPRD DKI Jakarta setuju memberi tambahan anggaran perbaikan
jalan dan jembatan yang diminta Dinas Bina Marga DKI Jakarta. Kesepakatan itu
dilakukan Komisi D DPRD saat mengesahkan perubahan Kebijakan Umum Anggaran
serta Prioritas dan Plafon Anggaran Sementara (KUA PPAS) Tahun Anggaran 2022
untuk empat organisasi perangkat daerah (OPD).

Ketua Komisi D DPRD DKI Jakarta Ida Mahmudah mengatakan semua anggaran OPD di
bawah komisi D sudah disepakati bersama. Komisi D tinggal menunggu keputusan
rapat pimpinan nanti.

""Semoga anggaran yang sudah disiapkan untuk masyarakat melalui APBD ini dapat
dimanfaatkan dengan baik, tepat sasaran,"" kata Ida Mahmudah dalam keterangan
tertulis, Kamis, 13 Oktober 2022.

Komisi D DPRD DKI telah menyepakati anggaran rencana kegiatan Dinas Sumber
Daya Air, Dinas Bina Marga, Dinas Perumahan Rakyat dan Kawasan Permukiman DKI,
serta Dinas Pertamanan dan Hutan Kota.

Salah satu usulan yang disepakati adalah penambahan anggaran perbaikan jalan
dan jembatan Dinas Bina Marga. Permintaan tambahan anggaran ini disetujui
lantaran Jakarta sudah memasuki musim hujan, sehingga banyak jalan rusak
akibat hujan, banjir, dan beban dari kendaraan.

""Kami menyetujui anggaran ini karena sifatnya mendesak, seperti perbaikan
jalan. Apabila tidak diperbaiki akan menimbulkan kecelakaan,"" ujarnya.

Kepala Dinas Bina Marga Hari Nugroho menyampaikan rancangan perubahan APBD
yang dimiliki sudah dilakukan perhitungan dan penempatan (plot), sehingga
penyerapan di akhir tahun bisa terpenuhi.

""Setelah disahkan anggaran perubahan maupun murni ini, semua rencana kegiatan
2022 harus diselesaikan. Jangan sampai ada penambahan anggaran namun di akhir
tahun tidak terserap. Kami percaya hingga pengunjung tahun dapat menyerap
anggaran di atas 95 persen,"" kata dia.

Menurut Hari, saat ini pihaknya sudah mengerjakan perbaikan jalan berlubang,
terutama di wilayah Jakarta Utara dan Barat yang tingkat kerusakannya cukup
tinggi. ""Wilayah Jakarta Utara dan Barat tingkat rusaknya cukup tinggi,
sehingga kita lakukan perbaikan dengan menggunakam beton. Untuk Jakarta
Selatan dan Pusat kita cukup gunakan hotmix,"" ucapnya.

 ",www.tempo.co
"Kronologi Kecelakaan di Jalan Arif Rahman Hakim Depok, Seorang Ibu Tewas Terlindas Truk","Sabtu, 29 Oktober 2022 09:13 WIB"," \- Kanit Laka Lantas Polres Metro Depok Ajun Komisaris Rasman menyebutkan,
kejadian kecelakaan yang melibatkan truk dan pengendara motor di Jalan Arif
Rahman Hakim pada Jumat tadi malam, disebabkan karena pengendara sepeda motor
yang kurang berhati-hati.

Jadi hasil penyelidikan sementara, pengendara sepeda motor itu tidak
konsentrasi kemudian nyenggol motor lain, oleng ke kiri nabrak separator,
kemudian mental ke kanan jalan, kata Rasman dikonfirmasi Tempo, Sabtu 29
Oktober 2022.

Rasman melanjutkan, disaat yang bersamaan melintas satu unit truk tanah nopol
B 9698 NQC dan tidak dapat menghindari korban yang terjatuh dari motor.

Truk enggak bisa menghindar, sehingga korban inisial NS (39 tahun) terlindas
roda truk, kata Rasman.

Karena luka cukup parah dibagian kepala, NS meninggal saat dilarikan ke rumah
sakit, sementara korban lainnya MM (64 tahun) dan AK (16 tahun) selamat dan
masih dalam perawatan di rumah sakit.

Kejadian masih dalam penyelidikan hingga hari ini, sopir truk AI (47) masih
kita amankan, dan kita akan mengecek CCTV, kata Rasman.

Kecelakaan maut yang terjadi di Jalan Arif Rahman Hakim itu terjadi pada Jumat
malam 28 Oktober 2022 sekitar pukul 19.40.

Sebuah truk menyeruduk sepeda motor nopol B 6770 EVR yang tengah melintas di
depannya.

Saksi mata di lokasi kecelakaan, Opik 44 tahun mengatakan, motor itu
ditumpangi satu keluarga yang terdiri dari ayah MM, NS dan satu orang anak AK.

""Tiba-tiba dari arah belakang melintas truk langsung menyeruduk motor
tersebut,"" kata Opik ditemui Tempo dilokasi kejadian.

""Ibunya terlindas, keras banget suaranya,"" tambahnya.

ADE RIDWAN YANDWIPUTRA

 ",www.tempo.co
"Kecelakaan Maut di Cibubur Tewaskan 10 Orang, KNKT: Sopir Truk dan Bus Tak Sekolah","Rabu, 19 Oktober 2022 01:40 WIB"," \- Komite Nasional Keselamatan Transportasi atau KNKT mencatat fakta baru
dari kejadian kecelakaan maut di Cibubur pada 18 Juli 2022 yang disebabkan
permasalahan sistem rem pada truk tangki Pertamina. KNKT menyebut pengemudi
belum pahamnya pengemudi truk dan bus di Indonesia ihwal sistem rem kendaraan
besar itu secara menyeluruh.

Plt Kepala Subkomite Investigasi Lalu Lintas Angkutan Jalan KNKT Ahmad Wildan
mengatakan, fakta ini dia temukan setelah menggelar pelatihan itu kepada para
supir truk dan bus, khususnya pengemudi truk PT Pertamina Patra Niaga, setelah
adanya kecelakaan yang menewaskan 10 orang itu. Pengemudi tak ada yang paham
sistem rem.

""Lebih parah lagi, lebih bahaya lagi bukan cuma masalah enggak paham baca,
tapi mereka juga enggak paham sistem rem,"" kata Wildan saat konferensi pers di
kantornya, Jakarta, Selasa, 18 Oktober 2022.

Saat ditanya ihwal permasalahan mendasar yang menjadi penyebab tidak
berfungsinya sistem rem truk tangki Pertamina yang kecelakaan, yaitu indikator
tekanan angin pada posisi 7 bar, para pengemudi menurut Wildan tidak ada yang
bisa menjawab. Padahal itu adalah indikasi kurangnya tekanan angin untuk
menjalankan mekanisme rem truk bersistem .

""Memang ini harus bisa dijelaskan kepada para pengemudi apa sih maksudnya
angka 7 bar, apa maksudnya bunyi saat dia 6 bar pasti akan muncul bunyi, atau
lampu , apa artinya itu pengemudi ini belum tahu masalah itu,"" ucap Wildan.

Para pengemudi ini, kata Wildan, juga belum bisa membedakan tekanan angin pada
ban yang memiliki satuan (PSi) dengan satuan tekanan untuk angin pada rem,
yaitu bar. Wildan bahkan mengatakan mereka belum memahami cara memeriksa dua
tekanan yang berbeda itu.

""Saat kami melakukan pelatihan dengan para pengemudi Pertamina saya tanya itu
bagaimana caranya menentukan, itu ada 191 PSi. Saya tanya bapak tahu enggak
bedanya PSi sama bar, mereka bilang enggak tahu bagaimana caranya
memeriksanya, cuma dipukul-pukul , wah ini berarti memang enggak tahu ,"" kata
Wildan.

Ia berujar, para pengemudi ini juga bahkan belum bisa membedakan, antara rem
dengan mekanisme , dengan . Padahal masing-masing mekanisme membedakan juga
penggunaan seluruh jaringan rem pada kendaraan, baik rem kaki maupun rem
tangan.

""Bahkan saat saya melakukan pelatihan, saat (menguji) indikator , saya injek
(rem) nyala (indikator), enggak ada pengemudi yang bisa menjelaskan, itu
maksudnya apa, enggak mengerti dia,"" ujar Wildan.

Ia menyatakan, permasalahan ini harus diakui terjadi karena pengemudi di
Indonesia tidak ada satu pun yang disekolahkan secara khusus mengenai ini oleh
para pemberi kerjanya. Mereka hanya belajar dari apa kata temannya yang sudah
lebih berpengalaman.

""Kami akui bersama, enggak ada pengemudi bus dan truk yang sekolah. Sekolahnya
kan dari teman-temannya sendiri. Jadi mereka enggak secara terstruktur dan
sistematis mempelajari sistem rem, ini PR bagi kita semua,"" kata Wildan.

Persoalan ini pun telah dia masukkan sebagai rekomendasi kepada para pemangku
kepentingan lain dari kejadian kecelakaan maut itu. Rekomendasi itu, kata
Wildan, adalah melatih secara intensif awak pengemudi kendaraan mobil tangki,
khususnya keterampilan mengemudi pada berbagai kondisi jalan, pemahaman sistem
rem, pelaksanaan serta penanganan kondisi darurat.

""Jadi memang ini menjadi PR kita untuk memberikan semacam , agar pengemudi
memahami sistem rem, dan cara pendeteksiannya, termasuk membaca simbol-simbol
tadi,"" ujar Wildan.

 ",www.tempo.co
Jurit Malam: Menyelami Gelap Kawasan Santiong Cimahi,"Kamis, 03 Nov 2022 21:00 WIB","\-

Sunyi dan sepi tergambar dari ruas Jalan Kolonel Masturi, tepatnya di kawasan
Santiong, Cipageran, Kecamatan Cimahi Utara, Kota Cimahi. Daerah tersebut
punya sejarah panjang akan legenda urbannya.

Kawasan Santiong yang cukup tenar di telinga orang Cimahi dan sekitarnya,
merujuk pada area Tempat Pemakaman Umum (TPU) Cipageran. Entah sejak kapan
sebutan Santiong melekat di kawasan itu. Namun yang cukup jelas, Santiong
merujuk pada kuburan Cina di daerah itu.

Jalan Kolonel Masturi sendiri menjadi sekat antara TPU Cipageran dengan TPU
Muslim Cipageran. Kedua 'rumah abadi' orang-orang yang sudah meninggal itu
berseberangan. Mungkin dari situ juga, kawasan itu memunculkan kesan angker
bagi sebagian masyarakat yang percaya mitos dan urban legend.

  

Tim Jurit Malam detikjabar pun menjajal suasana malam kawasan tersebut.
Ditemani rintik hujan, Santiong memang cukup mencekam. Kendati berada tepat di
tepi jalan nasional, sayangnya hal itu tidak menyingkirkan sisi seram kawasan
tersebut.

Sumber penerangan hanya berasal dari tiang-tiang lampu jalan, ada yang
warnanya kuning dan putih. Hanya saja deretan tiang lampu jalan itu juga tak
konsisten, ada yang menyala sementara sebagian lagi padam. Otomatis, daya
jangkau lampu tak bisa menerangi bagian pemakaman.

Berbekal senter kepala, bersama seorang rekan detikJabar menaiki lima buah
anak tangga untuk masuk ke area pemakaman di sisi kiri jalan. Padahal hanya
beberapa langkah saja, tapi senyap tiba-tiba menyergap. Hening, gelap,
tentunya seram. Siapa juga orang yang sengaja jalan-jalan di pemakaman pada
malam hari, kecuali mereka para pencandu misteri.

detikjabar memutuskan beralih tempat sampai akhirnya tiba di ujung area
pemakaman. Kembali menapaki jalan setapak, detikJabar mencoba masuk lebih
dalam ke area pemakaman tersebut. Jangan bayangkan suasana terang dan hangat,
tapi imajinasikan keadaan sepi, gelap, dan dingin.

Deretan makam di TPU Cipageran berbeda dengan pusara pada umumnya. Di
pemakaman itu, pihak keluarga rata-rata sudah membuatnya menjadi lebih bagus
dan mewah. Ada tudung yang menutupi tanah makam keluarga yang sudah meninggal.

Tak mau berlama-lama di tempat tak lazim disambangi pada malam hari,
detikJabar memutuskan angkat kaki menuju pinggir jalan.

Sedikit membahas soal ruas Jalan Kolonel Masturi, akses penghubung Kota Cimahi
dengan Kabupaten Bandung Barat itu memiliki kontur menurun curam. Di lokasi
itu sempat terjadi beberapa kejadian kecelakaan lalu lintas yang menelan
korban jiwa.

Kecelakaan paling parah terjadi pada tahun 2016 silam. Di mana sebuah bus
pariwisata menabrak lima kendaraan hingga menyebabkan sembilan orang meninggal
dunia.

Lalu apa hubungannya? Banyak warga yang percaya jika saat kita melintasi jalan
tersebut, tak boleh melakukan hal-hal sembrono maupun berkata seenaknya atau
dalam Bahasa Sunda dikenal dengan istilah 'sompral'.

Penjelajahan detikjabar di Jalan Kolonel Masturi dan kawasan pemakaman TPU
Cipageran berakhir sekitar pukul 22.00 WIB. Hujan turun kian deras, suasana
makin sepi, kendaraan yang lalu-lalang pun kian berkurang.

 ",www.detik.com
KNKT Sebut Kecelakaan Truk Pertamina di Cibubur Kecelakaan Konyol Karena Sopir Tak Tahu Sistem Rem,"Selasa, 18 Oktober 2022 17:43 WIB"," \- Senior Investigator KNKT Ahmad Wildan meminta adanya pelatihan bagi para
pengemudi truk setelah keluar hasil investigasi tragedi kecelakaan maut di
Jalan Transyogi, Cibubur, pada Senin, 18 Juli 2022 lalu.

Hasil investigasi KNKT menunjukkan bahwa penyebab fatalitas korban bukan
disebabkan oleh desain passive safety di kendaraan maupun jalan, melainkan
tindakan pengemudi truk tangki Pertamina saat menghadapi situasi (emergency
handling).

""Rekomendasi kami menyampaikan untuk menurunkan fatalitas agar melakukan
pelatihan terkait dengan emergency handling,"" ujarnya pada Selasa, 18 Oktober
2022.

Menurut Wildan, para pengemudi belum memahami tentang sistem rem. Bahkan, kata
dia, pengemudi tidak memahami maksud dari jumlah bar dalam tekanan angin serta
belum dapat membedakan cara kerja antara rem full hydraulic brake, air over
hydraulic brake, dan full air brake.

""Ini menjadi PR kita untuk memberikan crash program agar pengemudi memahami
sistem rem dan cara pendeteksinya termasuk membaca simbol-simbol tadi,""
katanya.

Ia juga mengatakan kecelakaan bisa dihindari jika pengemudi memiliki pemahaman
mengenai sistem. Dalam kasus ini, sudah ada tanda-tanda terlebih dulu sehingga
pengemudi seharusnya akan berhenti dan menghubungi pihak manajemen jika dia
memahami sistem rem.

""Kecelakaan itu gak perlu terjadi kalau pengemudinya tahu,"" ungkapnya.

Minimnya pengetahuan yang dimiliki oleh para pengemudi disebut Wildan sebagai
salah satu faktor penyebab peningkatan fatalitas dalam sebuah kecelakaan. Ia
mengimbau harus ada pelatihan bagi setiap pengemudi truk maupun bus untuk
mengurangi kemungkinan kecelakaan.

""Nah ini tugas kita semua, sehingga kecelakaan konyol seperti ini gak perlu
terjadi, karena sebenarnya sudah terindikasi dari awal tapi karena
ketidaktahuan pengemudi kecelakaan ini terjadi,"" ucapnya.

VANIA NOVIE ANDINI

 ",www.tempo.co
