title,date,description,source
Kompolnas Apresiasi Instruksi Kapolri Larang Polantas Tilang Manual,"Minggu, 23 Okt 2022 21:44 WIB","\-

Kompolnas mengapresiasi instruksi Kapolri Jenderal Listyo Sigit Prabowo yang
melarang polisi lalu lintas atau polantas tilang manual terhadap pelanggar
lalu lintas. Menurut Kompolnas, penggunaan Electronic Traffic Law Enforcement
(ETLE) atau tilang elektronik lebih akurat dan menghindari pungutan liar atau
pungli.

""Kami sangat menyambut baik dan mengapresiasi Kapolri atas kebijakan
penggunaan teknologi modern ETLE, karena lebih akurat, diharapkan mengurangi
interaksi antara pelanggar lalu lintas dan polisi sehingga tidak bisa lagi
transaksional, serta mengedukasi masyarakat untuk tertib berlalu lintas dan
melahirkan budaya masyarakat yang taat hukum,"" kata Komisioner Kompolnas
Poengky Indarti kepada wartawan, Minggu (23/10/2022).

Menurut Komopolnas, Kapolri berkomitmen melakukan perbaikan di Polri dengan
menggunakan ETLE. Harapan Kompolnas, ETLE bisa digunakan maksimal di seluruh
polda.

ADVERTISEMENT

SCROLL TO RESUME CONTENT

""Kami berharap penerapan ETLE dapat maksimal di seluruh wilayah Indonesia.
Saat ini ETLE sudah ada di 34 polda. Penggunaan ETLE ini juga bagian dari
upaya Kapolri melaksanakan reformasi kultural Polri dengan sungguh-sungguh,""
ujar Poengky.

""Polisi lalu lintas diharapkan lebih banyak mengatur lalu lintas, melakukan
patroli lalu lintas, dan melayani/mengedukasi masyarakat agar tidak melanggar
lalu lintas. Sehingga tugas preventif-preemtif juga dijalankan dengan baik,""
imbuhnya.

Kapolri Jenderal Listyo Sigit Prabowo sebelumnya melarang jajaran Korlantas
Polri untuk menggelar operasi penindakan tilang pengendara secara manual.
Tindak penilangan diminta untuk hanya menggunakan atau tilang elektronik.

Instruksi larangan menggelar tilang secara manual tersebut dituangkan dalam
surat telegram Nomor: ST/2264/X/HUM.3.4.5./2022, per tanggal 18 Oktober 2022.
Surat telegram ditandatangani oleh Kakorlantas Polri Irjen Firman Shantyabudi
atas nama Kapolri.

""Penindakan pelanggaran lalu lintas tidak menggunakan tilang manual. Namun
hanya dengan menggunakan ETLE baik statis maupun mobile dan dengan
melaksanakan teguran kepada pelanggar lalu lintas,"" tulis instruksi dalam poin
nomor lima surat telegram tersebut, Jumat (21/10).

Kapolri juga meminta seluruh anggota Polantas di lapangan melaksanakan
kegiatan Pengaturan, Penjagaan, Pengawalan, dan Patroli (Turjawali) khususnya
di lokasi Blackspot dan Troublespot.

Anggota Polantas juga diminta untuk melaksanakan kegiatan, pendidikan
masyarakat lalu lintas (Dikmas Lantas)untuk meningkatkan keamanan, keselamatan
ketertiban, dan kelancaran lalu lintas (kamseltibcarlantas) serta mencegah
terjadinya pelanggaran dan kecelakaan lalu lintas.

""Melaksanakan pelatihan guna meningkatkan kemampuan dan profesionalisme
anggota Polantas dalam melaksanakan tugas Polri di fungsi lantas,"" lanjut
instruksi Kapolri sebagaimana termaktub dalam telegram itu.

 ",www.detik.com
Supercar McLaren Tabrak Barrier Beton Tol Waru-Juanda saat Hujan Deras,"Minggu, 23 Okt 2022 17:40 WIB","\-

Kecelakaan tunggal supercar McLaren terjadi di Tol Waru-Juanda KM 0.
Kecelakaan terjadi saat hujan deras tengah mengguyur kawasan Sidoarjo.

Kasat PJR Polda Jatim AKBP Dwi Sumrahadi mengatakan kecelakaan terjadi sekitar
pukul 14.15 WIB.

""Kendaraan semula dari Juanda mengarah ke Waru tiba di KM 0 cuaca hujan
lebat,"" kata Sumrahadi saat dikonfirmasi, Minggu (23/10/2022).

Kecelakaan tunggal supercar warna merah nopol B 3 AGR itu terjadi karena
pengemudi kurang konsentrasi. Akibatnya, mobil menabrak barrier beton tol.

""Pengemudi kurang konsentrasi dan selip menabrak barier beton sebelah kiri,""
terangnya.

Dikatakan Sumrahadi, tidak ada korban jiwa dalam kecelakaan tunggal tersebut.
Namun kerugian material ditaksir mencapai ratusan juta.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
"Ambulans Bawa Jasad Bayi Vs 3 Motor di Pangandaran, 1 Orang Tewas","Minggu, 23 Okt 2022 18:00 WIB","\-

Ambulans pembawa jenazah dari RSUD Pandega Pangandaran adu banteng dengan
pengendara motor yang hendak ke Pangandaran. Kecelakaan lalu lintas ini
terjadi di Jalan Raya Kalipucang-Pangandaran blok Baturikel, Kalipucang,
Pangandaran pada Minggu (23/10/2022) pukul 13.30 WIB siang.

Kapolsek Kalipucang Iptu Iman membenarkan adanya tabrakan beruntun yang
menyebabkan satu orang tewas tersebut.

""Ya tadi dapat laporan ada tabrakan antara pengendara motor dari arah Banjar
menuju Pangandaran dengan ambulans RSUD Pandega,"" kata Iman kepada saat
dikonfirmasi, Minggu (23/10/2022).

  

Mobil dengan nopol Z 9940 U milik Dinas Kesehatan Pangandaran UPTD RSUD
Pandega dikendarai Indra Aditya (24) bertabrakan dengan 3 unit sepeda motor
tanpa nopol.

""Mereka tabrakan beruntun, tiga pengendara pemakai motor sport beda arah dari
Banjar menuju Pangandaran,"" katanya.

Akibat kejadian tersebut seorang pengendara motor sport meninggal dunia saat
dibawa ke RSUD Pandega dan 2 orang lainnya mengalami luka-luka.

""Korban yang meninggal bernama Muhammad (20) warga asal Padaherang,
Pangandaran,"" ucapnya.

Saat ini jenazah dari RSUD Pandega dibawa menuju rumah duka di Padaherang.

Sementara Supir ambulans RSUD Pandega Pangandaran Indra mengatakan dirinya
hendak membawa jenazah anak 1 tahun untuk dibawa ke Mangunjaya bersama
keluarga duka dari RSUD Pandega Pangandaran.

""Semula saya nyalip 2 mobil pas waktu di Jalan Raya Kalipucang, waktu baru 1
mobil mau disalip dari arah berlawanan 3 motor berjalan ngebut,"" ucapnya.

Kemudian, kata Indra, motor yang dikendarai korban terjatuh dan motor lainnya
menghantam ambulans di bagian depan mobil.

""Motor menghantam bagian depan dan samping kanan mobil, secara beruntun,""
katanya.

Ia mengatakan, jenazah yang dibawa olehnya dipindahalihkan ke ambulans lainnya
di RSUD Pandega untuk menuju rumah duka di Mangunjaya, Kabupaten Pangandaran.

 ",www.detik.com
Kejadian Aneh di Tikungan Tajam Tugu Mobil Hancur di Poros Pinrang-Parepare,"Minggu, 23 Okt 2022 20:27 WIB","\-

Tugu mobil hancur di jalan poros Pinrang-Parepare menjadi peringatan bagi
pengendara yang melintas. Pasalnya jalur merupakan tikungan tajam dan rawan
kecelakaan.

Disamping struktur jalan yang rawan kecelakaan, terdapat kejadian aneh pada
tikungan di Kilometer 21, Desa Watang Pulu, Kecamatan Suppa, Kabupaten Pinrang
tersebut. Pasalnya pengendara kerap melihat penampakan jalanan yang lurus
padahal jelas jalan tersebut merupakan tikungan.

""Yang kecelakaan biasanya bilang ada mistisnya,"" tutur Kepala Desa Watang
Pulu, Darmawan saat kepada , Jumat (21/10/2022).

  

![Tugu mobil hancur di jalan poros Pinrang-Parepare, Sulawesi Selatan
\(Sulsel\).](https://akcdn.detik.net.id/community/media/visual/2022/10/23/tugu-
mobil-hancur_169.jpeg?w=620)Foto: Tugu mobil hancur di jalan poros Pinrang-
Parepare, Sulawesi Selatan (Sulsel). (Muhclis Abduh/detikSulsel)  
  
---  
  
Darmawan mengingat dalam beberapa kasus kecelakaan yang terjadi, ia mendengar
dari korban kecelakaan bahwa jalanan yang dilihat mereka adalah lintasan
lurus. Ketika menabrak atau kecelakaan mereka baru tersadar.

Bahkan, kejadian aneh itu juga dialami oleh temannya sendiri. Kala itu
temannya mengendarai motor hendak menuju ke arah Parepare, kemudian ditabrak
oleh pengendara mobil.

""Itu yang menabrak bilang dia melihat jalanan lurus dan mulus, padahal kan di
situ belokan,"" paparnya.

Darmawan mengatakan, pengalaman ini bukan hanya satu dua orang yang mengalami.
Tetapi hampir semua yang mengalami kecelakaan di jalur tersebut.

""Banyak lah yang kecelakaan di situ bilang lihat jalanan lurus,"" ulangnya
menegaskan.

Hal aneh ini tidak hanya terjadi di malam hari, melainkan juga di siang hari.

Darmawan menambahkan, selain kecelakaan karena melihat jalanan menjadi lurus,
warga sekitar juga mengaku sering melihat ada penampakan makhluk gaib bertubuh
tinggi. Penampakan ini yang terkadang membuat warga sekitar yang melintas di
jalan tersebut kecelakaan karena kaget.

""Itu kalau orang Bugis bilang Longga itu makhluk, warga sekitar katanya biasa
lihat penampakannya di situ,"" paparnya.

Darmawan mengatakan, angkernya jalan di sekitar tugu mobil hancur tersebut
kemungkinan ada hubungannya dengan kisah pembantaian di lokasi tersebut.
Menurut cerita dari orang tua terdahulu yang ia sempat dengar, tempat di
sekitar tugu mobil hancur merupakan lokasi eksekusi.

""Zaman dulu, zaman gorilla (zaman pemberontakan) begitu. Itu biasa di pagi
hari tiba-tiba ada orang terpotong lehernya didapat di situ,"" kisahnya.

## Pesan di Balik Tugu Mobil Hancur

Tugu mobil hancur yang terpasang di sekitar jalur tersebut itu dibuat pada
pada tahun 2003 silam. Pemasangan tugu mobil ringsek tersebut atas inisiatif
Kapolres yang menjabat saat itu.

""Itu Pak Noviantoro, Kapolres Pinrang saat itu yang inisiatif membuat tugu,
karena sering kecelakaan. Dipasang tahun 2003 lalu,"" jelas Kanit Laka Polres
Pinrang, Ipda Muhammad Mansyur, Jumat (21/10).

Mansyur menjelaskan, tugu tersebut dipasang untuk memperingatkan para
pengendara labih berhati-hati. Pasalnya tikungan tersebut sering terjadi
kecelakaan.

Menurutnya, struktur jalan di jalur tersebut memang rawan. Karena beraspal
mulus kemudian tikungan berbentuk S dan menurun dari arah Pinrang ke Parepare.

""Di situ lurus dan tikungan. Jadi pengendara ngebut dan biasa keluar jalur
saat menikung dan biasanya kecelakaan tunggal atau tabrakan,"" imbuhnya.

Selain itu, terkadang anak muda meskipun tahu jalanan di sekitar tugu tersebut
belokan tajam berbentuk S tetapi ingin adu adrenalin. Sengaja mencoba menikung
tetapi perhitungannya tidak bagus dan akhirnya terjatuh.

""Kadang anak muda juga toh,sudah tahu tikungan tapi tetap mau tes skil balap
mungkin tapi akhirnya jatuh,"" jelasnya.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Kisah Tragis Mahasiswi Korban Kecelakaan Maut Truk Langgar Lalin,"Sabtu, 22 Okt 2022 06:47 WIB","\-

Kecelakaan maut terjadi di Jalan Singaraja-Sudirman, Kelurahan Banyuasri,
Kecamatan Buleleng, Kabupaten Buleleng, Bali. Truk melanggar lalu lintas
menabrak mahasiswi pemotor. Korban diketahui mahasisiwi tingkat akhir, tinggal
menunggu wisuda.

Kecelakaan terjadi pada Kamis (20/10/2022) sekitar pukul 03.00 Wita. Truk boks
yang dikendarai Anton Surono Adi (38) warga Trenggalek, Jawa Timur, melanggar
rambu dilarang melintas dan menabrak motor yang dikendarai korban, I Gusti Ayu
Kompyang Yunita Swandewi (23).

""Sudah mau wisuda, sudah nyusun, rencana mau wisuda, tapi belum dikasih tahu
kapan tanggalnya,"" ujar ayah korban, Gusti Ketut Deni, saat ditemui di rumah
duka, Lingkungan Bakung, Kelurahan/Kecamatan Sukasada, Kabupaten Buleleng,
Jumat (21/10/2022).

  

Deni mengungkapkan, putrinya mengalami luka parah di bagian kepala, sudah
terkapar dan kritis sebelum dilarikan ke Rumah Sakit (RS) Bali Med Singaraja.
Nahas, nyawa anak keduanya itu tak dapat diselamatkan karena menderita luka
parah, robek pada bagian kepala, dan pendarahan.

""Sebelumnya anak _tiang_ ini pergi _melali_ (melancong) ke Pantai Penimbangan
(PP) sama teman-temannya. Kemungkinan datang dari PP saat menuju arah pulang
terjadi kecelakaannya,"" ungkap Deni.

Ia mengaku semasa hidup jarang berkomunikasi dengan putrinya itu, karena sama-
sama sibuk. Kini pihak keluarga tengah menyiapkan upacara mekingsan ring geni
terhadap jenazah korban, Jumat (28/10/2022).

Terkait proses hukum sopir truk boks yang menabrak anaknya, Deni menyerahkan
sepenuhnya kepada pihak kepolisian. ""Pasti, ada upaya hukum, nanti kami
serahkan kepada pihak berwenang saja masalah hukumnya,"" pungkasnya.

 _Simak halaman selanjutnya, nasib sopir truk hingga kronologi kejadian..._

Halaman 1  2

Selanjutnya __

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Pesan di Balik Tugu Mobil Hancur di Jalan Poros Parepare-Pinrang,"Minggu, 23 Okt 2022 18:28 WIB","\-

Saat melintasi jalan poros Pinrang-Parepare pengendara akan menemukan sebuah
tugu dengan mobil dalam kondisi hancur di bagian atasnya. Tepatnya di
Kilometer 21, Kecamatan Suppa, Kabupaten Pinrang.

Tugu ini kokoh berdiri di salah satu sudut tikungan tajam jalan poros Pinrang-
Parepare. Keberadaan tugu tersebut bukan sekadar pajangan, melainkan sebuah
pesan tersirat agar pengendara berhati-hati karena daerah tersebut sering
terjadi kecelakaan lalu lintas.

Setiap pengendara dapat dengan mudah melihat tugu mobil hancur tersebut.
Posisi tugu mobil berada di sebelah kanan dari arah Kabupaten Pinrang.

  

""Itu tugu mobil rusak dipasang karena sering terjadi kecelakaan di sekitar
situ,"" ungkap Kanit Laka Polres Pinrang, Ipda Muhammad Mansyur kepada , Jumat
(21/10/2022).

Meski begitu, Mansyur menjelaskan mobil tersebut bukan mobil yang pernah
mengalami kecelakaan di jalur tersebut. Namun, hanya mobil angkutan umum yang
rusak dan tidak terpakai.

""Itu mobil pete-pete sebenarnya, lama tidak terpakai jadi kita manfaatkan,""
tegasnya.

Mobil tersebut kemudian dibawa ke bengkel untuk dibuat ringsek sehingga tampak
menyeramkan. Hal ini bertujuan agar pesan bagi pengendara untuk berhati-hati
di tikungan tersebut bisa lebih berkesan.

""Dibuat penyok dan menyeramkan begitu dan kemudian dipasang rangka bodi mobil
pete-pete itu,"" rincinya.

Tugu itu dibuat pada pada tahun 2003 silam. Pemasangan tugu mobil hancur
tersebut atas inisiatif Kapolres Pinrang pada saat itu .

""Itu Pak Noviantoro, Kapolres Pinrang saat itu yang inisiatif membuat tugu,
karena sering kecelakaan. Dipasang tahun 2003 lalu,"" jelasnya.

Mansyur menjelaskan, kecelakaan sering terjadi di tikungan tersebut karena
struktur jalan yang beraspal mulus. Selain itu tikungan tersebut berbentuk S
dan menurun dari arah Pinrang ke Parepare membuat jalur tersebut rawan
kecelakaan.

""Di situ lurus dan tikungan. Jadi pengendara ngebut dan biasa keluar jalur
saat menikung dan biasanya kecelakaan tunggal atau tabrakan,"" imbuhnya.

Selain itu, terkadang anak muda meskipun tahu jalanan di sekitar tugu tersebut
belokan tajam berbentuk S tetapi ingin adu adrenalin. Sengaja mencoba menikung
tetapi perhitungannya tidak bagus dan akhirnya terjatuh.

""Kadang anak muda juga toh,sudah tahu tikungan tapi tetap mau tes skil balap
mungkin tapi akhirnya jatuh,"" jelasnya.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
"Jatuh Usai Tabrak Penyeberang, Pemotor di Sukabumi Tewas Terlindas Truk","Sabtu, 22 Okt 2022 08:45 WIB","\-

Kecelakaan lalu lintas terjadi di Jalan Raya Otista, Kecamatan Citamiang, Kota
Sukabumi, Jumat (21/10/2022) malam. Akibat peristiwa tersebut, satu warga
mengalami luka-luka dan pengendara motor tewas di tempat.

Berdasarkan informasi yang dihimpun, kecelakaan itu terjadi sekitar pukul
22.00 WIB. Kondisi jalan menurun dan cukup basah usai hujan deras yang
mengguyur pada siang hingga malam hari.

Kanit Gakkum Satlantas Polres Sukabumi Kota Ipda Jajat Munajat mengatakan,
kecelakaan itu bermula saat pengendara motor berinisial ES yang membawa sepeda
motor Suzuki Smash dengan nopol F 2770 SH melaju dari arah Kota Sukabumi ke
Sigodeg.

  

""Kemudian sesampainya di tempat kejadian, ES menabrak seorang laki-laki
penyeberang jalan inisial AR, dia menyeberang dari arah kiri menuju kanan
jalan bila dilihat dari arah datangnya kendaraan sepeda motor,"" kata Jajat
kepada detikJabar, Sabtu (22/10/2022).

Lebih lanjut, penyeberang jalan itu terjatuh usai tertabrak pengendara motor.
Bukan hanya itu, pemotor ES pun terjatuh tepat di bawah mobil truk yang melaju
dari arah berlawanan hingga bagian kepala korban terlindas.

Kendaraan truk itu berjenis colt diesel boks Mitsubishi dengan nomor polisi D
8559 FO yang dikendarai oleh pria berinisial F. Truk itu diketahui melaju dari
arah Sigodeg menuju Kota Sukabumi.

""Pengendara sepeda motor terjatuh tepat di bawah ban depan kendaraan Colt
Diesel Boks Merk Mitsubishi, sehingga pengendara sepeda motor tersebut
tergilas tepat di bagian kepala,"" tambahnya.

Akibat dari kecelakaan lalu lintas tersebut, penyeberang jalan mengalami luka-
luka dan pengendara sepeda motor Suzuki Smash mengalami luka di kepala yang
cukup parah sehingga meninggal dunia di tempat.

""Kedua korban dibawa ke RS Syamsudin SH Kota Sukabumi untuk mendapatkan
pengobatan secara medis dan visum Et Repertum,"" tutupnya.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Vios Terjun ke Sungai di Magetan,"Sabtu, 22 Okt 2022 08:52 WIB","\-

Kecelakaan terjadi Jalan Raya Barat-Karangmojo, Desa Rejomulyo, Kecamatan
Barat, Magetan. Sebuah Toyota Vios bernopol AE 1604 RE menabrak pembatas
jembatan lalu terjun ke sungai sedalam sekitar 5 meter.  
  
""Betul, telah terjadi kecelakaan kendaraan Vios,"" kata Kasat Lantas Polres
Magetan AKP Trifonia Situmorang saat dikonfirmasi detikJatim, Sabtu
(22/10/2022).

Akibat kecelakaan itu, dua orang terluka. Mereka langsung dibawa ke RS Bhakti
Husada Kecamatan Barat. Keduanya adalah G (25) warga Desa Mrahu, Kecamatan
Kartoharjo, Magetan dan F.Y (27) warga Desa Mangge, Kecamatan Barat, Magetan.

""Kedua korban luka ringan sudah mendapat penanganan di Rumah Sakit Bhakti
Husada, Barat,"" kata Trifonia.

Trifonia menambahkan, kecelakaan terjadi sekitar pukul 06.00 WIB tersebut.
Vios menabarak pembatas jembatan setelah menghindari sepeda motor dari arah
berlawanan.

""Jadi keterangan saksi menyebut bahwa pengemudi ingin menghindari pemotor di
depannya yang ingin berbelok. Diduga karena mendadak, kaget, hingga banting
setir ke kiri dan terjatuh ke sungai,"" terang Trifonia.

Trifonia mengimbau para pengguna jalan untuk meningkatkan kewaspadaan

""Selalu hati-hati dan waspada, serta taati rambu dan disiplin berlalu lintas,""
tukasnya.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
"Tangki BBM Meledak di PT Marcopolo Shipyard Batam, 2 Pekerja Tewas","Sabtu, 22 Okt 2022 10:36 WIB","\-

Empat orang pekerja mengalami kecelakaan kerja terjadi di PT Marcopolo
Shipyard l, Kelurahan Sei Pelunggut, Kecamatan Sagulung, Kota Batam, Kepulauan
Riau (Kepri). Akibat ledakan tangki BBM itu, dua orang pekerja tewas akibat
alami luka bakar dan dua lainnya mendapatkan perawatan intensif di rumah
sakit.

""Kejadiannya pada Kamis (20/10/2022). Dua korban meninggal, dua korban luka
bakar dan saat ini mendapat perawatan di rumah sakit,"" kata Kapolsek Sagulung,
Iptu Nyoman Mahendra, Sabtu (22/10/2022).

Empat orang pekerja di PT Marcopolo Shipyard tersebut diketahui sedang
melakukan pekerjaan membuka palp di dalam tangki Kapal Griya Enim. Tangki
tersebut bekas membawa Bahan Bakar Minyak (BBM) jenis Pertalite.

  

Saat sedang bekerja, api tiba-tiba menyambar. Tangki yang sedang dikerjakan
empat orang pekerja tersebut terbakar. Dua korban yang tewas ditempat yakni TW
(23) dan PJ (23), sedangkan RH (23) dan WH (28) mendapatkan perawatan intensif
di rumah sakit.

""Untuk penyebab kecelakaan masih dalam proses penyelidikan. Dua korban
selamat, belum bisa dimintai keterangan, untuk TKP sendiri kita sudah lakukan
pengamanan sudah dipasang garis polisi,"" ujarnya.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Kala Rombongan Moge Chef Juna Kecelakaan Lalu Intimidasi Wartawan,"Sabtu, 22 Okt 2022 06:01 WIB","\-

Kecelakaan tunggal menimpa salah satu pengendara konvoi rombongan motor gede
(moge) di jalur Pantura, Desa Mlandingan, Situbondo. Konvoi tersebut diketahui
rombongan Chef Junior John Rorimpandey atau yang dikenal Chef Juna.

Kanit Laka Satlantas Polres Situbondo, Ipda Kadek Yasa saat dikonfirmasi
membenarkan kecelakaan itu. Kecelakaan menimpa salah satu pengendara moge
hanya mengalami luka ringan.

Menurut Kadek, pengendara yang mengalami luka tersebut sempat dibawa ke IGD
RSUD Abdoerrahem, Situbondo. Rombongan tersebut diketahui dari arah barat
Surabaya dan menuju ke timur atau arah ke Bali.

""Setelah mendapat perawatan, rombongan moge itu langsung melanjutkan ke arah
timur (Bali),"" ujar Kadek, Jumat (21/10/2022).

Kadek menambahkan pihak sempat akan menangani kecelekaan tunggal salah satu
rombongan tersebut. Tapi kru rombongan menolak dan memilik menderek motor
sendiri.

""Karena tidak mau kami tangani lebih lanjut. Moge langsung diderek krunya,""
ujar Kadek Yasa.

Meski begitu, pengendara moge yang mengalami laka sempat dibawa ke IGD RSUD
Abdoerrahem. Nah saat di rumah sakit ini, sejumlah kru atau private guard
rombongan moge sempat mengintimidasi wartawan yang akan meliput.

Tak hanya melarang meliput, kru rombongan moge juga sempat merampas dan
menghapus sejumlah file video milik wartawan. Hal ini diungkapkan Humaidi,
salah satu wartawan yang sempat mendapat intimidasi.

""Saya bersama beberapa teman wartawan datang ke ruang IGD rumah sakit, hendak
meliput dan mengambil gambar. Tapi dihalangi. Bahkan, kru rombongan merampas
ponsel lantas menghapus gambar dan video,"" ujar Humaidi.

Menurut Humaidi, dirinya juga diperlakukan kasar oleh para kru rombongan moge
tersebut. Ia mengaku sempat dibentak agar tak meliput dan mengambil gambar
rombongan dan salah satu pengendara yang mendapat perawatan di IGD.

""Kami akan segera berkoordinasi dengan teman-teman, untuk melaporkan tindakan
menghalangi tugas jurnalistik. Ini sudah melanggar undang-undang pers,"" tandas
Humaidi.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
