title,date,description,source
Dua Pengedara Motor Tabrakan di Pekulo,22 October 2022 16:03 PM,",  Ini menjadi peringatan bagi pemotor agar berhati-hati. Dua motor Yamaha
Mio dan Honda CBR tabrakan di jalan raya simpang tiga Dusun Pekulo, Desa
Kepundungan, Kecamatan Srono, Banyuwangi, Kamis (20/10).

Tidak ada korban jiwa, kedua pemotor Edi Santoso, 41, warga Dusun Pekulo, Desa
Kepundungan, dan Supriyadi, 36, asal Desa Gangsang, Kecamatan Kesamben,
Kabupaten Jombang mengalami luka di beberapa bagian tubuhnya dan dibawa ke RS
Al Huda Gambiran. Pemotor selamat semua, cetus Plt Kanitlantas Polsek
Muncar, Aiptu Nuryadi.

Menurut Plt Kanitlantas, kecelakaan itu bermula saat Edi yang naik motor
Yamaha Mio dengan nomor polisi P 4408 UE, melaju dari arah timur. Setiba di
jalan simpang tiga Pekulo, dari arah selatan meluncur Honda CBR S 3171 QBR
yang dinaiki Supriyadi berboncengan dengan Veni, 19, warga Desa/Kecamatan
Balung, Kabupaten Jember. Kedua motor itu tabrakan di jalan simpang tiga,
ungkapnya.

Akibat kecelakaan itu, jelas dia, Supriyadi mengalami luka di bagian wajah,
sedang Veni luka lecet pada tangan dan kaki. Kalau yang naik motor Yamaha Mio
luka dibagian kepala, semua dibawa ke RS Al Huda Gambiran, ungkapnya.

 ",www.jawapos.com
"Tabrakan Beruntun di Jalan Raya Madiun-Surabaya, Dua Nyawa Melayang",28 September 2022 12:15 PM,", Jawa Pos Radar Madiun  Jalan Raya Madiun-Surabaya belum berhenti menebar
teror. Lagi-lagi tabrakan beruntun terjadi di ruas jalan itu. Kali ini,
melibatkan pikap, truk, dan mobil jenis multi purpose vehicle (MPV). Sedangkan
tempat kejadian perkara (TKP) masuk wilayah Desa/Kecamatan Madiun.

Insiden yang terjadi sekitar pukul 05.00 kemarin (27/9) itu menelan dua korban
jiwa. Sopir pikap meninggal di tempat. Sementara, kernetnya meninggal di
rumah sakit. Keduanya mengalami luka berat, kata Kanit Gakkum Satlantas
Polres Madiun Ipda Roni Susanto.

Kecelakaan bermula saat pikap Mitsubishi nopol AE 9305 SJ melaju dari arah
selatan. Kendaraan itu dikemudikan Sudarto Yudi Baskoro, 49, dan kernetnya
Mochamad Sanusi, 45. Keduanya warga Desa Tulungrejo Gede, Madiun. Sesampainya
di TKP, Sudarto mengurangi kecepatan lantaran hendak belok ke kanan.

Bersamaan itu, mendadak muncul Daihatsu Xenia nopol AE 805 BR yang dikemudikan
Hartono, 47, warga Desa/Kecamatan Sawahan, muncul di belakangnya dan langsung
menabrak pikap hingga terdorong melewati ruas jalan berlawanan. Setelah itu,
mobil Xenia menabrak teras rumah warga. Pengemudi Xenia kurang konsentrasi
sehingga menabrak pikap di depannya, ujar Roni.

Belum selesai, pikap bermuatan ayam itu kemudian dihantam truk Mitsubishi
Center nopol L 8277 BM yang dikemudikan Supriono, 43, warga Desa Bagi, Madiun,
yang melaju dari arah utara. Truk baru berhenti setelah menabrak tiang
penerangan jalan umum (PJU) dan teras rumah warga.

Nahas bagi Sudarto dan Sanusi, sopir dan kernet pikap. Sudarto tewas seketika
di lokasi kejadian. Sedangkan Sanusi meninggal saat dalam perawatan di rumah
sakit. Pengemudi truk dan Xenia tidak menderita luka berarti, ungkap Roni.

Sebelumnya, pada Minggu (25/9) lalu kecelakaan serupa terjadi di Jalan Raya
Madiun-Surabaya masuk Desa Bagi, Kecamatan Madiun. Insiden itu melibatkan
mikrobus, mobil sedan, dan sepeda motor. Satu orang meninggal dan tiga lainnya
mengalami luka akibat kejadian tersebut.

 ",www.jawapos.com
Lima Mobil Tabrakan Beruntun Jalan Bukittinggi-Padang Panjang,8 October 2022 14:44 PM," Petugas kepolisian Polres Bukittinggi mengevakuasi korban kecelakaan
beruntun yang melibatkan lima kendaraan di Jalan Lintas Bukittinggi  Padang
Panjang, Sumatera Barat.

Kasatlantas Polres Bukittinggi, AKP Ghanda Novidiningrat di Bukittinggi,
Sabtu, mengatakan kecelakaan terjadi pada Jumat (7/10) malam tepatnya di
kilometer 04 hanya beberapa meter dari persimpangan Pasar Padang Luar,
Kabupaten Agam yang diawali oleh mobil truk yang mengalami rem blong.

Personel Satlantas Polres Bukittinggi bersama masyarakat setempat langsung
melakukan evakuasi terhadap para korban, satu di antaranya mengalami patah
tulang leher dan harus dirujuk ke RS M.Jamil Kota Padang. Ada sembilan korban
mengalami luka dan memar dalam kejadian, beruntung tidak ada korban jiwa, satu
orang korban atas nama Muriasman dirujuk ke RS M Jamil Padang karena cedera
berat, katanya.

Ghanda mengatakan kecelakaan terjadi karena mobil truk dari arah Padang
Panjang menuju Bukittinggi mengalami rem blong dan menabrak kendaraan yang
melaju searah berada di depannya sebelum terhenti karena juga menghantam rumah
dan warung milik warga.

Karena rem blong pada truk nopol BG 8323 UD yang mengangkut biji sawit,
sehingga menabrak Luxio B 1341 VVJ, Hiace BM 7033 TP, mobil Honda HRV BA 1562
ME serta sepeda motor BA 6215 ZN, kata dia.

Dari lokasi kejadian, Luxio terpelanting hingga ke seberang jalan, HRV dan
Hiace rusak parah di seluruh bagian, sementara truk terjerembab ke dalam
sebuah selokan.

Kecelakaan ini membuat kemacetan panjang dari dan menuju Kota Bukittinggi,
Padang Panjang karena proses evakuasi dan keramaian warga yang melihat
langsung di lokasi.

Luxio berhasil dievakuasi pertama kali, selanjutnya HRV dan sepeda motor dua
jam setelah kejadian, korban dilarikan ke rumah sakit terdekat. Sopir truk
atas nama Edi Candra warga Pasaman Barat, sudah kami amankan, dia bersikap
kooperatif dan menjelaskan semua kronologi, kata Kasat.

Proses evakuasi sempat ricuh karena adanya oknum warga yang ketahuan melakukan
pencurian telepon genggam milik salah satu korban yang tertinggal di salah
satu mobil terlibat laka. Terekam kamera warga yang mendokumentasikan
kejadian, warga sempat akan menghakimi karena kesal, beruntung cepat diamankan
petugas kepolisian dan dibawa ke Polres, kata warga, Hendra.

Diketahui, truk sudah mengalami rem blong sejak satu kilometer dari lokasi
tabrakan dan melaju kencang dengan oleng menghindari kendaraan lain yang
melaju di hadapannya.

Saya salah satu yang berhasil menghindari truk ini, saya melihat melaju
sangat kencang dan oleng hingga kami terpaksa menepi mengelak, benar saja, itu
rem blong dan kendaraan lain ikut tertabrak meski sopir truk sudah berusaha
mengelak, mengerikan melihatnya, kata warga lainnya, Al. (/antaranews.com)

 ",www.jawapos.com
"Hindari Tabrakan, Truk Senggol Truk",7 October 2022 11:18 AM,",  Kecelakaan melibatkan truk kembali terjadi di jalan nasional. Kali ini,
truk box menabrak truk parkir di jalan Babat  Tuban, masuk Desa Gembong,
Kecamatan Babat kemarin (6/10) pagi.

Panit Lantas Polsek Babat, Ipda Debhi, menjelaskan, awalnya truk box B 9193 YO
yang dikemudikan Asmad Hasikin, 38, warga Desa Wonokerto, Kecamatan Bantur,
Malang melaju dari timur. Karena ada masalah mesin, truk yang mengangkut
kerupuk ini menepi. Saat truk parkir, dari belakang meluncur truk S 9092 UW
bermuatan ayam yang dikemudikan Gendut Hariyanto, 23, asal Desa Keplaksari,
Kecamatan Peterongan, Jombang.

Kecepatannya, sekitar 60 kilometer per jam. Mendekati lokasi kejadian, sopir
kaget karena kendaraan di depannya mengerem mendadak. Truk bermuatan ayam
tersebut dibanting setir ke ki kiri. Akibatnya, truk menyenggol truk box yang
sudah diparkir di pinggir jalan.

Truk bermuatan ayam tersebut tabrak bagian samping truk, ucapnya.

Atas kejadian tersebut, tentunya tak ada korban jiwa, hanya mengalami
kerugian material, imbuhnya.

 ",www.jawapos.com
"Tabrakan dengan Mobil, Pengendara Motor Meninggal di TKP",10 October 2022 11:45 AM,",  Kecelakaan maut terjadi di Jalan Cempaka, Desa Sumberkolak, Kecamatan
Panarukan, Kamis (6/10) malam. Satu orang meninggal di tempat kejadian perkara
(TKP). Korban berinisial FN, 25, warga Kecamatan Panarukan.

Pria yang bekerja swasta tersebut, tewas setelah kendaraannya bernopol P 2389
DR adu moncong dengan mobil Avanza dengan nopol P 1231 DG. Mobil yang
dikendarai perempuan berinisial, TSI, 38, warga Kecamatan Panarukan.
Kecelakaan antara dua kendaraan tersebut terjadi pada pukul 20.30 tepatnya di
KM 190,800 dari arah Surabaya, ujar Kanitlaka Polres Situbondo, Ipda Kadek
Yasa.

Kadek mengatakan, kecelakaan bermula saat sepeda motor yang dikendarai FN
melaju dari arah barat ke timur. Dengan kecepatan tinggi, kendaraan korban
tiba-tiba oleng ke kanan jalan. Saat itulah dari arah berlawanan muncul mobil
avanza. Jalan yang dilalui cukup gelap dan banyak tikungan. Karena jarak
kendaraan cukup dekat, sepeda motor langsung menyeruduk mobil tersebut tepat
di bagian depan, terangnya.

Akibat kerasnya benturan tersebut, FN langsung terpental cukup jauh dan
seketika meninggal di TKP. Pengendara motor yang meninggal, untuk pengendara
mobil hanya mengalami luka ringan, ungkapnya.

Kadek menambahkan, pengendara mobil mengalami cidera pada paha kaki kiri,
memar pada kelopak mata dan lecet pada lengan tangan. Mobil yang dikendarainya
juga mengalami ringsek di bagian depan. Kedua kendaraan sama-sama ringsek,
paling parah sepeda motor yang dikenakan FN. Semuanya langsung diamankan,
Sedangkan korban dibawa ke rumah sakit, jelasnya.

 ",www.jawapos.com
Sekeluarga Tewas Tertabrak Mobil di Garut!,"Selasa, 25 Okt 2022 09:16 WIB","\-

Sepeda motor yang ditunggangi satu keluarga mengalami kecelakaan di Kecamatan
Cibalong, Garut. Tiga orang dinyatakan tewas dalam kejadian tersebut.

Kejadian nahas itu, berlangsung di Jalan Raya Cibalong, tepatnya di Kampung
Sukalaksana, Desa Karyasari, Kecamatan Cibalong, pada Senin (24/10/2022).

Sebuah sepeda motor matik Honda Beat dengan nomor polisi Z 2419 EY, yang
ditunggangi satu keluarga, terdiri dari ayah, ibu, serta satu anak balita,
melaju dari arah Pameungpeuk menuju Cibalong.

  

Dari arah yang berlawanan, datang sebuah kendaraan roda empat jenis Toyota
Rush nomor polisi Z 1295 DM yang dikendarai seorang pria berinisial RD.

Kasat Lantas Polres Garut AKP Undang Syarif Hidayat mengatakan, kecelakaan
terjadi, diduga usai mobil tersebut melaju terlalu ke kanan.

""Sepeda motor dan para korban sempat terseret hingga sejauh 50 meter,"" ucap
Undang, kepada Selasa (25/10/2022).

Akibat dari kecelakaan tersebut, ayah berinisial EN (22) dan ibu berinisial SM
(22) meninggal dunia. Putra mereka, YAS (3) sempat diselamatkan polisi ke RSUD
Pameungpeuk. Namun sayang, nyawanya tak tertolong dan meninggal di rumah
sakit.

""Anaknya MD (meninggal dunia) di rumah sakit,"" katanya.

Insiden tersebut, sangat memilukan. Sebab, SM juga diketahui sedang hamil muda
saat kejadian tersebut berlangsung. Polisi sedang memastikan kondisi bayi
dalam kandungan tersebut.

Dari sejumlah dokumentasi kejadian yang beredar luas di media sosial, terlihat
kedua kendaraan yang terlibat kecelakaan mengalami kerusakan parah.

Undang menambahkan, para korban langsung dievakuasi ke RSUD Pameungpeuk.
Sedangkan pengendara mobil berinisial RD, kini sudah diamankan.

""Pengendara mobil sudah kita amankan,"" pungkas Undang.

 ",www.detik.com
"Truk Kecelakaan di Tol Jagorawi, Sopir Ngantuk hingga Masuk Parit","Selasa, 25 Okt 2022 09:08 WIB","\-

Kecelakaan lalu lintas terjadi di Tol Jagorawi Km 45. Kecelakaan yang
melibatkan dua truk tersebut diduga karena salah satu sopir mengantuk.

""Faktor yang mempengaruhi (karena) mengantuk,"" kata Kainduk PJR Tol Jagorawi
AKP Budi melalui keterangannya, Selasa (25/10/2022).

Peristiwa itu terjadi pada pukul 06.16 WIB tadi. Kecelakaan berawal saat kedua
kendaraan melaju dari arah Jakarta menuju Ciawi, Kabupaten Bogor.

ADVERTISEMENT

SCROLL TO RESUME CONTENT

""Menurut keterangan pengemudi kendaraan pertama (truk bernopol B-9207-QE), dia
sedang berada di bahu jalan,"" ungkapnya.

Kemudian datang kendaraan kedua (truk pengangkut galon bernopol B-9235-PYW).
Pengemudi kendaraan kedua mengaku mengantuk, kemudian menabrak kendaraan
pertama.

""Posisi akhir kendaraan pertama normal di antara bahu jalan dan lajur
menghadap ke timur, sedangkan kendaraan kedua masuk ke rerumputan (parit)
menghadap timur,"" ujarnya.

Petugas kepolisian segera melakukan tindakan penanganan pertama kecelakaan.
Tidak ada korban jiwa dalam kecelakaan tersebut.

Dalam foto yang diterima , kendaraan truk pengangkut galon ringsek pada bagian
depan. Sementara itu, kendaraan lainnya terperosok ke parit.

[Gambas:Video 20detik]

  
  

 ",www.detik.com
Truk Pakan Ringsek Tabrak Tronton di Temon Kulon Progo,"Selasa, 25 Okt 2022 09:58 WIB","\-

Diduga akibat sopir mengantuk, sebuah truk pengangkut bahan pakan oleng hingga
menabrak truk tronton yang terparkir di Jalan Jogja-Purworejo ruas Kalurahan
Temon Wetan, Kapanewon Temon, Kabupaten Kulon Progo, DIY, pagi ini. Akibatnya,
sopir truk dilarikan rumah sakit dalam kondisi luka usai sempat terjepit kabin
truk pakan yang ringsek.

Kecelakaan ini bermula saat truk bernomor polisi AB 8595 ET yang dikemudikan
oleh Sigit Bayu Pamungkas (42) bersama kernetnya, Sutris (19) keduanya warga
Purworejo, Jawa Tengah melaju dari arah timur atau Jogja ke barat menuju
Purworejo. Sampai di lokasi kejadian, truk yang diketahui mengangkut bahan
pakan ini mendadak oleng ke kiri atau selatan jalan.

Nahas truk ini justru menabrak truk truk tronton bernomor polisi B 9041 NEH,
disopiri oleh Wahmudin (42) warga Batang, Jawa Tengah yang sedang terparkir di
tepi jalan sisi selatan.

  

""Diduga sopir tersebut mengalami ngantuk, sehingga dalam mengendarai kurang
konsentrasi, kemudian pada saat melintas di TKP kendaraannya oleng ke kiri
sehingga menabrak bagian belakang truk tronton yang sedang terparkir di bahu
jalan,"" ungkap Kanit Lantas Polsek Temon, Iptu Agus Kusnendar saat ditemui di
lokasi kejadian Selasa (25/10/2022).

Agus mengatakan kerasnya benturan membuat kabin truk tersebut ringsek hingga
menggencet badan sang sopir, sementara kernet berhasil menyelamatkan diri. Tim
gabungan dari Basarnas, Polisi, PMI dan relawan diterjunkan untuk melakukan
evakuasi terhadap korban.

Adapun proses ini memakan waktu hingga 1 jam sebelum akhirnya korban berhasil
dievakuasi ke RSUD Wates. Atas kejadian insiden ini korban menderita luka
terbuka pada bagian kaki. Sedangkan kernetnya hanya menderita luka lecet pada
bagian kepala.

""Tadi evakuasi dilakukan oleh SAR, Kemudian dari PMI, dari relawan juga,
berjalan lancar. Alhamdulillah korban bisa segera kita evakuasi ke rumah
sakit,"" ujarnya.

Atas kejadian ini, Agus mengimbau kepada pengguna jalan yang melintas di ruas
jalan nasional wilayah Temon untuk meningkatkan kehati-hatian. Apabila
mengantuk dianjurkan menepi sejenak agar kejadian seperti ini tidak terulang
kembali.

""Kepada masyarakat untuk selalu berhati-hati karena ruas jalan di sekitar
Temon memang lurus, jalannya juga halus , biasanya pengemudi pada jam-jam
tersebut suka lalai dalam mengendarai atau ngantuk. Silakan apabila mengantuk
atau lelah bisa menggunakan fasilitas seperti rest area yang sudah ada,""
ujarnya.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Polisi Tunggu Hasil Labfor Penyebab Mesin Pabrik Sawit Meledak di Bengkulu,"Selasa, 25 Okt 2022 11:25 WIB","\-

Dua orang pekerja tewas akibat ledakan mesin pabrik kelapa sawit di Bengkulu
Selatan. Polisi masih menunggu hasil labfor untuk mengetahui penyebab pasti
ledakan tersebut.

Kabid Humas Polda Bengkulu, Kombes Pol Sudarno mengatakan, saat ini Polres
Bengkulu Selatan masih menunggu hasil pemeriksaan dari tim labfor forensik
Palembang untuk memastikan penyebab pasti terjadinya ledakan yang menyebabkan
dua orang pekerja meninggal dunia.

""Polres Bengkulu Selatan telah memeriksa sejumlah saksi pasca ledakan itu, dan
kini masih menunggu hasil dari Labfor Palembang,"" kata Sudarno, Selasa
(24/10/2022).

  

Sudarno menjelaskan, ledakan mesin perebusan terjadi di PT Sinar Bengkulu
Selatan (SBS), sekitar pukul 14.00 WIB, Jumat (21/10). Saat peristiwa
berlansung karyawan sedang bekerja, tiba-tiba dikejutkan dengan suara ledakan
yang berasal dari mesin di bagian perebusan tandan buah sawit meledak dan
mengakibatkan dua orang pekerja meninggal dunia.

""Bila hasil Labfor nanti keluar baru akan kita pastikan ada tersangka atau
tidak dalam kasus yang menewaskan dua pekerja PT, "" ungkapnya Sudarno.

Kata Sudaro Polres Bengkulu Selatan telah memeriksa sejumlah orang saksi dari
pihak perusahaan untuk memastikan dan mencari penyebab pasti ledakan terjadi.
Sayangnya dia tidak menjelaskan siapa saja saksi yang telah diperiksa.

Diberitakan sebelumnya mesin rebus pabrik kelapa sawit (PKS) yang beroperasi
di Desa Nanjungan, Kecamatan Pino Raya, Bengkulu Selatan, meledak. Dua pekerja
dilaporkan tewas dalam insiden itu.

Kedua korban bernama Muslimin (38), warga Desa Bangun Jaya, Kecamatan Tambosai
Utara, Rokan Hulu dan Iswandi (44), warga Desa Selipi, Kecamatan Pino Raya,
Bengkulu Selatan.

Kasat Reskrim Polres Bengkulu Selatan, Iptu Fajri Ameli Putra mengungkapkan,
kecelakaan kerja itu terjadi di PT Sinar Bengkulu Selatan (SBS), sidang tadi
sekitar pukul 14.00 WIB. Saat karyawan sedang bekerja, tiba-tiba dikejutkan
dengan suara ledakan yang berasal dari mesin di bagian perebusan tandan buah
sawit meledak.

""Ledakan mesin ini mengakibatkan dua orang karyawan yang sedang bekerja saat
kejadian meninggal dunia,"" kata Fajri, Jumat (21/10/2022).

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
"Tabrakan Vario VS Bus di Dekat Bangjo Walisongo Pecangaan, Pemotor Tewas, Begini Kronologinya",26 September 2022 11:49 AM,"Kecelakaan lalu lintas terjadi di selatan Walisongo, Pecangaan, Jepara.
Seorang pengendara motor meninggal setelah tabrakan dengan bus.

Kanit Gakkum Satlantas Polres Jepara Iptu Agus Umar menjelaskan, kecelakaan
itu terjadi pada Minggu (25/9) sore sekitar pukul 16.00 di Jalan Raya
Pecangaan-Jepara. Kecelakaan bermula ketika sepeda motor Vario yang
dikemudikan LSD, warga Kudus melaju dari arah Jepara menuju Kudus.

Dari arah berlawanan, melaju bus Kalingga Jaya dari arah sebaliknya, atau dari
Kudus menuju Jepara. Diduga, bus tersebut memakan jalur dari arah berlawanan.
Sehingga tabrakan antara bus dengan sepeda motor tak bisa terhindarkan.

Kondisi sepeda motor mengalami kerusakan parah di bagian depan. Sedangkan bus
rusak di bamper depan sisi kanan.

Korban berinisial LSD sempat terkapar di lokasi kejadian karena mengalami luka
parah. Korban lalu dievakuasi ke RSUD R.A. Kartini Jepara. Namun, malamnya
korban dinyatakan meninggal di rumah sakit.

Pengendara motor inisial LSD meninggal, jelasnya.

Saat ini, polisi masih menyelidiki penyebab pasti kecelakaan tersebut.

 ",www.jawapos.com
