title,date,description,source
"Investigasi Kecelakaan Pesawat Sriwijaya SJ-182 Terhambat Anggaran, Komisi V DPR Soroti Utang KNKT","Kamis, 03 Nov 2022 19:04 WIB","Ketua Komisi V DPR Lasarus menyayangkan proses investigasi jatuhnya pesawat
Sriwijaya SJ 182 pada Januari lalu terhambat, salah satunya karena anggaran.

Lasarus menyoroti pernyataan Ketua Sub Komite Investigasi Kecelakaan
Penerbangan KNKT Nurcahyo Utomo terkait kekurangan anggaran dan utang dalam
penyelesaian investigasi jatuhnya pesawat jenis Boeing 737-500 tersebut.

""Ini sudah 12 bulan, harusnya sudah selesai. Sekarang sudah masuk ke 22 bulan,
ini baru bisa dituntaskan, hambatan salah satunya adalah soal anggaran,"" kata
Lasarus dalam rapat kerja Komisi V di Kompleks Parlemen, Kamis (3/11/2022).

""Ini utang sudah dibayar semua belum?"" tanya Lasarus.

Menanggapi Lasarus, Nurcahyo mengatakan, KNKT sudah membayar utang terkait
pelaksanaan investigasi kecelakaan pesawat tersebut.

""Sudah (dibayar) pak, sudah,"" ujar Nurcahyo.

Lasarus meminta KNKT memastikan kembali terkait anggaran dan utang agar
pemerintah dapat memberikan besaran anggaran yang sesuai.

""Utang sudah dibayar semua pak? Kalau enggak ada, minta saya duitnya pak.
Kalau saja negara enggak punya duit, bayar beginian, malu pak kita sebagai
warga negara ini,"" ujarnya.

Lebih lanjut, terkait hasil investigasi KNKT, Lasarus mengkritik Sriwijaya
karena dinilai tidak kompatibel dalam memberikan layanan jasa penerbangan.

Ia menyoroti pengunduhan _flight_ data recorder dari pesawat Sriwijaya yang
tidak sesuai ketentuan.

""Ini baru 53 persen tadi pak, ini masalah di Sriwijaya ini menyangkut
keselamatan harusnya tidak ada toleransi Pak Ditjen Udara, dengan regulasinya
kita yang menentukan, kalau memang tidak kompatibel, tutup pak. Jangan kasih
terbang dia, itu jauh lebih baik,"" ucap dia.

Sebelumnya dalam rapat kerja Komisi V, Nurcahyo mengungkapkan hasil
investigasi jatuhnya pesawat Sriwijaya SJ-182.

Ia meyakini terjadi gangguan pada sistem mekanikal pada pesawat rute Jakarta-
Pontianak tersebut.

""Hasil flight data recorder (FDR) yang sudah kita unduh, pada saat climbing
terjadi perubahan mode auto pilot dari yang semulanya menggunakan manajemen
computer berpindah menggunakan mode control panel,"" kata Nurcahyo.

Nurcahyo mengatakan, dalam kondisi normal, auto-throttle dapat menggerakkan
kedua thrust lever kanan dan kiri untuk mundur dan mengurangi tenaga mesin.

Namun, saat penerbangan, auto-throttle pada pesawat tidak bisa menggerakkan
thrust lever di sebelah kanan.

KNKT, kata dia, telah memeriksa 7 komponen terkait auto throttle tersebut
sehingga diyakini terjadi gangguan sistem mekanikal pada thrust lever di
sebelah kanan, bukan pada sistem komputer.

""Karena padatnya lalu lintas hari itu dan ada pesawat dengan tujuan
penerbangan yang sama ke Pontianak, pesawat SJ ini diminta oleh air traffic
controller untuk berhenti di ketinggian 11 ribu kaki,"" ujarnya.

Nurcahyo mengatakan, pada ketinggian pesawat 11.000 kaki tenaga mesin semakin
berkurang karena thrust lever di sebelah kanan tidak bergerak. Perbedaan
thrust lever kanan dan kiri ini disebut asimetri.

Ia mengatakan, untuk mencegah asimetri tersebut, sistem CTSM harus memutuskan
auto throttle.

Namun, terjadi keterlambatan yang diyakini akibat informasi dari flight
spoiler memberikan nilai rendah sehingga komputer memberikan sensor yang
berbeda.

""Pesawat yang tadinya sedang berbelok ke kanan, karena perubahan posisi thrust
lever sebelah kiri yang makin berkurang menghasilkan tenaga mesin, akhirnya
pesawat menjadi datar, tidak bergerak, tidak berbelok, akhirnya berpindah
berbelok ke kiri yang tadinya berbelok ke kanan,"" tuturnya.

Nurcahyo melanjutkan, selama penerbangan terdapat perubahan posisi thrust
lever, penunjukan indikator mesin, dan perubahan sikap pesawat yang tidak
disadari pilot.

Selain itu, ia mengatakan, suara kapten tidak terekam diduga karena tak
menggunakan headset sehingga analisis tak bisa dilakukan.

""Kemudian ada mikrofon yang kami harapkan bisa merekam apapun suara yang ada
di cockpit tapi tertutup suara bising. Jadi kami tidak bisa menganalisa
bagaimana kerja sama cockpit, apa saja perintahnya dari kapten ke kopilot,""
ucap dia.

 ",www.kompas.com
"Hendak Survei Baksos, Mobil Rombongan Mahasiswa Kedokteran Unsyiah Kecelakaan, 3 Meninggal","Kamis, 03 Nov 2022 23:44 WIB","\- Dua mahasiswa Fakultas Kedokteran Universitas Syiah Kuala (USK) dan satu
pelajar meninggal dalam kecelakaan maut di Saree, Aceh Besar, Kamis
(3/11/2022).

Kedua mahasiswa itu adalah Annisa Khairina Putri Siagian (20) dan Rafif Irfan
Maulana (20) asal Jakarta dan Sumatera Barat.

""Innalilahi wa innailahi rajiun, Rektor beserta keluarga besar Universitas
Syiah Kuala (USK) turut berduka cita atas berpulangnya ke rahmatulah, Rafif
Irfan Maulana dan Annisa Khairina Putri Siagian (mahasiswa Fakultas Kedokteran
Universitas Syiah Kuala),"" ujar civitas akademika Unsika di akun Instagramnya.

Pihak kampus menyatakan, keduanya kecelakaan dalam perjalanan untuk survey
bakti sosial yaitu Aksi Kemanusiaan Mahasiswa Kedokteran (AKMK).

Kapolres Aceh Besar, AKBP Carlie Syahputra Bustamam melalui Kasat Lantas
Polres Abes, AKP Rina Bintar Handayani mengatakan kecelakaan tersebut terjadi
sekitar pukul 08.00 Wib.

Mobil penumpang Toyota Avanza BL 819 JJ menabrak pengendara sepeda motor Supra
tanpa nomor polisi dan Sepmor Suzuki Satria F tanpa nomor polisi.

""Benar kejadiannya tadi pagi dimana tiga orang meninggal dunia dan empat orang
mengalami luka ringan,"" kata Rina.

Berdasarkan kronologi kejadian, minibus yang dikendarai Muhammad Faris Kautsar
(20) membawa rombongan mahasiswa FK USK melaju dari arah Banda Aceh menuju
arah Medan dengan kecepatan tinggi.

Setiba di Tempat Kejadian Perkara (TKP) diduga minibus Toyota Avanza BL 819 JJ
hilang kendali, sehingga keluar dari badan jalan ke sisi kiri jalan dari arah
Banda Aceh menuju arah Medan. Tepatnya di Desa Suka Mulya Kecamatan Lembah
Seulawah, Aceh Besar (Depan Banda Seafood Saree)

Sopir Toyota Avanza BL 819 JJ diduga membanting setir ke kanan yang
mengakibatkan mobil tersebut oleng dan melaju ke lajur kanan dari arah Banda
Aceh menuju arah Medan.

""Sehingga bertabrakan dengan Honda Supra tanpa Nopol dan Suzuki Satria F tanpa
Nopol yang datang dari arah berlawanan,"" kata Rina.

Dalam kecelakaan itu mengakibatkan tiga korban meninggal. Yakni dua mahasiswa
Fakultas Kedokteran Universitas Syiah Kuala (USK) yaitu Annisa Khairina Putri
Siagian (20) beralamat Desa Semper Barat Kecamatan Cilincing, Jakarta Utara
Provinsi DKI Jakarta.

Kemudian, Rafif Irfan Maulana (20) beramat di JR III Kampung Gadut Tilkam Agam
Provinsi Sumbar.

Dalam kecelakaan itu juga merenggut korban jiwa Indra (14) seorang pelajar
berasal dari Desa Sare, Kecamatan Lembah Seulawah.

Sementara korban yang mengalami luka ringan yakni Muhammad Nadhil Maulify (21)
dan Muhammad Raisul Akram Nina (20), Farhatani Ramadhani (21).

_Artikel ini telah tayang di Tribunnews.com dengan judul2 Mahasiswa FK
Universitas Syiah Kuala Tewas Dalam Kecelakaan Maut: Berasal dari Jakarta dan
Sumbar_

 ",www.kompas.com
"Adu Banteng Mikro Bus Vs Truk Tronton di Banyumas, 1 Penumpang Tewas","Jumat, 04 Nov 2022 10:36 WIB","\- Kecelakaan lalu lintas antara mikro bus dan truk tronton terjadi di jalan
nasional Lumbir, Kabupaten Banyumas, Jawa Tengah, Jumat (5/11/2022) pagi.

Akibatnya, satu orang penumpang mikro bus berinisial OH (61), warga Ciamis,
Jawa Barat, tewas di lokasi kejadian.

Kasat Lantas Polresta Banyumas Kompol Bobby A Rachman menjelaskan, kecelakaan
tersebut terjadi sekitar pukul 04.50 WIB.

Peristiwa itu bermula saat mikro bus bernomor polisi AD 7220 A yang
dikemudikan RD (23), warga Ciamis, Jawa Barat, melaju dari arah timur menuju
ke barat.

""Sesampainya di lokasi kejadian, tepatnya di depan Rumah Makan Endang Lumbir
laju mikro bus oleng ke kanan, karena diduga mengantuk,"" kata Bobby kepada
wartawan, Jumat.

Pada saat bersamaan, melaju truk bernomor polisi Z 9055 MK yang dikemudikan SP
(54), warga Tasikmalaya dari arah sebaliknya.

Karena jarak yang sudah dekat, kecelakaan adu banteng antara kedua kendaraan
tidak bisa terhindarkan.

Usai menerima laporan, polisi datang mengevakuasi para korban ke rumah sakit
untuk mendapatkan penanganan medis.

Menurut Bobby, sopir mikro bus dan truk tronton hanya mengalami luka ringan.

""Hingga saat ini kami masih mendalami peristiwa tersebut dengan meminta
keterangan sejumlah saksi,"" ujar Bobby.

 ",www.kompas.com
KNKT Ungkap Hasil Investigasi Kecelakaan Pesawat Sriwijaya SJ-182,"Kamis, 03 Nov 2022 16:18 WIB","Komite Nasional Keselamatan Transportasi (KNKT) mengungkapkan hasil
investigasi pesawat Sriwijaya SJ-182 berjenis Boeing 737-500 yang mengalami
kecelakaan pada 9 Januari 2021.

Ketua Sub Komite Investigasi Kecelakaan Penerbangan KNKT Nurcahyo Utomo
meyakini terjadi gangguan pada sistem mekanikal pada pesawat rute Jakarta-
Pontianak tersebut.

""Hasil _flight data recorder_ (FDR) yang sudah kita unduh, pada saat
_climbing_ terjadi perubahan mode _auto pilot_ dari yang semulanya menggunakan
manajemen komputer berpindah menggunakan _mode control panel,_ "" kata Nurcahyo
dalam rapat kerja dengan Komisi V DPR di Kompleks Parlemen, Kamis (3/11/2022).

Nurcahyo mengatakan, dalam kondisi normal, _auto-throttle_ dapat menggerakkan
kedua _thrust lever_ kanan dan kiri untuk mundur dan mengurangi tenaga mesin.

Namun saat penerbangan, _auto-throttle_ pada pesawat tidak bisa menggerakkan
_thrust lever_ di sebelah kanan.

KNKT telah memeriksa 7 komponen terkait _auto throttle_ tersebut sehingga
diyakini terjadi gangguan sistem mekanikal pada _thrust lever_ di sebelah
kanan, bukan pada sistem komputer.

""Karena padatnya lalu lintas hari itu dan ada pesawat dengan tujuan
penerbangan yang sama ke Pontianak, pesawat SJ ini diminta oleh _air traffic
controller_ untuk berhenti di ketinggian 11.000 kaki,"" ujarnya.

Nurcahyo mengatakan pada ketinggian pesawat 11.000 kaki, tenaga mesin semakin
berkurang karena _thrust lever_ di sebelah kanan tidak bergerak. Perbedaan
_thrust lever_ kanan dan kiri ini disebut asimetri.

Ia mengatakan, untuk mencegah asimetri tersebut, sistem CTSM harus memutuskan
auto throttle.

Namun, terjadi keterlambatan yang diyakini akibat informasi dari _flight
spoiler_ memberikan nilai rendah sehingga komputer memberikan sensor yang
berbeda.

""Pesawat yang tadinya sedang berbelok ke kanan, karena perubahan posisi
_thrust lever_ sebelah kiri yang makin berkurang menghasilkan tenaga mesin,
akhirnya pesawat menjadi datar, tidak bergerak, tidak berbelok, akhirnya
berpindah berbelok ke kiri yang tadinya berbelok ke kanan,"" tuturnya.

Lebih lanjut, Nurcahyo juga mengatakan, selama penerbangan terdapat perubahan
posisi _thrust lever_ , penunjukan indikator mesin, dan perubahan sikap
pesawat yang tidak disadari pilot.

Selain itu, ia mengatakan suara kapten tidak terekam diduga karena tak
menggunakan _headset_ sehingga analisis tak bisa dilakukan.

""Kemudian ada mikrofon yang kami harapkan bisa merekam apapun suara yang ada
di kokpit tapi tertutup suara bising. Jadi kami tidak bisa menganalisa
bagaimana kerja sama kokpit, apa saja perintahnya dari kapten ke kopilot,""
ucap dia.

Sebelumnya, Pesawat Sriwijaya Air SJ 182 jatuh di perairan Kepulauan Seribu
pada 9 Januari 2022.

Pesawat Sriwijaya SJ-182 berjenis Boeing 737-500 itu mengangkut 62 orang yang
terdiri dari 12 awak kabin, 40 penumpang dewasa, 7 penumpang anak-anak, dan 3
bayi.

Tak ada satu pun penumpang yang selamat yang dalam kecelakaan tragis ini.

 ",www.kompas.com
"Kecelakaan Beruntun di Jalan Lintas Sumatera Solok, 2 Sopir Tewas","Jumat, 21 Okt 2022 18:49 WIB","-Kecelakaan beruntun yang melibatkan tiga mobil terjadi di jalan lintas Sumatera tepatnya di Nagari Sungai Jambu, Kecamatan IX Koto Sungai Lasi, Kabupaten Solok, Sumatera Barat, Jumat (21/10/2022).

Akibat kecelakaan itu menyebabkan dua orang tewas yang merupakan sopir dari
dua mobil.

""Kecelakaan melibatkan tiga kendaraan. Akibatnya dua orang meninggal dunia,""
kata Kasat Lantas Polres Solok Kota, AKP M Sugindo yang dihubungi _Kompas.com_
, Jumat.

Sugindo mengatakan peristiwa berawal ketika pengemudi mobil minibus Daihatsu
Grand Max BA 8506 QX datang dari arah solok menuju arah Sawahlunto.

Sesampai di TKP, mobil itu hendak memotong Truk Fuso yang ada di depannya.

Saat bersamaan datang dari arah yang berlawanan mobil pick up Daihatsu Grand
Max BA 8102 HP.

""Mobil yang hendak memotong Truk Fuso disenggol mobil minibus yang datang dari
arah berlawanan sehingga terpental ke arah kiri,"" kata Sugindo.

Setelah terpental, minibus itu kemudian ditabrak lagi oleh pick up Grand Max
BA 8102 HP yang datang beriringan dari arah Solok menuju Sawahlunto yang sama-
sama membawa gas elpiji.

Akibatnya pengemudi mini bus yang membawa gas elpiji keduanya meninggal dunia.

""Satu orang meninggal dunia di lokasi kejadian dan seorang lagi dalam
perjalanan ke RSUD M Natsir Solok,"" jelas Sugindo.

 ",www.kompas.com
"Tabrakan, Pengendara Motor Tewas Dilindas Truk Bermuatan Pasir","Rabu, 19 Okt 2022 23:33 WIB","\- Insiden tabrakan maut antara sepeda motor dengan mobil truk terjadi ruas
Jalan Anoa, Kelurahan Kadolomoko, Kecamatan Kokalukuna, Kota Baubau, Sulawesi
Tenggara, Rabu (19/10/2022) sekitar pukul 15.24 Wita.

Akibat kecelakaan tersebut, pengendara sepeda motor inisial RS (52) tewas di
tempat setelah dilindas mobil truk.

Korban mengalami luka dan bagian kepala pecah dan meninggal dunia di tempat
kejadian perkara, kata Kasat Lantas Polres Baubau, Iptu Jajat Sudrajat, Rabu
(19/10/2022).

Peristiwa ini bermula saat RS yang merupakan warga Kelurahan Bukit Wolio
Indah, Kecamatan Wolio, mengendarai sepeda motor melintas dari arah pusat kota
Baubau hendak menuju ke arah Terminal Waramsio.

Namun, saat berada di Jalan Anoa, Kelurahan Kadolomoko, korban secara mengerem
mendadak motornya.

Korban mengerem kendaraan tiba-tiba sehingga terjatuh dan keluar dari jalur
jalannya, ujar Jajat.

Lalu, secara tiba-tiba, sebuah mobil dumptruk yang memuat pasir melintas dari
arah yang berlawanan dari Terminal Waramsio hendak menuju ke Kota Baubau. Truk
langsung menabrak bagian depan sepeda motor korban.

Bagian ban belakang mobil truk tersebut melintas dan menyeret kepala korban,
ucapnya.

Kepala korban terseret hingga sejauh 8 meter dari lokasi awal titik tabrakan.

Akibat insiden tersebut warga sekitar menjadi heboh karena korban masih berada
di bawah mobil truk dengan kepala yang sudah tak utuh lagi.

Aparat kepolisian dari satuan Lantas Polres Baubau datang ke lokasi kejadian
dan segera mengangkat tubuh korban untuk dibawa ke Rumah Sakit Umum Daerah
Palagimata Baubau.

Sementara itu, mobil truk tersebut diamankan di Satlantas Polres Baubau dan
sopir truk tersebut langsung diperiksa.

Pengemudi truk tersebut langsung mengamankan diri ke Kantor Lantas Baubau dan
kita lakukan pemeriksaan, kata Jajat.

 ",www.kompas.com
"Jalin Hubungan Spesial, Oknum Polisi di Buru Selatan Aniaya Istri Atasan, Terbongkar Setelah Korban Tewas Kecelakaan","Jumat, 04 Nov 2022 11:33 WIB","\- Briptu IS, oknum polisi yang bertugas di Mapolres Buru Selatan, Maluku
diduga menganiaya SM, istri atasannya yang berpangkat Aipda yang bertugas di
kantor yang sama.

Kasus tersebut terungkap setelah SM dilaporkan meninggal dunia karena
kecelakaan lalu lintas di Desa Nametek, Kota Namlesa, Kabupaten Buru pada
Jumat (14/10/2022).

Dalam laporan disebutkan SM meninggal setelah kendaraannya ditabrak babi
hutan.

Empat hari setelah kecelakaan, keluarga yang curiga dengan kematian SM
melaporkan Briptu IS ke Polda Maluku.

Laporan tersebut dilakukan karena Briptu IS dan SM diduga memiliki hubungan
spesial, meski masing-masing memiliki pasangan.

Dirkrimum Polda Maluku Kombes Pol Andri Iskandar mengakui pihak keluarga
curiga korban mati bukan karena kecelakaan, namun dibunuh.

Iya (keluarga curiga), tapi kita masih selidiki, kata Andri kepada
Kompas.com saat dikonfirmasi, Kamis (3/11/2022).

Sementara itu Kabid Humas Polda Maluku, Kombes Pol M Roem Ohoirat mengatakan
saat diperiksa IS mengaku jika pernah menganiaya istri atasannya, SM di sebuah
hotel karena cemburu.

""Ia mengaku pernah menganiaya SM,"" kata dia, Kamis (3/11/2022)

""Betul, korban pernah dianiaya di hotel karena pelaku merasa cemburu, namun
saya tidak bisa menjelaskan lebih,"" jelas dia.

## Terbongkar dari chat

Kecurigaan keluarga jika korban tewas tak wajar karena teman korban mengakui
jika SM kerap dianiaya Briptu IS.

Sementara itu kakak kandung korban, RM mengatakan kecurigaan keluarga berawal
saat keluarga memeriksa ponsel milik korban yang meninggal karena kecelakaan.

Saat itu keluarga menemukan bukti chat antara korban dengan dengan Briptu IS.
RM mengatakan dugaan penganiayaan yang dialami adiknya terjadi selama empat
bulan terakhir.

Di HP tersebut ada bukti kuat bahwa korban selalu diancam dan dianiaya oleh
oknum polisi tersebut.

""Jadi kejadian penganiayaan ini baru terbongkar setelah adik kami meninggal
dunia akibat kecelakaan beberapa waktu lalu,"" kata RM.

Briptu IS kemudian ditangkap pada 27 Oktober 2022. Saat ini, anggota polisi
tersebut telah resmi ditahan dan sedang menjalani pemeriksaan.

 ",www.kompas.com
"Pelajar Bonceng Tiga Tabrak Tiang Penerangan Jalan, 1 Orang Tewas","Jumat, 04 Nov 2022 12:33 WIB","\- Tiga pelajar berinisial AKG (13), MRG (12), dan DKU (13) terlibat
kecelakaan tunggal saat mengendarai sepeda motor sambil berbonceng tiga di
Jalan Raya Menrod, Kampung Turu, Desa Sriamur, Tambun Utara, Kabupaten Bekasi,
Kamis (3/11/2022).

Kasat Lantas Polres Metro Bekasi Kompol Arga Dija Putra mengatakan, ketiganya
mengalami kecelakaan setelah menabrak tiang penerangan jalan.

Akibatnya, korban berinisial AKG meninggal dunia.

""Korban berinisial AKG meninggal dunia, sementara MRG luka berat dan DKU luka
ringan,"" ujar Arga dalam keterangan yang diterima _Kompas.com,_ Jumat
(4/11/2022).

Kejadian itu bermula ketika tiga pelajar tersebut berboncengan satu sepeda
motor Honda Revo yang dikendarai oleh AKG.

Saat di lokasi kejadian, sepeda motor yang dikendarai AKG tak dapat dikontrol
dan menabrak tiang.

""Ketiganya berboncengan dengan penumpang MR dan DKU. Mereka melaju dari arah
timur ke barat, selanjutnya ketika menikung, AKG hilang kendali dan kecelakaan
lalu terjadi,"" jelas dia.

Ketiga korban itu langsung dibawa ke rumah sakit terdekat.

Polisi pun membawa satu barang bukti sepeda motor korban untuk didata.

 ",www.kompas.com
"Lewati Marka Tengah Jalan dan Tabrak Truk, Pengendara Motor asal Lamongan Tewas di Gresik","Jumat, 04 Nov 2022 17:56 WIB","\- Kecelakaan lalu lintas terjadi di Jalur Daendles. Tepatnya di Jalan Raya
Desa Abar-abir, Kecamatan Bungah, Gresik, Jawa Timur.

Mengakibatkan seorang pemotor atas nama Fais Farianto (31) warga Desa Balun,
Kecamatan Turi, Lamongan, meninggal dunia.

Kepala Unit Kecelakaan Lalu Lintas Kepolisian Resor (Polres) Gresik, Ipda Wiji
Mulyono mengatakan, semula Fais dengan mengendarai sepeda motor Yamaha Jupiter
nomor polisi W 6327 GF berjalan dari arah utara menuju selatan.

Saat itu, korban mengendarai sepeda motor seorang diri.

""Kecelakaan itu terjadi pada Kamis (3/11/2022) sekitar pukul 17.45 WIB, namun
baru dilaporkan pada kami Jumat (4/11/2022) dinihari pukul 01.00 WIB,"" ujar
Wiji, saat dikonfirmasi, Jumat.

Wiji menjelaskan, Fais meninggal usai sepeda motor yang ditumpangi olehnya,
menabrak truk dengan nomor polisi L 8452 US.

Adapun truk tersebut dikemudikan oleh Andriansyah Siswanto (25), warga Desa
Wonorejo, Kecamatan Tegalsari, Surabaya.

""Pengendara sepeda motor mengambil haluan terlalu ke kanan, melewati marka
jalan tengah,"" ucap Wiji.

Setelah melewati marka jalan tengah, lanjut Wiji, sepeda motor Fais kemudian
menabrak bagian depan samping truk yang dikemudikan oleh Andriansyah.

Tabrakan tersebut tidak bisa dihindarkan, hingga membuat Fais meninggal di
lokasi kejadian.

""Pengendara sepeda motor kemudian dibawa ke RSUD (Rumah Sakit Umum Daerah)
Ibnu Sina, Gresik, untuk dimintakan visum,"" kata Wiji.

Atas insiden yang terjadi, Wiji mengimbau, supaya para pengendara untuk lebih
berhati-hati. Termasuk, mematuhi rambu-rambu lalu lintas demi keamanan dan
keselamatan di jalan raya.

 ",www.kompas.com
"Kecelakaan di Lembah Seulawah Aceh Besar, 2 Mahasiswa FK USK dan 1 Pelajar Tewas","Kamis, 03 Nov 2022 13:46 WIB","-Kecelakaan di Jalan Banda Aceh-Medan, Kecamatan Lembah Seulawah, Aceh Besar, pada Kamis (3/11/2022) menyebabkan dua mahasiswa dan seorang siswa tewas. 

Kepala Satuan Kepolisian Resor Aceh Besar AKP Rina Bintar mengatakan, korban
merupakan mahasiswa Fakultas Kedokteran Universitas Syiah Kuala dan seorang
pelajar asal Aceh Besar.

""Mahasiswa yang meninggal dunia di antaranya AKP (20) asal Jakarta Utara dan
RIM (20) asal Sumbar, sementara satu pelajar inisial I (14) warga Sare Aceh
Besar,"" sebut Rina dalam keterangan tertulisnya, Kamis.

Kecelakaan yang terjadi pada 07.30 WIB itu bermula saat mobil Toyota Avanza
ditumpangi lima mahasiswa melaju dengan kecepatan tinggi dari arah Banda Aceh
menuju Medan.

Mobil itu kemudian menabrak sepeda motor Supra x dan Suzuki Satria F yang
dikendarai pelajar dari arah berlawanan.

Mobil itu diduga sopirnya hilang kendali sehingga keluar dari badan jalan
sehingga menabrak kendaraan lain di jalur berlawanan.

""Satu pelajar MR yang terlibat dalam kecelakaan itu mengalami luka ringan
termasuk tiga penumpang lainnya mengalami luka ringan,"" sebut Rina.

 ",www.kompas.com
