title,date,description,source
"Sinopsis Row 19, Kisah Kecelakaan Horor di Dalam Pesawat","02/11/2022, 19:14 WIB"," _Row 19_ merupakan film drama horor Rusia yang dapat disaksikan di Prime
Video.

Karya dari Alexander Babaev dibintangi oleh Svetlana Ivanova, Wolfgang Cerny,
Marta Timofeeva, dan Ekaterina Vilkova.

Film ini dimulai dengan seorang perempuan paruh baya bepergian dengan putrinya
yang masih kecil, Katya, naik pesawat melalui cuaca yang sangat buruk di luar.

Di tengah banyak kekacauan di dalam pesawat, Katya terbangun dari tidurnya dan
mendapati dirinya sendirian.

Mendengar beberapa bisikan dan gumaman dari kursi di belakangnya, gadis kecil
itu menoleh untuk melihat seorang perempuan tua melantunkan beberapa kata yang
terdengar asing.

Saat pesawat jatuh, Katya yang berlumuran darah dan hidup terlihat berjalan
melalui hutan setelah entah bagaimana selamat dari kecelakaan itu.

Melalui surat kabar, ditetapkan bahwa 20 telah berlalu sejak kecelakaan itu,
dan sekarang tim wartawan mendekati Katya untuk menanyakan pengalamannya di
masa lalu.

Katya, yang ditemani oleh putrinya sendiri yang berusia enam tahun, Diana,
mencoba untuk menghindari berbicara langsung tentang peristiwa mengerikan di
masa lalunya.

Diana tanpa sadar membantu ibunya dengan mengalihkan pembicaraan ke arah yang
berbeda tentang keinginan melawan ketakutannya.

Suatu ketika, Katya dan Diana akhirnya melakukan penerbangan lagi di malam
hari dengan cuaca yang sangat buruk seperti kejadian 20 tahun lalu.

Namun, hal yang tidak mereka duga terjadi.

Mereka seakan terjebak pada situasi yang mirip dengan kecelakaan 20 tahun yang
lalu.

Penasaran dengan kisahnya?

Saksikan ketegangannya dalam film _Row 19_ yang dapat Anda tonton di Prime
Video.

 ",www.kompas.com
"Ungkap Analisis Kecelakaan Sriwijaya Air SJ 182, KNKT: Suara Kapten Pilot Tak Terekam","03/11/2022, 13:40 WIB","\- Kasubkom Komite Nasional Keselamatan Transportasi (KNKT) Moda Penerbangan,
Nurcahyo Utomo mengungkapkan sejumlah analisis terkait pesawat Sriwijaya Air
SJ 182 yang mengalami kecelakaan pada Januari 2021.

Dalam analisis, KNKT menyoroti adanya perubahan kondisi pada kokpit pesawat
karena tidak terdengar suara kapten pilot.

""Kami kebetulan dari _cockpit_ _voice recorder_ (CVR) yang ditemukan, kami
mendapatkan bahwa suara kaptennya tidak terekam,"" kata Nurcahyo dalam rapat
dengar pendapat (RDP) Komisi V DPR, Kamis (3/11/2022).

Namun, Nurcahyo mengaku bahwa KNKT tidak bisa mengetahui alasan kenapa suara
kapten pilot yang tidak terekam dalam CVR.

Akan tetapi, menurutnya, ada dugaan bahwa kapten pilot tidak menggunakan
headset.

Selain itu, KNKT juga menyatakan tidak bisa mendengar suara apapun dari
kokpit.

""Mikrofon yang di dalam kokpit yang kami harapkan bisa merekam apapun suara
yang ada di kokpit, namun demikian ternyata pada _channel_ ini tertutup suara
bising pada 400 heartz sehingga suara pembicaraan tidak bisa direkam,"" ujar
Nurcahyo.

Oleh karena itu, KNKT mengaku tidak bisa menganalisis suara atau perbincangan
antara pilot dan co-pilot pesawat Sriwijaya Air SJ 182.

Namun, Nurcahyo menuturkan bahwa suara co-pilot masih bisa didengar.

""Suara co-pilot bisa kita dengar sepanjang waktu, suara dari pengatur lalu
lintas udara juga bisa kita dengar,"" katanya.

Nurcahyo melanjutkan, adanya perubahan-perubahan di dalam kokpit pesawat tidak
disadari oleh pilot.

Oleh karenanya, kemungkinan pilot percaya pada sistem automatisasi yang ada di
pesawat.

""Kalau pesawat sudah di-set arah tertentu, ketinggian tertentu, maka autopilot
akan mengatur apa yang sudah di-set. Dan _autothrottle_ akan mengatur sesuai
permintaan autopilot sehingga kondisi ini mungkin telah berdampak pada
pengurangan monitor terhadap instrumen dan kondisi-kondisi yang terjadi,"" ujar
Nurcahyo.

Sebagai pengingat, pesawat Sriwijaya Air SJ 182 jatuh di perairan Kepulauan
Seribu pada 9 Januari 2021.

Pesawat Sriwijaya SJ 182 berjenis Boeing 737-500 itu mengangkut 62 orang yang
terdiri dari 12 awak kabin, 40 penumpang dewasa, 7 penumpang anak-anak, dan 3
bayi.

Tak ada satu pun penumpang yang selamat dalam kecelakaan tragis ini.

 ",www.kompas.com
"Tabrakan, Pengendara Motor Tewas Dilindas Truk Bermuatan Pasir","19/10/2022, 23:33 WIB","\- Insiden tabrakan maut antara sepeda motor dengan mobil truk terjadi ruas
Jalan Anoa, Kelurahan Kadolomoko, Kecamatan Kokalukuna, Kota Baubau, Sulawesi
Tenggara, Rabu (19/10/2022) sekitar pukul 15.24 Wita.

Akibat kecelakaan tersebut, pengendara sepeda motor inisial RS (52) tewas di
tempat setelah dilindas mobil truk.

Korban mengalami luka dan bagian kepala pecah dan meninggal dunia di tempat
kejadian perkara, kata Kasat Lantas Polres Baubau, Iptu Jajat Sudrajat, Rabu
(19/10/2022).

Peristiwa ini bermula saat RS yang merupakan warga Kelurahan Bukit Wolio
Indah, Kecamatan Wolio, mengendarai sepeda motor melintas dari arah pusat kota
Baubau hendak menuju ke arah Terminal Waramsio.

Namun, saat berada di Jalan Anoa, Kelurahan Kadolomoko, korban secara mengerem
mendadak motornya.

Korban mengerem kendaraan tiba-tiba sehingga terjatuh dan keluar dari jalur
jalannya, ujar Jajat.

Lalu, secara tiba-tiba, sebuah mobil dumptruk yang memuat pasir melintas dari
arah yang berlawanan dari Terminal Waramsio hendak menuju ke Kota Baubau. Truk
langsung menabrak bagian depan sepeda motor korban.

Bagian ban belakang mobil truk tersebut melintas dan menyeret kepala korban,
ucapnya.

Kepala korban terseret hingga sejauh 8 meter dari lokasi awal titik tabrakan.

Akibat insiden tersebut warga sekitar menjadi heboh karena korban masih berada
di bawah mobil truk dengan kepala yang sudah tak utuh lagi.

Aparat kepolisian dari satuan Lantas Polres Baubau datang ke lokasi kejadian
dan segera mengangkat tubuh korban untuk dibawa ke Rumah Sakit Umum Daerah
Palagimata Baubau.

Sementara itu, mobil truk tersebut diamankan di Satlantas Polres Baubau dan
sopir truk tersebut langsung diperiksa.

Pengemudi truk tersebut langsung mengamankan diri ke Kantor Lantas Baubau dan
kita lakukan pemeriksaan, kata Jajat.

 ",www.kompas.com
"Kecelakaan di Lembah Seulawah Aceh Besar, 2 Mahasiswa FK USK dan 1 Pelajar Tewas","03/11/2022, 13:46 WIB","-Kecelakaan di Jalan Banda Aceh-Medan, Kecamatan Lembah Seulawah, Aceh Besar, pada Kamis (3/11/2022) menyebabkan dua mahasiswa dan seorang siswa tewas. 

Kepala Satuan Kepolisian Resor Aceh Besar AKP Rina Bintar mengatakan, korban
merupakan mahasiswa Fakultas Kedokteran Universitas Syiah Kuala dan seorang
pelajar asal Aceh Besar.

""Mahasiswa yang meninggal dunia di antaranya AKP (20) asal Jakarta Utara dan
RIM (20) asal Sumbar, sementara satu pelajar inisial I (14) warga Sare Aceh
Besar,"" sebut Rina dalam keterangan tertulisnya, Kamis.

Kecelakaan yang terjadi pada 07.30 WIB itu bermula saat mobil Toyota Avanza
ditumpangi lima mahasiswa melaju dengan kecepatan tinggi dari arah Banda Aceh
menuju Medan.

Mobil itu kemudian menabrak sepeda motor Supra x dan Suzuki Satria F yang
dikendarai pelajar dari arah berlawanan.

Mobil itu diduga sopirnya hilang kendali sehingga keluar dari badan jalan
sehingga menabrak kendaraan lain di jalur berlawanan.

""Satu pelajar MR yang terlibat dalam kecelakaan itu mengalami luka ringan
termasuk tiga penumpang lainnya mengalami luka ringan,"" sebut Rina.

 ",www.kompas.com
"Kemenhub Sebut 35 Ahli Waris Korban Sriwijaya Air SJ 182 Sudah Terima Ganti Rugi, 27 Belum","03/11/2022, 12:11 WIB","\- Pelaksana Tugas (Plt) Direktur Jenderal Perhubungan Udara Kementerian
Perhubungan (Kemenhub) Nur Isnin Istiartono mengungkapkan bahwa pemerintah
sudah melaksanakan pemberian ganti rugi kepada ahli waris korban kecelakaan
pesawat Sriwijaya Air SJ 182 pada Januari 2021.

Tercatat, sebanyak 35 orang ahli waris sudah menerima ganti rugi sesuai
Peraturan Menteri (PM) Perhubungan Nomor 77 Tahun 2011 tentang Tanggung Jawab
Pengangkut Angkutan Udara.

""Penyelesaian ganti rugi yang diterima ahli waris sebesar Rp 1,25 miliar
ditambah dengan Rp 250 juta uang kerohiman dari Sriwijaya. Sehingga total yang
diterima Rp 1,5 miliar diluar santunan jasa Raharja sebesar Rp 50 juta,"" kata
Isnin dalam rapat dengar pendapat (RDP) di Komisi V DPR, Kamis (3/11/2022).

Kendati demikian, Isnin juga menyampaikan bahwa masih ada ahli waris korban
yang belum menerima ganti rugi.

Menurut Isnin, sebanyak 27 orang ahli waris belum menerima ganti rugi. Mereka
memiliki alasan tersendiri mengapa belum menerima uang ganti rugi.

""Terdiri dari ahli waris yang belum dapat melengkapi dokumen persyaratan.
Artinya sedang proses, yaitu sebanyak 8 orang,"" kata Isnin.

""Sedangkan ahli waris yang menunggu jadwal penandatanganan dokumen
penyelesaian 2 orang,"" ujarnya melanjutkan.

Selain itu, ada pula keluarga korban ahli waris yang belum bersedia
menandatangani dokumen penyelesaian sebanyak 17 orang.

Sebagai pengingat, pesawat Sriwijaya Air SJ 182 jatuh di perairan Kepulauan
Seribu pada 9 Januari 2021.

Pesawat Sriwijaya SJ 182 berjenis Boeing 737-500 itu mengangkut 62 orang yang
terdiri dari 12 awak kabin, 40 penumpang dewasa, 7 penumpang anak-anak, dan 3
bayi.

Tak ada satu pun penumpang yang selamat yang dalam kecelakaan tragis ini.

 ",www.kompas.com
"KNKT Libatkan AS, Singapura dan Inggris Bantu Investigasi Kecelakaan Pesawat SJ 182","03/11/2022, 14:07 WIB","\- Kasubkom Komite Nasional Keselamatan Transportasi (KNKT) Moda Penerbangan,
Nurcahyo Utomo mengatakan, pihaknya tidak sendirian saat melakukan investigasi
atas kecelakaan pesawat Sriwijaya Air SJ-182 pada Januari 2021.

KNKT disebut bekerja sama dengan pihak dari luar negeri di antaranya
Singapura, Amerika Serikat hingga Inggris.

""Dalam melaksanakan investigasi kecelakaan SJ 182, KNKT mengikuti standar
internasional yang tertuang dalam International Civil Aviation Organization
(ICAO) Annex 13 yang salah satunya antara lain melibatkan beberapa negara
terkait dalam tim investigasi,"" kata Nurcahyo dalam rapat dengar pendapat
(RDP) Komisi V DPR, Kamis (3/11/2022).

Ada sejumlah alasan yang membuat KNKT menggandeng ketiga negara tersebut.

Pertama, Amerika Serikat merupakan negara pembuat dan perancang pesawat Boeing
737-500 yang merupakan pesawat Sriwijaya Air 182.

""Amerika Serikat yang diwakili oleh National Transportation Safety Board
(NTSB) dan dibantu oleh Federal Aviation Administration (FAA), Boeing dan
General Electric sebagai pabrik pembuat mesin,"" jelas Nurcahyo.

Selain Amerika, ada pula Singapura yang membantu investigasi. Negara tetangga
Indonesia itu mengirimkan Transport Safety Investigation Bureau (TSIB) dalam
investigasi kecelakaan SJ-182.

""Hal ini (perbantuan Singapura) terkait MOU Asean yang akan saling membantu
apabila satu negara sedang melakukan tugas investigasi,"" tutur Nurcahyo.

Sementara Inggris membantu melalui tim AAIB (Accident Investigation Branch).
Tim tersebut, jelas Nurcahyo, akan membantu investigasi terkait beberapa
komponen pesawat yang diperiksa di Inggris.

""(Karena diperiksa di sana) Inggris berhak untuk terlibat dalam investigasi,""
katanya.

Diketahui, pesawat tersebut mengalami kecelakaan saat terbang dari Bandara
Soekarno-Hatta, Tangerang menuju Bandara Supadio, Pontianak.

Pesawat sempat terbang selama 13 menit sebelum jatuh di perairan Kepulauan
Seribu pada 9 Januari 2021. Seluruh penumpang dan awak pesawat dinyatakan
meninggal dunia.

 ",www.kompas.com
Lion Air dan Keselamatan Penerbangan Indonesia,"02/11/2022, 12:55 WIB","permasalahan pada mesin pesawat Lion Air nomor penerbangan JT330 pada 26
Oktober lalu, berbuntut panjang. Beberapa masyarakat membuat konten di media
sosial terkait hal tersebut.

Namun oleh Lion Air, konten-konten itu dianggap menyesatkan dan mencemarkan
nama baik perusahaan sehingga mengambil langkah hukum kepada para pembuat
kontennya.

Keriuhan hal-hal tersebut patut disayangkan, karena seperti menutupi langkah-
langkah apa yang seharusnya dilakukan ketika terjadi suatu kejadian pada
sebuah penerbangan, baik itu insiden, serius insiden maupun _accident_
(kecelakaan).

Saya tidak akan membahas soal konten dan langkah hukum Lion Air. Saya hanya
akan membahas bagaimana menyikapi hal-hal terkait keselamatan penerbangan.

## Keselamatan penerbangan

Soal adanya permasalahan pada mesin pesawat B737-800 NG nomor registrasi PK-
LKK, itu adalah fakta. Begitu pula testimoni penumpang pada media yang
menyatakan mendengar ledakan dan ada api di mesin pesawat.

Namun demikian, sangatlah tidak berdasar untuk menyimpulkan bahwa maskapai
Lion Air adalah maskapai yang penerbangannya tidak selamat, penumpangnya
ditungguin malaikat maut dan lain-lain sehingga harus dihentikan semua
penerbangannya.

Kejadian kecelakaan penerbangan bisa terjadi kapanpun, di manapun dan pada
maskapai apapun. Tidak ada maskapai di dunia ini yang berani menyatakan _zero
accident._

Bahkan Qantas, maskapai Australia yang sering dinyatakan sebagai maskapai
paling selamat di dunia, juga tidak berani mengklaim hal tersebut.

Organisasi Penerbangan Sipil Internasional (ICAO), satu-satunya organisasi
yang harus menjadi rujukan bagi penerbangan sipil di dunia, juga tidak pernah
memberikan predikat paling selamat pada maskapai manapun.

Menurut ICAO, keselamatan penerbangan adalah the state in which the
possibility of harm to persons or property damage is reduced to, and maintened
at or below, an acceptable level through a continuing process of hazard
identification and risk management.

Keselamatan penerbangan adalah keadaan di mana kemungkinan kerusakan pada
orang atau properti dikurangi hingga, dan dipertahankan pada atau di bawah
tingkat yang dapat diterima melalui proses identifikasi bahaya dan manajemen
risiko yang berkelanjutan.

Dapat dilihat bahwa dalam hal keselamatan, ICAO tidak menekankan maskapai
harus _zero accident._

ICAO justru menyatakan bahwa terkait keselamatan, yang harus dilakukan adalah
melakukan mitigasi agar tidak terjadi kecelakaan dan kalaupun terjadi
kecelakaan bisa diminimalisir dampaknya.

Dengan kata lain, keselamatan penerbangan semua maskapai harus sama. Hal ini
berbeda dengan prinsip layanan penerbangan, di mana layanan antarmaskapai bisa
berbeda.

Bahkan dalam satu pesawat, layanannnya juga bisa berbeda, tergantung kelasnya
seperti ekonomi, bisnis, VIP, dan lainnya.

Layanan penerbangan dapat diberikan rating seperti yang dilakukan lembaga
Skytrax. Namun soal keselamatan tidak bisa.

ICAO juga tidak pernah memandang keselamatan dari sisi operator atau maskapai
penerbangan. ICAO justru melakukan USOAP (Universal Safety Oversight Audit
Programme) atau audit keselamatan pada pemerintah atau otoritas penerbangan
masing-masing negara.

Ada 8 bidang yang diaudit ICAO, yaitu _Primary aviation legislation and
associated civil aviation regulations; Civil aviation organizational
structure; Personel licensing activities; Aircraft operations; Airwhortiness
of civil aircraft; Aerodrome_ s (atau kebandarudaraan); _Air navigation
services_ ; dan _Accident and serious incident investigations._

Dalam pelaksanaan audit, ICAO memang akan memeriksa maskapai, bandara, dan
para operator lainnya.

Namun tujuan utamanya adalah untuk mengetahui bagaimana pengelolaan
penerbangan di suatu negara (baik pengaturan, pengawasan maupun
pengendaliannya) dilakukan oleh pemerintahnya sehingga dipatuhi dan dijalankan
oleh operator.

Jadi jika Anda menyatakan sebuah maskapai tidak selamat, maka dapat diartikan
bahwa Anda menyatakan pemerintah atau otoritas penerbangannya juga lalai.

ICAO tidak menjustifikasi hal tersebut, tetapi akan memberikan bantuan dalam
berbagai hal yang dibutuhkan pada negara yang nilai auditnya berada di bawah
rata-rata dunia sehingga nilainya meningkat.

Indonesia terakhir menjalani USOAP ICAO pada tahun 2017 dengan nilai
efektifitas implementasi mencapai 80,34 persen, jauh di atas rata-rata dunia
yang berada di angka 60 persen.

Namun banyak pihak, termasuk saya sendiri, yang meminta pemerintah untuk
melakukan USOAP lagi, mengingat audit terakhir sudah 5 tahun yang lalu. Dan
dalam rentang waktu itu, banyak perkembangan yang terjadi.

## Mekanisme investigasi

Dalam dunia penerbangan, ada mekanisme tersendiri untuk menyikapi jika terjadi
suatu insiden, serius insiden maupun _accident._

Mekanisme tersebut berjenjang dan sangat detail, dimulai dari personel yang
mengalami kejadian tersebut menulis laporan pada logbook hingga kemudian
laporannya masuk kepada manajemen maskapai bahkan hingga ke inspektur dari
otoritas penerbangan (pemerintah) dan Komite Nasional Keselamatan Transportasi
(KNKT) untuk ditindaklanjuti.

Begitupun kalau terjadi kecelakaan yang menyebabkan semua orang dalam pesawat
tewas, akan ditelusuri dari puing-puing kejadian hingga ke pihak-pihak yang
berkaitan seperti ATC, teknisi, bandara hingga pabrik pesawat, manajemen,
inspektur dan bahkan masyarakat/ penumpang.

Mulai dari awal kejadian terus ditelusuri ditarik ke atas, ke samping dan ke
arah lainnya yang berkaitan. Sehingga akan ditemukan apa yang menjadi penyebab
dan akar permasalahannya.

Karena itu, di dalam dunia penerbangan tidak dikenal adanya _single cause_
(penyebab tunggal) kecelakaan karena dalam operasional penerbangan melibatkan
banyak pihak.

Dalam investigasi kecelakaan pesawat, sudah ada panduan secara internasional
yang dibuat oleh ICAO, yaitu annex 13 tentang _Aircraft Accident and Incident
Investigation._

Lembaga yang bisa melakukan investigasi juga bukan sembarangan. Di Indonesia,
lembaga tersebut adalah KNKT yang dalam menjalankan investigasi bisa dibantu
oleh koleganya dari negara lain, pabrik pesawat dan lembaga lain yang
kredibel.

Hasil investigasi KNKT adalah rekomendasi kepada berbagai pihak seperti
maskapai, bandara, pabrik pesawat hingga pemerintah untuk melakukan sesuatu
agar kecelakaan serupa bisa dicegah di kemudian hari.

Terkait kecelakaan, baik ICAO maupun KNKT hanya menghitung jumlah kecelakaan (
_serious incident dan accident_ ) per satu juta penerbangan dalam satu tahun
pada satu negara, bukan satu maskapai.

Dengan demikian, jika di satu negara jumlah kecelakaan banyak, tapi jumlah
penerbangannya mencapai ratusan juta per tahun, bisa jadi tingkat
kecelakaannya lebih kecil dibandingkan di negara lain yang jumlah
kecelakaannya lebih sedikit, tapi jumlah penerbangannya juga hanya jutaan
saja.

Jika Anda ingin mengetahui tingkat kecelakaan satu maskapai dibanding maskapai
lain, Anda juga bisa melakukan penghitungan dengan memakai pola yang sama.

## Sosialisasi keselamatan

Lalu, mengapa masyarakat membuat konten yang menurut Lion Air menyudutkan
perusahaan mereka? Apakah memang keselamatan Lion Air turun?

Ataukah karena masih minimnya pengetahuan masyarakat tentang keselamatan
penerbangan, di samping kemungkinan adanya opportunis yang memanfaatkan segala
sesuatu untuk kepentingan dirinya sendiri. Saya tidak tahu.

Menurut saya, semua stakeholder baik itu maskapai, pemerintah, dan lainnya
harus terus menerus menjalankan dan menjaga keselamatan penerbangan, agar
sesuai standar regulasi yang berlaku.

Di sisi lain, edukasi dan sosialisasi tentang keselamatan harus selalu
dilakukan.

Masyarakat Indonesia sebenarnya telah mengenal dunia penerbangan sejak
Indonesia merdeka, bahkan saat masih dalam jajahan Belanda awal tahun 1900-an.

Namun sepertinya pengetahuan tersebut masih pada sisi layanan saja, belum
sampai pada sisi keselamatan.

Oleh karena itu, sosialisasi dan edukasi keselamatan penerbangan perlu
digencarkan atau bahkan diperbaiki sehingga tepat sasaran dan berdampak lebih
luas. Sosialisasi jangan hanya berkisar pada acara seremonial atau bisnis
semata.

Kehumasan harus lebih diperhatikan, baik itu dari sisi organisasinya, sumber
daya (manusia, materi dll), serta KPI yang baik sehingga hasil kerjanya dapat
dipertanggungjawabkan dan mencapai target yang dicanangkan.

Tentunya materi sosialisasi dan edukasi juga yang ringan, mudah dicerna dan
dengan berbagai media yang mudah dicapai masyarakat.

Pembenahan sosialisasi dan edukasi ini bukan hanya harus dilakukan oleh
maskapai, tapi justru harus dilakukan oleh pemerintah sebagai otoritas
penerbangan.

Bagaimanapun, menurut ICAO, keselamatan penerbangan nasional adalah wajah dari
otoritas penerbangannya. Jika keselamatan penerbangan turun, maka pemerintah
pula yang akan kena dampaknya secara internasional.

 ",www.kompas.com
"Hujan Deras, Sedan McLaren Tabrak Beton Pembatas Tol Waru-Juanda","23/10/2022, 20:42 WIB","\- Mobil Sedan McLaren berwarna merah terlibat kecelakaan tunggal di Tol Waru-
Juanda Surabaya, Minggu (23/10/2022).

Tidak ada korban jiwa dalam kecelakaan tersebut.

Kasat PJR Ditlantas Polda Jatim AKBP Dwi Sumrahadi mengatakan, kecelakaan
mobil McLeren warna merah tersebut terjadi di Kilometer 0 ruas tol Juanda arah
Waru sekitar pukul 14.15 WIB.

""Pengemudi atas nama DA selamat, hanya kerugian material saja karena bagian
depan kiri menabrak beton pembatas jalan,"" katanya dikonfirmasi Minggu sore.

Menurutnya, kendaraan melaju dari Juanda mengarah ke Waru.

Diduga karena hujan lebat, pengemudi kurang konsentrasi dan menabrak beton
pembatas jalan.

""Cuaca hujan lebat, diduga karena kurang konsentrasi pengemudi menabrak beton
pembatas jalan di sebelah kiri,"" terangnya.

 ",www.kompas.com
"Polisi Buka Peluang Tes Urine Sopir Bus Penabrak ""Showroom"" Mobil di Jaktim","02/11/2022, 14:35 WIB","\- Kepala Satuan Lalu Lintas Polres Metro Jakarta Timur AKBP Edy Surasa tak
menutup kemungkinan pihaknya akan melakukan tes urine kepada pengemudi bus
yang menabrak _showroom_ mobil di Jakarta Timur.

Tes urine dilakukan untuk mengetahui apakah pengemudi dalam kondisi mabuk atau
dalam pengaruh narkoba.

""Bisa-bisa saja (tes urine). Karena nanti akan terlihat, (pengemudi) dalam
pengaruh alkohol atau tidak. Bisa terlihat,"" ujar Edy saat dikonfirmasi, Rabu
(2/11/2022).

Selain itu, sang sopir kini sedang diperiksa di kantor Satlantas Polres
Jakarta Timur. Pemeriksaan dilakukan guna mengetahui apakah sang sopir lalai
dalam berkendara atau tidak.

""Kami dalami penyebabnya, mungkin _ngantuk_ atau karena kelelahan atau mungkin
main ponsel, sedang kami dalami,"" kata Edy.

Sebelumnya diberitakan, insiden bus menabrak _showroom_ mobil terjadi di I
Gusti Ngurah Rai, Klender.

Dugaan awal, kecelakaan itu terjadi akibat pengemudi bus tak dapat
mengendalikan kendaraannya yang oleng.

""Ketika melaju dari arah barat ke timur, dari arah Stasiun Jatinegara ke
Bekasi, pas di tempat kejadian tepat di depan _showroom_ Tambra, bus oleng,""
sebut Edy.

Akibatnya, kecelakaan tak terhindarkan dan bus tersebut sempat membuat ruas
jalan tertutup.

Edy mencatat, hingga kini belum ada laporan korban mengenai kecelakaan yang
terjadi.

""(Bus) kosong (tak berpenumpang). _Showroom_ juga belum buka, jadi belum ada
karyawan yang bekerja. Sejauh ini belum ada laporan (korban),"" tutur dia.

 ",www.kompas.com
Nakhoda Kapal Cantika 77 Resmi Ditahan Polisi Usai Ditetapkan Tersangka,"02/11/2022, 22:12 WIB","\- Penyidik Direktorat Reserse dan Kriminal Umum (Ditkrimum) Kepolisian Daerah
(Polda) Nusa Tenggara Timur (NTT), resmi menahan nakhoda Kapal Express Cantika
77 berinisial EP (50), Rabu (2/11/2022).

Pria asal Desa Tanjung Merah, Kecamatan Matuari, Kota Bitung, Sulawesi Utara,
ditahan di sel Markas Polda NTT, setelah ditetapkan sebagai tersangka dalam
kasus terbakarnya kapal tersebut yang menewaskan 20 orang.

""Tersangka sudah kita tahan tadi sore,"" kata Direktur Reskrimum Polda NTT
Kombes Pol Patar Silalahi, kepada sejumlah wartawan, Rabu (2/11/2022) petang.

Tersangka EP, lanjut Patar, menjalani pemeriksaan sejak pagi hingga petang di
ruang Ditreskrimum Polda NTT.

Usai menjalani pemeriksaan dan mendapatkan surat perintah penahanan, EP
menjalani pemeriksaan kesehatan.

EP yang selama pemeriksaan didampingi penasihat hukumnya, dinyatakan sehat dan
langsung digiring ke lantai III Gedung Tahti Polda NTT.

Tersangka EP berperan sebagai nahkoda Kapal Express Cantika 77.

""Tentu sebagai nahkoda, secara hukum yang bersangkutan bertanggungjawab atas
keselamatan pelayaran setelah kapal penumpang tersebut bertolak dari Pelabuhan
Tenau Kupang menuju Kalabahi, Kabupaten Alor, sehingga kita tetapkan dia
sebagai tersangka,"" ujar Patar.

Patar berharap, berkas perkara tersangka segera dirampungkan dan dikirim ke
jaksa.

Sebelumnya, kapal Express Cantika 77 rute Kupang-Alor, Nusa Tenggara Timur
(NTT), terbakar di Perairan Pulau Timor, Senin (24/10/2022) siang.

Kapal yang memuat ratusan penumpang, 10 anak buah kapal (ABK) dengan muatan 1
ton, terbakar pada posisi 92743.5S 1234620.90E, atau di dekat Perairan
Amfoang, Kabupaten Kupang.

Akibat kejadian itu, 322 orang selamat, 20 meninggal dan 17 lainnya masih
hilang di Perairan Kupang.

 ",www.kompas.com
