title,date,description,source
"Kronologi Kecelakaan Mazda Tabrak Pesepeda di PIK 2, Enam Orang Luka-luka","Minggu, 16 Oktober 2022 14:52 WIB"," \- Sebuah kecelakaan mobil jenis sedan Mazda menabrak enam pesepeda terjadi
di Jembatan Baruyungan PIK 2 Jakarta - Banten Kelurahan Dadap, Kosambi,
Kabupaten Tangerang. Tabrakan itu terjadi pada Ahad pukul 06.40.

Kepala Satuan Lalu Lintas Polres Metro Tangerang Kota Komisaris Joko Sembodo
mengatakan tidak ada korban jiwa dalam kecelakaan itu. Namun enam pesepeda
korban tabrakan itu harus mendapat perawatan di Rumah Sakit Budha Tzu Chi di
Jalan Pantai Indah Kapuk Boulevard, Kamal Muara, Penjaringan, Kota Jakarta
Utara.

## Kronologi Kecelakaan

Kepala Unit Kecelakaan Lalulintas Satlantas Polres Metro Tangerang Kota Ajun
Komisaris Badruz mengatakan kronologi kecelakaan itu bermula saat sedan Mazda
putih yang dikemudikan TJ melaju dari arah Jakarta Utara menuju ke arah PIK 2
Tangerang.

""Pada saat melintasi Jembatan Baruyungan kendaraan kehilangan kendali ke kiri
masuk ke jalur sepeda dan menabrak pengendara sepeda gowes,"" kata Badruz.

## Video Pasca-Kecelakaan Beredar

Dalam video yang beredar di media sosial terlihat sedan putih Mazda dalam
kondisi rusak pada bagian depan dan kaca pecah setelah menabrak para pesepeda.

Tampak beberapa korban yang tergeletak di atas badan Jembatan Baruyungan.
Kerumunan para pesepeda terlihat di lokasi kejadian. Sejumlah sepeda juga
rusak terparkir di sisi jembatan.

Polisi langsung melakukan olah Tempat Kejadian Perkara (TKP) pada Ahad pukul
07.15. Polisi membawa pengendara mobil yang menabrak rombongan pesepeda ke
Polres Metro Tangerang di jalan Daan Mogot. Kecelakaan ini ditangani Unit
Penegakan Hukum Satlantas Polres Metro Tangerang.

 ",www.tempo.co
KNKT Sebut Kecelakaan Truk Pertamina di Cibubur Kecelakaan Konyol Karena Sopir Tak Tahu Sistem Rem,"Selasa, 18 Oktober 2022 17:43 WIB"," \- Senior Investigator KNKT Ahmad Wildan meminta adanya pelatihan bagi para
pengemudi truk setelah keluar hasil investigasi tragedi kecelakaan maut di
Jalan Transyogi, Cibubur, pada Senin, 18 Juli 2022 lalu.

Hasil investigasi KNKT menunjukkan bahwa penyebab fatalitas korban bukan
disebabkan oleh desain passive safety di kendaraan maupun jalan, melainkan
tindakan pengemudi truk tangki Pertamina saat menghadapi situasi (emergency
handling).

""Rekomendasi kami menyampaikan untuk menurunkan fatalitas agar melakukan
pelatihan terkait dengan emergency handling,"" ujarnya pada Selasa, 18 Oktober
2022.

Menurut Wildan, para pengemudi belum memahami tentang sistem rem. Bahkan, kata
dia, pengemudi tidak memahami maksud dari jumlah bar dalam tekanan angin serta
belum dapat membedakan cara kerja antara rem full hydraulic brake, air over
hydraulic brake, dan full air brake.

""Ini menjadi PR kita untuk memberikan crash program agar pengemudi memahami
sistem rem dan cara pendeteksinya termasuk membaca simbol-simbol tadi,""
katanya.

Ia juga mengatakan kecelakaan bisa dihindari jika pengemudi memiliki pemahaman
mengenai sistem. Dalam kasus ini, sudah ada tanda-tanda terlebih dulu sehingga
pengemudi seharusnya akan berhenti dan menghubungi pihak manajemen jika dia
memahami sistem rem.

""Kecelakaan itu gak perlu terjadi kalau pengemudinya tahu,"" ungkapnya.

Minimnya pengetahuan yang dimiliki oleh para pengemudi disebut Wildan sebagai
salah satu faktor penyebab peningkatan fatalitas dalam sebuah kecelakaan. Ia
mengimbau harus ada pelatihan bagi setiap pengemudi truk maupun bus untuk
mengurangi kemungkinan kecelakaan.

""Nah ini tugas kita semua, sehingga kecelakaan konyol seperti ini gak perlu
terjadi, karena sebenarnya sudah terindikasi dari awal tapi karena
ketidaktahuan pengemudi kecelakaan ini terjadi,"" ucapnya.

VANIA NOVIE ANDINI

 ",www.tempo.co
Hasil Investigasi KNKT Sebut Terdapat 3 Urutan Penyebab Kecelakaan Pesawat Sriwijaya SJ 182,"Kamis, 3 November 2022 19:05 WIB"," \- Kepala Sub Komite Investigasi Keselamatan Penerbangan Komite Nasional
Kecelakaan Transportasi atau KNKT Nurcahyo Utomo mengatakan terdapat tiga
urutan penyebab kecelakaan pesawat Sriwijaya Air SJ 182 di perairan Kepulauan
Seribu pada 9 Januari 2021. Hal tersebut mengakibatkan seluruh awak dan
penumpang tewas.

""Seperti yang kita ketahui pada 9 Januari Boeing 737 berangkat dari Jakarta
Soekarno-Hatta dengan tujuan bandar udara Supadio Pontianak, tinggal landas
pada pukul 14.36. Setelah terbang selama 13 menit pesawat mengalami kecelakaan
dan berakhir penerbangan di perairan Kepulauan Seribu sekitar 11 mil dari
bandar udara Soekarno-Hatta,"" kata Nurcahyo Utomo dalam Rapat dengar pendapat
di Gedung DPR Jakarta, Kamis, 3 November 2022.

Nurcahyo menjelaskan hasil investigasi KNKT dalam peristiwa kecelakaan SJ-182
Boeing 737 itu. Ia mengatakan penyebab pertama kecelakaan itu adanya kerusakan
pada sistem komponen pesawat yang mengakibatkan pengoperasian tidak responsif
saat melakukan perubahan fungsi.

""Jadi, telah disampaikan bahwa beberapa penerbangan sebelumnya kerusakan
sistem ini sudah dilaporkan dan beberapa komponen sudah diganti. Nah komponen
yang turun dari pesawat inilah yang kami periksa. Perbaikan yang dilakukan
pada saat itu belum sampai pada bagian mekanikal, karena masih pada proses
pergantian komponen,"" kata Nurcahyo.

Lebih lanjut, Nurcahyo mengungkapkan penerbangan Sriwijaya SJ 182 menuju
Pontianak itu terdapat fungsi yang menyebabkan pergerakan mesin tidak
seimbang. Sehingga, kata dia, mengakibatkan kemiringan badan pesawat hingga 35
derajat lebih.

""Perubahan ini nampaknya membutuhkan tenaga mesin yang lebih sedikit,
normalnya akan menggerakkan kedua untuk mundur dan mengurangi tenaga mesin.
Namun demikian dalam penerbangan ini ternyata tidak dapat menggerakkan yang
kanan, kiri tetap bergerak sementara itu kanan tidak bergerak,"" ujar Nurcahyo

Nurcahyo menjelaskan pesawat boeing 737 memiliki sistem atau CTSM. Ia
mengatakan bahwa adanya fungsi CTSM digunakan untuk menonaktifkam jika terjadi
asimetri atau kemiringan pesawat. Sehingga, kata dia, untuk mencegah adanya
perbedaan tenaga mesin kiri dan kanan agar tidak semakin besar.

""Setelah terjadi asimetri seharusnya CTSM bisa menonaktifkan auto-throttle
namun demikian terjadi keterlambatan saat menonaktifan auto-throttle sehingga
asimetri menjadi berlebih dan pesawat menjadi berbelok kekiri. Keterlambatan
CTSM ini kami yakini karena informasi sudut dari lebih rendah dari yang
sesungguhnya sehingga aktivasinya terhambat,"" kata dia.

Meskipun demikian, Nurcahyo mengatakan adanya penyebab ketiga dalam kecelakaan
pesawat Sriwijaya boeing 737. Ia mengatakan adanya bentuk rasa percaya pilot
terhadap sistem mengakibatkan kelengahan dalam memantau keadaan dan kondisi
penerbangan.

""Adanya rasa percaya terhadap sistem otomatisasi atau informasi yang mendukung
opini telah berakibat dikuranginya monitor pada instrumen. Sehingga tidak
disadari terjadi asimetri dan terjadi penyeimbangan penerbangan,"" kata
Nurcahyo.

Sementara itu, Nurcahyo meminta agar hasil investigasi terkait kecelakaan
pesawat Sriwijaya-182 tidak dijadikan sebagai penyebab utama. Ia mengatakan
hasil tersebut merupakan rentetan penyebab terjadinya sebuah kecelakaan
pesawat di perairan Kepulauan Seribu.

""Kesimpulan ini bukan untuk mengurutkan mana yang menjadi penyebab pertama,
mana yang kedua. Tetapi kami mengurutkan berdasarkan mana yang lebih terjadi
lebih dulu,"" tutur Nurcahyo.

MUH RAIHAN MUZAKKI

 ",www.tempo.co
DPRD DKI Setuju Tambah Anggaran Perbaikan Jalan untuk Cegah Kecelakaan di Musim Hujan,"Jumat, 14 Oktober 2022 09:50 WIB"," \- Komisi D DPRD DKI Jakarta setuju memberi tambahan anggaran perbaikan
jalan dan jembatan yang diminta Dinas Bina Marga DKI Jakarta. Kesepakatan itu
dilakukan Komisi D DPRD saat mengesahkan perubahan Kebijakan Umum Anggaran
serta Prioritas dan Plafon Anggaran Sementara (KUA PPAS) Tahun Anggaran 2022
untuk empat organisasi perangkat daerah (OPD).

Ketua Komisi D DPRD DKI Jakarta Ida Mahmudah mengatakan semua anggaran OPD di
bawah komisi D sudah disepakati bersama. Komisi D tinggal menunggu keputusan
rapat pimpinan nanti.

""Semoga anggaran yang sudah disiapkan untuk masyarakat melalui APBD ini dapat
dimanfaatkan dengan baik, tepat sasaran,"" kata Ida Mahmudah dalam keterangan
tertulis, Kamis, 13 Oktober 2022.

Komisi D DPRD DKI telah menyepakati anggaran rencana kegiatan Dinas Sumber
Daya Air, Dinas Bina Marga, Dinas Perumahan Rakyat dan Kawasan Permukiman DKI,
serta Dinas Pertamanan dan Hutan Kota.

Salah satu usulan yang disepakati adalah penambahan anggaran perbaikan jalan
dan jembatan Dinas Bina Marga. Permintaan tambahan anggaran ini disetujui
lantaran Jakarta sudah memasuki musim hujan, sehingga banyak jalan rusak
akibat hujan, banjir, dan beban dari kendaraan.

""Kami menyetujui anggaran ini karena sifatnya mendesak, seperti perbaikan
jalan. Apabila tidak diperbaiki akan menimbulkan kecelakaan,"" ujarnya.

Kepala Dinas Bina Marga Hari Nugroho menyampaikan rancangan perubahan APBD
yang dimiliki sudah dilakukan perhitungan dan penempatan (plot), sehingga
penyerapan di akhir tahun bisa terpenuhi.

""Setelah disahkan anggaran perubahan maupun murni ini, semua rencana kegiatan
2022 harus diselesaikan. Jangan sampai ada penambahan anggaran namun di akhir
tahun tidak terserap. Kami percaya hingga pengunjung tahun dapat menyerap
anggaran di atas 95 persen,"" kata dia.

Menurut Hari, saat ini pihaknya sudah mengerjakan perbaikan jalan berlubang,
terutama di wilayah Jakarta Utara dan Barat yang tingkat kerusakannya cukup
tinggi. ""Wilayah Jakarta Utara dan Barat tingkat rusaknya cukup tinggi,
sehingga kita lakukan perbaikan dengan menggunakam beton. Untuk Jakarta
Selatan dan Pusat kita cukup gunakan hotmix,"" ucapnya.

 ",www.tempo.co
"Kecelakaan Lalu Lintas Yamaha Nmax vs Yamaha R15 di Ciputat, 1 Orang Tewas","Rabu, 5 Oktober 2022 13:10 WIB"," \- Pengendara motor yang berboncengan nekat melaju melawan arah di Jl Ir.
H. Juanda, Ciputat Timur, Kota Tangerang Selatan (Tangsel). Akibat
perbuatannya itu pengendara tersebut mengalami kecelakaan lalu lintas (Laka
Lantas) adu banteng dengan pengendara motor lainnya dari arah berlawanan.

Kepala Unit (Kanit) Laka Polres Tangsel Inspektur Polisi Satu Nanda Setya
Pratama Baso menjelaskan kecelakaan adu banteng itu benar terjadi di lokasi
tersebut pada Rabu, 5 Oktober 2022 pukul 06.25 WIB. Ia mengatakan kecelakaan
ini terjadi antara motor Yamaha Nmax dengan motor Yamaha R15.

""Semula pengendara motor Yamaha R15 inisial RF (24) berpenumpang wanita
inisial NN (23) melaju dari arah Kampung Hutan menuju Ciputat melalui Jl. Ir.
H. Juanda,"" katanya saat dihubungi wartawan, Rabu, 5 Oktober 2022.

Namun, nahas saat RF tiba di tempat kejadian perkara (TKP) di dekat dealer
motor dari arah berlawanan datang motor Nmax sehingga kecelakaan tidak
terhindarkan. Menurut Nanda, yang melaju melawan arah ialah pengendara motor
Nmax berinisial IM (34) berboncengan dengan inisial AS (12) yang keduanya
berjenis kelamin wanita. ""Melawan arus, sehingga kedua kendaraan tersebut
berbenturan,"" tambahnya.

Akibat kejadian Laka Lantas ini satu pengendara tewas dan satu pengendara dan
dua penumpang mengalami luka-luka. ""Korban meninggal dunia IM pengendara motor
Nmax usai mengalami cidera di kepala meninggal dunia di TKP,"" tutur Nanda.

Sedangkan untuk AS mengalami luka-luka cidera pada kepala, RF mengalami luka
memar di dada dan nyeri pada tangan, dan NN mengalami luka ringan. ""Penumpang
motor Nmax dievakuasi ke RS Hermina Ciputat,"" jelasnya.

 ",www.tempo.co
"Kecelakaan Maut Cibubur, KNKT Sebut Klakson Tambahan Membahayakan Sistem Rem Truk","Selasa, 18 Oktober 2022 14:52 WIB"," \- Komite Nasional Keselamatan Transportasi (KNKT) mengungkap penyebab
kecelakaan maut Cibubur yang melibatkan truk tangki Pertamina di Jalan
Transyogi, Cibubur. Senior Investigator KNKT Ahmad Wildan mengatakan ada
temuan kegagalan pengereman terjadi akibat persediaan udara tekan di tabung
berada di bawah ambang batas.

Penurunan udara dipicu oleh kebocoran solenoid klakson tambahan serta travel
stroke kampas rem.

""Dua hal ini memaksa pengemudi melakukan pengereman berulang kali saat
menghadapi gangguan lalu lintas karena rem tidak pakem dan mempercepat
berkurangnya angin pada tabung,"" ujar Ahmad, Selasa, 18 Oktober 2022.

Dalam proses investigasi, KNKT melakukan pemeriksaan rem pada titik yang tidak
diperiksa oleh pengemudi dan menemukan sumber suara dari solenoid. Wildan
menyebut ketika terjadi kebocoran, kebanyakan pengemudi hanya memeriksa bagian
samping kanan dan kiri, serta bagian belakang.

""Di depan gak ada sistem rem jadi gak mungkin diperiksa,"" ucapnya.

Truk tersebut diketahui menggunakan klakson tambahan dari tenaga pneumatic
agar suara yang dihasilkan lebih kencang. Untuk menyalurkan tenaga pneumatic
ini dibutuhkan solenoid valve.

Namun, kebocoran solenoid valve menyebabkan waktu pengisian menjadi lambat.
Sementara travel stroke yang terlalu jauh membuat pengemudi boros dalam
menggunakan angin sehingga tekanan angin cepat berkurang.

""Dia (pengemudi) akan berhadapan dengan risiko pada titik tertentu dia akan
dipaksa menginjak dua tiga kali injekan selesai, angin akan tekor,"" ungkap
Wildan.

Pada saat tekanan angin berada dibawah ambang batas, maka tenaga pneumatic
tidak bisa digunakan dengan baik untuk memindahkan kopling maupun melakukan
pengereman. Wildan mengatakan bahwa tindakan pengemudi ketika berpindah ke
jalur lambat sudah tepat, namun saat menabrak dua mobil di depannya pengemudi
mengalami kepanikan luar biasa sehingga ia berpindah kembali ke lajur cepat
dan malah meningkatkan fatalitas korban.

""Namanya keputusan dalam kondisi susah, karena siapapun kalau nabrak terus
pengennya berpindah, tapi keputusan berpindah ini justru lebih fatal,"" kata
Wildan.

Berdasarkan temuan hasil investigasi kecelakaan maut Cibubur ini, KNKT memberi
rekomendasi kepada Direktorat Jenderal Perhubungan Darat untuk melarang semua
penggunaan klakson tambahan yang instalasinya berasal dari tenaga pneumatic.
""Kami meminta direktorat merumuskan sebaiknya bagaimana kebutuhan klakson yang
kencang dari teman-teman pengemudi ini dapat terpenuhi tapi tidak membahayakan
sistem rem,"" tegasnya.

 ",www.tempo.co
"Viral Fly Over Ciputat Berlubang Akibatkan Kecelakaan, Tangsel Turun Tangan","Rabu, 12 Oktober 2022 21:06 WIB"," \- Viral fly over Ciputat, Kota Tangerang Selatan (Tangsel) dikeluhkan
warga. Keluhan ini banyak diutarakan di media sosial dengan narasi banyak
memakan korban kecelakaan hingga meninggal.

Wali Kota Tangsel, Benyamin Davnie yang mengetahui hal tersebut langsung
mengambil langkah konkret. Menurutnya pihak Pemerintah Kota Tangsel telah
memperbaiki jalan aspal yang berlubang itu.

Kendati pemeliharaan jalan tersebut merupakan kewenangan dari pihak
Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) RI. ""Sudah dari kemarin
malam, itu jalan nasional punya Kementerian PUPR,"" ungkap Benyamin saat
dikonfirmasi, Rabu, 12 Oktober 2022.

Pria yang biasa disapa Pak Ben ini menjelaskan langkah perbaikan itu dilakukan
tanpa melakukan koordinasi kepada puhak Kementerian PUPR. Ia mengaku opsi
tersebut dilakukan berupa inisiatif dari pihak Pemkot Tangsel guna menghindari
adanya kecelakaan lalu lintas di kawasan tersebut.

""Iyalah inisiatif dari kami saja, memang begitu dapat laporan hari itu
langsung dikerjakan malam-malam. Kenapa malam nunggu sepi gitu kan, sudah
selesai,"" tegasnya.

Viralnya aspal berlubang di ruas jalan Flyover Ciputat, Kota Tangsel Banten
pada sejumlah akun media sosial. Sejumlah rekaman video pun tersebar luas pada
akun media sosial dengan unggahan harap berhati-hati bagi pengendara yang
melintasi kawasan itu.

Bahkan ada yang dinarasikan lubang itu mengakibatkan korban tewas. Jika
dilihat dari sebaran foto di media sosial memang sangat terlihat jelas bahwa
aspal di fly over itu berlubang.

 ",www.tempo.co
"Kecelakaan Maut di Cibubur Tewaskan 10 Orang, KNKT: Sopir Truk dan Bus Tak Sekolah","Rabu, 19 Oktober 2022 01:40 WIB"," \- Komite Nasional Keselamatan Transportasi atau KNKT mencatat fakta baru
dari kejadian kecelakaan maut di Cibubur pada 18 Juli 2022 yang disebabkan
permasalahan sistem rem pada truk tangki Pertamina. KNKT menyebut pengemudi
belum pahamnya pengemudi truk dan bus di Indonesia ihwal sistem rem kendaraan
besar itu secara menyeluruh.

Plt Kepala Subkomite Investigasi Lalu Lintas Angkutan Jalan KNKT Ahmad Wildan
mengatakan, fakta ini dia temukan setelah menggelar pelatihan itu kepada para
supir truk dan bus, khususnya pengemudi truk PT Pertamina Patra Niaga, setelah
adanya kecelakaan yang menewaskan 10 orang itu. Pengemudi tak ada yang paham
sistem rem.

""Lebih parah lagi, lebih bahaya lagi bukan cuma masalah enggak paham baca,
tapi mereka juga enggak paham sistem rem,"" kata Wildan saat konferensi pers di
kantornya, Jakarta, Selasa, 18 Oktober 2022.

Saat ditanya ihwal permasalahan mendasar yang menjadi penyebab tidak
berfungsinya sistem rem truk tangki Pertamina yang kecelakaan, yaitu indikator
tekanan angin pada posisi 7 bar, para pengemudi menurut Wildan tidak ada yang
bisa menjawab. Padahal itu adalah indikasi kurangnya tekanan angin untuk
menjalankan mekanisme rem truk bersistem .

""Memang ini harus bisa dijelaskan kepada para pengemudi apa sih maksudnya
angka 7 bar, apa maksudnya bunyi saat dia 6 bar pasti akan muncul bunyi, atau
lampu , apa artinya itu pengemudi ini belum tahu masalah itu,"" ucap Wildan.

Para pengemudi ini, kata Wildan, juga belum bisa membedakan tekanan angin pada
ban yang memiliki satuan (PSi) dengan satuan tekanan untuk angin pada rem,
yaitu bar. Wildan bahkan mengatakan mereka belum memahami cara memeriksa dua
tekanan yang berbeda itu.

""Saat kami melakukan pelatihan dengan para pengemudi Pertamina saya tanya itu
bagaimana caranya menentukan, itu ada 191 PSi. Saya tanya bapak tahu enggak
bedanya PSi sama bar, mereka bilang enggak tahu bagaimana caranya
memeriksanya, cuma dipukul-pukul , wah ini berarti memang enggak tahu ,"" kata
Wildan.

Ia berujar, para pengemudi ini juga bahkan belum bisa membedakan, antara rem
dengan mekanisme , dengan . Padahal masing-masing mekanisme membedakan juga
penggunaan seluruh jaringan rem pada kendaraan, baik rem kaki maupun rem
tangan.

""Bahkan saat saya melakukan pelatihan, saat (menguji) indikator , saya injek
(rem) nyala (indikator), enggak ada pengemudi yang bisa menjelaskan, itu
maksudnya apa, enggak mengerti dia,"" ujar Wildan.

Ia menyatakan, permasalahan ini harus diakui terjadi karena pengemudi di
Indonesia tidak ada satu pun yang disekolahkan secara khusus mengenai ini oleh
para pemberi kerjanya. Mereka hanya belajar dari apa kata temannya yang sudah
lebih berpengalaman.

""Kami akui bersama, enggak ada pengemudi bus dan truk yang sekolah. Sekolahnya
kan dari teman-temannya sendiri. Jadi mereka enggak secara terstruktur dan
sistematis mempelajari sistem rem, ini PR bagi kita semua,"" kata Wildan.

Persoalan ini pun telah dia masukkan sebagai rekomendasi kepada para pemangku
kepentingan lain dari kejadian kecelakaan maut itu. Rekomendasi itu, kata
Wildan, adalah melatih secara intensif awak pengemudi kendaraan mobil tangki,
khususnya keterampilan mengemudi pada berbagai kondisi jalan, pemahaman sistem
rem, pelaksanaan serta penanganan kondisi darurat.

""Jadi memang ini menjadi PR kita untuk memberikan semacam , agar pengemudi
memahami sistem rem, dan cara pendeteksiannya, termasuk membaca simbol-simbol
tadi,"" ujar Wildan.

 ",www.tempo.co
"Petinggi Indomaret Tewas Kecelakaan Tertabrak Truk Saat Bersepeda, Polisi: Sopir Kurang Konsentrasi","Kamis, 6 Oktober 2022 19:41 WIB"," -Direktur Teknologi dan Informasi Indomaret Howard Timotius Palar tewas
pada Kamis pagi karena kecelakaan tertabrak truk. Sebelumnya, Howard bersepeda
di kawasan Serpong, Tangerang Selatan.

Pihak Indomaret membenarkan informasi tersebut. ""Telah berpulang Howard
Timotius Palar (60 tahun), sebagai Information & Technology Director di
Indomaret pada hari Kamis, 6 Oktober 2022,"" kata Marketing Communication
Executive Director Indomaret Feki Oktavianus di Jakarta, Kamis sore.

Feki menyebut, Howard meninggal saat berolah raga bersepeda bersama keluarga
di Serpong, Tangerang Selatan (Tangsel).

Karir Howard di Indomaret dimulai sejak 2004. Dia telah berkontribusi besar
dalam pengembangan IT Indomaret.

""Kami atas nama manajemen dan karyawan merasakan duka yang mendalam atas
kepergian Pak Howard. Rekan kerja dan sahabat kami. Semoga arwahnya diterima
disisi Tuhan dan keluarga besarnya diberikan kekuatan,"" kata Feki dalam
keterangan tertulisnya.

## Kronologi Kejadian Petinggi Indomaret Tewas Tertabrak Truk

Kepala Unit Laka Polres Tangsel Inspektur Polisi Satu Nanda Setya Pratama Baso
menjelaskan kronologi kecelakaan tersebut. Ia menuturkan korban bersepeda di
Jl Grand Boulevard tepatnya di dekat lapangan Aero Modeling BSD City
Pagedangan, Kabupaten Tangerang saat pagi tadi sekitar pukul 07.45.

Bos Indomaret tersebut tewas tertabrak truk, karena sopirnya kurang
konsentrasi dalam mengemudi. Truk yang dikemudikan AN melaju dari arah Vanya
Park menuju Ciakar melalui Jl Grand Boulevard.

""Sesampainya di dekat Lapangan Aero Modeling BSD, sopir truk diduga kurang
konsentrasi dalam mengemudi sehingga menabrak pesepeda H yang tepat berada di
hadapan truk tersebut, sehingga terjadi kecelakaan lalu lintas,"" tuturnya.

Kecelakaan ini mengakibatkan kedua kendaraan rusak dan pesepeda yang merupakan
petinggi Indomaret mengalami cidera kepala dan pangkal paha. ""Kemudian
dilarikan ke RS St. Carolus Pagedangan untuk penanganan medis namun H tewas,""
jelasnya.

 ",www.tempo.co
"Kecelakaan di Jalan Arif Rahman Hakim Depok, Pengendara Motor Terlindas Truk","Sabtu, 29 Oktober 2022 05:50 WIB"," \- Kecelakaan maut terjadi di Jalan Arif Rahman Hakim, Pancoran Mas, Depok,
Jumat malam 28 Oktober 2022 sekitar pukul 19.40.

Sebuah truk nopol B 9698 NQC menyeruduk sepeda motor nopol B 6770 EVR yang
tengah melintas di depannya.

Saksi mata di lokasi, Opik 44 tahun mengatakan, kecelakaan bermula saat satu
keluarga yang terdiri dari ayah ibu dan satu orang anak melintasi jalan
tersebut menggunakan sepeda motor.

""Tiba-tiba dari arah belakang melintas truk langsung menyeruduk motor
tersebut,"" kata Opik ditemui Tempo.

Opik yang saat itu sedang melakoni pekerjaan hariannya sebagai tukang parkir
mengaku tidak terlalu melihat kronologi kejadiannya, namun ia mendengar jelas
suara truk melindas salah seorang pengendara sepeda motor tersebut.

Opik segera memberi pertolongan dengan memanggil ambulan untuk evakuasi
korban. ""Korban langsung dibawa ke rumah sakit,"" katanya.

Hingga berita ini diturunkan, belum ada keterangan resmi dari pihak
kepolisian. Kecelakaan ini menyebabkan arus lalu lintas di Jalan Arif Rahman
Hakim sempat tersendat.

ADE RIDWAN YANDWIPUTRA

 ",www.tempo.co
