tingakt,parent,similarity
,kereta api,
,terbalik,
,kapal,
,pesawat,
,pesawat jatuh,
1,kecelakaan,"[('musibah', 0.7218754887580872), ('insiden', 0.7198259830474854), ('kecelakan', 0.668110191822052), ('tabrakan', 0.6396389603614807), ('kebakaran', 0.573072612285614), ('penembakan', 0.5540235638618469), ('tertabrak', 0.5523236989974976), ('terluka', 0.550983190536499), ('tewas', 0.5501859784126282), ('tragedi', 0.5437477231025696)]"
2,musibah,"[('kecelakaan', 0.7218754291534424), ('insiden', 0.6505317687988281), ('bencana', 0.64350825548172), ('imbasnya', 0.6422755122184753), ('malapetaka', 0.635432243347168), ('tragedi', 0.623153805732727), ('kemalangan', 0.6059780716896057), ('kesialan', 0.5938941240310669), ('kejadian', 0.5915476679801941), ('kecelakan', 0.5819721221923828)]"
2,insiden,"[('kecelakaan', 0.7198260426521301), ('peristiwa', 0.6791141033172607), ('kerusuhan', 0.6556675434112549), ('musibah', 0.6505318284034729), ('penembakan', 0.6415975093841553), ('pembantaian', 0.6332533359527588), ('skandal', 0.6184099316596985), ('penyanderaan', 0.6172451972961426), ('tragedi', 0.6168876886367798), ('bentrokan', 0.6153213381767273)]"
2,kecelakan,"[('kecelakaan', 0.6681101322174072), ('dekompresi', 0.6194484233856201), ('musibah', 0.5819721221923828), ('terbakarnya', 0.546344518661499), ('cidera', 0.5431523323059082), ('meledaknya', 0.5273206233978271), ('kelowongan', 0.5266004204750061), ('tabrakan', 0.5160905122756958), ('demoralisasi', 0.5155042409896851), ('malfungsi', 0.5152422189712524)]"
2,tabrakan,"[('ledakan', 0.6787223815917969), ('benturan', 0.6760497689247131), ('kebocoran', 0.6508115530014038), ('tumbukan', 0.6467806696891785), ('kecelakaan', 0.6396389603614807), ('bertabrakan', 0.6335707306861877), ('dekompresi', 0.6292099952697754), ('tubrukan', 0.6188579797744751), ('insiden', 0.5949175953865051), ('gesekan', 0.5880847573280334)]"
2,kebakaran,"[('ledakan', 0.6575784087181091), ('pemadaman', 0.6104346513748169), ('banjir', 0.592870831489563), ('kecelakaan', 0.573072612285614), ('bencana', 0.5725118517875671), ('terbakar', 0.570141077041626), ('musibah', 0.5656459927558899), ('kebocoran', 0.5514767169952393), ('longsor', 0.548268735408783), ('insiden', 0.5412068963050842)]"
2,penembakan,"[('penyanderaan', 0.7304391264915466), ('pembantaian', 0.7226998209953308), ('pengeboman', 0.701421856880188), ('pembunuhan', 0.6888574957847595), ('pemboman', 0.670600414276123), ('penggerebekan', 0.6579594016075134), ('perampokan', 0.6527761816978455), ('peledakan', 0.6475258469581604), ('insiden', 0.6415975689888), ('penculikan', 0.6341409087181091)]"
2,tertabrak,"[('ditabrak', 0.875621497631073), ('terlindas', 0.7402085661888123), ('ditumpangi', 0.7359091639518738), ('dilindas', 0.7145050764083862), ('menabraknya', 0.708534300327301), ('dikendarai', 0.6892959475517273), ('dikendarainya', 0.6867113709449768), ('terserempet', 0.6847153902053833), ('menabrak', 0.6837636828422546), ('ditumpanginya', 0.6577701568603516)]"
2,terluka,"[('tertembak', 0.7548821568489075), ('tewas', 0.754560649394989), ('terbunuh', 0.7348983883857727), ('luka', 0.7083012461662292), ('lumpuh', 0.6859987378120422), ('melukai', 0.6779289245605469), ('pingsan', 0.6648956537246704), ('lukanya', 0.6534802317619324), ('ditembak', 0.6292011141777039), ('sekarat', 0.6177645921707153)]"
2,tewas,"[('terbunuh', 0.8348347544670105), ('terluka', 0.754560649394989), ('menewaskan', 0.7178175449371338), ('tewasnya', 0.6807257533073425), ('dibunuh', 0.6668773293495178), ('tertembak', 0.6421949863433838), ('diculik', 0.5912235379219055), ('meninggal', 0.5881738662719727), ('ditangkap', 0.5783904194831848), ('tertangkap', 0.5734034776687622)]"
2,tragedi,"[('peristiwa', 0.6628267765045166), ('musibah', 0.623153805732727), ('insiden', 0.6168876886367798), ('pembantaian', 0.5779744982719421), ('penyanderaan', 0.5778566598892212), ('kerusuhan', 0.5695109367370605), ('kecelakaan', 0.5437476634979248), ('tewasnya', 0.5229728817939758), ('kejadian', 0.521635115146637), ('persitiwa', 0.5103355050086975)]"
3,bencana,"[('musibah', 0.6435083150863647), ('banjir', 0.5949966907501221), ('kelaparan', 0.5905256867408752), ('gempa', 0.5899478197097778), ('kekeringan', 0.5844845175743103), ('malapetaka', 0.5812948346138), ('kebakaran', 0.5725119113922119), ('longsor', 0.5703879594802856), ('tsunami', 0.5605586171150208), ('bahaya', 0.5452778339385986)]"
3,imbasnya,"[('imbas', 0.6716578602790833), ('musibah', 0.6422755122184753), ('dampaknya', 0.6196831464767456), ('kebutaan', 0.5340242981910706), ('guncangan', 0.5269628167152405), ('longsor', 0.5194882154464722), ('iritasi', 0.5177975296974182), ('kerugian', 0.5170143842697144), ('goncangan', 0.5081617832183838), ('macet', 0.5026506185531616)]"
3,malapetaka,"[('kemalangan', 0.7610031962394714), ('kesialan', 0.7097699046134949), ('kemurkaan', 0.6969887018203735), ('kesusahan', 0.6900720596313477), ('celaka', 0.6886797547340393), ('kesengsaraan', 0.6828627586364746), ('murka', 0.6812096238136292), ('kehancuran', 0.6765159964561462), ('azab', 0.6618532538414001), ('kebinasaan', 0.6580451130867004)]"
3,kemalangan,"[('kesialan', 0.806651771068573), ('malapetaka', 0.7610031962394714), ('kesusahan', 0.7461698055267334), ('kesedihan', 0.7457284331321716), ('kesukaran', 0.717210590839386), ('penderitaan', 0.6978477835655212), ('siksaan', 0.6791576743125916), ('kesengsaraan', 0.6730167865753174), ('kekecewaan', 0.6635708808898926), ('kekacauan', 0.6600955724716187)]"
3,kesialan,"[('kemalangan', 0.8066518306732178), ('malapetaka', 0.7097699046134949), ('cobaan', 0.6782674193382263), ('kesusahan', 0.6716959476470947), ('keanehan', 0.6632282137870789), ('kekecewaan', 0.6484126448631287), ('kesukaran', 0.6417180299758911), ('keberuntungan', 0.632817268371582), ('kejutan', 0.6255329847335815), ('kesedihan', 0.6245793700218201)]"
3,kejadian,"[('peristiwa', 0.7627740502357483), ('kejadiannya', 0.6042938828468323), ('insiden', 0.6011224985122681), ('musibah', 0.5915476679801941), ('keanehan', 0.5857973694801331), ('malapetaka', 0.5823251605033875), ('kesialan', 0.5586007237434387), ('fenomena', 0.5451362133026123), ('kecelakaan', 0.533970296382904), ('penampakan', 0.5324708223342896)]"
3,peristiwa,"[('kejadian', 0.7627739906311035), ('insiden', 0.679114043712616), ('tragedi', 0.6628265976905823), ('kerusuhan', 0.6310155987739563), ('pembantaian', 0.6226595044136047), ('musibah', 0.5786383748054504), ('persitiwa', 0.5695781707763672), ('malapetaka', 0.5619727373123169), ('pergolakan', 0.5414586663246155), ('rentetan', 0.5413715243339539)]"
3,kerusuhan,"[('bentrokan', 0.7329759001731873), ('kericuhan', 0.73109370470047), ('pembantaian', 0.7304053902626038), ('demonstrasi', 0.6805011034011841), ('keributan', 0.6674849987030029), ('kepanikan', 0.6639015078544617), ('pemberontakan', 0.6628199219703674), ('insiden', 0.6556674838066101), ('protes', 0.6490380167961121), ('pergolakan', 0.6450833082199097)]"
3,pembantaian,"[('kerusuhan', 0.7304055094718933), ('penembakan', 0.7226998209953308), ('pembunuhan', 0.711746096611023), ('genosida', 0.698032796382904), ('penyanderaan', 0.6882080435752869), ('penjarahan', 0.6825803518295288), ('pengeboman', 0.6640844941139221), ('penggerebekan', 0.6482709646224976), ('pogrom', 0.6469404697418213), ('insiden', 0.633253276348114)]"
3,skandal,"[('kontroversi', 0.6584484577178955), ('calciopoli', 0.6372706890106201), ('penipuan', 0.6217583417892456), ('insiden', 0.6184097528457642), ('kecurangan', 0.6109358072280884), ('kekisruhan', 0.5983953475952148), ('kehebohan', 0.5953739285469055), ('tuduhan', 0.5880805850028992), ('perselingkuhan', 0.585128664970398), ('perkosaan', 0.5840607285499573)]"
3,penyanderaan,"[('penembakan', 0.7304391264915466), ('pembantaian', 0.6882080435752869), ('pembajakan', 0.6510788202285767), ('perampokan', 0.6434706449508667), ('penculikan', 0.6403673887252808), ('pengeboman', 0.6239767670631409), ('insiden', 0.6172451376914978), ('penggerebekan', 0.6169232130050659), ('pemogokan', 0.598691999912262), ('peledakan', 0.5968228578567505)]"
3,bentrokan,"[('bentrok', 0.7797673344612122), ('kericuhan', 0.7390443086624146), ('kerusuhan', 0.7329760789871216), ('perkelahian', 0.7244420647621155), ('pertikaian', 0.7235825061798096), ('perseteruan', 0.7220606207847595), ('keributan', 0.701678454875946), ('konfrontasi', 0.6982822418212891), ('percekcokan', 0.6916579008102417), ('pertengkaran', 0.6721394062042236)]"
3,dekompresi,"[('malafungsi', 0.7007642388343811), ('kebocoran', 0.6655020713806152), ('penumpukan', 0.660905659198761), ('pemuaian', 0.6596372723579407), ('turbulensi', 0.6371356248855591), ('pendinginan', 0.6313585638999939), ('tabrakan', 0.6292100548744202), ('kecelakan', 0.6194484233856201), ('penyusutan', 0.6142538189888), ('asfiksia', 0.612649142742157)]"
3,terbakarnya,"[('meledaknya', 0.7096984386444092), ('tenggelamnya', 0.6451982259750366), ('tertabrak', 0.5629027485847473), ('sewol', 0.5540152788162231), ('tertimpa', 0.5524292588233948), ('diterjang', 0.5516857504844666), ('hancurnya', 0.5464107394218445), ('kecelakan', 0.5463445782661438), ('musibah', 0.5382382869720459), ('terserempet', 0.5323686003684998)]"
3,cidera,"[('cedera', 0.7742592096328735), ('kelumpuhan', 0.7003701329231262), ('pendarahan', 0.6921069025993347), ('kebutaan', 0.6815820932388306), ('paralisis', 0.6706527471542358), ('kelowongan', 0.66522616147995), ('kram', 0.6327226161956787), ('cederanya', 0.6277859210968018), ('trauma', 0.6145973205566406), ('disorientasi', 0.6093984246253967)]"
3,meledaknya,"[('terbakarnya', 0.7096984386444092), ('peledakan', 0.5706629753112793), ('hancurnya', 0.5666869878768921), ('tenggelamnya', 0.5657978653907776), ('chernobyl', 0.5611667633056641), ('ledakan', 0.5576907396316528), ('tabrakan', 0.5560302138328552), ('terhentinya', 0.5550678372383118), ('meletusnya', 0.545767605304718), ('malari', 0.5433703064918518)]"
3,kelowongan,"[('kevakuman', 0.6873194575309753), ('cidera', 0.6652262806892395), ('keratinisasi', 0.6582679748535156), ('fosilisasi', 0.642899215221405), ('kemunduran', 0.6330102682113647), ('musth', 0.6267954111099243), ('kebutaan', 0.6111000180244446), ('anjlokan', 0.6061296463012695), ('stagnasi', 0.5989551544189453), ('kreolisasi', 0.5981147885322571)]"
