tingkat setelah parent,parent,similarity
1,kesehatan,"[('gizi', 0.6640421152114868), ('medis', 0.6269795894622803), ('sanitasi', 0.6054490804672241), ('kebersihan', 0.6027470231056213), ('kesejahteraan', 0.6008718013763428), ('keperawatan', 0.6006942987442017), ('ketenagakerjaan', 0.5951641201972961), ('perawatan', 0.5695779919624329), ('farmasi', 0.5504007935523987), ('pendidikan', 0.5427784323692322)]"
2,gizi,"[('nutrisi', 0.6714110970497131), ('kesehatan', 0.6640421748161316), ('vitamin', 0.6215623021125793), ('asupan', 0.6090824007987976), ('kecukupan', 0.6082844138145447), ('bergizi', 0.5992274284362793), ('pangan', 0.5938852429389954), ('sanitasi', 0.5839060544967651), ('gizinya', 0.5745788812637329), ('farmasi', 0.5745617747306824)]"
2,medis,"[('radiologi', 0.6528505086898804), ('forensik', 0.6492246389389038), ('psikiatri', 0.6334183216094971), ('bedah', 0.6315379738807678), ('kesehatan', 0.6269795894622803), ('medikal', 0.6196816563606262), ('klinis', 0.6196128129959106), ('ginekologi', 0.6190711855888367), ('perawatan', 0.6162925958633423), ('dokter', 0.6109302639961243)]"
2,sanitasi,"[('penyediaan', 0.690226137638092), ('higiene', 0.6413466930389404), ('kebersihan', 0.6371206641197205), ('drainase', 0.6370867490768433), ('kesehatan', 0.6054491400718689), ('pengairan', 0.6011625528335571), ('limbah', 0.5960453748703003), ('infrastruktur', 0.5941054821014404), ('ketersediaan', 0.5865646600723267), ('gizi', 0.5839060544967651)]"
2,kebersihan,"[('sanitasi', 0.6371206045150757), ('kesehatan', 0.6027470827102661), ('pemeliharaan', 0.5837857127189636), ('pertamanan', 0.5813949108123779), ('kelestarian', 0.5768329501152039), ('ketertiban', 0.5717189311981201), ('kenyamanan', 0.5663580894470215), ('perawatan', 0.5575403571128845), ('gizi', 0.5553910732269287), ('kedisiplinan', 0.5522595047950745)]"
2,kesejahteraan,"[('kemakmuran', 0.6943721175193787), ('ketenteraman', 0.651062548160553), ('kemandirian', 0.6359918713569641), ('kemaslahatan', 0.6328839659690857), ('ketentraman', 0.6158024072647095), ('pemberdayaan', 0.6151523590087891), ('perekonomian', 0.6043583154678345), ('kesehatan', 0.6008718609809875), ('keadilan', 0.5917922854423523), ('ketertiban', 0.5842267870903015)]"
2,keperawatan,"[('kebidanan', 0.8711960315704346), ('akper', 0.7650654315948486), ('akbid', 0.7517668604850769), ('stikes', 0.6711274981498718), ('fisioterapi', 0.6634363532066345), ('mipa', 0.6195104718208313), ('diii', 0.6088665723800659), ('farmasi', 0.6065926551818848), ('rsu', 0.6060568690299988), ('kesehatan', 0.6006943583488464)]"
2,ketenagakerjaan,"[('perburuhan', 0.7097743153572083), ('pendayagunaan', 0.6525771617889404), ('kominfo', 0.6487637758255005), ('pupr', 0.641029417514801), ('agraria', 0.6404765248298645), ('bpjs', 0.6336919665336609), ('kehutanan', 0.6307045221328735), ('esdm', 0.6242077946662903), ('pertanahan', 0.6236851215362549), ('keimigrasian', 0.6178998947143555)]"
2,perawatan,"[('penanganan', 0.6497985124588013), ('pengobatan', 0.6291853189468384), ('terapi', 0.6233388185501099), ('kemoterapi', 0.6166795492172241), ('medis', 0.6162925958633423), ('pemeriksaan', 0.5971775054931641), ('pembedahan', 0.596481204032898), ('radiologi', 0.5885013341903687), ('persalinan', 0.5877333879470825), ('pemeliharaan', 0.5863860845565796)]"
2,farmasi,"[('bioteknologi', 0.6808953881263733), ('kosmetika', 0.650173544883728), ('farma', 0.6466482877731323), ('farmakologi', 0.6445994973182678), ('radiologi', 0.6285173296928406), ('mekatronika', 0.6253457069396973), ('fisioterapi', 0.6237729787826538), ('biomedis', 0.6220382452011108), ('keteknikan', 0.6144512295722961), ('nanoteknologi', 0.6129029989242554)]"
2,pendidikan,"[('pendidkan', 0.743377685546875), ('pendidikannya', 0.6703923344612122), ('pendidikkan', 0.6308956146240234), ('sekolah', 0.6124105453491211), ('pendididkan', 0.5763757824897766), ('pedidikan', 0.576354444026947), ('pengajaran', 0.5701954364776611), ('perkuliahan', 0.5672876238822937), ('kursus', 0.561069667339325), ('pembelajaran', 0.5553394556045532)]"
3,nutrisi,"[('nutrien', 0.8019428849220276), ('karbohidrat', 0.7609203457832336), ('asupan', 0.7294604182243347), ('antioksidan', 0.723280668258667), ('vitamin', 0.7109172940254211), ('pestisida', 0.6750310063362122), ('kontaminan', 0.6748645901679993), ('kalsium', 0.6739528775215149), ('gizi', 0.6714110970497131), ('mikroorganisme', 0.6666314005851746)]"
3,kesehatan,"[('gizi', 0.6640421152114868), ('medis', 0.6269795894622803), ('sanitasi', 0.6054490804672241), ('kebersihan', 0.6027470231056213), ('kesejahteraan', 0.6008718013763428), ('keperawatan', 0.6006942987442017), ('ketenagakerjaan', 0.5951641201972961), ('perawatan', 0.5695779919624329), ('farmasi', 0.5504007935523987), ('pendidikan', 0.5427784323692322)]"
3,vitamin,"[('antioksidan', 0.7995150685310364), ('karbohidrat', 0.7757925391197205), ('kolesterol', 0.7349188327789307), ('nutrisi', 0.7109174132347107), ('kalsium', 0.7056963443756104), ('folat', 0.7011664509773254), ('kafeina', 0.6967656016349792), ('protein', 0.6925379633903503), ('trigliserida', 0.6920616030693054), ('biotin', 0.6910797357559204)]"
3,asupan,"[('nutrisi', 0.7294604778289795), ('kolesterol', 0.7163146734237671), ('kadar', 0.7140637040138245), ('kalori', 0.7074127197265625), ('toksisitas', 0.6873359084129333), ('suplementasi', 0.6864659786224365), ('serum', 0.685675323009491), ('dosis', 0.6848107576370239), ('nikotin', 0.6805781126022339), ('trigliserida', 0.6646293997764587)]"
