title,date,description,source
Tubuh Balita di Mojokerto Kurus dan Kaku Mirip Boneka Menderita Gizi Buruk,"Rabu, 10 Apr 2019 14:23 WIB","\- tubuh ahmad fajar kurus nyaris tinggal tulang dan kulit, rupanya menderita gizi buruk. balita berusia 4 tahun ini dibawa ke rsud ra basuni oleh dinas kesehatan (dinkes) kabupaten mojokerto untuk menjalani perawatan. tim dari dinkes mojokerto mengecek kondisi fajar di rumahnya, dusun jatikumpul, desa mojokumpul, kecamatan kemlagi. tim dipimpin kepala bidang kesehatan masyarakat susi dwiharini dan kepala bidang pengendalian dan pemberantasan penyakit (p2p) dr langit kresna janitra. tak hanya itu, camat kemlagi tri cahyo dan kapolsek kemlagi akp eddie purwo santoso ikut dalam pengecekan kondisi fajar. mereka membujuk nenek fajar, asmiatun (49) agar mengizinkan cucunya dibawa ke rumah sakit. menggunakan ambulans, fajar akhirnya dirujuk ke rsud ra basuni, gedeg, mojokerto ditemani sang nenek. kepala bidang kesehatan masyarakat dinkes mojokerto susi dwiharini mengatakan, tubuh fajar yang sangat kurus akibat menderita gizi buruk. di usianya yang sudah 4 tahun, berat badan anak ke dua pasangan almarhum yunita dan rifai hanya 5,5 kg. ""melihat berat badan berdasarkan usia, anak ini kategori gizi buruk. berat badannya hanya 5,5 kg. harusnya sudah di atas 10 kg,"" kata susi kepada wartawan di lokasi, rabu (10/4/2019). selain menderita gizi buruk, susi memperkirakan fajar menderita penyakit tertentu. kelainan itu salah satunya terlihat dari kondisi fajar yang tidak bisa mengunyah makanan. selain itu, sekujur tubuhnya kaku, kecuali bagian leher. jenis penyakit yang diderita fajar akan diketahui setelah ditangani dokter spesialis di rumah sakit. ""dalam kasus ini secara pemeriksaan klinis ada penyakit penyertanya. ada kelainan pada anak fajar ini. jadi, harus kami tanggulangi dulu penyakitnya. kalau penyakitnya sudah bisa ditanggulangi, nanti gizinya bisa diperbaiki dengan cepat,"" terangnya. susi menambahkan, kondisi fajar telah dipantau dinkes sejak 2017. pemantauan dilakukan oleh bidan desa mojokumpul. ""sudah kami berikan susu dan biskuit kepada anak fajar,"" ungkapnya. tak adanya administrasi kependudukan milik fajar sempat menjadi kendala untuk pengobatannya di rumah sakit. namun, camat kemlagi tri cahyo berjanji membantu untuk mengatasinya. ""kesulitan secara adminisrasi kami atasi semua supaya anak ini bisa dibawa ke rumah sakit, supaya segera djrawat. biayanya kami pikirkan, itu menjadi tanggung jawab pemerintah. kami upayakan supaya dirawat sampai selesai,"" tegasnya. terkait kondisi nenek fajar yang cenderung merasa putus asa, cahyo juga akan memberikan pendampingan. ""terus kami pacu motivasi neneknya,"" pungkasnya. tubuh fajar mendadak kaku seperti boneka sejak ibunya meninggal tahun 2016 lalu. tak hanya itu, balita 4 tahun ini semakin kurus hingga nyaris tinggal tulang dan kulit. berat badan fajar saat ini hanya 5,5 kg.",www.detik.com
"Vaksin Booster di Boyolali Belum Tersedia, Dinkes: Tidak Usah Terburu-buru","Rabu, 12 Jan 2022 16:17 WIB","\- vaksinasi _booster_ corona di boyolali belum bisa dilaksanakan hari ini karena vaksinnya belum tersedia. selain itu, dinas kesehatan boyolali juga masih menunggu petunjuk teknis dan pelaksanaannya. ""kita masih menunggu (juknis dan juklak). jadi tidak usah terburu-buru, nanti insyaallah akan kita lakukan. cuma sekarang untuk persediaan untuk _booster_ itu kita belum ada,"" kata kepala dinkes boyolali puji astuti, rabu (12/1/2022). puji mengatakan, sesuai arahan dinkes provinsi jawa tengah, vaksinasi sekarang masih berfokus untuk anak-anak usia 6-11 tahun demi mengejar kekebalan kelompok ( _herd immunity_ ). sesuai capaian target vaksinasi, boyolali sebenarnya sudah boleh melaksanakan vaksinasi _booster_. sebab, capaian vaksinasi di boyolali sudah di atas 80 persen. adapun capaian vaksinasi untuk lansia sudah di atas 78 persen. ""artinya sudah boleh melakukan itu (vaksinasi booster), tetapi kita masih menunggu yang lainnya. jadi, istilah yang diutamakan pak kadinkes prov itu untuk mengejar _herd immunity_ anak-anak,"" jelas puji. boyolali saat ini baru menyelesaikan vaksinasi tahap pertama untuk anak usia 6-11 tahun. sedangkan vaksinasi tahap kedua untuk anak belum dimulai. selain itu, tenaga vaksinator kini juga harus menyelesaikan bulan imunisasi anak sekolah (bias). ""dosis 1 (vaksinasi anak) diselesaikan dulu. sedangkan yang anak-anak itu kita juga masih ada pr untuk bias. jadi memang kita harus menyinkronkan itu. jadi intinya sabar, insyaallah (vaksinasi _booster_ ) tidak akan jauh-jauh,"" ujar dia. puji belum bisa memastikan kapan vaksinasi _booster_ akan dimulai di boyolali. ""kita tunggu dulu. kalau dari provinsi perintah ambil vaksin, ya kita ambil,"" ujarnya. dia menambahkan, vaksinasi ketiga di boyolali akan dilakukan secara bertahap dan akan memprioritaskan kelompok rentan. ""kita harus melihat juga yang diberikan (vaksin) _booster_ itu yang rentan, yang lansia, yang mempunyai kelemahan, itu yang kita utamakan dulu,"" tandas puji.",www.detik.com
Balita 18 Bulan Penderita Gizi Buruk di Brebes Ini Bobotnya 5 Kg,"Selasa, 06 Feb 2018 16:50 WIB","\- seorang balita di kabupaten brebes, hikmah hayu mengidap penyakit gizi buruk yang cukup akut. hikmah yang kini berusia 18 bulan dan berat badannya hanya 5 kg. padahal untuk anak seusianya paling tidak memiliki berat badan normal 12 kg. selain kurus, hikmah juga belum mampu duduk secara mandiri dan berdiri. hikmah ayu adalah anak dari riska komalasari warga kelurahan brebes, kecamatan brebes. balita perempuan ini menderita gizi buruk sejak lahir. petugas gizi puskesmas brebes, mega noor indah saat melakukan observasi di rumah pasien mengatakan, kondisi balita ini belum mengalami peningkatan. hal ini karena kurangnya kesadaran dari pihak keluarga untuk membawa anaknya ke puskesmas. ""kami sudah sering mengingatkan agar anaknya secara rutin dibawa ke puskesmas. tapi jarang dilakukan. malahan dari puskesmas yang datang ke rumah pasien,"" ujar mega noor indah, selasa (6/2/2018). bersama silvi anggraini, mega mengaku sering melakukan observasi untuk melakukan pemantauan terhadap pasien gizi buruk. observasi ini untuk memastikan adanya perkembangan gizi pasien. ""kalau memang perlu perawatan inap kami siap bantu dan tidak dipungut biaya sama sekali. bahkan keluarga yang menunggu akan diberikan insentif untuk transportasi,"" ungkap mega. keluarga riska komalasari masuk dalam katagori keluarga miskin. mereka menempati sebidang rumah semi permanen ukuran 3x5 meter. selain dihuni oleh riska dan anaknya, rumah ini juga ditempati oleh kedua orang tuanya. hikmah adalah salah satu dari balita yang mengalami gizi buruk di kabupaten brebes. tercatat di dinas kesehatan brebes, jumlah gizi buruk pada januari ini mencapai 113 orang. angka ini menempati peringkat tertinggi se jawa tengah.",www.detik.com
Pelatihan Pemulasaraan Jenazah ODHA di Klaten Sasar Lintas Agama,"Minggu, 01 Des 2019 15:21 WIB","\- upaya sosialisasi dan pelatihan pemulasaraan jenazah orang dengan hiv/aids (odha) di kabupaten klaten mulai menyasar tokoh lintas agama. upaya itu dilakukan komite penanggulangan hiv/aids (kpa) agar jenazah odha bisa ditangani sebagaimana mestinya. ""tahun 2019 kami mulai menyasar tokoh lintas agama. agar disosialisasikan dengan benar ke masyarakat tata caranya,"" ungkap pengelola bidang data dan informasi kpa klaten, amin bagus panuntun, saat diwawancarai di kantornya, minggu (1/12/2019). menurut amin, dari masing-masing agama di klaten sudah diwakili 50 peserta. pelatihan dan sosialisasi dilakukan bertahap untuk melengkapi tahun 2018. selama tahun 2018, sosialisasi sudah menyasar ke 400 orang kaur kesra desa/kelurahan, 400 orang penyuluh agama dan sekitar 1.000 orang dari ormas. dengan ditambah tokoh lintas agama pemahaman masyarakat akan semakin baik dalam menangani jenazah odha. menurutnya, odha yang meninggal tidak perlu dijauhi atau ditakuti. asalkan masyarakat memahami penularan hiv dengan benar dan mengerti cara pemulasaraan jenazahnya, odha tidak perlu diasingkan. data terakhir, kata amin, jumlah kasus hiv/aids di klaten sejak tahun 2007-2019 mencapai 868 kasus. terdiri dari 464 hiv dan 404 sudah aids. ""dari 868 kasus itu yang meninggal 87 orang. ironisnya kasus terbanyak di usia produktif 25-40 tahun,"" tambahnya. dengan kasus yang banyak dan jumlah pengguna obat antiretroviral (arv) sebanyak 297 orang maka kematian bisa saja bertambah di tahun-tahun depan. penyebabnya karena henti obat. pengelola program dan kegiatan kpa klaten fauzi rivai mengatakan faktor henti obat berisiko menyebabkan kematian. odha yang tidak kuat biasanya berhenti mendadak. ""dalam kondisi semacam ini masyarakat di lingkungan harus siap. sebab tenaga kpa sangat terbatas,"" jelasnya. dengan kesiapan semua elemen dan lingkungan masyarakat, harapannya jenazah odha tertangani dengan baik dengan mengurangi risiko penularan sekecil mungkin.",www.detik.com
Ini 2 Cara Pemerintah Turunkan Angka Stunting hingga 14% pada 2024,"Selasa, 25 Agu 2020 18:51 WIB","\- presiden joko widodo (jokowi) menargetkan angka stunting menurun dari sebelumnya 27,6 persen di 2019 menjadi 14 persen pada 2024. menko pmk muhadjir effendy menyatakan ada 2 cara untuk mencapai target tersebut, yaitu merevitalisasi 2 program bkkbn. ""jadi nanti ada dua program yang akan kita revitalisasi atau kita sisipkan atau kita jadikan program unggulan di dalam program-program yang ada di bkkbn yang sudah ada, yaitu tentang bagaimana persiapan perencanaan keluarga yang baik terutama calon rumah tangga baru dan sekaligus untuk menekan angka stunting serendah mungkin itu sampai 14 persen pada tahun 2024,"" kata muhadjir dalam konferensi pers usai bertemu dengan kepala bkkbn hasto wardoyo, selasa (25/8/2020). muhadjir mengatakan saat ini upaya menurunkan stunting harus dilakukan dengan cara yang tidak bisa biasa-biasa saja (extraordinary). ia menyebut upaya menurunkan angka stunting tidak boleh terhambat karena pandemi covid-19. dia mengatakan pemerintah juga mengantisipasi adanya baby boom selama pandemi covid-19. adapun program bkkbn untuk menurunkan stunting, yaitu melalui pranikah dengan memberikan pembekalan dan juga menjaga _spacing_ atau jarak kehamilan anak pertama dengan kedua di atas 3 tahun. muhadjir menilai kedua program tersebut perlu disosialisasikan hingga ke pelosok karena masih marak pernikahan dini di daerah. ""sebetulnya arah kita di pertemuan ini nanti memberikan bekal yang lebih lengkap kepada mereka-mereka yang masuk rumah tangga baru. jadi memang selama ini sudah dilakukan khususnya di kementerian agama, tapi kita anggap belum cukup karena kemenag lebih mementingkan pada aspek kesiapan mental, kesiapan rohani, dan juga keabsahan pernikahan, tapi dari aspek lain misalnya kesehatan reproduksi, kemudian kesiapan bangun ekonomi keluarga mandiri belum tersentuh, dan itu yang nanti kita harapkan bkkbn lebih memiliki peran yang lebih besar,"" ujar muhadjir. sementara itu, kepala bkkbn hasto wardoyo menjelaskan 2 program unggulannya untuk menekan angka stunting yaitu pembekalan pranikah dan jarak kelahiran anak pertama lebih dari 3 tahun. dia mengatakan bonus demografi yang akan dimiliki indonesia akan bermanfaat apabila sdm yang dihasilkan berkualitas. ""ini sangat menentukan kejadian stunting bahkan juga menentukan kejadian autisme. antara stunting dan gangguan mental emosional termasuk autisme itu sangat mempengaruhi kualitas sdm dimana bonus demografi yang diciptakan dengan perjuangan panjang sejak tahun 70 sampai sekarang mencapai pada proporsi dependensi rasio yang sangat bagus karena hanya 46 angkanya itu tidak ada gunanya tanpa disertai dengan kualitas sdm yang baik,"" ujar hasto. jurus menekan angka stunting lainnya dari bkkbn adalah melalui konseling pranikah. nantinya calon pengantin yang melakukan pernikahan dini akan diberi tahu terkait kesehatan reproduksi, psikologi, dan ekonomi keluarga. bkkbn akan memberi pemahaman tentang kesehatan reproduksi di sekolah melalui jalur pusat informasi kesehatan reproduksi (pr) yang menginformasikan risiko kehamilan di usia 15 tahun. ""nah itulah peran kami yang pertama untuk menurunkan stunting melalui pranikah dan juga menjaga spacing. ini sangat strategis dan luar biasa. kami sudah membuat hitung-hitungan karena supaya di tahun 2024 itu menjadi 14 persen, maka jika kelahiran itu setahunnya itu 4,8 juta kalau toh naik menjadi 5 juta itu maka kelahiran baru ini ini tidak boleh ada yang stunting lebih dari 680 ribu. karena setiap tahun itu tidak boleh lebih dari 680 ribu. karena tidak boleh lebih dari 14,27 persen,"" ujar hasto. selain itu bkkbn juga mendapatkan laporan di ntb ada 6 pelajar smp melakukan pernikahan dini karena sekolah daring. hal itu dipicu dari aktivitas chatting yang dilakukan selama sekolah dari rumah melalui daring. ""kemarin juga ada laporan di ntb yang karena daring e-learning dari sekolah, banyak chatting, akhirnya banyak nikah usia sekolah smp. kami sudah cek kejadiannya tidak lebih dari 6 anak dan kami tindak lanjut ke lapangan, kita lakukan konseling,"" ujarnya. hasto mengatakan pihaknya akan mengimbau bagi pasangan pernikahan dini itu untuk menunda kehamilannya hingga berusia 20 tahun. hasto mengaku siap bekerja keras menurunkan target stunting hingga 14 persen. ""kami siap kerja mulai dari sekarang karena bagi kami ini hanya revitalisasi jadi bukan hal yang baru. kami harus kerja lebih keras dan kami tindak lanjuti perintah menteri tadi harus dibuat skenario-skenario yang jelas, target-target hitungan ini, kemudian skenario untuk konkretnya seperti apa akan segera kami susun dan menambahkan pada kegiatan eksisting yang sudah kami kerjakan,"" ungkapnya. sebelumnya, presiden jokowi ingin angka stunting turun menjadi 14 persen pada 2024. jokowi memprioritaskan penurunan stunting di 10 provinsi di indonesia. ""kita fokus saja untuk menurunkan stunting di 10 provinsi yang prevalensi stunting yang tertinggi dan provinsi tersebut adalah ntt, sulbar, ntb, gorontalo, aceh, kalimantan tengah, kalimantan selatan, kalimantan barat, sulawesi tenggara, dan sulawesi tengah,"" ujar jokowi dalam pengantar rapat terbatas percepatan penurunan stunting yang disiarkan saluran youtube sekretariat presiden, rabu (5/8).",www.detik.com
143 Ribu Anak di Nigeria Meninggal Akibat Pneumonia,"Sabtu, 14 Nov 2020 00:37 WIB","\- ratusan ribu anak di nigeria harus kehilangan nyawa karena menderita pneumonia atau radang paru-paru yang disebabkan infeksi. tercatat, ada 143 ribu anak di bawah lima tahun meninggal dunia setiap tahunnya akibat pneumonia. menteri kesehatan nigeria, olorunnimbe mamora mengatakan, penyakit tersebut membunuh 132 dari 1.000 bayi yang lahir setiap tahunnya. menurutnya, pneumonia semakin merusak kesehatan anak-anak di nigeria dengan kombinasi penyakit lainnya. asosiasi pediatrik nigeria telah meminta kepada pemerintah untuk memperbaiki catatan kematian tersebut. terlebih kondisi saat ini diperparah dengan adanya pandemi covid-19. virus corona telah ""mengakibatkan gangguan pada layanan pencegahan dan perawatan anak terapeutik termasuk imunisasi, suplementasi makanan, dan perawatan dini untuk penyakit umum,"" kata asosiasi itu dalam sebuah pernyataan rabu. menurutnya, dengan adanya pandemi covid-19, kondisi semakin parah. bahkan, lebih parah dibanding gabungan penyakit aids, malaria dan diare. ceo save the children inggris kevin watkin mengtakan pandemi covid-19 telah menghancurkan negara-negara miskin. ""pandemi telah mengekspos kekurangan oksigen yang menghancurkan di negara-negara termiskin,"" kata kevin.",www.detik.com
Sukabumi Daerah Tertular Rabies Tertinggi di Jabar,"Sabtu, 07 Okt 2017 15:11 WIB","\- rabies dianggap sebagai salah satu zoonosis utama dan selalu menjadi masalah kesehatan di masyarakat. kabupaten sukabumi menduduki rangking tertinggi di antara beberapa daerah lainnya di jabar yang tertular rabies. hal tersebut diungkapkan kasubdit pemberantasan penyakit kementerian pertanian muhammad syibli. menurut dia, peranan semua sektor dalam pemberantasan rabies sangat diperlukan, begitu juga dengan kesadaran masyarakat untuk memberikan vaksin kepada hewan peliharaannya. ""di jawa barat itu ada sukabumi, garut, cianjur, dan bandung untuk bandung daerahnya saya lupa mesti di konfirmasi lagi, yang pasti sukabumi tingkat tertularnya paling tinggi. makanya kita bantu dan berantas di sini, sementara di cianjur, garut dan bandung itu hanya sporadis beberapa titik lokasi,"" kaya syibli usai acara ""world rabies day' di cikembar, sukabumi, sabtu (7/10/2017). syibli menjelaskan, lalu lintas hewan penular rabies (hpr) di sukabumi sangat tinggi, yang ada saat ini anjing kerap digunakan untuk berburu dan konsumsi. sementara pemilik atau pengumpul anjing sendiri sembunyi-sembunyi dan enggan membuat surat keterangan kesehatan hewan (skkh). ""pengawasannya lemah, nilai ekonomisnya tinggi mereka (pemilik) umpet-umpetan tidak punya skkh. faktor untuk mengurangi itu adalah kekompakan dan sinerginya semua sektor dan kesadaran masyarakat untuk melek resiko penularan rabies ini,"" ujar syibli. dunia sendiri dikatakan syibli sudah mencanangkan _one health_ yang artinya penanganan rabies tidak menjadi beban satu institusi saja tapi seluruh elemen pemerintah bersama-sama bergerak untuk memberantas rabies. untuk membebaskan rabies tidak bisa dibebankan ke kementerian pertanian saja, harus menjadi masalah bersama. baik pemerintah pusat, kementerian lembaga hingga daerah akan terlibat. ""enggak bisa anjing urusannya kementan, orang urusannya kemenkes hanya dua lembaga itu sudah enggak bisa, sementara dunia sudah mengusung konsep _one health_ satu kesehatan dan tanggung jawab semua,"" tuturnya. di tempat yang sama, direktur jenderal peternakan dan kesehatan hewan (dirjen pkh) kementerian pertanian i ketut diarmita menyampaikan, saat ini daerah yang telah berhasil dibebaskan dari rabies, yaitu jatim, jateng, yogyakarta, dki jakarta, kepulauan riau, bangka belitung dan ntb. sedangkan untuk pulau yang telah bebas rabies, yaitu pulau weh, pulau pisang, pulau enggano, kabupaten meranti dan kepulauan mentawai. ""untuk di jabar area kecil tapi jelimet (masalah rabies), artinya anjing itu kan ada di kampung-kampung. intinya harus dibentuk komitmen bersama antara pemerintah pusat dan kabupaten, jangankan sukabumi seluruh kabupaten bisa kita selesaikan. harus ada sistem pemberantasan terstruktur,"" ujar diarmita. ""target 2030 dunia terbebas rabies bisa kita wujudkan asalkan ada komitmen bersama semua pihak itu kuncinya. bagi kita cukup bagikan vaksin ke setiap puskesmas, selesai itu (masalah rabies),"" kata diarmita.",www.detik.com
Kolaborasi Jadi Kunci Menekan Angka Stunting Saat Pandemi,"Sabtu, 09 Okt 2021 22:36 WIB","\- dalam mencapai target penumpasan stunting, seluruh elemen baik pemerintah maupun non pemerintah harus saling berkolaborasi. pengambil kebijakan, akademisi, polisi, pebisnis dan organisasi juga harus masif ikut menyuarakan isu penumpasan permasalah stunting. ""action against stunting day bertujuan untuk menguatkan kembali komitmen dan aksi mencapai penurunan stunting secara global, mempromosikan dialog dan advokasi mengenai sdg2, mengidentifikasi prioritas dan visi bersama untuk penurunan stunting, serta menumbuhkan rasa kebersamaan dengan menyatukan berbagai aktor dan generasi,"" ujar direktur seameo recfon prof. dr. muchtaruddin mansyur dalam keterangannya, sabtu (9/10/2021). hal itu dikatakan dalam sebuah webinar yang dilaksanakan dalam rangkaian kegiatan 'action against stunting day' yang juga digelar secara global termasuk di india, indonesia, senegal. kegiatan ini bagian dari studi action against stunting hub (aash) yang didanai oleh uk research and innovation global challenges research fund (ukri-gcrf). sementara itu kepala bnpb periode 2020-2021, letjen tni (purn) doni monardo menyampaikan bahwa perlu digalakkan pangan lokal dan pangan hewani untuk pengembangan sumber daya manusia yang berkualitas di indonesia. ""dengan aktif menginisiasi kerjasama berbagai pemangku kepentingan yang merupakan pendekatan pentahelix, diharapkan nantinya dapat membantu percepatan pelaksanaan program percepatan penurunan stunting terlebih di tengah kondisi pandemi dan paska pandemi covid-19,"" jelas doni yang kini membina yayasan kita jaga alam. dalam webinar yang sama, peneliti senior seameo recfon dan country lead aash indonesia, umi fahmida menyampaikan bahwa aash adalah studi inter-disiplin yang dilaksanakan di tiga negara (india, indonesia, senegal) dan lombok timur menjadi lokasi di indonesia. aash bertujuan untuk mempelajari tipologi faktor- faktor yang membentuk jalur menuju stunting (stunting typology) dengan pendekatan anak secara utuh (whole child approach) termasuk komponen fisik (gizi, epigenetik, kesehatan saluran cerna), lingkungan pengasuhan, pendidikan dan pangan. dari studi ini diharapkan akan dihasilkan alat pendukung kebijakan (decision support tool) nasional dan lokal yang relevan dalam upaya pencegahan dan percepatan penurunan stunting. kondisi pandemi covid-19 diperkirakan akan meningkatkan jumlah anak stunting di dunia. oleh karenanya pencegahan dan penurunan stunting memerlukan penanganan interdisiplin serta keterlibatan berbagai pihak. ""selaras dengan konvergensi stunting yang melibatkan multi-sektor, tim peneliti dari berbagai disiplin ilmu, elemen pemerintah, non-pemerintah dan masyarakat semuanya mempunyai peran dalam melawan stunting. itulah semangat yang ingin dikuatkan dalam peringatan action against stunting day ini,"" pungkas dr. umi. ketua umum nasyiatul aisyiyah diyah puspitarini mengatakan bahwa masyarakat sipil merupakan salah satu pemeran penting dalam percepatan pengurangan stunting. dia mengklaim bahwa lazismu ikut berperan dalam menangani stunting di indonesia. ""kontribusi program lazismu sebagai salah satu program pencegahan stunting bertajuk peningkatan kemampuan gizi seimbang seluruh indonesia di 34 provinsi dan 462 kabupaten/kota,"" jelasnya.",www.detik.com
7 Desa di Sumedang Masuk Daftar Beresiko Tinggi Stunting,"Rabu, 15 Jan 2020 22:46 WIB","\- sebanyak tujuh desa di kabupaten sumedang, jawa barat, masuk daftar berisiko tinggi _stunting_ atau kondisi gagal tumbuh pada anak. pemkab sumedang meminta semua pihak untuk bersama-sama mencegah _stunting_. kabupaten sumedang merupakan satu dari 60 kabupaten-kota di indonesia dengan kasus _stunting_ cukup tinggi pada tahun 2019. pemkab sumedang mendata dari 25 desa di sumedang berisiko _stunting_ , tercatat tujuh desa yang menjadi perhatian lantaran indeks risiko _stunting_ 'sangat-sangat tinggi'. tujuh desa itu terdiri desa ciawitali, cibungur, tanjungwangi, cijambu, pangadegan, kadakajaya dan suriamedal. ""untuk mengatasi _stunting_ ini bukan hanya kewajiban pemerintah, tetapi kewajiban bersama,"" kata bupati sumedang dony ahmad munir saat memberikan pemaparan kepada camat dan kepala desa di gedung negara, jalan pangeran geusan ulun, kabupaten sumedang, jawa barat, rabu (15/1/2020). dalam musyawarah bertema 'pencegahan dan penanggulangan _stunting_ di kabupaten sumedang', dony menegaskan bahwa _stunting_ menjadi atensi pemkab sumedang. pencegahan dan penanggulangan perlu dilakoni serius sehingga anak terhindar dari risiko _stunting_. untuk aksi pencegahan _stunting_ tahun ini, pemkab sumedang memprioritaskan 10 desa. jumlah tersebut termasuk tujuh desa yang indeks risiko _stunting_ 'sangat-sangat tinggi'. dony meminta para camat dan kepala desa terus memantau kondisi warganya agar pencegahan dapat dilakukan sejak dalam kandungan. ""untuk pencegahan, tolong untuk yang punya data, cek program bayinya agar teratur untuk diperiksa. ini yang harus diprioritaskan,"" tutur dony.",www.detik.com
"KLB Rabies di Dompu: 1.123 Orang Digigit Anjing, 9 Meninggal Dunia","Selasa, 21 Mei  2019 10:18 WIB","\- jumlah korban gigitan hewan pembawa rabies (hpr) anjing di dompu, nusa tenggara barat (ntb), mencapai 1.223 orang. sembilan orang di antaranya dilaporkan meninggal dunia terhitung setelah ditetapkan status klb rabies pada februari lalu. jumlah tersebut tersebar di seluruh wilayah yang ada di 8 kecamatan di dompu. sebanyak 121 orang digigit anjing dan 1 orang di antaranya meninggal dunia di kecamatan hu'u, 46 orang digigit anjing di kecamatan pajo, 181 orang di kecamatan dompu, serta 156 orang dan 1 di antaranya meninggal dunia di kecamatan koja. adapun di kecamatan menggelewa tercatat 160 orang dengan 2 orang di antaranya meninggal dunia, di kecamatan kilo 20 orang, di kecamatan kempo 354 orang dengan 5 orang di antaranya meninggal, serta di kecamatan pekat terdapat 90 orang terkena gigitan anjing. kepala dinas peternakan dan kesehatan hewan zainal arifin mengatakan kasus gigitan anjing pada manusia terjadi hampir setiap hari. selain pada manusia, anjing yang diduga menderita rabies juga menggigit hewan seperti sapi, kambing, dan kucing. ""jumlah keseluruhan gigitan hewan pembawa rabies (hpr) di kabupaten dompu sebanyak 1.123 orang dan yang meninggal 9 orang. kemarin kami mendapat laporan ada korban digigit anjing rabies. hewan seperti sapi dan kambing yang terkena gigitan anjing rabies terjadi di beberapa tempat wilayah kabupaten dompu,"" ungkapnya saat dihubungi, selasa (21/5/2019). ke-9 orang yang meninggal tersebut merupakan korban gigitan lama. dua di antaranya memiliki riwayat digigit anjing tapi tidak pernah berobat. ""dua meninggal ada riwayat digigit anjing tapi tidak pernah berobat dan datang ke fasilitas kesehatan,"" jelasnya. proses pencegahan sekaligus penangan terhadap virus ini terus gencar dilakukan oleh pemerintah setempat. salah satu upaya yang dilakukan adalah dengan cara mengeliminasi anjing-anjing liar yang diduga terjangkit rabies dan vaksinasi terhadap anjing peliharaan serta pada korban gigitan anjing. ""begitu kami mendapat informasi ada korban terkena gigitan anjing, kami langsung segera melakukan tindakan medis terhadap korban,"" ujar kepala dinas kesehatan dompu, iris juwita, secara terpisah.",www.detik.com
