No Document,title,Description,Mati,Sakit,Keparahan
0,"Meilani Alfira Balita Usia 2,8 Tahun Penderita Gizi Buruk Tubuhnya Sangat Kurus","\- Di tengah upaya pemerintah meniadakan stunting dan gizi buruk, seorang anak
balita di Lamongan dirawat di RSUD dr Soegiri. Sang balita penderita gizi
buruk ini dirawat di ruang Anggrek 5, sejak 3 hari lalu.  
  
Sang balita tersebut yakni Meilani Alfira Damayanti usia 2 tahun 8 bulan.
Tubuh putri Dwi Novita (29), kurus kering dengan berat badan tidak ideal
dengan pertumbuhan umurnya.  
  
""Iya mas, Sabtu (11/1) kemarin masuk rumah sakit,"" kata sang ibu, Dwi Novita
kepada wartawan saat di RSUD dr Soegiri, Senin (13/1/2020).  
  

Warga Desa Latukan, Kecamatan Karanggeneng, ini mengaku anaknya lahir dengan
bobot normal, 3 kg. Namun hingga usia 2 tahun, hanya berbobot 4 kg. Padahal
normalnya, bayi usai 12 tahun memiliki berat badan 12 kg.  
  
""Sebagai orang tua, saya langsung memeriksakan ke klinik dan menurut petugas
medis dikatakan hanya terpengaruh susu atau disebut alergi susu sapi,"" tutur
Dwi.  
  
  
Dwi menambahkan atas saran medis itu ia kemudian mengganti susu anaknya dengan
susu soya. Meski sudah mengganti dengan susu soya, lanjut Dwi, sang anak tetap
muntah saat disuapi makanan.  
  
Menurut Dwi, gizi buruk yang menimpa anak semata wayangnya itu berlangsung
sejak beberapa bulan lalu. Saat itu Alfira diasuh neneknya karena dia harus
berjualan gorengan keliling untuk memenuhi kebutuhan hidup setelah bercerai
Oktober 2019 lalu.  
  
""Karena saya harus berjualan keliling jadi anak saya diasuh sama ibu saya
mas,"" pungkasnya.  
  
Perangkat Desa Latukan, Kecamatan Karanggeneng tak tinggal diam. Mendapati
salah satu warganya menderita gizi buruk langsung membawa sang balita ke RSUD
dr Soegiri Lamongan.  
  
Seketaris Desa Latukan, Arif Hidayat dihubungi wartawan mengaku sudah berupaya
membantu warganya, Meilani Alfira Damayanti. ""Desa sudah berupaya penuh untuk
keluarga dengan membawa ke rumah sakit,"" kata Arif.  
  
  
Selain itu, pemerintah desa juga tengah menguruskan kartu BPJS Kesehatan untuk
keluarga Dwi. Terkait informasi ini sampai ke telinga wartawan dan hendak
diangkat ke permukaan, Arif menyerahkan sepenuhnya pada pihak keluarga, kalau
memang ada manfaat bagi pihak keluarga. ""Kami serahkan sepenuhnya pada pihak
keluarga,"" tambahnya.  
  
Tidak hanya perangkat dan pemerintah desa yang bergerak, Arif menyebut, Karang
taruna desanya juga ikut aktif membantu Dwi dan anaknya. ""Karang taruna juga
menggalang dana untuk diberikan kepada keluarga. Kami serahkan sepenuhnya pada
pihak keluarga, semoga memang ada manfaat bagi pihak keluarga,"" akunya.

 ",0,1,rendah
1,"Dinsos Setempat Sudah Jenguk Rubiah, Ini Hasilnya","\- Pilunya kondisi Rubiah (75), pasien kusta yang tinggal di Dusun Balongan,
Desa Pulosari, Kecamatan Jambon, sampai juga ke telinga Dinas Sosial (Dinsos)
Kabupaten Ponorogo.  
  
""Kami mau bawa mbah Rubiah ke panti rehabilitasi Dinsos Jatim yang ada di
Tuban,"" tutur Kepala Dinas Sosial Kabupaten Ponorogo, Soemani saat ditemui di
lokasi, Senin (29/10/2018).  
  
Saat berkunjung, Soemani juga melihat langsung kondisi Rubiah. Menurut
pengakuannya, Rubiah berkenan dibawa berobat ke panti rehabilitasi.  
  

""Tadi mbahnya sudah bilang mau dirawat di panti,"" ungkapnya.  
  
  
Soemani menambahkan, sebelum membawa Rubiah ke panti rehabilitasi, ia juga
memastikan telah meminta persetujuan keluarganya.  
  
""Kami minta izin ke keluarga. Katanya boleh, cuma nanya bagaimana cara
menjenguknya saja,"" paparnya.  
  
Soemani pun menjawab jika ada keluarga korban yang mau menjenguk, maka mereka
tinggal berkoordinasi dengan anggota Dinsos yang akan mengantarkan langsung ke
panti rehabilitasi disertai dengan surat perizinannya.  
  
Pihaknya juga berencana meminjam mobil ambulans milik Dinas Kesehatan untuk
membawa Rubiah ke Tuban.  
  
""Sudah koordinasi dengan Dinkes dan PMI untuk membawa ke Tuban,"" tukasnya.  
  
Ketika ditanya apakah Rubiah akan dipulangkan bila sudah sembuh, Soemani
mengaku sepertinya Rubiah sulit untuk kembali karena biasanya penderita kusta
sulit sembuh. Namun semua keputusan ia serahkan kepada korban dan keluarganya.  
  
""Kita lihat nanti saja seperti apa hasilnya,"" tandasnya.  
  
  
Sementara itu, bidan desa setempat Suyati menambahkan program pengobatan kusta
sudah ada sejak tahun 1995-1996 lalu. Dari puskesmas juga ada program 6 bulan
pengobatan rutin. Jika rutin mengonsumsi obat, penderita bisa sembuh, hanya
saja kecacatan akibat kusta masih ada.  
  
""Kami juga sering kesini, pemberian obat dan vitamin. Kalau mbah Rubiah merasa
tidak sehat, saya datang kesini atau ada keluarganya yang meminta obat ke
saya,"" ungkapnya.  
  
Selain Rubiah, di Desa Pulosari ini ada 2 penderita kusta lain, namun keduanya
sudah dinyatakan sembuh karena terdeteksi saat masih awal.  
  
""Kalau mbah Rubiah ini dulu pas terdeteksi sudah parah dan usianya waktu itu
40 tahun,"" pungkasnya.  
  
  
  

[Gambas:Video 20detik]

 ",0,1,rendah
2,30 Ribu Sampel Terkait Corona di RI Sudah Diperiksa Per 14 April 2020,"\-

Pemerintah mengatakan hingga saat ini sudah memeriksa 30 ribu sampel terkait
pemeriksaan Corona. Angka ini naik dibanding pada 13 April kemarin sebanyak 27
ribu.

""Sampai 14 April lebih dari 30 ribu sampel yang telah kita periksa,"" ujar Juru
Bicara Pemerintah Terkait Corona, dr Achmad Yurianto, di BNPB, Selasa
(14/4/2020).

Yuri mengatakan hingga saat ini semua provinsi sudah mengonfirmasi kasus
Corona. Begitu juga korban tewas yang disebabkan virus ini.

""Kami sangat berduka dengan masih adanya saudara-saudara kita yang terpaksa
harus meninggal karena penyakit COVID-19 ini. Kita mencatat jumlahnya sudah
merata hampir di semua provinsi ada,"" kata Yuri.

Terkait dengan data 30 ribu sampel yang diperiksa, angka ini naik dari jumlah
kemarin yang sebanyak 27 ribu sampel telah diperiksa. Yuri mengatakan 27 ribu
penduduk diperiksa dengan PCR secara _real time_ di 186 kabupaten dan kota.

""Kinerja yang kita lakukan saat ini sudah lebih dari 27 ribu sampel, 27 ribu
penduduk yang kita periksa untuk PCR _real time_ dari 186 kabupaten kota yang
terindikasi ditemukan kasus,"" ujar Yuri kemarin.

 ",1,5,rendah
3,Derita Sri Rahayu Warga Pekanbaru Idap Kanker Ganas di Kepala,"\- Sri Rahayu (34), warga di Pekanbaru mengidap kanker ganas di kepala. Muncul
benjolan di bagian kepalanya hingga menutup mata sebelah kirinya.  
  
Sri adalah warga di perumahan Pesona Jl Cipta Karya Gang Bahagia II, Kelurahan
Sialang Munggu Kecamatan Tampan, Pekanbaru. Ibu dari empat orang anak yang
tinggal bersama orang tuanya itu harus menahan rasa sakit atas penyakitnya
itu.  
  
Penyakit ini diketahui saat Sri merasakan ada kejanggalan di bagian kepalanya
pada April 2018 lalu. Saat itu dia demam panas karena ada benjolan kecil di
kepala bagian depannya. Dia pun berobat ke klinik rujukan BPJS.  
  

  
""Saat itu saya hanya dikasih obat. Katanya benjolan kecil itu tiroid,"" kata
Sri kepada wartawan, Minggu (12/1/2020).  
  
Setelah berobat, benjolan yang ada di kepalanya ternyata semakin membesar.
Pihaknya keluarganya pun kembali merujuk ke rumah sakit. Pihak rumah sakit pun
mengeluarkan diagnosis atas penyakit yang diderita Sri.  
  
""Terus saya ke rumah sakit umum di Pekanbaru. Setelah dilakukan cek
menyeluruh, benjolan di kepala saya disebut penyakit kanker kepala ganas,""
kata Sri.  
  
  

Selanjutnya __

Halaman

1  2

 ",0,4,rendah
4,Ma'ruf Amin: Negara Maju Kok Kemiskinan dan Stunting Masih Tinggi,"\-

Wakil Presiden Ma'ruf Amin menyampaikan sebuah ironi bahwa Indonesia sudah
mendapat predikat sebagai negara maju, namun angka kemiskinan dan kekerdilan
pada anak atau stunting masih tinggi. Hal itu Ma'ruf sampaikan saat berdialog
dengan masyarakat terkait percepatan penanganan kemiskinan dan stunting, di
Balitong Resort, Pangkalpinang, Kepulauan Bangka Belitung.

""Namanya maju kok kemiskinan masih tinggi, namanya maju kok stunting masih
tinggi,"" kata Ma'ruf, seperti dikutip Antara, Kamis (27/2/2020).

Ma'ruf mengatakan label sebagai negara maju itu diukur antara lain dari
tingkat kesejahteraan masyarakatnya, termasuk angka kemiskinan yang seharusnya
rendah. Indonesia sendiri sudah dikategorikan sebagai negara maju, namun saat
ini pemerintah masih berupaya menurunkan angka kemiskinan, kata Ma'ruf.

""Ukuran negara maju itu tingkat kemiskinannya rendah, nah Indonesia sudah
dikategorikan negara maju. Yang mau kita kejar itu angka kemiskinan,
pemerintah ingin menurunkan angka kemiskinan, bahkan kalau bisa me-nol-kan
walaupun agak tinggi,"" ujar Ma'ruf.

Secara nasional, berdasarkan data Badan Pusat Statistik (BPS), angka
kemiskinan di Indonesia per September 2019 mencapai 9,22 persen. Meskipun
angka tersebut berangsur turun 0,44 persen dari data September 2018,
Pemerintah berupaya menekan angka kemiskinan menjadi 7 hingga 6,5 persen di
akhir 2024.

Sementara terkait angka stunting, Ma'ruf mengatakan saat ini secara nasional
angkanya turun menjadi 27,6 persen dari tahun 2018 sebesar 30,8 persen. Namun,
angka stunting nasional tersebut masih berada di atas standar Badan Kesehatan
Dunia atau World Health Organization (WHO) yakni maksimal 20 persen.

""Walaupun begitu, usaha untuk menurunkan stunting itu harus diupayakan
sedemikian rupa secara optimal, karena target yang ingin kita capai itu 14
persen (di akhir 2024), jadi (menurunkan) dari 23 ke 14 (persen) lumayan
banyak, oleh karena itu harus digenjot,"" ujar Ma'ruf.

 ",0,0,rendah
5,"Tak Jadi Dirazia, Anjing-Kucing di Ciracas Divaksin Rabies","\- Pemilik anjing dan kucing di Ciracas, Jakarta Timur, membawa hewan
peliharaannya ke kantor Kelurahan Kelapa Dua Wetan. Mereka hendak mendapatkan
vaksin rabies untuk anjing dan kucingnya.  
  
Dari pantauan, Selasa (8/1/2019), setidaknya ada lima orang warga yang membawa
kucing peliharaan masing-masing ke kantor kelurahan itu. Pemberian vaksin itu
dilakukan Suku Dinas Ketahanan Pangan, Kelautan, dan Pertanian (Sudin KPKP)
Jakarta Timur. Selain itu, sosialisasi terkait penyakit rabies dilakukan para
petugas tersebut.  
  
  

![Tak Jadi Dirazia, Anjing-Kucing di Ciracas Divaksin
Rabies](https://akcdn.detik.net.id/community/media/visual/2019/01/08/11db2913-1820-4043-8f28-2d730e966950.jpeg?a=1)Sosialisasi
tentang rabies dan vaksinasi di Ciracas, Jakarta Timur. (Ibnu
Hariyanto/detikcom)  
  
---  
  
  

""Ini untuk memberikan edukasi tentang pentingnya peran serta masyarakat dalam
mempertahankan Jakarta Timur bebas rabies,"" ucap Kepala Seksi Peternakan dan
Kesehatan Hewan Sudin KPKP Jakarta Timur Irma Budiyani saat ditemui di lokasi.  
  
Di tempat yang sama, Asisten Perekonomian dan Pembangunan Pemkot Jakarta Timur
Sofyan Tahir kembali mengatakan tidak ada razia anjing dan kucing liar.
Kegiatan razia itu sebelumnya viral di media sosial hingga membuat Gubernur
DKI Jakarta Anies Baswedan angkat bicara meminta penundaan razia tersebut.  
  
  
""Sebenarnya ada penangkapan, karena ada perintah dan ada protes dari komunitas
penyayang binatang soal penangkapan, jadi kita lakukan sosialisasi saja,"" ucap
Sofyan.  
  
""Kepada masyarakat yang milik hewan peliharaan, baik anjing maupun kucing,
yang minta vaksinasi kita akan terima tapi kegiatan penangkapan tidak
dilakukan,"" imbuh Sofyan.  
  
Sebelumnya, Anies meminta jajaran Dinas KPKP mengevaluasi sosialisasi
penanganan hewan penular rabies (HPR). Anies juga meminta penundaan
penangkapan anjing dan kucing liar yang menjadi sorotan di media sosial.

 ",0,0,rendah
6,"Sebelum Datang Corona, 3 Wabah Ini Pernah Mendera Jawa Seabad Lalu","\-

Pandemi Corona atau COVID-19 ternyata bukan wabah pertama yang menewaskan
banyak orang. Seabad yang lalu, wabah cacar, pes hingga malaria pernah
menyerang Indonesia, khususnya pulau Jawa.  
  
Sejarawan UGM, Sri Margana memaparkan bahwa wabah yang terjadi seabad yang
lalu adalah wabah besar. Menurutnya, wabah pes menjadi wabah yang memakan
korban sangat banyak saat itu.  
  
""Kalau yang pernah membawa korban sangat banyak ya penyakit pes. Wabah pes itu
yang pernah banyak menelan korban warga Hindia Belanda (nama Indonesia di masa
penjajahan) dan juga telah merubah kebijakan kolonial tentang kesehatan,""
ujarnya saat dihubungi , Senin (16/3/2020).  
  

  
Margana menyebut wabah tersebut terjadi pada pertengahan dekade 1920. Namun,
atas peran besar dr Cipto Mangunkusumo akhirnya wabah tersebut berhasil
diberantas. Terlepas dari hal tersebut, Margana mengungkapkan ada beberapa
wabah yang terjadi di pulau Jawa.  
  
""Kalau yang terbesar itu (wabah pes), kalau wabah lain itu biasanya yang
menjadi perhatian pemerintah kolonial, kalau tipikal Indonesia itu malaria dan
cacar. Dua wabah itu juga pernah terjadi di Jawa,"" ujar Margana.  
  
Dia menjelaskan, kedua wabah itu muncul saat penduduk Eropa mulai menduduki
wilayah-wilayah perkebunan di Indonesia. Mengingat saat itu Pemerintah
kolonial berniat memperkuat sektor perkebunan.  
  
""(Wabah) cacar itu sekitar tahun 1920, itu ketika penduduk Eropa mulai
menduduki di wilayah perkebunan. Jadi perhatian kolonial terhadap penyakit
seperti itu terjadi setelah perluasan perkebunan kolonial termasuk pes ini,""
katanya.  

Selanjutnya __

Halaman

1  2  3

 ",4,0,sedang
7,"Kasus Corona RI 11 Mei Tambah 400, Pasien Meninggal 8","\-

Pemerintah memperbarui data terkait kasus Corona di Indonesia. Hari ini
dilaporkan ada tambahan 400 kasus positif COVID-19 di Indonesia.

Data perkembangan penyebaran COVID-19 ini dipublikasi di situs Kemenkes, Rabu
(11/5/2022). Data ini diperbarui setiap hari dengan _cut off_ pukul 12.00 WIB.

Dengan tambahan tersebut, jumlah total kasus COVID-19 yang ditemukan di
Indonesia sejak Maret 2020 hingga hari ini menjadi 6.049.541 kasus.

Dari jumlah tersebut, 5.331 masih positif Corona (kasus aktif). Dilaporkan
juga, hari ini ada 916 orang di Indonesia yang sembuh dari COVID-19. Jumlah
total yang telah sembuh dari Corona sebanyak 5.887.786 orang.

Selain itu, hari ini dilaporkan sebanyak 8 pasien positif Corona di Tanah Air
meninggal dunia. Dengan demikian, jumlah total pasien positif COVID-19 yang
meninggal sebanyak 156.424 orang.

Pemerintah tak lelah mengimbau warga menaati protokol kesehatan pencegahan
COVID-19, yakni mengenakan masker, mencuci tangan menggunakan sabun dengan air
yang mengalir, serta menjaga jarak.

Program vaksinasi COVID-19 juga tengah digencarkan agar tercipta kekebalan
komunal ( _herd immunity_ ).

Pemerintah juga telah menerapkan pemberlakuan pembatasan kegiatan masyarakat
(PPKM) level 1 hingga 3 untuk menekan laju penyebaran Corona. Warga diminta
menaati aturan yang diberlakukan selama PPKM agar pandemi virus Corona dapat
teratasi.

[Gambas:Video 20detik]

  
  

 ",8,1,sedang
8,"Cegah DBD, Dinkes Jabar Anjurkan Warga Pelihara Ikan Cupang","\-

Dinas Kesehatan (Dinkes) Jawa Barat menganjurkan warga untuk memelihara ikan
cupang atau ikan predator jentik lainnya di tempat penampungan air. Hal itu,
dinilai cukup efektif untuk mencegah penyebaran penyakit demam berdarah dengue
(DBD).

""Ini cukup efektif di tempat penampungan air, kalau dikasih ikan tidak perlu
diulang, kalau abate kan harus diulang, harus dikuras seminggu sekali,"" kata
Kadinkes Jabar Berli Hamdani saat ditemui di Gedung Sate, Kota Bandung, Jumat
(13/3/2020).

Berli mengatakan, tak hanya cupang, ikan jenis lainnya seperti nila, ikan mas
atau mujair bisa disimpan di tempat penampungan air. Ikan-ikan predator itu
bisa memangsa jentik-jentik nyamuk yang muncul.

""Ikan cupang dianjurkan karena dia punya nilai ekonomi, di bak mandi juga bisa
karena ukurannya relatif kecil dan tidak amis,"" ujarnya.

Selain itu, ia menyarankan agar warga juga menyimpan lavender atau sari dari
tanaman tersebut. ""Pakai minyak sirih juga bisa, daripada pakai, obat nyamuk,
itu kimia dan bisa mengganggu pernafasan,"" katanya.

Pihaknya akan berupaya mencegah DBD dengan mencanangkan program Jumantik atau
juru pemantau jentik bagi setiap orang di rumahnya masing-masing. ""Yang
biasanya tak terpantau itu di genangan talang air, jentik berpotensi hidup di
sana, juga di setiap gantungan baju,"" katanya.

Sebelumnya, Jawa Barat menjadi salah satu provinsi dengan angka kematian
tertinggi akibat DBD. Tercatat 4.600 orang terjangkit, dan 16 di antaranya
meninggal dunia pada triwulan pertama 2020.

Berdasarkan data Dinas Kesehatan (Dinkes) Jabar, Kabupaten Ciamis masuk ke
posisi teratas daerah di Jabar dengan angka kematian tertinggi akibat DBD.
Dilaporkan tiga orang dilaporkan meninggal akibat penyakit yang ditularkan
nyamuk _aedes aegypti_ itu.

Kemudian Kabupaten Bogor, Sukabumi, Cirebon dan Kota Bandung yang masing-
masing menelan dua korban jiwa. Disusul Kota Depok, Bogor, Sukabumi dan
Tasikmalaya yang masing-masing telah jatuh satu korban jiwa.

 ",16,4600,parah
9,PERABOI Sesalkan Tak Ada Data Pasien Kanker yang Telah Divaksin,"\-

Perhimpunan Ahli Bedah Onkologi Indonesia (PERABOI) mengaku tak memiliki data
pasien kanker yang sudah tervaksin. Padahal, pasien kanker merupakan golongan
yang gampang tertular dan punya angka kematian yang cukup tinggi.

Ketua PERABOI dr. Walta Gautama mengatakan, angka kematian pasien kanker yang
terjangkit Covid mencapai puluhan persen. Selain itu, Walta masih menemukan
berbagai kendala dalam melakukan vaksin bagi paran pasein kanker.

""Angka kematiannya 4 sampai 5 persen, tadi pada pasien kanker, data di luar
negeri itu 26 persen,"" ucap Walta kepada wartawan, Minggu (8/8/2021).

""Tapi kembali lagi ada dua hal, pasiennya takut, lalu tenaga medis yang akan
memvaksin juga ragu,"" imbuhnya.

Selain itu, Walta juga menyesalkan hingga saat ini pihaknya serta pemerintah
tidak memiliki data pasien kanker yang sudah divaksin.

""Itu yang kita sesalkan, itu yang kita enggak punya. Kita belum pernah
ngumpulin yang vaksinasi ya. Nah di luar negeri enggak ada datanya juga,"" ucap
Walta.

Walta meminta, pemerintah dapat memprioritaskan pasien kanker untuk dapat
segera divaksin. Alasannya, angka kematian pasien kanker yang terkena Covid 6
kali lipat lebih tinggi dibanding orang normal.

""Makanya kita memprioritaskan membuat imbauan ke Kemenkes tolong pasien kanker
diprioritaskan, karena angka kematiannya 6 kali lipat,"" ujae Walta.

Oleh karena itu, Walta berharap vaksinasi untuk para pasien kanker dapat
diperbanyak jumlahnya.

""Jadi saya bilang mungkin lebih digalakkan lagi supaya pasien-pasien kanker
untuk vaksinasi, itu saja harapan saya,"" tutur Walta.

 ",0,1,rendah
