title,date,description,source
"Sosialisasi Rabies Viral, Anies Minta Razia Anjing dan Kucing Ditunda","Selasa, 08 Jan 2019 08:23 WIB",gubernur dki jakarta anies baswedan jajaran dinas ketahanan pangan kelautan pertanian kpkp mengevaluasi sosialisasi penanganan hewan penular rabies hpr anies penundaan penangkapan anjing kucing liar sorotan media sosial anies menginstruksikan akun twitternya detikcom selasa 8 1 2019 anies instruksi jajarannya terkait sosialisasi diselenggarakan terkait polemik razia kucing pagi instruksikan dinas terkait 1 tunda kegiatan penangkapan 2 ajak bicara organisasi komunitas pengelolaan binatang 3 lakukan kegiatan pengendalian dgn komunitas cuit aniesbaswedan viral media sosial rencana razia anjing kucing besaran dianggap meresahkan dinas kpkp kegiatan sosialisasi hpr kegiatan diisi sosialisasi masyarakat terkait pemahaman tata pemeliharaan hewan hpr membahayakan lingkungan kepala bidang peternakan kesehatan hewan dinas kpkp dki jakarta sri hartati konfirmasi jumat 4 1 hartati berharap masyarakat teredukasi sosialisasi penangkapan hewan liar diliarkan ya tangkap lokasi sosialisasi dilaksanakan pagi jakarta pusat kelurahan mangga selatan jakarta utara kelurahan sukapura jakarta selatan kelurahan ragunan jakarta barat kelurahan jelambar jakarta timur kelapa wetan,www.detik.com
170 ODHA di Kab Blitar Meninggal Dalam 7 Tahun,"Rabu, 01 Des 2021 17:03 WIB",170 orang hiv aids odha dilaporkan meninggal kabupaten blitar angka komulatif tercatat dinkes pemkab blitar 7 kasi pencegahan pengendalian penyakit menular p3m dinkes kabupaten blitar eko wahyudi 2009 oktober 2021 tercatat 170 odha meninggal dunia angka pasien odha meninggal dunia didominasi pria 2009 oktober 2021 komulatif 1534 orang dilaporkan meninggal 2021 170 orang angka didominasi kaum pria eko dikonfirmasi rabu 1 12 2021 jangka waktu perawatan meninggal dunianya odha eko tergantung daya tahan tubuh terdeteksi terinfeksi virus hiv aids meninggal bertahan selang semangat hidup data odha 2021 eko tercatat 60 warga kabupaten blitar penularan virus mematikan didominasi usia 19 34 hubungan seksual dilaporkan pemicu utama timbulnya penularan hubungan seksual heterogen homoseksual evaluasi data faktor penularan didominasi hubungan seksual faktor penularan hubungan seksual mendominasi prosentase 50 persen penularan berganti pasangan pengaman berhubungan seksual memicu penularan hiv aids penularan faktor penularan narkoba jarum suntik penularan anak,www.detik.com
Injeksi Botox hingga Terapi Dilatasi Bisa Sembuhkan Wanita Vaginismus,"Senin, 22 Nov 2021 11:26 WIB",kondisi wanita mengalami vaginismus sulit momongan mengalami kondisi medis vaginismus disfungsi seksual wanita menyulitkan hubungan seksual rs surabaya pasien kondisi vaginismus berobat dokter kerap rsia kendangsari merr 12 15 pasien berobat membutuhkan terapi vaginismus kerap pengencangan otot miss v disebabkan faktor membantu menyembuhkan vaginismus suntik botox fungsi suntik botox mengurangi kerutan dipakai merelaksasikan otot otot dinding vagina suntik botox vagina dokter terapi dilatasi mandiri pasien alat dilator dijual alat sesuai ukuran suami dilatasi mandiri dicoba sesuai ukuran suami selesai dokter spesialis kebidanan kandungan rsia kendangsari merr surabaya dr eighty mardiyan kurniawati spog k surabaya senin 22 11 2021 dilatasi membantu eighty dilatasi kerjakan salah satunya injeksi botox seputar otot otot area vagina halaman 1 2,www.detik.com
Gubernur Aher Berharap Kasus Difteri di Jabar Segera Tamat,"Selasa, 12 Des 2017 14:20 WIB",pemprov jabar menggelar imunisasi difteri serentak daerah gubernur jabar ahmad heryawan aher berharap tindakan imunisasi wabah difteri tamat jabar salah wilayah berstatus kejadian klb wabah difteri kawasan purwakarta difteri ditangani seksama serentak tempat insya allah kasusnya diselesaikan aher gedung pakuan jalan otto iskandardinata kota bandung selasa 12 12 2017 masyarakat imunisasi fasilitas kesehatan terdekat sambung terjangkit difteri imunisasi kena difteri kecilnya diimunisasi imunisasi difteri imunisasi paket bayi balita aher bahan bahan vaksin difteri teruji halal aher masyarakat ragu menolak anaknya pelayanan imunisasi fatwa ulama keraguan aher difteri jabar 121 minggu orang penderita difteri garut meninggal dunia perawatan rsud slamet korban meninggal 14 orang difteri purwakarta karawang terkait pendataan dinas kesehatan jabar,www.detik.com
"Hari Ini Tepat 2 Tahun Corona Muncul di Sulsel, Begini Kilas Baliknya","Sabtu, 19 Mar 2022 06:30 WIB",coronavirus disease covid 19 virus corona 2 wilayah sulawesi selatan sulsel pandemi mengganggu lini kehidupan masyarakat ekonomi sosial virus diyakini berasal kota wuhan china kali dikonfirmasi sulsel 19 maret 2020 usianya 2 sulsel sabtu 19 3 2022 harian mengalami turun puncak gelombang ketiga insiden mewarnai perjalanan 2 corona sulsel perjalanan corona mengalami perubahan buntut munculnya varian varian terkini corona sulsel 2 mencapai 142 190 17 maret 2022 dilaporkan bersamaan angka kesembuhan 133 825 kematian 2 439 kilas perjalanan corona sulsel peristiwa kebijakan pemerintah diumumkan 19 maret 2020 19 maret 2020 corona sulsel diumumkan corona sulsel kali diumumkan juru bicara pemerintah penanganan virus corona dijabat achmad yurianto 19 maret 2020 graha bnpb jakarta timur positif corona dikonfirmasi sulsel diumumkan 2 maret 2020 presiden joko widodo jokowi menteri kesehatan terawan agus putranto mensesneg pratikno seskab pramono anung rumah sakit rs wahidin makassar langsung menggelar rapat gugus tugas percepatan penanganan corona sulsel gubernur sulsel nurdin abdullah dinas kesehatan dinkes sulsel melaporkan 17 pasien diperiksa terkait corona 6 orang dinyatakan negatif 11 orang menunggu hasil uji laboratorium 19 maret 2020 meninggal diumumkan malam 24 jam 2 corona sulsel diumumkan pemerintah pusat gubernur sulsel nurdin abdullah malam harinya mengumumkan 1 pasien kota makassar meninggal dunia dilaporkan pasien 285 meninggal dunia minggu 15 3 korban dirawat rs siloam makassar menderita gejala demam sesak napas sepulang arab saudi 1 pasien corona 286 dinyatakan sembuh bersangkutan positif corona 19 maret 2020 ijtima dunia ditunda peserta dipulangkan pemerintah memutuskan menunda kegiatan ijtima ulama zona asia kabupaten gowa pembatalan pertemuan ribuan anggota jemaah tablig penjuru dunia kepentingan penyebaran virus corona peserta ijtima pulang daerahnya penundaan kegiatan diumumkan pemerintah proses pemulangan peserta pantauan pemprov sulsel disiapkan fasilitas pemulangan daerah jemaah berasal negeri diharapkan isolasi salah hotel 29 maret 2020 penolakan jenazah dimakamkan makassar penolakan pemakaman jenazah pasien diduga terjangkit corona penolakan warga 29 maret 2020 tpu baki nipa nipa makassar penolakan setelahnya unit ambulans membawa jenazah pemakaman pannara makassar ditolak warga ambulans terpaksa kanan warga curiga jenazah dibawa meninggal virus corona penolakan warga tersosialisasi mudah terprovokasi pemkot makassar rs berkoordinasi melibatkan tni polri mengawal proses pemakaman tpu milik pemerintah gubernur sulsel nurdin abdullah lantas memutuskan lahan khusus pemakaman jenazah meninggal corona kompleks pemakaman pegawai pemda provinsi sulsel macanda kabupaten gowa penolakan warga 24 april 2020 makassar terapkan psbb 24 april 2020 kota makassar sulsel kali menerapkan pembatasan sosial berskala psbb aktivitas masyarakat dibatasi tempat kerja kegiatan keagamaan tempat kegiatan sosial budaya transportasi sekolah sekolah dialihkan sistem pembelajaran jaringan daring tempat kerja dilarang mempekerjakan pegawainya kantor pekerja normal kecuali instansi bidang kegiatan keagamaan aturan psbb melarang tempat ibadah buka aktivitas ibadah dialihkan rumah moda transportasi dijaga ketat personel menjaga psbb makassar penumpang dibatasi operasional angkutan barang dilarang kecuali barang esensial ditentukan 6 mei 2020 bayi 4 positif covid bayi berusia 4 dikonfirmasi positif covid 19 kota parepare sulsel bayi tertular sang ayah positif corona ayah bayi dilaporkan tertular virus corona klaster kapurung salah klaster corona parepare corona diduga transmisi lokal menulari bayi usia 4 bayi inisial h menjalani perawatan rumah sakit andi makkasau dinyatakan sembuh 6 perawatan 19 mei 2020 salat id diimbau rumah pj wali kota walkot makassar yusran jusuf mengimbau warganya melaksanakan salat idul fitri id rumah yusran mengizinkan warga salat id masjid kediaman catatan yusran jajaran pemkot makassar level lurah pengurus masjid bersinergi pelaksanaan salat id masjid perumahan pelaksanaan salat id memperhatikan protokol kesehatan aman penyebaran virus corona 26 mei 2020 imam salat id soppeng positif covid salah imam salat idul fitri kabupaten soppeng dinyatakan positif terinfeksi covid 19 terungkap hasil tes swab imam dusun kalempang desa marioritengnga marioriwawo soppeng hasil tesnya sang imam dikarantina ruang isolasi khusus covid 19 pemkab soppeng gedung bekas rsud ajjapange diduga terpapar klaster ijtima ulama kabupaten gowa 5 juni 2020 kaji pemindahan jenazah pdp corona sulsel gubernur sulsel nurdin abdullah mengkaji mengizinkan makam pasien pengawasan pdp negatif virus corona covid 19 dipindahkan pemakaman khusus covid 19 pdp dinyatakan negatif corona dimakamkan pemakaman khusus covid 19 gowa nurdin menanggapi maraknya peristiwa jenazah pdp corona dibawa kabur keluarga rumah sakit dimakamkan pemakaman khusus 6 juni 2020 antre surat sehat pelabuhan parepare ratusan calon penumpang berdesak desakan loket pengambilan surat keterangan sehat terminal penumpang ajatappareng pelabuhan nusantara kota parepare bikin heboh surat keterangan salah syarat pembelian tiket penumpang berdesakan samarinda kalimantan timur nunukan kalimantan utara petugas mengarahkan penumpang loket 8 juni 2020 warga makassar tolak rapid test warga kota makassar menolak rapid test tes cepat covid 19 pemerintah daerah warga khawatir dinyatakan positif covid 19 memasang spanduk penolakan penelusuran kelurahan ballaparang kecamatan rappocini kota makassar senin 8 6 warga memasang spanduk bertuliskan penolakan rapid test lorong gang penolakan rapid test warga kelurahan bara baraya induk kecamatan makassar warga mengaku percaya hasil rapid test 6 juli 2020 corona sulsel tembus 5 884 positif covid 19 sulsel tembus 5 884 6 juli 2022 5 daerah episentrum utama zona merah makassar gowa maros luwu timur bulukumba data situs sulsel tanggap covid 19 diperbarui minggu 5 7 22 20 wita malam positif corona makassar 3 212 orang gowa 486 luwu timur 539 maros 138 bulukumba 141 perbedaan data gugus tugas covid 19 makassar dimana total positif corona kota makassar 3 328 13 agustus 2020 pekerja thm demo demo ratusan pekerja hiburan malam makassar balai kota makassar bikin heboh pemkot membuka tempat hiburan malam ditutup mencegah penularan corona pekerja thm membawa poster bertulisan takut corona takut debt collector butuh kerja janji janji palsu demo bentuk keprihatinan pekerja hiburan malam penghasilan dilakukannya penutupan pemkot makassar mengizinkan tempat hiburan malam buka 18 november 2020 kumpul kumpul waria barru dibubarkan wanita pria waria kabupaten barru menggelar acara kumpul kumpul melanggar protokol kesehatan acara dibubarkan pemerintah daerah acara kumpul kumpul rumah warga acara syukuran wilayah desa cilellang mullusetasi barru rabu 18 11 malam 10 waria acara pembubaran berjalan lancar alias paksa waria langsung menyadari melanggar prokes setuju membubarkan 3 desember 2020 asn pinrang joget ria abai prokes video aparatur sipil negara asn kantor kecamatan mattiro sompe kabupaten pinrang sulawesi selatan sulsel berjoget protokol kesehatan viral media sosial medsos video asn berjoget jarak masker video viral menuai kecaman dianggap contoh masyarakat asn merayakan camat mattiro sompe masuk pensiun 8 desember 2020 polisi temukan dugaan markup bansos corona sulsel polda sulsel memeriksa 23 saksi dugaan markup dana bantuan sosial bansos sembako pandemi covid 19 kota makassar polisi menemukan dugaan monopoli supplier penyidik menemukan harga barang sembako ditinggikan harganya 24 desember 2020 bupati lutim terpilih meninggal akibat covid bupati luwu timur lutim terpilih thoriq husler meninggal dunia menjalani perawatan terpapar covid 19 thoriq mengembuskan napas rs wahidin makassar sulawesi selatan thoriq menjalani perawatan akibat covid 19 rs grestelina makassar dirujuk rs wahidin thoriq wafat 24 desember pagi 08 00 wita 5 januari 2021 30 ribu vaksin coivd sulsel 30 000 vaksin sinovac mencegah penularan virus corona covid 19 sulsel vaksin kali tenaga kesehatan nakes 30 000 vaksin sinovac bandara sultan hasanuddin maros selasa 5 1 14 14 wita subuh vaksin dikirim 2 paket 7 koli 255 5 kg 9 koli 328 5 kg simbolik vaksin sinovac diserahterimakan langsung perwakilan bio farma oki suprayogi kepala dinas kesehatan sulsel dr h muhammad ichsan mustari 11 maret 2021 makam jenazah parepare dibongkar otk 7 makam khusus pasien virus covid 19 kota parepare dibongkar orang dikenal otk jenazah peti hilang polisi langsung menyelidiki peristiwa heboh 11 maret 2021 makam khusus covid 19 dibongkar tpu bilalangnge kecamatan bacukiki kota parepare terbongkarnya makam covid kamis 11 3 salah warga eva berziarah makam adiknya meninggal covid 7 mei 2021 pemakaman khusus jenazah corona sulsel macanda penuh pemakaman khusus jenazah pasien positif virus corona covid 19 wilayah macanda kabupaten gowa sulawesi selatan sulsel dilaporkan penuh 1 000 jenazah dikebumikan pemakaman satgas covid 19 gowa mengeluarkan informasi resmi lahan pemakaman covid 19 penuh kebijakan plt gubernur sulsel andi sudirman sulaiman membolehkan jenazah covid 19 dimakamkan pemakaman kebijakan dilaksanakan mengikuti prosedur ditetapkan berkoordinasi satgas covid 19 rekomendasi pemerintah 22 juli 2021 harian corona sulsel pecahkan rekor harian terkonfirmasi positif covid 19 sulsel memecahkan rekor tambahan harian 1 286 22 juli kota makassar kabupaten kepulauan selayar dilaporkan masuk zona merah dirangkum data harian milik satgas covid 19 sulsel mencatat 233 rabu 21 7 angka melonjak tajam 954 kamis 22 7 22 juli angka harian pecah rekor menembus 1 286 laporan media covid 19 milik kementerian kesehatan ri 2 september 2021 dokter enrekang viral percaya covid dokter rsud kabupaten enrekang sulsel adiany adil pernyataan covid 19 diagnosis pasien covid 19 viral 2 september pernyataan adiany viral media sosial membuatnya dipanggil polisi pernyataan dituliskan surat pernyataan ditandatangani adiany 25 agustus 2021 adiany menyertakan nomor teleponnya surat langsung heboh media sosial 8 september 2021 pelajar jalan divaksin covid andi muhammad dirga erlangga 15 pelajar sma negeri 2 enrekang mengalami demam jalan divaksin covid 19 kondisi dialami pelajar kelas x diduga vaksinasi covid 19 tahap 1 sekolahnya video dirga dipapah berjalan ayahnya beredar luas media sosial medsos pembuat video andi ernawati dirga video andi erna anaknya berjalan divaksin covid 19 andi erna berhari anaknya dipapah berjalan membutuhkan pertolongan dihubungi andi erna mengaku andi dirga sakit leher tulang 20 desember 2021 pria ngaku joki disuntik vaksin 16 kali abdul rahim pria kabupaten pinrang viral media sosial pengakuan joki vaksin covid 19 disuntik vaksin 16 kali suntik bayaran rp 800 ribu video viral abdul rahim memperkenalkan menyebut namanya mengaku divaksinasi 16 kali 14 orang pengganti alias joki vaksin abdul rahim alias la rahim mengaku menerima bayaran joki vaksin bervariasi mengaku bayaran rp 100 rp 800 ribu menjoki 5 februari 2022 konser musik makassar dibubarkan acara konser musik ribuan penonton makassar dibubarkan aparat melanggar protokol kesehatan prokes pembubaran lemparan penonton petugas terima dibubarkan konser musik dibubarkan celebes convention center ccc jalan metro tanjung bunga makassar sabtu 5 3 malam 19 00 wita laporan kerumunan diterima sore laporan kerumunan dilaporkan warga peleton anggota satpol pp didukung aparat kepolisian lantas diterjunkan lokasi pembubaran 14 februari 2022 makassar umumkan omicron dinas kesehatan kota makassar melaporkan warganya terkonfirmasi positif corona varian omicron laporan omicron kota makassar pemerintah memperkuat langkah pencegahan pengendalian penularan omicron ahli epidemilogi 23 februari 2022 corona sulsel sepekan tembus 10 527 pandemi covid sulsel gelombang ketiga melampaui puncak gelombang juli agustus 2021 7 419 orang sepekan tambahan aktif covid 19 sulsel tembus 10 527 orang pemprov sulsel mengklaim vaksinasi tingkat keparahan orang terinfeksi rendah vaksin manfaat mencegah gejala berat kematian 17 maret 2022 corona sulsel catat 2 439 orang meninggal dunia akibat corona sulsel 2 439 warga sulsel dinyatakan meninggal dunia persentasenya 1 72 total testing mencapai 2 264 440 positivity rate 16 19 gambas video 20detik,www.detik.com
Mengenal Pemakan Bakteri dari Georgia untuk Melawan Resistensi Antibiotik,"Sabtu, 14 Des 2019 13:08 WIB",tanja diederen tinggal kota maastricht belanda menderita penyakit hidradenitis suppurativa 30 penyakit kulit kronis akar rambut mengalami peradangan menimbulkan sakit daerah ketiak dada rp 62 juta perawatan georgia agustus 2019 diederen berusia 50 keputusan menghentikan penggunaan antibiotik efektif diederen pergi georgia minggu menjalani pengobatan menjalani terapi bakteriofag disingkat fag terapi fag diederen disetujui negara negara eropa barat merogoh kocek pribadi 3 900 senilai rp 62 juta harapan terapi menyembuhkan penyakitnya bakteriofag virus menyerang proliferasi bakteri inang terapi tipe fag tunggal diisolasi dikonsumsi oral bertahan hidup fag menempel bakteri tubuh pasien fag membalik polaritas bakteri hinggapi rupa memproduksi fag menerus si bakteri meledak fag fag dilepaskan menempel bakteri bakteri hancur baca ancaman maut infeksi nosokomial bakteri multiresisten jamur terang tanja diederen mengkonsumsi fag jadwal paginya pergi georgia perasaan campur aduk gugup bersemangat kecewa perawatan belanda antibiotik efektif diederan dokternya menyarankan mengkonsumsi obat biofarmasi obat rekayasa genetika mendengar terapi bakteriofag diederen memutuskan mencari pilihan pengobatan memutuskan memilih terapi bakteriofag ketahui program televisi georgi eliava institute georgia meneliti bakteriofag 1923 ditemukannya fag georgia berkembang pusat global terapi fag perang dingin antibiotik sulit dimana pengobatan fag terbaik menyembuhkan penyakit menular eliava institute salah pusat terapi fag terbesar dunia tanja diederen menjalani perawatan minggu belanda membawa koper berisi penuh bakteriofag semenjak mengkonsumsi jenis fag berbeda harinya mengoleskan krim diederen energinya pulih radang dada ketiaknya membaik peradangan kadang muncul hilang separah menjalani terapi diederen pergi belgia 15 kilometer maastricht mengambil jatah bakteriofag dikirim georgia seharga 500 euro setara 8 juta rupiah asuransi kesehatan diederen menanggung belgia satunya negara eropa barat mengizinkan penggunaan fag belanda negara fag perseorangan menyelamatkan nyawa meredakan sakit parah baca bakteri probiotik tinja bayi sembuhkan diabetes terapis diederen bertanggung penuh ilegal diederen seratus persen obat membantu orang halnya antibiotik bakteriofag menyebabkan resistensi bakteri keuntungannya bakteriofag selangkah maju fag melawan resistensi fag memusnahkan jenis bakteri bakteri bermanfaat hancur contohnya bakteri usus perawatan jenis bakteri memicu munculnya penyakit fag diproduksi individual pasien georgia obat pribadi memenuhi persyaratan berlaku produk obat negara eropa barat dibutuhkan upaya izin formulasi fag individu disetujui berwenang halnya belgia scientific health institute dokter pasien produsen apoteker kantor federal belgia produk obat obatan legal memproses penerbitan sertifikat bahan bahan fag apoteker menggunakannya memproduksi bakteriofag sesuai prosedur landasan hukum bakteriofag dr jean paul pirnay rumah sakit militer queen astrid brussels mengomentari terapi bakteriofag 30 pasien dirawat rumah sakit rumah sakit militer queen astrid satunya tempat belgia memproduksi bakteriofag baca peneliti indonesia menelisik gen bakteri mendirikan startup finlandia membutuhkan perusahaan farmasi memproduksi fag pirnay rumah sakit menghasilkan fag banyaknya pasien memproduksi fag membutuhkan landasan hukum penelitian bakteriofag percaya fag menggantikan antibiotik antibiotik efektif tanja diederen melanjutkan perawatannya belgia diederen mengaku kesulitan berkomunikasi dokternya georgia membutuhkan bantuan penerjemah berharap fag diizinkan eropa pergi georgia sulit mahal jerman belanda studi percontohan penggunaan bakteriofag prancis mengimpor fag belgia menyetujui penggunaannya pengobatan rap pkp gambas video 20detik,www.detik.com
Presiden Minta Menkes Lanjutkan Langkah Penanganan Difteri,"Rabu, 27 Des 2017 20:49 WIB",menteri kesehatan nila f moeloek penyakit difteri tergolong kejadian klb mewabah nila presiden joko widodo langkah langkah dilanjutkan perintah presiden lakukan penanganan langkah nila rapat istana kepresidenan bogor kota bogor jawa barat rabu 27 12 2017 presiden jokowi memimpin rapat penanganan difteri istana bogor sore rapat tertutup dilanjutkan rapat dana abadi pendidikan nila mencegah difteri vaksinasi upaya meningkatkan kekebalan tubuh imunisasi meningkatkan kekebalan tubuh kebal kumannya terkena nila memungkiri penolakan vaksinasi nila bantuan menteri agama lukman hakim saifuddin membantu mensosialisasi vaksinasi wabah klb nggak lakukan ditolak,www.detik.com
"Naik 5 Kali Lipat, Kasus COVID Makassar Tambah 67 Jadi 182 Orang","Jumat, 04 Feb 2022 17:04 WIB",covid 19 kota makassar sulawesi selatan sulsel 5 kali lipat bertambah 13 bertambah 67 aktif covid 19 makassar tercatat 182 orang kemarin 13 tambahannya bertambah 67 kadinkes makassar nursaidah sirajuddin jumat 4 2 2022 data satgas covid 19 makassar jumat 4 2 total kumulatif makassaar 48 872 47 679 dinyatakan sembuh 1 011 meninggal dunia 182 orang terkonfirmasi positif 182 aktif covid 159 orang pasien gejala 23 pasien gejala sisanya 159 orang melalukan isolasi mandiri kondisi orang gejala 116 orang terkonfirmasi covid 19 makassar kamis 3 2 1 orang dinyatakan sembuh meninggal dunia terangnya suspek omicron satgas makassar menunggu hasil pengecekan 11 sampel dikirim laboratorium litbangkes kementerian kesehatan menunggu hasilnya dikirim konfirmasi omicron umumkan ida menyebut 67 temuan covid 19 kategori suspek omicron menentukan litbangkes kirim 11 kemarin dicurigai 67,www.detik.com
Berapa Jumlah Penduduk Indonesia 2020? Naik atau Turun?,"Selasa, 14 Apr 2020 06:15 WIB",pemerintah indonesia sensus penduduk online didatangi petugas langsung sensus penduduk indonesia 2020 menunggu hasil sensus pemerintah menyusun proyeksi penduduk indonesia 2020 proyeksi perkiraan total penduduk disusun badan perencanaan pembangunan nasional bappenas proyeksi penduduk indonesia 2010 2035 penduduk indonesia 2020 kisaran 271 juta jiwa menghuni pulau jawa pulau jawa sumatera sulawesi kalimantan bali nusa tenggara pulau papua kepulauan maluku memiliki penduduk terkecil berdasarkan perkiraan proyeksi penduduk indonesia 2020 pulau jawa mencapai separuh total demografi pulau jawa dihuni 152 juta jiwa sumatera rumah 59 juta jiwa 19 juta jiwa menghuni pulau sulawesi 16 juta jiwa kalimantan 15 juta jiwa bali nusa tenggara seiring penduduk indonesia 2020 padat proyeksi penduduk indonesia 2025 284 juta jiwa 296 juta jiwa 2030 2035 penduduk indonesia diproyeksikan mencapai 305 juta jiwa proyeksi penduduk indonesia 2020 padat dampak positif padatnya penduduk menyimpan risiko wabah virus corona padatnya penduduk memudahkan penyebaran virus kontak orang kepadatan penduduk musuh situasi populasi orang berinteraksi virus menyebar cepat ahli epidemiologi dr steven goodman stanford university dikutip new york times penduduk terkonsentrasi lokasi mengakibatkan virus mudah menyebar lokasi area tempat tinggal transportasi publik dampak negatif virus cepat dirasakan wilayah berpopulasi penduduk terpusat dibandingkan tersebar salah contoh wilayah padat penduduk new york memiliki populasi amerika serikat new york social distancing menutup sekolah mendorong warganya tinggal rumah menekan risiko penyebaran virus corona dampaknya langsung penduduk padat pengalaman new york indonesia belajar menghadapi serangan wabah persiapan pencegahan penyebaran wabah diantisipasi wilayah berpopulasi penduduk indonesia 2020 mengalami dampak wabah buruk,www.detik.com
"Kasus Corona RI 18 Mei Tambah 327, Jakarta Sumbang 113","Rabu, 18 Mei  2022 15:34 WIB",pemerintah memperbarui data terkait corona indonesia dilaporkan tambahan 327 positif covid 19 indonesia data perkembangan penyebaran covid 19 dipublikasi bnpb rabu 18 5 2022 data diperbarui cut off 12 00 wib tambahan total covid 19 ditemukan indonesia maret 2020 6 051 532 3 844 positif corona aktif dilaporkan 364 orang indonesia sembuh covid 19 total sembuh corona 5 891 190 orang dilaporkan 7 pasien positif corona tanah air meninggal dunia total pasien positif covid 19 meninggal 156 498 orang dilaporkan penambahan dki jakarta 113 provinsi tambahan jawa barat 42 banten 36 pemerintah lelah mengimbau warga menaati protokol kesehatan pencegahan covid 19 mengenakan masker mencuci tangan sabun air mengalir menjaga jarak program vaksinasi covid 19 digencarkan tercipta kekebalan komunal herd immunity pemerintah menerapkan pemberlakuan pembatasan kegiatan masyarakat ppkm level 1 3 menekan laju penyebaran corona warga menaati aturan diberlakukan ppkm pandemi virus corona teratasi,www.detik.com
