title,date,description,source
Yonas Diduga Pingsan Saat Terjun,"Senin, 13 Jun 2011 17:39 WIB","\- Yonas Krisno (43), salah satu penerjun yang tewas terjatuh, diduga pingsan
sesaat setelah melompat dari pesawat Foker 27. Karena itu, parasut Yonas tidak
membuka atau mengembang saat ketinggian sudah di bawah 1.500 kaki.  
  
""Kemungkinan tadi itu Yonas pingsan. Ia sepertinya hipoksia atau kekurangan
oksigen sehingga kehilangan kesadaran,"" Kepala Bidang Perlombaan FASI,
Marsekal Pertama TNI Wahyudin, saat ditemui di kamar mayat Rumah Sakit Hasan
Sadikin, Senin (13/6/2011).  
  
Hipoksia yaitu kondisi simtoma kekurangan oksigen pada jaringan tubuh yang
terjadi akibat pengaruh perbedaan ketinggian. Pada kasus yang fatal dapat
berakibat koma, bahkan sampai dengan kematian.  
  

Informasi yang diperoleh Wahyudin, kala perasut yang melekat di tubuh Yonas
tak mengembang, Yudo Baskoro lalu secara sigap mengejarnya.  
  
""Jibut (Yudo) ngejar dan melepas parasut Yonas. Tadi parasut keduanya
mengembang tapi belum sempurna karena jarak ketinggiannya sangat rendah dari
tanah. Lalu akhirnya mereka jatuh,"" ujar Wahyudin.  
  
Saat keduanya lompat, pesawat Foker 27 tengah berada di ketinggian 7.700 kaki.
Keduanya terempas di kawasan Bandung Indah Golf, samping Lanud Sulaiman
Bandung. Keduanya langsung tewas di tempat dengan luka patah di sekujur tubuh.
Kini jenazah keduanya sudah dibawa ke rumah duka. Yudo ke Jakarta dan Yonas ke
Jalan Matraman Bandung.  
  

 ",www.detik.com
Maarif Institute: Gafatar Pernah Gencar Menggalang Dukungan Tokoh Masyarakat,"Rabu, 13 Jan 2016 20:48 WIB","\- Organisasi Gerakan Fajar Nusantara (Gafatar) ramai diperbincangkan dan
dikaitkan-kaitkan dengan hilangnya sejumlah orang. Maarif Institue mengaku
pernah didatangi Gafatar untuk melakukan audiensi.  
  
Direktur Eksekutif Maarif Institute Fajar Riza Ul Haq mengimbau agar
pemerintah dan masyarakat cermat dalam menyikapi kontroversi Gafatar.
""Meskipun organisasi ini mengklaim bergerak di ranah sosial, budaya dan bukan
organisasi keagamaan namun latar belakang pandangan keagamaannya menjadi
sorotan utama publik,"" ujar Riza dalam keterangan tertulis yang diterima
detikcom, Rabu (13/1/2016).  
  
Riza mengatakan, pada November 2011, inisiator Gafatar mengirimkan surat
permohonan audiensi ke Maarif Institute. Namun permintaan itu tidak bisa
dipenuhi.  
  

""Saat itu mereka sedang gencar sosialisasi sekaligus menggalang dukungan
tokoh-tokoh masyarakat jelang deklarasi organisasi itu. Namun kami tidak
merespons lebih jauh, terlebih waktu itu NII Crisis Center, salah satu mitra
Maarif Institute dalam kampanye anti kekerasan mensinyalir Gafatar sebagai
bentuk kelanjutan NII,"" katanya.  
  
Riza juga mengatakan, organisasi Gafatar ini kerap menggunakan istilah yang
biasa dipakai oleh NII. Namun mereka tidak memprovokasi pengikutnya untuk
melakukan kekerasan fisik.  
  
""Saya mendapat konfirmasi bahwa kelompok Gafatar menggunakan istilah-istilah
yang biasa dipakai NII seperti 'hijrah' dan 'pemerintah kafir', namun mereka
tidak memprovokasi pengikutnya melakukan kekerasan fisik. Tentunya, publik
mempertanyakan kinerja intelijen jika gerakan ini pada akhirnya dianggap
merugikan masyarakat bahkan mengancam keamanan negara. Padahal sudah muncul
riak-riak penolakan di beberapa daerah,"" katanya.  
  
""Krisis integritas dan lunturnya kepercayaaan publik terhadap negara ditengah
merosotnya wibawa hukum seringkali jadi pemicu terjadinya disorientasi di
tingkat masyarakat. Saya melihat gejala Gafatar ini merupakan simtoma
(keberadaan penyakit) dari kompleksitas krisis bangsa kita hari ini yang
membutuhkan kepemimpinan out of the box,"" tambahnya.  
  

 ",www.detik.com
Sakit Ginjal-Jantung Komorbid Paling Berisiko Kematian untuk Pasien COVID,"Selasa, 15 Des 2020 18:36 WIB","\-

Juru Bicara Satgas Penanganan COVID-19, Wiku Adisasmito, mengingatkan tak ada
satu pun individu yang kebal dari COVID-19. Dia mengatakan penerapan protokol
kesehatan adalah upaya pencegahan penularan COVID-19.

Wiku mengatakan dalam 5 bulan terakhir, Satgas COVID-19 menganalisis kematian
pasien COVID-19 berdasarkan usia dan riwayat penyakit penyerta (komorbid).
Semakin tua pasien COVID-19, maka semakin berisiko meninggal.

""Penelitian pada aspek usia menemukan mereka yang berusia 31-45 tahun dan
46-59 tahun berisiko masing-masing 2,4 dan 8,5 lipat dibanding mereka yang
berusia 19-30 tahun. Risiko ini akan semakin meningkat pada usia di atas 60
tahun yakni 19,5 kali lipat,"" kata Wiku dalam siaran di YouTube Sekretariat
Presiden, Selasa (15/2/2020).

Setelah itu, Wiku mengungkap komorbid yang punya risiko menyebabkan pasien
COVID-19 meninggal dunia ialah penyakit ginjal. Selanjutnya, secara berturut
ialah komorbid jantung, diabetes melitus hingga penyakit imun.

Berikut komorbid dengan risiko kematian pasien COVID-19:  
\- penyakit ginjal 13,7 kali besar dibanding tidak memiliki penyakit ginjal  
\- penyakit jantung memiliki risiko kematian 9 kali lebih besar  
\- diabetes melitus memiliki risiko kematian 8,3 kali lebih besar  
\- hipertensi memiliki risiko kematian 6 kali lebih besar  
\- penyakit imun memiliki risiko kematian 6 kali lebih besar

Selanjutnya __

Halaman

1  2

 ",www.detik.com
"22 Gajah Mati di Taman Satwa Zimbabwe, Diduga Infeksi Bakteri","Jumat, 04 Sep 2020 04:13 WIB","\-

Otoritas margasatwa Zimbabwe menemukan 22 gajah mati dalam dua pekan terakhir.
Mereka mencurigai penyebab kematian satwa langka itu karena infeksi bakteri.

Dilansir _AFP_ , Kamis (2/9/2020) bangkai gajah ditemukan pada Selasa dan Rabu
di dekat Hutan Pandamasuwe barat laut. Tempat di mana dua pekan sebelumnya
ditemukan 12 gajah mati.

""Kami sekarang memiliki totol 22 gajah yang telah mati,"" kata juru bicara
taman dan otoritas satwa liat, Tinashe Farawo kepada _AFP_.

""Kami telah mengambil sampel untuk pengujian, tetapi kami menduga mereka tewas
karena penyebab yang sama dengan 12 ekor yang ditemukan tewas pada pekan
lalu,"" katanya.

Hasil laboratorium menunjukkan bahwa 12 bangkai gajah yang ditemukan pertama
kali--di antara Taman Nasional Hwange dan kota resort di Air Terjun Victoria--
mati akibat terinfeksi bakteri.

Otoritas taman meyakini bahwa gajah yang berusia antara dua hingga enam tahun
terlalu pendek untuk memakan daun dari pucuk pohon. Kemungkinan gajah tersebut
telah menelan bakteri yang melekat pada tanaman yang terinfeksi bakteri.

Mereka mengesampingkan dugaan gajah mati karena perburuan, sebab gading masih
melekat pada bangkai gajah.

Zimbabwe memiliki lebih dari 84.000 gajah. Puluhan gajah mati karena kelaparan
dan kekurangan air dalam beberapa tahun terakhir.

Gajah lainnya diduga mati akibat diracuni oleh pemburu untuk diambil
gadingnya. Mereka menggunakan gading itu untuk ornamen dan obat tradisional di
Asia dan Timur Tengah.

Sedikitnya 300 gajah mati karena keracunan sianida di lubang air di Hwange
pada tahun 2013.

Sementara di taman satwa Botswaba, rumah bagi populasi gajah terbesar di
dunia, sekitar 130.000 ekor gajah ada di sana. Taman itu kehilangan 300 gajah
awal tahun ini. Gajah itu diduga tewas karena lantaran bisa bertahan dari
racun alami.

 ",www.detik.com
"Kedelai, Gizi, dan Kemiskinan","Jumat, 22 Jan 2021 14:50 WIB","\-

Acara sarapan pagi itu jadi terusik saat mengetahui harga kedelai yang naik
mengakibatkan ratusan pengrajin tempe-tahu mogok produksi. Saya nikmati
gigitan demi gigitan sembari berpikir, akankah lauk legendaris ini akan
menghilang dari piring saji karena pembuatnya sudah enggan dan tak kuat
menanggung biaya produksi? Padahal penyumbang protein nabati ini sungguh
berjasa dalam membesarkan generasi bangsa sebelum masa kemerdekaan hingga saat
sekarang.

Produk kuliner ini memang populer dan merakyat; semua kalangan menyukainya.
Bahkan kata tempe tertulis dalam sejarah pidato Bung Karno yang menyebutkan,
""Kita bangsa besar, kita bukan bangsa tempe. Konteks tersebut berbeda dengan
tempe sebagai lauk pauk, karena kenyataannya tempe sangat berguna dan bergizi
tinggi. Dia menganalogikan dengan tujuan agar kita bisa menjadi bangsa yang
mandiri, tidak butuh bantuan ragi agar kedelai menjadi tempe.

Filosofi tempe agar menjadi bangsa yang mandiri agaknya belum terwujud sampai
sekarang. Badan Pusat Statistik (BPS) mencatat, mulai Januari hingga November
2020 Indonesia mengimpor kedelai sebanyak 2,31 juta ton, dengan kebutuhan
nasional sebesar 2,8 juta ton per tahun. Dengan produksi dalam negeri 0,8 juta
ton per tahun, praktis kita membutuhkan impor untuk memenuhi kebutuhan
nasional, terbanyak untuk industri tahu dan tempe.  
  
Walhasil kita menjadi salah satu negara yang terbesar mengimpor kedelai.
Sebagai negara agraris, tentulah candu impor ini bukan predikat yang baik.
Kita menjadi konsumtif karena ketidakmampuan dalam produksi. Selama 28 tahun
sudah terbuai dalam mimpi swasembada kedelai. Tercatat terakhir tahun 1992,
produksi dalam negeri mampu mencapai 1,8 juta ton per tahun.

Ketergantungan akan impor menandakan Indonesia belum bisa memaksimalkan
potensi alam. Terutama untuk bahan pangan yang dihasilkan melalui pengolahan
pertanian. Karena faktanya banyak produk pangan mengandalkan impor. Tercatat
tak kurang 0,9 juta ton jagung dan 0,13 juta ton singkong kita beli dari luar
negeri sepanjang 2020.  
  
Faktor produksi pertanian ini selayaknya mendapatkan perhatian. Apalagi saat
pandemi, pertanian merupakan sektor yang mampu bertahan dan bertumbuh serta
pelaku usahanya juga dominan. Menurut data Survei Pertanian Antar Sensus
(SUTAS) 2018, sebanyak 27,68 juta rumah tangga mengusahakan pertanian, atau
berkisar 41% dari total rumah tangga --dengan lahan sawah pertanian yang
seluas 8.087.393 hektar.  
  
Berkaca dari tahun 1992, seharusnya momen swasembada kedelai dapat terulang
kembali meski puluhan tahun lalu terjadi. Menteri Pertanian Syahrul Yasin
Limpo mengatakan bahwa pihaknya akan fokus meningkatkan produktivitas kedelai
pada 2021 ini --melalui perluasan areal tanam, pelibatan unit integrator,
unit-unit kerja Kementan dan pemerintah daerah. Tidak hanya terbatas di Pula
Jawa, tetapi juga pengembangan ribuan hektar di Provinsi Sulawesi.  
  
Dukungan KUR perbankan dan benih unggul dari badan litbang akan dimaksimalkan
oleh Kementan. Efektivitas yang baik diperlukan untuk mewujudkan keberhasilan
program. Tanpa eksekusi yang akurat, tidak akan mendatangkan hasil yang
signifikan. Realisasi benih yang tidak bagus serta tidak sesuai jadwal
menanam, ketersediaan pupuk yang langka saat diperlukan, pemberian bantuan
yang salah sasaran, akan memberikan efek yang negatif. Sehingga produktivitas
kedelai yang digadang-gadang hanya tinggal mimpi belaka.  
  
  
  
Keberhasilan swasembada kedelai 1992 tercapai bukan dari proses yang instan.
Dimulai dengan produksi nasional 0,5 ton pada 1970, meningkat 0.65 ton pada
1980, dan 1,49 ton pada 1990, lalu mencapai puncaknya dengan produksi sebanyak
1.87 ton. Selain itu, terdapat regulasi harga kedelai dalam tata niaga dagang
yang ditetapkan pemerintah. Regulasi tersebut melindungi dari fluktuasi harga
serta menjaga gairah petani untuk tetap menanam kedelai.

Kelancaran produksi akan berimbas pula pada sektor lain, yaitu pelaku industri
makanan sebagai pengguna utama. Bidang UMKM termasuk pengrajin tahu-tempe
tidak perlu mogok produksi karena tertekan biaya bahan baku. Harga kedelai
yang tinggi membawa potensi penurunan kuantitas maupun kualitas produk.
Otomatis hal tersebut dilakukan untuk bertahan dalam kondisi pandemi saat ini.

Karakter usaha dalam UMKM mempunyai ciri yang padat karya. Kementerian
Koperasi dan UKM melaporkan bahwa UMKM mampu menyerap tenaga kerja sebanyak
89,2%. Usaha ini mempunyai kontribusi yang besar dan krusial dalam
perekonomian makro.  
  
Lesunya usaha tahu dan tempe karena penurunan produksi dapat berdampak dalam
ketenagakerjaan. Apalagi BPS mencatat bahwa Tingkat Pengangguran Terbuka (TPT)
Agustus 2020 meningkat 1,84%, sehingga penduduk yang bekerja menurun 0,13 juta
dari 2019. Fenomena tersebut membuat potensi jurang pengangguran semakin
terbuka lebar.  
  
Selain pada ketenagakerjaan, kelangkaan tahu-tempe dapat membawa dampak pada
pemenuhan gizi masyarakat. Menurut hasil Susenas Maret 2020, makanan ini
termasuk lauk pauk yang paling digemari di pedesaan maupun perkotaan. Rata-
rata masyarakat mengkonsumsi 37 potong tempe dan tahu setiap bulan. Selain
murah dan mudah didapat, makanan ini mempunyai kualitas gizi. Dalam 100 gr
tempe terdapat 20,8 gr protein dan mengandung 192 kalori.

Tubuh kita memang membutuhkan asupan kalori yang cukup untuk beraktivitas;
dapat diperoleh dari makanan yang mengandung karbohidrat, protein, lemak,
mineral, dan vitamin. Pemerintah juga memerlukan indikator ini untuk mengukur
tingkat kemiskinan. Salah satunya adalah variabel Garis Kemiskinan Makanan
(GKM) yang telah ditentukan sebesar 2100 kilokalori per kapita per hari. Bila
terjadi kenaikan harga tempe-tahu dan komoditas pangan yang lain,
dikhawatirkan semakin banyak rumah tangga rentan miskin dengan pengeluaran
tetap akan terjebak di bawah garis kemiskinan.

Berbagai aspek negatif yang terjadi harus menjadi perhatian bersama. Sebagai
bangsa yang bercita-cita menjadi maju, pemerintah wajib menjamin ketersediaan
bahan pangan. Memperhatikan dengan seksama proses produksi mulai hulu sampai
hilir, kemudian mengambil kebijakan yang berpihak pada hajat hidup orang
banyak dan rakyat kecil. Pada akhirnya semua bermuara pada terwujudnya
masyarakat yang sejahtera.  
  
Produksi dalam negeri ditingkatkan dan tidak tergantung impor lagi. Selain
itu, mencintai produk sendiri juga tak kalah pentingnya, untuk memacu
perekonomian Indonesia agar kembali pulih pada 2022 nanti.  
  
_Statistisi BPS Kabupaten Blitar_

 ",www.detik.com
"17 Tahun Polio, Wasti Akhirnya akan Dirawat di RSUD Karawang","Selasa, 04 Jul 2017 21:57 WIB","\- Sudah 17 tahun, Wasti tidak mampu berdiri lama. Sejak bayi, ia melalui hari
dengan hanya duduk atau berbaring. Untuk berpindah tempat, ia biasa berguling-
guling atau digendong ibunya yang bernama Rusmin, 35 tahun.  
  
Warga Kabupaten Karawang, Jawa Barat, ini terjangkit virus polio. Menurut
Rusmin, anak pertamanya itu telah diberi vaksin polio. Namun pada usia 11
bulan, kaki dan tangan Wasti tampak tak normal. Kondisi itu tak berubah hingga
saat ditemui .  
  
Di siang hari yang terik, Wasti dan keluarganya di kantor Dinas Kependudukan
dan Catatan Sipil (Disdukcapil) Kabupaten Karawang, Senin, (3/7). Sambil
digendong ibunya, Wasti terlihat lemas. Kaki dan tangan remaja perempuan ini
terkulai lemah.  
  

Sesekali Wasti terlihat meringis seperti menahan sakit. Ia tetap ikut anter
mengurus KTP elektronik. ""Kami ngurus KTP karena ingin bikin BPJS untuk
Wasti,"" kata Darta, ayah kandung Wasti.  
  
Kondisi keluarga Wasti yang memprihatinkan sempat menyita perhatian beberapa
pegawai di Disdukcapil Kabupaten Karawang. Seorang petugas administrasi
menghampiri keluarga Wasti. Dengan mata berkaca-kaca, petugas itu melayani
keluarga Wasti agar tidak mengantre.  
  
Darta bercerita, kondisi fisik yang lemah membuat Wasti kerap sakit. Menurut
Darta, sudah delapan tahun, Wasti tak kunjung sembuh lantaran sakit lambung.
Berbagai upaya dilakukan mulai dari berobat ke puskesmas terdekat hingga ke
pengobatan alternatif di Jakarta. Sayangnya, Wasti tidak pernah sekalipun
berobat ke rumah sakit.  
  
""Karena kami tidak sanggup berobat ke rumah sakit, biayanya mahal,"" ucap Darta
yang berdomisili di Desa Kutamekar, Kecamatan Ciampel.  
  
Kondisi ekonomi yang terbatas membuat Wasti tak kunjung mendapat fasilitas
pengobatan yang layak. Meski selalu meminta rujukan setiap berobat ke
puskesmas di Ciampel, pihak puskesmas belum pernah mengabulkan permintaan
Darta.  
  
""Itu terjadi terus menerus, karena kami tidak punya BPJS,"" kata Darta.  
  
Darta berharap suatu hari anaknya bisa dirawat di rumah sakit. ""Makanya kami
ingin buat BPJS, supaya biaya tidak terlalu mahal,"" ucap Darta.  
  
Di tengah kesulitan yang dialami keluarga Wasti, pertolongan datang dari
Pemkab Karawang. Sewaktu keluarga Wasti mengurus KTP, mereka dihampiri oleh
Sekda Karawang Teddy Rusfendy Sutisna. Saat itu Teddy melaksanakan sidak di
hari pertama kerja setelah libur Lebaran 2017.  
  
Ia akan mengupayakan Wasti dapat dirawat di RSUD Karawang. Teddy meminta Wasti
dibawa ke kantor Pemkab Karawang. ""Saya akan usahakan komunikasi dengan pihak
terkait supaya Wasti bisa dibantu,"" ujar Teddy.  
  
Pada Selasa pagi, 4 Juli 2017, Darta mendatangi Pemkab Karawang. Kepala Dinas
Sosial Kabupaten Karawang Setyadarma berjanji segera membawa Wasti untuk
ditangani di RSUD Karawang.  
  
Setya meminta Darta untuk memotret kondisi rumahnya. ""Sekaligus surat
keterangan tidak mampu,"" ucap Setya saat dihubungi via telepon, Selasa
(4/7/2017).  
  
Setelah memenuhi dua syarat itu, Setya menjanjikan Wasti bakal segera
ditangani di RSUD Karawang.

 ",www.detik.com
"Virus Polio Liar Tipe Tiga Telah Dimusnahkan, Dunia Bebas dari Polio?","Selasa, 29 Okt 2019 11:23 WIB","\-

Pada peringatan Hari Polio Dunia, Kamis (24/10), WHO merilis bahwa polio tipe
tiga telah berhasil dimusnahkan. Keberhasilan ini merupakan pencapaian
bersejarah kemanusiaan. Namun, data baru mengungkapkan bahwa terlalu sedikit
anak di Jerman yang mendapatkan imunisasi polio.

Komisi Global untuk Sertifikasi Pemberantasan Poliomyelitis yang merupakan
sebuah panel ahli, mengonfirmasi pemberantasan polio masih meninggalkan satu
penularan, yakni jenis virus polio liar tipe satu. Virus tipe dua telah
diberantas pada tahun 2015.

""Pemberantasan virus polio liar tipe tiga adalah tonggak utama menuju dunia
yang bebas polio, tetapi kita tidak bisa santai,"" kata Matshidiso Moeti,
Direktur Regional WHO untuk Afrika. Dalam populasi yang tidak divaksinasi,
virus polio dapat menyebar dengan cepat.

Robert Koch Institute memperingatkan bahwa Jerman tertinggal dalam perang
melawan penyakit yang mengancam jiwa itu, dan mengatakan terlalu sedikit anak-
anak di negara itu yang divaksinasi polio.

Data terbaru lembaga tersebut mengungkapkan bahwa tingkat vaksinasi terhadap
polio pada awal tahun ajaran 2017 hanya 92,9%, jumlah ini masih di bawah angka
rekomendasi standar WHO yaitu 95%. Juru bicara UNICEF memperingatkan bahwa
Jerman telah mengembangkan rasa aman palsu tentang virus tersebut.

""Berbagai negara harus memperkuat imunisasi rutin untuk melindungi masyarakat,
meningkatkan pengawasan rutin sehingga kami dapat mendeteksi risiko polio yang
muncul,"" kata Moeti dalam sebuah pernyataan.

Polio menyerang sistem saraf dan dapat menyebabkan kelumpuhan yang tidak dapat
diobati dalam hitungan jam. Meskipun virus tidak dapat disembuhkan, polio
dapat dicegah dengan vaksinasi.

Penurunan dramatis dalam kasus polio di seluruh dunia sebagian besar
disebabkan oleh kampanye kesehatan masyarakat yang mendorong imunisasi bayi
dan anak-anak.

Ed: ha/ts (AFP, Reuters, dpa)

![](http://logc279.xiti.com/hit.xiti?s=531599&s2=17&p=ind-
VAS_Eng_Detik_Softnews-26037-xml-
atom::BERANDA%3A%3AIptek%3A%3AKesehatan::Virus%20Polio%20Liar%20Tipe%20Tiga%20Telah%20Dimusnahkan&di=&an=&ac=&x1=1&x2=17&x3=51020742&x4=13901&x5=Virus%20Polio%20Liar%20Tipe%20Tiga%20Telah%20Dimusnahkan&x6=0&x7=%2Fid%2Fvirus-
polio-liar-tipe-tiga-telah-dimusnahkan%2Fa-51020742&x8=ind-
VAS_Eng_Detik_Softnews-26037-xml-atom&x9=20191029&x10=ind-
VAS_Eng_Detik_Softnews-26037-xml-atom::BERANDA%3A%3AIptek%3A%3AKesehatan)  
  

 ",www.detik.com
"Bayi 3 Bulan Terjangkit Polio, Kasus Pertama di Malaysia dalam 27 Tahun","Senin, 09 Des 2019 12:47 WIB","\- Seorang bayi berumur tiga bulan di Malaysia dikonfirmasi menderita penyakit
polio. Dia menjadi kasus polio pertama di negeri itu dalam kurun waktu 27
tahun.  
  
Bayi laki-laki di Tuaran, Sabah tersebut saat ini tengah dalam perawatan di
ruang isolasi di sebuah rumah sakit setelah mengalami demam dan kelemahan
anggota badan. Seperti dilaporkan media _The Star_ , Senin (9/12/2019), bayi
tersebut saat ini dalam kondisi stabil namun memerlukan bantuan pernapasan.  
  
Kasus polio terakhir di Malaysia terjadi pada tahun 1992. Kemudian pada tahun
2000, negeri Jiran itu dinyatakan bebas dari polio.  
  

  
  
Kementerian Kesehatan Malaysia dalam sebuah statemen pada Minggu (8/12),
mengonfirmasi kasus polio terbaru ini, yang merupakan kasus polio pertama di
Malaysia dalam 27 tahun terakhir.  
  
Direktur Jenderal Kesehatan Noor Hashim Abdullah mengatakan, bayi tersebut
dipastikan terinfeksi dengan poliovirus tipe 1 (VDPV1) yang diturunkan dari
vaksin pada 6 Desember lalu.  
  

Selanjutnya __

Halaman

1  2

 ",www.detik.com
WHO Akhiri KLB Polio di Papua,"Rabu, 17 Jun 2020 08:54 WIB","\-

Badan Kesehatan Dunia (WHO) memutuskan telah mengakhiri KLB polio di Provinsi
Papua. KLB polio dihentikan dengan sejumlah pertimbangan.

Kementerian Kesehatan, dalam situs resmi mereka, seperti dikutip Rabu
(17/6/2020) menyebut Regional Director Dr. Poonam Khetrapal Singh menyampaikan
hal itu langsung kepada Sekretaris Jenderal Kementerian Kesehatan RI drg.
Oscar Primadi melalui surat nomor P7/48/48 pada 26 Mei 2020 tentang
Penghentian Outbreak Polio di Papua.

Kemenkes menyebutkan, Dr. Poonam Khetrapal Singh memutuskan mengakhiri KLB
polio berdasarkan penilaian yang dikoordinasikan WHO pada April 2020. Polio di
Papua diakibatkan oleh Vaccine-Derived Poliovirus Type 1 cVDPV1 (circulated
Vaccine Derived Polio Virus type 1) yang terdeteksi pada 2019.

""Saya mengapresiasi upaya pemerintah Indonesia dan semua jajaran tenaga
kesehatan garda depan yang berkontribusi dalam kesuksesan ini di bawah
kepemimpinan Anda (Menkes Terawan),"" katanya.

Pada Maret 2020, Komite Kegawatdaruratan di bawah International Health
Regulations (2005) memutuskan Indonesia tidak lagi sebagai negara yang
terjangkit meskipun tetap rentan akan terinfeksi kembali oleh virus polio atau
cVDPV1.

""Saya lebih menyoroti bahwa ini merupakan tantangan untuk Indonesia dalam
memelihara ketahanan imunitas masyarakat terhadap Polio di semua provinsi
dengan memberikan dukungan vaksin polio lewat mulut (OPV) serta dengan vaksin
polio inactivated (IPV) melalui sistem imunisasi,"" ujar Dr. Poonam Khetrapal
Singh.

Selanjutnya __

Halaman

1  2

 ",www.detik.com
"Wabah Polio Merebak di PNG, Pertama Kali dalam 18 Tahun","Kamis, 28 Jun 2018 09:59 WIB","\-

Pemerintah Papua Nugini (PNG) mengukuhkan bahwa untuk pertama kalinya dalam 18
tahun muncul kasus polio untuk pertama kalinya, setelah kasus itu dideteksi
terjadi di sebuah pemukiman di kota kedua terbesar di negara tersebut.

Departemen Kesehatan PNG sedang bekerjasama dengan Organisasi Kesehatan Dunia
(WHO) untuk menangani hal tersebut karena virus polio bisa menyebabkan
kelumpuhan pada anak-anak.

Satu kasus polio tersebut ditemukan di pemukiman Lufa Mountain di kota Lae,
yang dideteksi akhir April lalu.

Korban adalah seorang bocah laki-laki berusia enam tahun, dimana kakinya
mengalami kelemahan, dan kemudian belakangan dikukuhkan karena terkena virus
polio.

""Kami sangat khawatir dengan kasus polio di Papua Nugini dan bahwa virus ini
sekarang beredar."" kata Menteri Kesehatan PNG Pascoe Kase dalam sebuah
pernyataan

""Prioritas utama kami sekarang ini adalah berusaha mencegah lebih banyak anak-
anak lagi terkena infeksi polio tersebut.""

Virus polio menyebar karena kotoran manusia yang disebarkan oleh mereka yang
terinfeksi biasanya lewat air atau makanan yang terkontaminasi.

Sejak tahun 1996 tidak dilaporkan adanya kasus polio di PNG, dan negara itu
dinyatakan bebas polio sejak tahun 2000.

Rendahnya vaksinasi jadi masalah External Link:  What is a vaccine-derived
poliovirus?

Versi virus yang beredar sekarang ini di PNG adalah ""vaccine-derived
poliovirus"", artinya virus yang bermutasi yang berasal dari virus polio lebih
lemah yang digunakan dalam vaksinasi.

""Vaccine-derived polioviruse' ini jarang ada, dan cenderung terjadi di kawasan
pemukiman yang memiliki tingkat vaksinasi rendah.

Virus itu berkembang karena anak-anak yang tidak divaksinasi terkena kotoran
dari anak-anak yang sudah divaksinasi atau terkena virus yang lebih lemah
tersebut.

Terkena virus itu bukan hal yang buruk sebenarnya, karena bisa menyebabkan
adanya kekebalan 'pasif' bagi anak-anak yang tidak mendapat vaksinasi.

Namun hal tersebut bisa menjadi berbahaya di komunitas yang memiliki tingkat
vaksinisasi rendah.

Karena virus lebih lemah itu akan menginfeksi lebih banyak orang, hidup lebih
lama, dan akhirnya bermutasi menjadi virus yang lebih berbahaya yang bisa
menyebabkan kelumpuhan.

WHO dan pemerintah PNG sudah melancarkan kampanye imunisasi darurat guna
mencegah anak-anak lain terinfeksi.

Kota Lae terletak di provinsi Morobe, dimana dilaporkan tingkat vaksinasi
hanya sekitar 61 persen.

Pihak berwenang mengatakan 845 anak-anak sekarang sudah diimunisasi setelah
virus itu terdeteksi pertama kalinya.

Lihat beritanya dalam bahasa Inggris di sini

  
  

 ",www.detik.com
