mati,sakit,keparahan,key
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
1,1,rendah,1
0,1,rendah,1
1,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,36633,parah,3
0,1,rendah,1
40100000,1,parah,3
0,0,rendah,1
0,18900,parah,3
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
327,6,parah,3
1,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,4,rendah,1
159,1,parah,3
178,170,parah,3
2,3,rendah,1
0,4,rendah,1
0,1,rendah,1
10,1,sedang,2
0,0,rendah,1
0,1,rendah,1
1,1,rendah,1
1,1,rendah,1
1,1,rendah,1
0,0,rendah,1
190,23,parah,3
0,1,rendah,1
1,1,rendah,1
0,9,rendah,1
190,1,parah,3
1,1,rendah,1
1,1,rendah,1
0,1,rendah,1
0,0,rendah,1
1,1,rendah,1
0,1,rendah,1
0,6,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,4,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,4,rendah,1
0,1,rendah,1
1,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,5,rendah,1
0,1,rendah,1
0,6,rendah,1
0,1,rendah,1
0,2,rendah,1
0,1,rendah,1
0,1,rendah,1
1,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
14,1,parah,3
0,250000000,parah,3
0,1,rendah,1
0,3,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
42509,1,parah,3
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
1,31,parah,3
0,0,rendah,1
0,0,rendah,1
1,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
22,1,parah,3
42481,1,parah,3
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
42478,1,parah,3
0,0,rendah,1
0,1,rendah,1
1,1,rendah,1
0,1,rendah,1
31,1,parah,3
0,3,rendah,1
0,1,rendah,1
0,7,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,0,rendah,1
1,1,rendah,1
0,0,rendah,1
0,514,parah,3
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,2,rendah,1
0,0,rendah,1
0,1,rendah,1
60852,1,parah,3
60832,1,parah,3
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
1,1,rendah,1
0,0,rendah,1
60512,1,parah,3
60579,1,parah,3
60539,1,parah,3
60674,1,parah,3
0,0,rendah,1
0,1,rendah,1
0,15,sedang,2
1,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
1,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,2,rendah,1
0,15,sedang,2
0,0,rendah,1
1,1,rendah,1
0,1,rendah,1
3,1,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,0,rendah,1
1,0,rendah,1
0,0,rendah,1
0,1,rendah,1
1,0,rendah,1
0,0,rendah,1
0,0,rendah,1
1,0,rendah,1
1,0,rendah,1
1,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,0,rendah,1
1,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
1,1,rendah,1
0,1,rendah,1
1,1,rendah,1
0,0,rendah,1
17,1,parah,3
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
1,0,rendah,1
1,0,rendah,1
68,32,parah,3
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
6,0,sedang,2
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
1,0,rendah,1
19,1,parah,3
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,619,parah,3
1,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1332,parah,3
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
1,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
1,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,4,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
1,5,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
1,0,rendah,1
1,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
1,0,rendah,1
0,1,rendah,1
1,0,rendah,1
0,1,rendah,1
0,4,rendah,1
0,6,rendah,1
1,0,rendah,1
1,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,7,rendah,1
22,1,parah,3
0,0,rendah,1
0,0,rendah,1
1,0,rendah,1
1,1,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,0,rendah,1
0,3,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,2,rendah,1
0,1,rendah,1
0,4,rendah,1
0,1,rendah,1
0,1,rendah,1
1,1,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
1,0,rendah,1
1,1,rendah,1
1,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
1,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
1,1,rendah,1
0,1,rendah,1
1,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,0,rendah,1
0.11,7,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,56000,parah,3
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
1,1,rendah,1
0,0,rendah,1
0,0,rendah,1
1,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1216,parah,3
0,0,rendah,1
0,0,rendah,1
0,5,rendah,1
0,0,rendah,1
0,2,rendah,1
0,0,rendah,1
0,0,rendah,1
0,200,parah,3
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,56000,parah,3
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
27,1,parah,3
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,2,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,2,rendah,1
0,1,rendah,1
1,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,0,rendah,1
0,22,sedang,2
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
26,1,parah,3
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
1,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,1,rendah,1
1,1,rendah,1
0,0,rendah,1
0,0,rendah,1
1,1,rendah,1
0,0,rendah,1
1,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
1,1,rendah,1
0,1,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
0,6,rendah,1
0,1,rendah,1
0,0,rendah,1
13,1,parah,3
0,0,rendah,1
0,0,rendah,1
0,2,rendah,1
60886,1,parah,3
0,0,rendah,1
0,0,rendah,1
0,1,rendah,1
0,0,rendah,1
1,1,rendah,1
0,0,rendah,1
