Title,Date,Description,Source
Wapres Ma'ruf Amin: Pandemi Menguak Kelemahan Sistem Kesehatan Manual,"Sabtu, 10 Des 2022 10:06 WIB",wakil presiden ruf amin kabar pandemi covid 19 menguak kelemahan sistem kesehatan berjalan manual memanfaatkan teknologi digital ruf sambutan virtual acara seminar bertajuk system satusehat implications health economics indonesia diselenggarakan fakultas kesehatan masyarakat universitas indonesia sabtu 10 12 2022 pandemi menguak kelemahan sistem berjalan manual memicu dilakukannya perbaikan perbaikan memanfaatkan teknologi digital ruf ruf pandemi covid 19 mengubah tatanan kehidupan sektor kesehatan dipaksa bertransformasi kapabel lincah merespons tantangan layanan kesehatan kokoh memenuhi kebutuhan masyarakat situasi dinamis menjelma bentuk penggunaan aplikasi kesehatan masif terpisahkan aktivitas sehari ruf ruf mengapresiasi platform satusehat milik kementerian kesehatan platform digital kesehatan mengintegrasikan histori resume medis pasien fasilitas kesehatan transformasi digital kesehatan memudahkan masyarakat berdampak positif ekonomi kesehatan mesti dikembangkan satusehat memiliki keunggulan mencakup aspek layanan preventif promotif kuratif rehabilitatif menyoroti harga harga pelayanan kesehatan kuratif mahal penyakit katastropik membutuhkan perawatan medis berbiaya bantuan teknologi digital penyakit terdeteksi upaya penanganan diharapkan menurunkan beban biaya pengobatan signifikan ruf ruf menekankan pemerintah mendukung mendorong pemanfaatan teknologi digital meningkatkan kesehatan masyarakat indonesia transformasi digital agenda merealisasikan indonesia sehat pemanfaatan data teknologi,www.kompas.com
"Detik-detik Istri di Bandung Barat Disiram Air Keras Suaminya Diungkap Adik Korban, Kulit Wajah dan Tubuh Melepuh","Jumat, 02 Des 2022 19:38 WIB",cekcok rumah tangga kampung pos wetan 01 rw 14 desa kertamulya kecamatan padalarang kabupaten bandung barat kbb kamis 1 12 2022 sore cekcok septi widayanti 37 suaminya daniel satria darma 31 berujung petaka daniel tersulut emosi tega menyiram istrinya diduga air keras akibatnya mengalami luka seirus wajah dada lengan kakinya menjalani perawatan insentif rsud ihsan bandung tindak kekerasan rumah tangga kdrt diceritakan korban adik korban dinda novi risnasari 32 kejadian aksi kekerasan cekcok rumah tangga daniel menerima permintaan cerai istri bertemu pelaku curiga feeling wanti wanti bertemu dinda ditemui kediamannya jumat 2 11 2022 cekcok menemui puncaknya adiknya mendampinginya menemui suaminya dinda mengamini ajakan korban mengantar mandi teriak diantar anaknya pas selesai mandi tkp dinda berangkat anaknya menemui suaminya pulang suaminya memanggil alasan uang kebutuhan rumah tangga kakak tumben ngasih uang disiram ngasih kunci kontrakan ngasih uang alibi dinda suasana berubah mencekam daniel menyiramkan cairan diduga air keras siapkan tumbler dibawanya cairan disiramkan wajah tubuh menaruh curiga sedikitpun menghindar alhasil korban mengalami luka melepuh tubuh disiram teriak pakaian bajunya mengkerut kulitnya melepuh dinda,www.kompas.com
5 Penyakit yang Kerap Dijumpai di Pengungsian,"Minggu, 27 Nov 2022 12:13 WIB",gempa melanda cianjur jawa barat senin 21 november 2022 menyebabkan ribuan rumah warga hancur 60 ribu tinggal puluhan tempat pengungsian tersebar ikatan dokter indonesia idi melaporkan pengungsi terserang penyakit komplikasi hasil trauma akibat gempa ketua pb idi adib khumaidi keterangannya cianjur jumat 25 november 2022 penyakit dikeluhkan korban gempa cianjur pengungsi terserang penyakit tua anak anak penyakit dikeluhkan ispa fraktur luka robek alergi myalgia dyspepsia gartritis asma diare kudis diabetes akibat terkontrol sulit pelayanan anak anak mengalami broncho pneumonia ispa patah tulang kaki cedera kepala tubuh https cdn tmpo data 2022 11 26 id 1160294 1160294 720 jpg posko pengungsian warga berdiri rumah hancur akibat gempa bumi garogol kidul cibulakan cugenang kabupaten cianjur jawa barat jumat 25 november 2022 tanggap darurat penanganan gempa bumi kabupaten cianjur ditetapkan 30 senin 21 11 2022 foto wahyu putro penyakit rawan menyebar pengungsian penyebabnya interaksi pengungsi sanitasi memadai kurangnya kebersihan pasokan air bersih terbatas mewaspadai ancaman penyakit merebak mengungsi potensi munculnya penyakit gizi pengungsian dikutip publikasi health nutritions journal volume iii nomor 1 2017 dilansir laman resmi berkas dpr id diare salah penyakit berpotensi pengungsian penyakit menular menyebar pengungsi penyebab diare keterbatasan sediaan air bersih sanitasi memadai pascabencana rendahnya gaya hidup sehat bersih pengungsian memicu penyakit memburuknya status kesehatan akibat bencana faktor pendukung merebaknya campak pengungsian didukung kurangnya asupan gizi anak anak kepadatan manusia laporan penyakit malaria ancaman pengungsi lokasi pengungsian endemis malaria tenda pengungsian cenderung terekspos nyamuk penyebab penyakit penyakit pneumonia radang paru paru kerap pengungsian parahnya penyakit infeksi saluran pernapasan akut ispa menyebabkan kematian bayi balita penyakit terdeteksi pengobatan layak demam typhoid akibat infeksi bakteri salmonella typhi penyakit akibat kebersihan lingkungan sanitasi memadai gejala demam lemah nyeri kepala nyeri sendi otot pasien mengalami gangguan bab perut kembung mual muntah 5 penyakit mengancam kerap lokasi lokasi pengungsian bencana alam waspada lengah,www.tempo.co
"Ketahui Penyakit ISPA, Gejala dan Pencegahannya","Jumat, 02 Des 2022 04:49 WIB",korban gempa cianjur jawa barat menempati tenda pengungsian terjangkir penyakit mengalami gejala inspeksi saluran pernapasan ispa batuk flu diare tenaga kesehatan puskesmas nagrak metty kondisi kesehatan warga tinggal tenda pengungsian diperburuk hujan mengguyur warga terdampak gempa mengalami sakit lansia anak anak balita ispa ispa infeksi saluran pernapasan akut mengutip yankes kemkes id ispa disebabkan faktor bakteri virus rakhitis dilansir repository poltekkes denpasar ac id ispa menyerang pernapasan tenggorokan hidung paru paru 14 tanda gejala ispa nampak jam gejala ispa terbagi berdasarkan tingkat keparahannya gejala ispa ringan batuk serak pilek panas demam gejala ispa suhu tubuh 39 derajat celcius tenggorokan berwarna merah timbur bercak merah kulit campak bunyi pernapasan mengorok gejala ispa berat warna bibir kulit membiru kesadaran anak menurun bunyi pernapasan megorok tidur gelisah nadi teraba cepat tenggorokan memerah langkah mencegah ispa menjaga kesehatan gizi mencegah terhindar penyakit salah satunya penyakit ispa mengkonsumsi makanan sehat sempurna minum air putih olah raga teratur istirahat tujuan dilakukannya imunisasi menjaga kekebalan tubuh terhindar penyakit disebabkan virus bakteri infeksi saluran pernafasan akut ispa disebabkan virus bakteri ditularkan terjangkit penyakit udara tercemar tubuh anak berhubungan penderita ispa seluk beluk ispa mendera korban gempa cianjur,www.tempo.co
"Lika-liku Jalur Politik Muhammad Adil, Bupati Meranti yang Meradang ke Kemenkeu","Selasa, 13 Des 2022 22:55 WIB",pernyataan bupati kabupaten kepulauan meranti disingkat bupati meranti muhammad adil pegawai kementerian keuangan kemenkeu iblis setan memantik perseteruan adil kemenkeu mengeruk keuntungan eksploitasi minyak daerah kepulauan meranti pernyataan dilontarkan lantaran adil memprotes dana hasil dbh daerah penghasil minyak gas migas adil menilai daerahnya menerima rincian penerimaan daerah hasil sumber daya alam dana diterima daerahnya diklaim keuangan isinya iblis setan diambil minyak meranti makan uang dihisap pusat adil video berdurasi 1 menit 55 beredar sosial media jalur politik muhammad adil politikus partai demokrasi indonesia perjuangan pdip kader partai 2021 adil kader partai hati nurani rakyat hanura partai kebangkitan bangsa pkb adil menjabat anggota dprd provinsi riau periode periode 2014 2019 partai hati nurani rakyat hanura periode 2019 2024 partai kebangkitan bangsa pkb periode adil menjabat anggota dprd provinsi riau diusung calon bupati kepulauan meranti 2021 2024 menang terpilih bupati kepulauan meranti bupati adil mundur anggota partai pkb merapat partai pdip menurutnya pdip visi misi sejalan dengannya politikus bupati meranti aktif berorganisasi adil ketua dpw pujakesuma provinsi riau 2017 2022 menjabat ketua forki kabupaten kepulauan meranti 2010 2014,www.tempo.co
Apa Itu Gugatan Class Action yang Dilakukan Keluarga Pasien Gagal Ginjal Akut,"Jumat, 02 Des 2022 07:27 WIB",puluhan keluarga pasien gagal ginjal akut melayangkan gugatan badan pengawasan obat makanan bpom kementerian kesehatan kemenkes tujuh perusahaan farmasi perwakilan tim advokasi kemanusiaan awan puryadi 50 keluarga korban pasien menjalin komunikasi intens mengajukan gugatan menuntut ganti rugi penderitaan alami gugatan mengutip laman gugatan gugatan perwakilan kelompok tata pengajuan gugatan mewakili kelompok mengajukan gugatan prosedur gugatan 1 gugatan perwakilan kelompok tata pengajuan gugatan mewakili kelompok mengajukan gugatan 2 gugatanperwakilan kelompok diajukan 1 anggota kelompok efektif efisien gugatan gugatan 2 kesamaan fakta peristiwa kesamaan dasar hukum bersifat subtansial kesamaan jenis tuntutan wakil kelompok anggota kelompoknya 3 wakil kelompok memiliki kejujuran kesungguhan melindungi kepentingan anggota kelompok diwakilinya 3 surat gugatan kelompok mengacu persyaratan persyaratan diatur acara perdata berlaku memuat 1 identitas lengkap perwakilan kelompok 2 identitas kelompok rinci nama anggota 3 identitas lengkap wakil kelompok nama anggota kelompok persatu 4 identitas kelompok kaitan kewajiban pemberitahuan 5 posita kelompok wakil kelompok anggota kelompok teridentifikasi teridentifikasi dikemukakan terinci 6 gugatan perwakilan dikelompokkan kelompok sub kelompok tuntutan sifat kerugian berbeda 7 tuntutan petitum ganti rugi dikemukakan rinci memuat usulan mekanisme tata pendistribusian ganti kerugian anggota kelompok usulan pembentukan tim panel membantu memperlancar pendistribusian ganti kerugian 4 gugatan perwakilan dikelompokkan kelompok sub kelompok tuntutan sifat kerugian berbeda 5 mewakili kepentingan hukum anggota kelompok wakil kelompok dipersyaratkan memperoleh surat kuasa anggota kelompok pasal 4 6 proses pemeriksaan persidangan hakim wajib memeriksa mempertimbangkan kriteria gugatan perwakilan kelompok nasihat mengenal persyaratan gugatan perwakilan kelompok hakim penetapan sah tidaknya gugatan perwakilan kelompok 7 penggunaan prosedur gugatan perwakilan kelompok dinyatakan sah hakim memerintahkan penggugat mengajukan usulan model pemberitahuan memperoleh persetujuan hakim 8 penggunaan tata gugatan perwakilan kelompok dinyatakan sah pemeriksaan gugatan dihentikan putusan hakim 9 proses perkara hakim wajib mendorong menyelesaikan perkara perdamaian persidangan berlangsungnya pemeriksaan perkara 1 2 3,www.tempo.co
"Tak Miliki Sertifikat Kesehatan Hewan, 26 Ekor Babi Ditolak Masuk ke Balikpapan","Kamis, 01 Des 2022 10:22 WIB",balai karantina pertanian balikpapan penahanan pemasukan 26 ekor babi pelabuhan penyeberangan kariangau senin 28 11 2022 penahanan lantaran memasukkan sertifikat kesehatan hewan skh petugas puluhan babi diangkut swarna kartika palu balikpapan petugas balai karantina pertanian pengecekan muatan kendaraan 26 ekor babi salah kendaraan skh pengguna jasa menunjukkannya pengawasan curiga komoditas diangkut kapal periksa berisi babi hidup periksa kelengkapan dokumennya pengguna jasa sertifikat kesehatan hewan kh 11 dokter hewan karantina faizal rafiq keterangan rilisnya diterima rabu 30 11 2022 pemasukan babi melanggar uu 21 2019 karantina hewan ikan tumbuhan dilengkapi sertifikat kesehatan hewan kh 11 daerah lintas babi sesuai ketentuan persyaratan berdasarkan surat edaran satuan tugas penanganan penyakit mulut kuku nomor 7 2022 pengendalian lintas hewan rentan pmk produk hewan rentan pmk berbasis kewilayahan lakukan tindakan karantina penahanan penahanan pejabat karantina sosialisasi lapor karantina pengguna jasa menyetujui tindakan penolakan mengambilkan media pembawa daerah tindakan penahanan penolakan pejabat karantina pertanian dipantau endang sri pertiwi subkoordinator karantina hewan niken pandan sari subkoordinator pengawasan penindakan rangkaian tindakan karantina pertanian balikpapan berdasarkan uu 21 2019 membangun ekosistem quarantine minded akhmad alfaraby kepala karantina pertanian balikpapan,www.kompas.com
"Gagal Ginjal Akut pada Anak Merebak, Kenali Gejala dan Cara Pencegahannya","Jumat, 02 Des 2022 21:45 WIB",masyarakat dunia terkecuali indonesia dihadapkan jenis penyakit virus varian menyerang anak covid 19 cacar monyet gagal ginjal akut anak ggapa informasi gagal ginjal akut kondisi penurunan fungsi organ ginjal cepat kondisi pemburukannya ggapa kondisi gagal ginjal dewasa perbedaannya penyakit menyerang anak usia bayi usia sekolah kondisi penyakit memicu gagal ginjal akut gangguan aliran darah ginjal akibat infeksi dehidrasi berat pendarahan berat penyumbatan saluran kemih batu ginjal gumpalan darah saluran kemih kanker saluran kemih memicu penyakit gagal ginjal akut disebabkan efek samping konsumsi obat penyumbatan pembuluh darah ginjal peradangan saluran ginjal kondisi mengganggu aliran oksigen darah ginjal penyakit jantung serangan jantung tanda gejala ggapa penurunan frekuensi buang air volume urine kencing 6 8 jam siang gejala warna urine pekat kecoklatan demam nyeri perut sesak napas lelah lesu pucat nyeri dada kejang koma kondisi serius penumpukan cairan tungkai pergelangan punggung kaki ggapa menyerang 300 anak indonesia november 2022 100 anak meninggal dunia kondisi mendorong mengambil langkah antisipatif menurunkan angka kesakitan kematian penurunan angka surat edaran direktorat jenderal pelayanan kesehatan kementerian kesehatan kemenkes tertanggal 18 oktober 2022 dikeluarkan surat dinas kesehatan fasilitas pelayanan kesehatan organisasi profesi kesehatan menghentikan penggunaan obat sirop otoritas bertanggung regulasi pengawasan produk farmasi badan pengawasan obat makanan bpom pengujian produk obat upaya produsen obat sirop indonesia taisho pharmaceutical indonesia direktur taisho pharmaceutical indonesia budhy herwindo pemilik produsen penurun demam anak tempra memproduksi obat sirop sesuai standar pembuatan obat cpob lakukan pemenuhan standar mutu quality keamanan safety manfaat efficacy produk tempra dipasarkan negeri budhy siaran pers diterima kompas com jumat 2 12 2022 berkat upaya produk tempra tempra drops tempra syrup tempra forte dinyatakan aman dikonsumsi anak anak sesuai surat edaran bpom nomor hm 01 1 2 12 22 184 informasi kesepuluh perkembangan hasil pengawasan terkait sirup obat mengandung cemaran etilen glikol dietilen glikol dikeluarkan jumat surat bpom mengimbau masyarakat produk tempra sesuai aturan pakai sakit berlanjut pengguna disarankan menghubungi tenaga kesehatan budhy taisho monitoring efek samping obat pharmacovigilance sesuai ketentuan berlaku berkomitmen menjaga kepatuhan peraturan arahan otoritas berwenang kemenkes bpom memonitor mengikuti ketentuan bpom menjamin keamanan konsumen budhy melanjutkan tempra berkontribusi memproduksi obat penurun demam nyeri anak berkualitas produk tempra mesin canggih sistem quality control ketat senantiasa menjaga kehigienisan kualitas bahan baku bahan kemas proses menjadikan tempra produk efektif penurun demam dipercaya masyarakat indonesia 50 budhy kesempatan berpesan orangtua membawa anak dokter mengalami gejala mengarah gagal ginjal akut menurutnya pengobatan mencegah komplikasi berujung tindakan transplantasi ginjal orangtua proaktif verifikasi informasi terhindar berita hoaks imbuh budhy,www.kompas.com
"Akhir Tahun, Prodia Beri Diskon 20 Persen untuk Pemeriksaan Panel Long Flight","Rabu, 21 Des 2022 06:44 WIB",bepergian negeri perjalanan bisnis ibadah liburan momen dinantikan menyebalkan sesampainya negara tujuan tanah air jatuh sakit tubuh membutuhkan penyesuaian tempat asing penerbangan jarak durasi enam jam tubuh aktivitas darat menyesuaikan tempat ruang gerak terbatas pesawat turbulensi tekanan udara berbeda kabin pesawat menimbulkan trauma telinga mual nyaman memicu stress permasalahan muncul perjalanan jet lag risiko deep vein thrombosis pembekuan darah kaki dehidrasi gangguan saluran kemih pemeriksaan kesehatan penerbangan jarak memiliki riwayat penggumpalan darah kelainan darah memiliki riwayat gejala salahnya berkonsultasi pemeriksaan kesehatan penerbangan jarak tubuh bugar beraktivitas pemeriksaan kesehatan bermanfaat ditemukan risiko penyakit cepat pencegahan kesehatan gejala pemeriksaan lab memastikannya persiapkan penerbangan menyesuaikan jam tidur keberangkatan penyesuaian jam tubuh meminimalisir jet lag pesawat peregangan ringan tubuh berjalan pesawat kondisi mendukung asupan air putih berperan menjaga kestabilan cairan ruangan tertutup sistem pencernaan diperhatikan menghindari gangguan saluran kemih perjalanan nyaman terganggunya aktivitas bepergian pastikan kondisi tubuh prima medical check up long flight laboratorium klinik prodia prodia menghadirkan panel long flight membantu mengidentifikasi kesehatan penerbangan jarak jenis pemeriksaan panel long flight 1 panel post long flight complete pemeriksaan hematologi lengkap urine rutin albumin urine kuantitatif dimer cl cortisol saliva pagi kreatinin 2 panel post long flight basic pemeriksaan hematologi lengkap urine rutin albumin urine kuantitatif dimer penerbangan jarak pemeriksaan kesehatan prodia keringanan biaya 20 persen panel long flight periode 31 desember 2022 kesehatan tubuh prima nyaman aktivitas rutin penerbangan jarak repot memiliki waktu cabang prodia memiliki layanan prodia home service memudahkan checkupdimanaaja informasi pemesanan mengunduh prodia mobile mengunjungi www prodia id kontak prodia 1500 830 klinik cabang prodia terdekat,www.tribunnews.com
"Nyeri Punggung dan Pinggang Bisa Serang Usia Muda, Begini Cara Obati Low Back Pain","Rabu, 30 Nov 2022 09:07 WIB",pola hidup sehat berolahraga duduk ancaman penyakit menyerang area punggung pinggang istilahnya low back pain menyerang lansia berusia muda jarang keluhan nyeri punggung leher akibat pekerjaan aktivitas karyawan duduk komputer mengangkat beban berat beresiko terserang low back pain izin sakit absen kantor nyeri pinggang bergerak leluasa otot tegang pusing kesemutan keluhan keluhan rasakan karyawan kantoran low back pain berbeda low back pain 80 90 persen otot ligamen dokter spesialis ortopedi nicko perdana hardiansyah sp spine nicko gejala low back pain pengobatannya ditentukan tingkat keparahan gejala dialami pasien keluhan gejala ringan pasien istirahat edukasi pasien peregangan stretching nicko prevalensi pasien low back pain bergeser usia muda gen milenial usia 30 40 menyerang usia 20 gaya hidup duduk layar idealnya duduk 30 menit stretching kombinasi ringan gerakan sederhana berdiri mobil peregangan paparnya nicko keluhan pasien berbeda pengobatan pasien berbeda 80 90 persen sembuh intervensi aneh aneh kendati sembuh nicko alarm red flag sinyal pasien dokter tanda tandanya salah tanda mudah nyeri punggung mengganggu jam tidur penurunan kekuatan otot nyeri menjalar mengganggu berjalan pastikan keluhan disertai gangguan buang air bab buang air bak gangguan seksual bahaya something wrong paparnya gejala low back pain anak muda sadari pegal pegal pinggang nyeri lokal diperberat aktivitas nyeri berkurang istirahat sakit nyaman faktor risiko low back pain 1 usia kisaran 20 40 2 riwayat jatuh 3 berat badan berlebih 4 posisi dominan membungkuk 5 mengangkat benda berat herniated nucleus pulposus herniated nucleus pulposus alias saraf terjepit saraf rentan mengalami cedera hati hati risiko robekan saraf ketarik alias terjepit spinal stenosis penyempitan tulang istilahnya spinal stenosis kondisi tulang menyempit tekanan sumsum tulang saraf menyebabkan mati kram sakit pinggang abnormal spine abnormal spine lekukan tulang normal jenis skoliosis kifosis lordosis lengkungan normal tulang tekanan berlebih otot tendon ligamen menyebabkan sakit pinggang arthritis arthritis akrab radang sendi area persendian tulang panggul diawali robekan robekan menimbulkan nyeri pasien dokter mengeluhkan nyeri pinggang punggung mengunjungi dokter dokter asesmen pemeriksaan faktor risiko pemicunya dianalisis pengaruh aktivitas tempat angkat berat dokter obat obatan ringan pain killer pelemas otot fisioterapi pertolongan pasien pasien pasien berat penyuntikan radiofrekuensi jalan pembedahan 3 5 persen pasien pertolongan rumah pasien obat oles mengonsumsi pereda nyeri paracetamol tahap mayapada solusi mengatasi nyeri daerah tulang terapi 1 heating irr swd mwd heating bentuk pemanasan modalitas irr swd mwd sesuai kebutuhan kondisi pasien 2 tens tens alat elektrikal terapi menghasilkan gelombang mekanik getar frekuensi 3 ultrasound ultrasound salah modalitas terapi berbentuk gelombang suara menghasilkan efek micro massage jaringan diobati 4 excercise terapi latihan exercise terapi latihan metode massage efflurage friksen palm kneeding terapi latihan stretching strengthening isometrik aktive exercise mayapada hospital tedapat tindakan bess biportal endoscopic spine surgery teknologi endoskopi pasien nyaman permasalahan tulang disebabkan jepitan saraf operasi bedah terbuka tindakan bess tindakan minimal invasif alat endoskopi mengatasi tulang nicko prosedur minimal invasif risiko komplikasi minimal waktu pemulihan cepat bess aman pasien lansia teknologi memiliki tingkat keberhasilan sayatan minimal durasi perawatan singkat pasien terbebas keluhannya beraktivitas pasca tindakan mayapada hospital memiliki orthopedic center layanan komprehensif menangani gangguan tulang sendi otot gangguan tulang lutut panggul tangan kaki didukung tim dokter spesialis orthopedi subspesialisasi orthopedic center mayapada hospital menangani beragai ganggungan tulang penggantian sendi lutut panggul cedera ligamen tulang otot minimal invasif cedera olahraga rizal pohan spot spine mayapada hospital tangerang starifulkani arif spot spine mayapada hospital jakarta selatan nicko perdana hardiansyah spot spine mayapada hospital kuningan putu bagus didiet khresna wibawa spot spine mayapada hospital kuningan harun rosidi spot spine mayapada hospital bogor kerabat mengalami gangguan tulang nyeri punggung pinggang lakukan penanganan mayapada hospital berkonsultasi dokter mayapada hospital klik link,www.tribunnews.com
