title,date,description,source
"Mamih Juju Tewas di Musala Ruko, Polisi: Diduga Korban Pembunuhan","Selasa, 17 Mei  2022 18:10 WIB",juju juariyah alias mamih juju ditemukan tewas bersimbah darah musala ruko milinya polisi menduga mamih juju korban pembunuhan diduga korban pembunuhan kapolsek pagerageung akp erustiana selasa 17 5 2022 erustiana polisi berusaha mengungkap gerangan pelaku pembunuhan mencari motif aksi keji perampokan dendam proses penyelidikan erustiana pantauan lokasi kejadian polisi menggali keterangan saksi keponakan korban saksi pengendara ojeg erustiana mayat ditemukan posisi terlentang musala toko miliknya posisi mayat terlentang musala luka erustiana luka sayat leher dada pergelangan tangan jenazah ditemukan posisi kaki terikat lakban hitam kakinya terikat lakban odin tohidin kepala dusun odin ditemukan korban mengenakan celana jeans kemeja kotak kotak mengenakan pakaian tidur iya pakai celana jeans utuh celananya baju tersingkap perut odin jenazah korban kamar mayat rsud dr soekadjo tasikmalaya menjalani visum otopsi dona petugas kamar mayat proses visum otopsi diapa tersimpan kepolisian melarang membuka kondisi jenazah berani membuka dona 16 30 wib menduga polisi fokus olah tkp berusaha mengungkap pelaku pembunuhan fokus tkp mengejar pelaku dona,www.detik.com
Remaja Korban Pemerkosaan Ayah Tiri di Cianjur Alami Trauma,"Jumat, 10 Jun 2022 07:00 WIB",remaja kabupaten cianjur korban pemerkosaan ayah tirinya hamil korban tunarungu mengalami trauma berat ketua harian pusat pelayanan terpadu pemberdayaan perempuan anak p2tp2a kabupaten cianjur lidya umar didatangi rumahnya korban menutup lantaran mengalami trauma akibat pemerkosaan ayah tirinya korban trauma takut bertemu orang asing lidya kamis 9 6 2022 separah trauma dialami korban pasalnya lidya kesulitan berkomunikasi korban tunarungu terkendala komunikasi siapkan penerjemah berkomunikasi korban trauma dialami pengobatan obati traumanya penanganan khusus diberitakan aksi biadab rh 43 warga cibeber kabupaten cianjur pria tega memperkosa anak tirinya umur tunarungu hamil kelakuan bejat ayah tiri korban istri pelaku curiga anaknya kerap muntah muntah perutnya membesar korban membawa anaknya bidan ditemukan fakta anak mengalami tuna rungu hamil sang anak kali disetubuhi ayah tirinya korban ketahuan hamil ibunya membawa korban bidan curiga perutnya membesar muntah korban disetubuhi ayah tirinya kapolsek cibeber kompol falahudin menurutnya warga kejadian mengepung rumah pelaku lantaran geram beruntung aksi warga tersulut emosi berhasil diredam kepala desa aparat polisi langsung mengamankan pelaku membawanya mapolsek diperiksa pelaku diamankan mapolsek rencananya limpahkan kasusnya polres menyebut pelaku dijerat undang undang nomor 35 2014 perubahan undang undang nomor 23 2002 perlindungan anak korban dibawah umur terapkan undang undang perlindungan anak pelaku orang terdekat korban pungkasnya,www.detik.com
"Pria di Gunungkidul Diduga Perkosa Anak Tiri, Ibu Korban Lapor Polisi","Selasa, 12 Apr 2022 15:03 WIB",pria kabupaten gunungkidul diduga memperkosa anak tirinya umur korban kabar aksi bejat suaminya berinisial s 49 lantas melaporkannya polres gunungkidul kanit perlindungan perempuan anak ppa satreskrim polres gunungkidul ipda ratri ratnawati kejadian korban melapor saudaranya perlakuan ayah tirinya mengarah tindak pemerkosaan februari kapanewon tanjungsari pertengahan maret korban melaporkan suami dinikahinya kejadiannya pertengahan februari februari kejadiannya siang hari korban ladang laporannya tanggal 14 maret dilaporkan suaminya ayah tiri korban usia 49 pekerjaan petani ratri wartawan polres gunungkidul selasa 12 4 2022 ratri menyebut pemeriksaan saksi saksi berujung pemeriksaan s keterangan saksi saksi korban s aksinya kali keterangan saksi saksi korban kali ayah cabuli anak tiri ketiga kalinya korban berontak lapor saudaranya keterangan modus s korban membawanya kamar paksaan dalami ancaman korban kondisi anaknya labil diperdalam keterangan kejadian ibunya ladang kejadiannya kamar persetubuhan ratri ratri menyebut menentukan tersangka laporan masuk memeriksa saksi saksi polisi berlanjut pemanggilan s pemeriksaan saksi saksi orang saksi saksi selesai terlapor panggil gambas video 20detik,www.detik.com
Polisi: Massa HMI Demo Depan Istana Bawa Bensin-Tak Ada Pemberitahuan,"Jumat, 22 Apr 2022 23:31 WIB",polisi demo massa himpunan mahasiswa indonesia hmi istana negara jakarta pusat pemberitahuan demo berujung penangkapan 3 orang kader hmi aparat kepolisian massa hmi menggelar unjuk istana pemberitahuan pelanggaran kasat reskrim polres metro jakarta pusat akbp wisnu wardana dihubungi wartawan jumat 22 4 2022 wisnu 20 orang kader hmi demo istana jumat 22 4 sore massa hmi demo memprotes penangkapan salah kadernya muhammad fikry didakwa begal kabupaten bekasi wisnu sesuai ketentuan undang undang nomor 9 1998 kebebasan penyampaian pendapat muka demonstrasi objek vital nasional istana salah satunya massa membawa bensin ban dituangkan bensinnya ban polisi mengimbau massa membubarkan massa hmi mengindahkan imbauan petugas diimbau membubarkan ditaati melawan petugas polisi menangkap 3 orang kader hmi ketiganya diperiksa polres metro jakarta pusat wisnu berbicara pemberitahuan aksi kepolisian selambatnya h 3 menggelar unjuk elemen elemen pendapat muka pemberitahuan kegiatan kegiatan anarkis pemimpinnya massa lokasi pemberitahuan polisi bebernya pemberitahuan fungsinya polisi pengamanan pelayanan disiapkan pasukan sambungnya baca halaman penjelasan hmi penangkapan 3 orang kadernya halaman 1 2,www.detik.com
"Cerita Ngenas Petugas PPSU Korban Begal di Jakpus, Duit THR Dibawa Pelaku","Kamis, 28 Apr 2022 16:08 WIB",petugas penanganan prasarana sarana ppsu ray prama abdulla 28 korban begal rs husada sawah jakarta pusat uang tunjangan hari raya thr diambilnya atm raib dibawa pelaku peristiwa rabu 27 4 05 30 wib kejadian ray selesai absen kelurahan mangga selatan tempat kerja jl mangga 13 ray menyempatkan mengambil uang thr atm menyebut kebiasaannya mengambil uang selepas gajian thr jl mangga 13 keinget ambil uang kebiasaan gajian uang bank dki ambil pagi pagi pulang kerja kasih istri ray ditemui rumahnya kawasan sawah jakarta pusat kamis 28 4 2022 mengambil uang tempat kerja ray 5 10 menit segerombol orang 5 10 menit tempat kerja kerja orang ngegeruduk mengaku uang disimpan tas selempangnya dihantam tinju pinggangnya ray mengaku kehilangan kesadaran posisi tas langsung ngebengkek kaget lo lo dihantam ditonjok pinggang sadar sahur sarapan situ sadar udah nge blank dipukul pelaku tinju pinggangnya ray dikalungi celurit sadar uang tasnya raib diambil pelaku pas kesadaran pas leher leher udah diceluritin tas udah isinya udah diambil uangnya baca cerita selengkapnya pelaku merampas uang thr milik korban halaman gambas video 20detik halaman 1 2,www.detik.com
Dua Pembegal Amaq Sinta Terancam 12 Tahun Penjara,"Selasa, 19 Apr 2022 14:00 WIB",korban begal tersangka nusa tenggara barat ntb sorotan rampung polda ntb apresiasi menghentikan penyidikan amaq sinta korban pembegalan dijadikan tersangka pembunuhan membunuh 4 begal menyerangnya kepolisian fokus proses hukum pelaku begal selamat wahid holidi terancam hukuman 12 penjara upaya pembegalan murtade alias amaq sinta pelaku terancam dijerat pasal 365 kuhp ancaman 12 penjara kabid humas polda ntb kombes artanto keterangannya selasa 19 4 2022 polisi mengakui pencurian kekerasan begal orang rekannya meninggal wahid holidi ditahan polisi pengakuan kesaksian dijadikan dasar kepolisian resor lombok menetapkan amaq sinta tersangka pembunuhan rekan direktur reserse kriminal polda ntb kombes hari brata berdasarkan keterangan saksi orang tersangka selamat merencanakan aksi pembegalan minum minuman keras pasar praya timur lombok mintai keterangan 5 orang saksi korban amaq sinta saksi rencana tempat minum tuak hari brata fakta tersangka wahid polisi keempatnya merencanakan aksi pasar beleka diberitakan pria ntb amaq sinta korban begal dijerat pasal pembunuhan melawan begal menyerangnya begal tewas tangan amaq sinta amaq sinta ditahan hari mapolres lombok penahanannya ditangguhkan korban begal tersangka sorotan publik pengungkapan penemuan mayat pria bersimbah darah lombok senin 11 4 2022 dinihari pria pelaku begal dibunuh korbannya korban pembegalan amaq sinta dijadikan tersangka pembunuhan akibat aksi bela lakukan menyebabkan begal tewas orang begal kabur amaq sinta ditahan polisi sangkaan pasal pencurian kekerasan begal saksi memberatkan amaq sinta dijerat pasal pembunuhan gambas video 20detik,www.detik.com
Melihat Lagi Jejak Sadis Kolonel Priyanto Bunuh Handi dan Salsa,"Selasa, 07 Jun 2022 13:36 WIB",kolonel priyanto terdakwa pembunuhan berencana sejoli handi saputra salsabila divonis hukuman seumur hidup bui dijerat hukuman berlapis majelis hakim militer vonis dibacakan majelis hakim sidang beragendakan putusan digelar pengadilan militer ii jakarta selasa 7 6 2022 pagi putusannya ketua majelis hakim brigjen faridah faisal priyanto terbukti tindakan pembunuhan berencana merampas kemerdekaan orang menyembunyikan mayat memidana terdakwa pidana pokok penjara seumur hidup pidana tambahan dipecat dinas militer faridah kematian sejoli handi saputra salsabila menghebohkan warga kawasan perbatasan bandung garut 2021 silam peristiwa tabrakan dialami handi salsa rabu 8 desember 2021 kawasan jalan raya nagreg limbangan ciaro bandung handi salsabila berboncengan sepeda motor bertabrakan mobil berwarna hitam saksi mata diwawancarai salsa mengalami luka parah handi mengemudikan motor berjenis suzuki fu terkapar berdaya bergerak dievakuasi pria tegap mobil jenis isuzu panther mobil hitam doff kali terpantau melaju arah limbangan menghilang keberadaannya menerima informasi keluarga pencarian mencari rumah sakit fasilitas kesehatan sekitaran bandung garut tasik sumedang handi ditemukan tempat berbeda hari sabtu 11 desember 2021 warga kawasan dusun bleberan kabupaten cilacap jateng dikejutkan penemuan sesosok mayat wanita identitas aliran sungai serayu mayat diangkut polisi diselidiki penyebab kematiannya waktu warga banyumas dikejutkan penemuan sesosok jenazah lelaki identitas aliran sungai serayu kecamatan rawalo jasad ditemukan warga banyumas memiliki ciri ciri rambut mohawk celana jeans kaus putih sepatu sebelah kakinya keluarga handi mayat handi salsa dicek firasat keluarga terbukti mayat handi pacarnya salsa jumat 17 desember 2021 keluarga bertolak jawa mengecek langsung mayat diyakini sejoli jasadnya diterbangkan garut bandung dimakamkan kampung halaman langsung dimakamkan hari handi dimakamkan rumahnya kecamatan balubur limbangan garut salsa dimakamkan nagreg bandung kepolisian mengintensifkan penyelidikan hasilnya bekerjasama tni ad polisi militer mengidentifikasi pelaku oknum anggota tni ad ketiga pelaku kolonel priyanto koptu andreas dwi kopda ahmad sholeh ketiganya diamankan tempat berbeda personel polisi militer ketiganya diadili tni priyanto divonis bui seumur hidup dipecat koptu andreas dwi atmoko diganjar kurungan 6,www.detik.com
3 Aksi Begal Pesepeda di Senayan Ternyata Pernah Sasar Kolonel TNI,"Sabtu, 12 Mar 2022 07:36 WIB",polisi menangkap begal mengincar pesepeda flyover senayan jakarta pusat viral media sosial hasil pemeriksaan terungkap fakta salah pelaku menyasar kolonel tni jl medan merdeka barat jakarta pusat senin 26 oktober 2020 aksi begal rabu 2 3 pagi pelaku hs alias b 32 nj alias 32 ditangkap 24 jam wajahnya terjepret fotografer aksi begal viral medsos pelaku mencoba merampas ponsel korban disimpan kantong punggungnya berhasil diteriaki fotografer suami korban mengejar pelaku sang suami 40 menabrak fotografer lokasi terjatuh suami kejar posisi nanjak kencang fotografer sebelah kanan nyeberang hadang pelakunya ditendang nggak kena zulpan sisi bertabrakan fotografer akibat kejadian terjatuh suami jatuh kamera fotografer pecah ketabrak suami imbuhnya gambas video 20detik halaman 1 2 3,www.detik.com
"Resah Usai Bunuh Dini, Neneng Cerita ke Suami Lalu Serahkan Diri ke Polisi","Kamis, 19 Mei  2022 18:53 WIB",polda metro jaya neneng umaya 24 menyerahkan membunuh nurdiani 26 neneng menceritakan pembunuhan nurdiani suaminya id 27 kabid humas polda metro jaya kombes endra zulpan neneng mencoba kabur membunuh membuang mayat korban neneng menyerahkan suaminya diinterogasi polisi polisi rumah tersangka cipayung jaktim hilangnya suaminya id polisi kedekatan korban id polisi memeriksa id nggak melarikan kepolisian rumah suaminya data kedekatan korban suaminya tersangka polisi pendalaman profiling korban orang terdekat bertemu korban suaminya tersangka zulpan wartawan kamis 19 5 2022 polisi komunikasi id petunjuk polisi menginterogasi id neneng umaya resah mengakui sang suami membunuh pendalaman suami tersangka tersangka resah menceritakan suaminya pelakunya zulpan pengakuan neneng polsek cengkareng menyerahkan situ enak menceritakan suaminya pembunuhan polsek cengkareng menyerahkan baca halaman neneng akui rencana pembunuhan gambas video 20detik halaman 1 2,www.detik.com
"Gagal Curi Motor Emak-emak, 2 Pria di Bekasi Nyaris Dikeroyok Warga","Senin, 27 Des 2021 20:35 WIB",pria berinisial i 44 ds 34 tepergok mencuri motor milik emak emak bernama lindawati 51 bekasi ditangkap warga dihajar massa pelaku mencuri motor korban diparkir jl wibawa mukti 5 rw 5 jatiluhur jatiasih kota bekasi senin 27 12 siang aksinya dipergoki dikejar warga kapolsek jatiasih kompol abriansyah harahap kejadian korban memarkir motornya lokasi pelaku mendekati motor korban melancarkan aksinya korban memarkir motor melintas pelaku berboncengan motor honda beat street f 4629 fdm abriansyah dikonfirmasi senin 27 12 2021 abriansyah pelaku memiliki tugas berbeda ds berperan mendekati motor korban pelaku i menunggu motor miliknya pelaku deni turun motor mendekati motor korban pelaku indra standby motor merusak lubang kunci motor korban aksi dipergoki saksi bernama sugiat sugiat berteriak pelaku meninggalkan motor korban pelaku motor korban merusak kunci kontaknya perbuatan pelaku saksi sugiat berteriak maling pelaku langsung meninggalkan motor korban kabur pelaku berhasil dihentikan massa abriansyah berhasil ditangkap pelaku diamuk massa pelaku diamankan polsek jatiasih beserta barang bukti menyertainya kunci leter honda beat warna merah putih nopol b 4323 klf milik korban honda beat streat warna hitam nopol f 4629 fdm milik pelaku pelaku berhasil diamankan barang buktinya imbuhnya penanganan kepolisian diperiksa polisi,www.detik.com
