Mati,Luka,KerugianBarang,KerugianUang,Pemerkosaan,Keparahan
0,0,1,400000000,0,parah
0,0,1,0,0,rendah
0,1,1,400000000,0,parah
0,1,400000000,400000000,0,parah
0,1,1,1,0,parah
0,0,1,400000000,0,parah
0,1,1,400000000,0,parah
0,1,1,0,0,sedang
0,0,1,1,0,sedang
0,1,1,400000000,0,parah
0,0,0,0,1,parah
0,0,3,1,0,parah
0,0,10,6,0,parah
0,0,1,0,0,rendah
0,0,7,0,0,parah
0,0,2,0,0,rendah
1,0,0,0,0,parah
0,0,0,0,0,rendah
0,0,1,0,0,rendah
0,0,16,1,0,parah
0,0,0,0,0,rendah
0,0,0,0,0,rendah
0,0,1,0,0,rendah
0,0,1,0,0,rendah
0,0,1,0,0,rendah
0,0,1,0,0,rendah
0,0,05,0,0,parah
0,0,1,1,0,sedang
0,0,7,0,0,parah
0,0,1,0,0,rendah
0,0,1,1,0,sedang
0,0,1,1,0,sedang
0,0,1,0,0,rendah
0,0,0,0,0,rendah
0,0,1,0,0,rendah
0,1,1,1,0,parah
0,1,7,1,0,parah
0,1,1,800000,0,parah
0,0,1,0,0,rendah
0,0,9,1,0,parah
0,0,1,0,0,rendah
0,0,1,28000000,0,parah
0,1,0,0,0,rendah
0,3,1,0,0,parah
0,0,1,0,0,rendah
0,1,1,1,0,parah
0,0,1,0,0,rendah
0,0,1,0,0,rendah
1,1,1,0,0,parah
0,0,1,18000000,0,parah
0,1,1,0,0,sedang
0,1,3,0,0,parah
0,0,1,1,0,sedang
2,0,1,0,0,parah
0,0,1,0,0,rendah
11,0,11,0,0,parah
1,1,5,1,0,parah
0,0,0,1,0,rendah
0,0,1,1,0,sedang
0,0,1,0,0,rendah
0,0,2,1,0,parah
0,0,1,0,0,rendah
0,0,1,0,0,rendah
0,0,1,0,0,rendah
0,0,1,0,0,rendah
0,0,0,1,0,rendah
0,0,1,0,0,rendah
0,0,2,38000000,0,parah
0,0,1,35000000,0,parah
1,1,0,0,0,parah
0,0,1,0,0,rendah
0,0,125,0,0,parah
0,0,1,1,0,sedang
0,0,0,0,0,rendah
0,0,1,0,0,rendah
0,0,1,1,0,sedang
0,0,1,1,0,sedang
