title,date,description,source
"
        Akhir Tragis Dini Nurdiani Dilaporkan Hilang Ditemukan Tewas    ","Sabtu, 14 Mei  2022 22:15 WIB",warga cengkareng jakarta barat dinyatakan tewas dibunuh polisi mencocokkan identitas sesosok mayat perempuan ditemukan jatisampurna bekasi jumat 295 minggu dinyatakan hilang polisi menangkap pelaku penemuan jasad perempuan jatisampurna bekasi keluarga melapor polisi harapan ditemukan sisi keluarga berikhtiar ikhtiar mencari manamana tangerang wanita riyan keluarga nggak amanaman,www.detik.com
"
        Sempat Diduga Salah Tangkap, 4 Terdakwa Kasus Begal Divonis 9-10 Bulan Bui    ","Senin, 25 Apr 2022 15:27 WIB",terdakwa terdakwa fikry abdul rohman randy apriyanto muhammad rizky sidang keempatnya digelar pengadilan negeri cikarang mengadili terdakwa terbukti sadar bersalah tindakan pidana pencurian tindakan kekerasan dakwaan penuntut hakim ketua chandra ramadhani membacakan vonis pn cikarang bekasi senin 2542022 hakim menjatuhkan putusan abdurrahman pidana penjara 10 terdakwa dijatuhi vonis penjara menjatuhkan pidana terdakwa fikri randy rizky pidana masingmasing sambung hakim hakim membacakan putusan keluarga terdakwa menahan air dibacakan vonis keluarga kecewa ruangan sidang jaksa menuntut muhammad fikry muhammad rizky randy apriyanto penjara abdul rohman dituntut 25 penjara sidang terpisah,www.detik.com
"
        Ulah Haji Gadungan di Makassar Curi Emas Emak-emak Modus Usir Jin    ","Jumat, 25 Mar 2022 07:00 WIB",basri haji gadungan ditangkap polisi wilayah btn selindo batangase kecamatan mandai kabupaten maros senin 213 berdasarkan catatan kepolisian pelaku total memiliki tujuh laporan polisi polsek pelaku lp polsek kanit resmob polda sulsel kompol dharma negara darma pelaku kerap beraksi wilayah makassar maros kabupaten gowa korbannya emakemak korban mudah terpedaya pelaku mengaku haji korban tahunya pelaku ngaku haji pas tangkap pengakuan pelaku haji dharma dharma pelaku beraksi pattallassang gowa mei 2021 pelaku menyasar rumah tangga alias emakemak memakai emas korban mengeluarkan gelangnya dibersihkan jinnya korban menolak berhasil didesak pelaku dharma pelaku berdalih ambil alat bagasi motor kabur sambungnya pelaku menipu wanita kawasan panakkukang makassar desember 2020 pelaku berdalih membeli rumah korban pelaku menuding rumah korban memiliki korban melepaskan perhiasan emas miliknya berwudhu tangan haji gadungan polisi menyita barang bukti sepasang anting cincin emas kalung polisi menyita barang bukti sepeda motor delapan unit handphone,www.detik.com
"
        Kasus Narkotika dan Asusila Libatkan Anak-anak di Bengkulu Masih Tinggi    ","Rabu, 06 Apr 2022 09:19 WIB",ketua pn bengkulu jon sarman saragih perkara pengadilan negeri januari maret 2022 135 perkara rinciannya 112 perkara pidana pidum 21 perkara tindak pidana korupsi perselisihan hubungan industrial phi perkara sdangkan 65 perkara narkotika disusul 20 perkara asusila pencabulan pemerkosaan prihatin pengadilan negeri bengkulu perkara narkotika asusila jon barubaru terdakwa asusila dewasa mahasiswa menyeret orangtua terdakwa mirisnya 16 perkara asusila menyeret anak umur terdakwa tingginya narkotika asusila bengkulu perhatian keluarga lingkungan masyarakat pemerintah perbuatan asusila kurangnya pengawasan orangtua keluarga kondisi dihindari kegiatan positif pengawasan pengawasan orangtua,www.detik.com
"
        Rampok-Paksa Wanita Buka Baju Modus Lowongan Kerja, Pria di Sumut Ditangkap    ","Kamis, 02 Des 2021 11:56 WIB",wanita labuhanbatu utara labura sumatera utara berinisial 23 korban peristiwa jalan perkebunan sei balai asahan jumat 26 november 2021 pelaku berinisial skt 24 ditangkap kapolres kasubag humas informasi pekerjaan ditawarkan berangkat rumahnya bertemu skt sei balai asahan lokasi korban menghubungi pelaku berboncengan diajak pelaku menemaninya mengutip angsuran koperasi arah perkebunan kelapa sawit charles diturunkan perkebunan sawit sepi skt merampas ponsel uang tunai mengancam pisau skt memaksa korban membuka baju buka bajumu awaskan pisau pelaku lengah korban lari pertolongan charles korban melapor polres asahan skt ditangkap rabu 112 skt melawan ditembak polisi,www.detik.com
"
        Jurnalis Banyuwangi Juga Demo Kecam Kekerasan Oknum Pengawal Menteri    ","Kamis, 18 Mar 2021 19:01 WIB",puluhan puluhan jurnalis tergabung wartawan banyuwangi bersatu organisasi wartawan ikatan jurnalis televisi indonesia ijti persatuan wartawan indonesia pwi aliansi jurnalis indonesia aji menggelar aksi damai kantor upt pmp2kp dinas kelautan perikanan provinsi jawa timur jalan barong banyuwangi demo membawa banner berisi aspirasi jurnalis terkait aksi arogansi diduga pengawal menteri kelautan perikanan bertuliskan sopan segan jurnalis dilindungi uu pers stop kekerasan jurnalis koordinator demo enot sugiarto aksi prihatin arogansi oknum pengawal menteri kkp jelasjelang melanggar uu nomor 40 1999 kebebasan pers enot wartawan kamis 1832021 aksi damai wartawan mendesak diusut tuntas sesuai undangundang pers mendesak presiden republik indonesia menginstruksikan jajaran kementerian bawahannya memahami kerjakerja jurnalistik imbuhnya ketua persatuan wartawan indonesia pwi banyuwangi syaifudin machmud tugas dilindungi undangundang presiden jokowi menginstruksikan jajaran kementerian bawahannya memahami tugas salah pegawai upt upt pmp2kp dinas kelautan perikanan provinsi jawa timur probo menemui wartawan demo berjanji aspirasi wartawan pimpinan atasnya,www.detik.com
"
        Polda Metro Ungkap Modus Perampok di Jaktim yang Berujung Polisi Dicopot    ","Senin, 27 Des 2021 17:22 WIB",menangkap pelaku perampokan perempuan bernama meta kumalasari pulogadung jakarta timur polisi mengungkap peristiwa perampokan selasa 7122021 1920 wib pelaku memepet korban dalih informasi ban mobil korban bocor pencurian pemberatan modus seolaholah ban mobil korban bocor menyampaikannya memepet kendaraan motor kabid humas polda metro jaya kombes zulpan mapolda metro jaya jakarta senin 27122021 total pelaku pelaku ditangkap berinisial 31 aam 40 43 pelaku buron berinisial pelaku menjalankan peran masingmasing aksi perampokan korban pelaku aam mendekati mobil korban memberitahu ban mobil korban gembos korban menepikan kendaraannya pelaku beraksi mengalihkan perhatian korban korban lengah pelaku menepikan kendaraan mengajak,www.detik.com
"
        Polisi Australia Mengamankan Kokain yang Mengambang di Perairan Newcastle    ","Rabu, 11 Mei  2022 15:24 WIB",sindikat kejahatan internasional berusaha menyelundupkan narkoba australia mengikatnya lambung kapal kargo terdeteksi kapal pelabuhan penyelam menjemput barang selundupan modus penyelundupan tergolong nekad terkuak penyelam mengambang air pelabuhan newcastle tempat kru kapal argentina menurunkan barang sekeliling pria dinyatakan meninggal tempat kemasan kokain bernilai puluhan juta dolar diduga penyelam perjalanan mengambil kokain kapal kargo bernama aretigr menemui hambatan detektif harga penjualan kokain sydney tertinggi dunia menjadikannya magnet pengedar narkoba internasional harga eceran kokain australia daya tarik pengedar narkoba internasional menargetkan komunitas komandan tim penyelidik kejahatan terorganisasi inspektur detektif rob critchlow operasi canggih melibatkan perpindahan komoditas dunia polisi mengidentifikasi penyelam meninggal tempat kejadian percaya perjalanan amerika selatan detektif pelabuhanpelabuhan mudah dijangkau sydney sasaran pengedar narkoba internasional sydney pasar inspektur critchlow khawatir pelabuhan newcastle wollongong negara new south wales kejahatan terorganisasi mencari titik lemah menargetkan pelabuhanpelabuhan pelabuhan memiliki pergerakan kapal truk mudah menyembunyikan narkoba polisi menyadari oknum menghindari pemeriksaan perbatasan menempelkan narkoba kapal operasi ironside serangan internasional mencegat pesan terenkripsi geng kriminal persembunyian air dunia inspektur angkatan perbatasan australia tony wheatley awak kapal narkotika ditempatkan lambung kapal tempat lambung kapal narkoba disembunyikan pejabat pasukan perbatasan menurunkan penyelam kapal air dioperasikan jarak memeriksa kapal pelabuhan australia polisi taktik dugaan newcastle kalinya sindikat mengimpor narkoba australia pekan pria sydney menghadap pengadilan tuduhan bersekongkol menyelundupkan kokain port botany nsw polisi federal australia afp menuduh orangorang sindikat kejahatan internasional mencoba membawa kokain disembunyikan ban dirantai kapal kargo diduga oktober 2019 pria penyelam berpengalaman mencoba mengambil ban kapal kargo berlabuh port botany menjatuhkannya dasar laut ban diambil penyelam polisi ditemukan kosong polisi menduga narkoba terlepas perjalanan australia diduga upaya mengimpor 30 kg kokain modus operandi penyelam polisi menemukan ban terpasang lambung kapal narkoba ditemukan selundupan diduga hilang laut pria sydney ketiga didakwa dugaan persekongkolan menghadap pengadilan newcastle pemeriksaan mayat penyelam amerika selatan ditemukan tewas senin pagi kemarin 0905 polisi menggeledah kapal menemukan kiriman aparat penegak hukum dugaan operasi penyelundupan upaya kelompok profesional terlatih mengirim narkoba kapal dunia inspektur critchlow persis lakukan indonesia berhasil penyitaan kokain terbesar tni angkatan laut menemukan kemasan plastik narkoba mengambang laut keterangan laksamana madya ahmadi heri purwono konferensi persempat bungkus plastik hitam berisi 179 kilogram kokain senilai 12 triliun rupiah 1186 juta ditemukan mengambang pelabuhan merak jawa minggu 0805 laksamana madya penyelundupan narkoba melemparkan paket pelampung laut taktik menduga kuat bungkus narkoba diangkut kapal pesiar diedarkan disita penyitaan kokain spektakuler nilainya dampak ditimbulkan peredaran narkoba masyarakat laksamana madya petugas paket 5000 personel tni dikerahkan mengamankan arus mudik idul fitri pbb indonesia pusat penyelundupan utama sindikat narkoba internasional menargetkan populasi mudanya badan narkotika nasional indonesia 56 juta pengguna narkoba indonesia 150 terpidana mati indonesia dihukum kejahatan narkoba sepertiga asing diproduksi natasya salim,www.detik.com
"
        Misteri Penjual Martabak di Pinrang Ditemukan Tewas Tergantung-Tangan Diikat    ","Minggu, 08 Mei  2022 06:01 WIB",penyidik memeriksa saksi mendalami penemuan mayat pria tewas tergantung kasat reskrim polres pinrang akp muhalis ditemui saksi diperiksa korban polisi menyebut menampung korban rekan berjualannya teman korban tetangga penjual lokasi korban menjual muhalis pemeriksaan saksi mendalami temuan mayat kondisi tangan terikat posisi kaki korban menyentuh tanah bunuh indikasi dibunuh selidiki memeriksa saksi petunjukpetunjuk bebernya muhalis mengaku enggan berspekulasi temuan mayat aksi massa pengrusakan lapak pedagang diduga pembunuh korban dalami dugaan penemuan mayat penemuan mayat dilaporkan warga jumat 65 1630 wita kampung cikkuale keluarahan langga kecamatan mattirosompe kabupaten pinrang korban bernama tomi menemukan mayat tangan terikat kasat reskrim polres pinrang akp muhalis konfirmasi korban ditemukan kondisi tewas tergantung tangan terikat gubuk sawah warga korban berasal pulau jawa identitas korban nama tomi bersuku jawa seharihari penjual martabak polisi lokasi kejadian korban dibawa rsud lasinrang diperiksa medis keterangan lengkap penyebab kematiannya korban divisum diperiksa medis tim inafis bebernya penemuan mayat heboh sekelompok massa penyerangan lapak pedagang kelurahan langnga kecamatan mattirosompe penyerangan diduga terkait pembunuhan pria ditemukan tewas tergantung tangan terikat penyerangan terekam video amatir warga beredar media sosial jumat 65 video beredar sekelompok massa berkumpul mengerumuni lapak berwarna biru massa merusak lapak berukuran 1x1 meter kursi kayu warga memukul lapak tangan menendangnya salah warga mencoba menghentikan aksi pengrusakan massa emosi berhenti melakukannya warga berkerumun merekam aksi perusakan lapak berdasarkan informasi dihimpun lurah langnga fahrun affandi dikonfirmasi lapak dirusak lapak penjual martabak sampingnya lapak milik korban pemilik lapak diduga menghilangkan nyawa korban kejadiannya 2100 wita,www.detik.com
"
        Pura-pura Jadi Satgas Corona, Pria Ini Gasak Emas Milik Nenek-nenek    ","Selasa, 10 Nov 2020 16:42 WIB",pencuri berinisial 43 melancarkan aksinya menyasar lansia berpurapura petugas satgas virus corona korban nenek berumur 60 tersangka inisial modusnya tersangka berpurapura petugas mengaku bantuan satgas covid19 wakapolres boyolali kompol ferdy kastalani wartawan keterangan pers mapolres boyolali selasa 10112020 ferdy peristiwa november 2020 pelaku melintas rumah korban pelaku korban rumahnya tersangka korban dinilai gampang diperdaya berumur 60 didatangi ditawarkan korban bantuan pemerintah terkait situasi kondisi pandemi covid19 terang ferdy tersangka mengajak korban alasan mengambil bantuan sosial kantor berangkat tersangka menyuruh korban melepaskan perhiasan dipakainya korban melepaskan cincin sepasang giwang dipakainya perhiasan ditaruh saku jaket tergantung lemari rumah korban menyimpan perhiasan tersangka korban dibawa tersangka 10 menit berjalan rumah korban korban diturunkan pinggir jalan alasan menjemput warga bantuan paparnya meninggalkan korbannya pinggir jalan pelaku rumah korban ketemu suami korban tua suami korban tersangka mengaku mengambil fotokopi kartu keluarga kk suami korban lengah pelaku rumah mencuri perhiasan saku jaket pelaku melarikan kejadian viral media sosial tim sapu jagad turun korban laporan hasil pengembangan dapatlah tersangka nama inisial ferdy tangan pelaku polisi menyita barang bukti unit sepeda motor milik pelaku uang tunai rp 15 juta hasil penjualan perhiasan korban polisi menyita pelat nomor palsu masker berlambang tnipolri sepatu dinas tnipolri celana standar dinas polri polisi menjerat pelaku pasal 362 kuhp ancaman hukuman maksimal penjara kesempatan pelaku perbuatan perhiasan jual rp 15 juta,www.detik.com
