Title,Date,Description,Source
BERITA FOTO: Kuat Ma'ruf Mengaku Diminta Ferdy Sambo Berbohong,"Selasa, 06 Des 2022 06:05 WIB",kuat dihadirkan jaksa penuntut jpu saksi pembunuhan berencana brigadir terdakwa richard eliezer bharada kuat maruf kuat sambo memintanya berbohong diperiksa provos mabes polri juli 2022 terdakwa pembunuhan nofriansyah yosua hutabarat brigadir kuat maruf menjalani sidang lanjutan pengadilan negeri pn jakarta selatan senin 5122022httpsassetkompascomcrops9ot1nyebqcuebjjvvcc8engtjtu0x00x0750x500dataphoto20221205638d72861d49fjpgkompascomkristianto purnomo terdakwa pembunuhan nofriansyah yosua hutabarat brigadir kuat maruf menjalani sidang lanjutan pengadilan negeri pn jakarta selatan senin 5122022 sambo wat cerita waktu diperiksa cerita magelang separuh kuat menirukan percakapannya sambo persidangan pengadilan negeri pn jakarta selatan senin 5122022 kuat menemuinya kantor provos sambo mantan kepala divisi profesi pengamanan kadiv propam mestinya terdakwa pembunuhan nofriansyah yosua hutabarat brigadir kuat maruf menjalani sidang lanjutan pengadilan negeri pn jakarta selatan senin 5122022httpsassetkompascomcropsgs7smnrleiszivkbtmicmmxc25u0x00x0750x500dataphoto20221205638d711d9a518jpgkompascomkristianto purnomo terdakwa pembunuhan nofriansyah yosua hutabarat brigadir kuat maruf menjalani sidang lanjutan pengadilan negeri pn jakarta selatan senin 5122022 sambo wat ngapain habis tutuptutup pintu habis tutup balkon ketemu dapur papar kuat menirukan percakapannya balkon suara tembakan tiarap suara tembakan kuat menirukan perintah sambo mendengar perintah kuat kebohongan kebohongan menutupi peristiwa penembakan rumah dinas sambo kompleks polri duren menewaskan yosua terdakwa pembunuhan nofriansyah yosua hutabarat brigadir kuat maruf menjalani sidang lanjutan pengadilan negeri pn jakarta selatan senin 5122022httpsassetkompascomcropschjhifqgxcvc6axvpyvywlkvspw0x00x0750x500dataphoto20221205638d7054f3ba5jpgkompascomkristianto purnomo terdakwa pembunuhan nofriansyah yosua hutabarat brigadir kuat maruf menjalani sidang lanjutan pengadilan negeri pn jakarta selatan senin 5122022 situ berbohong kuat penjelasan kuat hakim ketua majelis wahyu iman santoso lantas menyinggung kebohongan kuat terdakwa persidangan hakim wahyu diperintah sambo kuat konsisten kebohongan berbohong konsisten timpal hakim terdakwa pembunuhan nofriansyah yosua hutabarat brigadir kuat maruf menjalani sidang lanjutan pengadilan negeri pn jakarta selatan senin 5122022httpsassetkompascomcrops6od6zphwhqzl12kjzitbssb0vwy0x00x0750x500dataphoto20221205638d71b5f0d9bjpgkompascomkristianto purnomo terdakwa pembunuhan nofriansyah yosua hutabarat brigadir kuat maruf menjalani sidang lanjutan pengadilan negeri pn jakarta selatan senin 5122022 percaya percaya jujur serius hakim tertawa peristiwa pembunuhan yosua cerita putri candrawathi mengaku dilecehkan yosua magelang ferdy sambo marah merencanakan pembunuhan yosua melibatkan richard eliezer ricky rizal kuat maruf terdakwa pembunuhan nofriansyah yosua hutabarat brigadir kuat maruf menjalani sidang lanjutan pengadilan negeri pn jakarta selatan senin 5122022httpsassetkompascomcropsqfwnrhvgukmywbhgibwhom02pcy0x00x0750x500dataphoto20221205638d71b33a04bjpgkompascomkristianto purnomo terdakwa pembunuhan nofriansyah yosua hutabarat brigadir kuat maruf menjalani sidang lanjutan pengadilan negeri pn jakarta selatan senin 5122022 brigadir tewas ditembak rumah dinas sambo kompleks polri duren jakarta selatan juli 2022 perbuatannya richard eliezer ferdy sambo putri candrawathi ricky rizal kuat maruf didakwa melanggar pasal 340 kuhp subsider pasal 338 kuhp pasal 55 ayat ke1 kuhp pasal 56 ke1 kitab undangundang hukum pidana kuhp penulis irfan kamil editor bagus santosa,www.kompas.com
"Terungkap, Identitas Mayat Wanita Terikat Kabel di Tepi Sungai Barito Kalsel, Diduga DIbunuh","Senin, 19 Des 2022 15:09 WIB",identitas mayat wanita ditemukan tepi sungai barito kalsel terikat kabel terungkap hasil penyelidikan polres barito kuala kalimantan selatan kalsel mayat yp 52 kapolres barito kuala akbp diaz sasongko kepastian didapatkan pemeriksaan primer sekunder ciriciri khas korban identifikasi primer sidik jari sekunder berambut pirang cat kuku posisi tahi lalat tubuhnya korban berinisial yp akbp diaz sasongko keterangannya diterima senin 19122022 ciriciri korban diaz diperkuat keterangan keluarga mayat yp keluarga mengakui singkatnya korban yp warga jalan padat karya kelurahan sungai andai kecamatan banjarmasin utara ditemukan kondisi terikat kabel terbungkus plastik pembungkus mobil kuat dugaan yp korban pembunuhan diaz penyelidikan pelaku penyelidikan saksisaksi terkait diperiksa pungkasnya diberitakan mayat wanita kondisi terikat kabel terbungkus plastik ditemukan tepi sungai barito desa beringin kecamatan alalak kabupaten barito kuala kalsel jumat 16122022 ditemukan mayat identitas duga korban pembunuhan polisi membeberkan ciriciri mayat berambut pirang kutek,www.kompas.com
Seorang WNA Asal Timur Tengah Jadi Salah Satu Pembunuh Perempuan Bertato Kupu-kupu,"Kamis, 22 Des 2022 14:39 WIB",pria warga negara asing wna timur ditangkap polisi membunuh perempuan bertato kupukupu bernama elis sugiarti 49 pria timur rekannya warga negara indonesia membunuh elis membuang jasad korban ditemukan mengambang cisadane babakan kecamatan tangerang kota tangerang banten rabu 14122022 kapolres metro tangerang kota kombes zain dwi nugroho apel gabungan halaman polres metro tangerang kota kamis 22122022 zain kepolisian menahan ketiga pelaku dugaan pembunuhan elis pelaku asing warga negara indonesia zain ketiga pelaku lakilaki ditangkap daerah berbeda jakarta solo kepolisian lengkap identitas ketiga pelaku wna diberitakan mayat perempuan bertato kupukupu ditemukan mengambang cisadane kondisi korban ditemukan tertutup kain seprai hitam kondisi tangan terikat lakban mayat ditemukan warga mencari ikan perahu saksi melaporkan informasi polsek tangerang jenazah korban dibawa rsud kabupaten tangerang diautopsi berdasarkan hasil otopsi korban meninggal dunia akibat jeratan lehernya dapatkan hasil autopsi dokter forensik rumah sakit daerah rsud kabupaten tangerang hasil otopsi korban meninggalnya jeratan lehernya zain,www.kompas.com
Cerita Wali Kota Blitar Soal Perampokan: Istri Saya Diancam Ditelanjangi,"Selasa, 13 Des 2022 16:18 WIB",wali kota blitar santoso menceritakan detikdetik dirampok istri kamar rumah dinas senin subuh 12 desember 2022 perampok mengancam menelanjangi istrinya menolak letak brankas uang dirawat akibat penganiayaan pelaku perampokan santoso menceritakan peristiwa dialami duduk lantai menghadap timur tangan diborgol kaki diikat istri diperlakukan berdiri diikat menghadap utara santoso rumah dinasnya selasa 13 desember 2022 kondisi ditutup lakban santoso brankas penyimpanan uang brankas dimana bentak pelaku memiliki brankas santoso tempatnya celakanya jujur pelaku menduga santoso berbohong ditendang dipukul perut punggung tangan berhenti pelaku mengancam menelanjangi istrinya memberitahukan tempat penyimpanan uang memberitahu istri ditelanjangi berpikir keselamatan istri kasihan santoso khawatir keselamatan istrinya santoso pelaku membuka lemari kamar uang miliki disimpan uang honor acaraacara hadiri menurutnya pelaku mengobrakabrik isi lemari membawa uang tunai perhiasan diambil kalung cincin dipakai istrinya ciriciri pelaku santoso mengaku kondisi tidur tibatiba pelaku menyergapnya menutup matanya lakban wasono,www.tempo.co
Kemendikbudristek - Polri Kerjasama Cegah Tindak Pidana Pencurian Warisan Budaya,"Selasa, 13 Des 2022 19:50 WIB",kementerian pendidikan kebudayaan riset teknologi menggandeng divisi hubungan internasional polri mencegah tindak pidana pencurian warisan budaya kebendaan kerjasama tertuang penandatanganan direktur jenderal kebudayaan kemendikbudristek hilmar farid kepala divhubinter polri inspektur jendral khrisna murti jakarta selasa 13 desember 2022 penandatanganan bertempat kantor ditjen kebudayaan kemendikbudristek gedung lantai 4divisi hubungan internasional divhubinter polri inovasi upaya pencegahan perlindungan kepentingan nasional penanganan pelaku kriminal memiliki jaringan internasional terkait pencurian warisan budaya kebendaan indonesia krishna murti siaran persnya upaya krishna dilaksanakan sinergi ditjen kebudayaan kemendikbud ristek pencarian warisan budaya kebendaan indonesia negeri pencegahan warisan budaya kebendaan indonesia efek pencegahan pencurian warisan budaya kebendaan efektif jaringan interpol hilmar dikutip memanfaatkan jaringan interpol tingkat keamanan berjalan pencurian rangka meningkatkan upaya pencegahan meningkatkan upaya pencegahan pemberantasan tindak pidana pencurian warisan budaya kebendaan efektif khrisna murti memanfaatkan akses salah jenis basis data interpol i247 stolen works art purple notices memperoleh informasi data barang warisan budaya negara anggota interpol krishna memanfaatkan akses salah jenis data base interpol i247 stolen works art purple notices memperoleh informasi data barang temuan warisan budaya kebendaan negara anggota interpol data dibagi kementerianlembaga penegak hukum tujuan mencegah menanggulangi kejahatan transnasional khrisna berharap sinergi kementerian lembaga terkait ditingkatkan melindungi warisan budaya kebendaan informasi memasukkan warisan budaya kebendaan kedalam daftar barangbarang pengawasan internasional memperoleh informasi modus operandi tindak pidana jendral bintang,www.tempo.co
Polisi Periksa 30 Saksi terkait Kasus Perampokan di Rumah Dinas Wali Kota Blitar,"Kamis, 15 Des 2022 19:06 WIB",ke4 penyelidikan perampokan rumah dinas wali kota blitar jawa timur tim penyelidik kepolisian memeriksa 30 saksi menutup saksi diperiksa bertambah pemeriksaan saksisaksi diperiksa kapolres blitar kota akbp argowiyono tim gabungan bentukan kepolisian daerah jawa timur memeriksa 30 saksi upaya mengungkap perampokan rumah dinas wali kota blitar 30 saksi periksa argo wartawan kamis 15122022 argo membenarkan saksi diperiksa asisten rumah tangga personel satpol pegawai lingkungan pemkot blitar saksi korban tkp kejadian merujuk wali kota blitar santoso feti wulandari istri santoso personel satpol berjaga rumah dinas kesempatan argo membantah anggapan kepolisian mengalami kesulitan pengungkapan menghebohkan menurutnya rangkaian proses penyelidikan membutuhkan ketelitian jalannya penyelidikan bergerak positif menurutnya proses identifikasi terduga pelaku perampokan rumit proses identifikasi melibatkan pengujian sampel dna sidik jari terduga pelaku tertinggal tkp hasil uji sampel dicocokkan individuindividu identik data pencocokan berdasarkan perkiraan datanya valid menyimpulkan arahnya argo tim profesional perkiraanperkiraan pastikan keras kapolres blitar kota akbp argowiyono menemui wartawan halaman polres blitar kota senin 12122022httpsassetkompascomcropsp4mr8vzb6mnzk93k5zx4ywhwcm0x00x0750x500dataphoto20221215639adb784f245jpgkompascomasip hasani kapolres blitar kota akbp argowiyono menemui wartawan halaman polres blitar kota senin 12122022 argo menyebut kepolisian menyadari pengungkapan korban kepala daerah tim gabungan bentukan polda jatim bantuan teknis badan reserse kriminal bareskrim mabes polri diambil alih polda jatim backup bareskrim keras mengungkap argo diberitakan kawanan perampok menyatroni rumah dinas wali kota blitar senin 12122022 penyekapan wali kota santoso istri feti wulandari pelaku kabur membawa uang tunai rp 400 juta barang berharga perhiasan milik feti kawanan perampok penganiayaan santoso berupaya menemukan uang tunai barang berharga miliknya kepolisian membentuk tim gabungan dipimpin direktur reserse kriminal polda jawa timur kombes totok suharyanto mengungkap pelaku,www.kompas.com
"Saudara Sepupu Dibunuh di Tarakan, Pelaku Kecanduan Judi Online dan Bingung Mengganti Uang Ayahnya yang Habis untuk Taruhan","Selasa, 06 Des 2022 14:36 WIB",kepolisian resor tarakan kalimantan utara berhasil mengungkap pembunuhan bocah 17 arya gading ramadhan dilaporkan hilang april 2021 pembunuhan eg 23 dibantu istri eg bernama af 22 eg sepupu korban pelaku dibantu mn sahabat eg kasat reskrim polres tarakan iptu muhammad aldi pembunuhan arya gading ramadhan dipicu akibat pelaku kebingungan mengganti uang operasional pos kepiting milik ayahnya pelaku eg menggelapkan uang operasional pos kepiting milik ayahnya taruhan judi online aldi selasa 6122022 interogasi eg mengakui keluarga korban perselisihan cekcok keluarga korban istrinya keluarga korban pelaku keluarga korban membelikan susu anak pelaku imbuhnya memutuskan menculik korban eg tantenya korban menebusnya uang keluarga korban pelaku keluarga menyayangi korban keyakinan mendasari pelaku menculik korban tebusan rencana semulus dibayangkan membunuh sepupunya penyidik menggali terkait satreskrim polres tarakan kaltara berhasil mengungkap penculikan pemuda 17 arya gilang ramadhan dilaporkan hilang april 2021 menemukan petunjuk jejak korban keluarga korban mendengar desasdesus anaknya dibunuh polisi 27 november 2022 polisi menelusuri jejak korban menemukan jenazah korban terkubur kandang ayam areal kebun nanas jalan perumahan pns blok 01 kelurahan juwata permai tarakan utara 30 november 2022 jenazah terbungkus terpal dipendam lubang kedalaman 50 aroma busuk mayat tersamar banyaknya kotoran ayam tkp pembunuhan hasil penyelidikan ditemukan tersangka diduga kuat pelaku pembunuhan arya gading ramadhan ketiganya eg 23 sepupu korban af 22 istri eg mn 45 sahabat eg kasat reskrim polres tarakan iptu muhammad aldi eg membutuhkan uang mengganti uang operasional pos kepiting milik ayahnya tpi kelurahan juata laut muncul niat eg menculik korban tebusan uang rp 200 juta tua korban tantenya eg mengajak istrinya af korban kandang ayam milik keluarga korban korban eg menodongkan badik korban pondok mengikat tubuh korban kursi berniat video berisi ancaman permintaan tebusan keluarga korban af pulang kediamannya jembatan besi dipesan membeli tali rafia ikatan korban eg menelepon sahabatnya mn membantunya video imbuh aldi video selesai eg mn berdiskusi mengirimkan video korban memberontak eg geram tersulut emosi eg menikam paha kanan korban gelagat korban berontak mn menghasut eg menghabisinya mn berpikir korban dilepas melapor polisi sepakat membunuh korban leher korban dikalungi kabel bersamaan eg mn menariknya berlawanan arah korban bergerak eg menusukkan badiknya dada kiri korban memastikannya meninggal dunia aldi korbannya tewas membungkus tubuh korban terpal menyeretnya perkebunan nanas lokasi lubang parit digalinya kedalaman 50 mengubur mayat korban membersihkan tkp menyikat menyiram bekas darah korban menghilangkan jejak imbuhnya tersangka polisi mengamankan barang bukti kejahatan masingmasing kabel kawat hitam kursi diduduki korban peristiwa pembunuhan tali rafia pakaian dikenakan korban pasal disangkakan pembunuhan berencana pasal 340 pasal 338 ancaman pidana hukuman mati seumur hidup tutup aldi,www.kompas.com
"2 Pria yang Rampas Perhiasan Lansia di Ngawi Ditangkap, Modusnya Pura-pura Bertanya Alamat","Senin, 12 Des 2022 23:55 WIB",personel polres ngawi menangkap komplotan perampok perhiasan mengincar lansia wilayah kapolres ngawi akbp dwiasi wiyaputera pelaku berinisial hg 34 31 warga kabupaten madiun dwiasi menyebut pelaku merampas perhiasan emas lansia modus purapura arah jalan jalan warga diincar sasaran aman menarik perhiaasan dipakai warga kabur sepeda motor dwiasi polres ngawi senin 12122022 dwiasi pelaku mencuri perhiasan emas milik sw 60 warga desa krompol kecamatan beringin senin 14112022 pelaku menggasak kalung emas seberat delapan gram korban rumah pelaku purapura arah jalanke wadu pondok tibatiba pelaku menarik perhiasan emas korban pelaku hg menarik kalung emas milik korban posisinya diatas motor kabur imbuhnya dwiasi polisi terpaksa menembak pelaku berusaha kabur ditangkap pelaku ditetapkan tersangka dijerat pasal 365 kuhp ancaman hukuman pidana 12 pelaku amankan sepeda motor melakuakn aksi kalung emas milik korban ponsel helm jaket aksi ancaman hukuman penjara 12 dwiasi,www.kompas.com
"Perampok di Rumdin Wali Kota Blitar Gunakan Atribut Satpol PP dan Korpri, Polisi: untuk Kesan Keterlibatan ‘Orang Dalam’","Kamis, 15 Des 2022 18:13 WIB",polisi perampokan rumah dinas wali kota blitar jawa timur senin 12122022 direncanakan matang penggunaan atribut seragam pegawai lingkungan pemerintah topi korpri seragam satuan polisi pamong praja satpol mobil berpelat merah kapolres blitar kota akbp argowiyono penggunaan atribut satpol korpri kawanan perampok perampokan rumah dinas wali kota blitar terencana matang pola direncanakan pelat dinas argo wartawan kamis 15122022 sisi penggunaan atributatribut identik kedinasan lingkungan pemerintah daerah mempersulit penyelidikan kepolisian argo penggunaan atribut memunculkan kesan keterlibatan memunculkan asumsiasumsi seolaholah keterlibatan dipikirkan pernyataan argo terkait beredarnya video rekaman cctv sosok salah terduga pelaku membuka pintu gerbang rumah dinas wali kota blitar berbadan tegap pria rekaman video memakai sepatu boots pakaian identik seragam personel satpol argo membenarkan pria terekam membuka pintu gerbang salah terduga pelaku personel satpol bertugas menjaga rumah dinas keterangan pelaku petugas satpol dilumpuhkan suasana rumah dinas wali kota blitar jalan sodanco supriyadi nomor 18 kota blitar disatroni kawanan perampok selasa 13122022httpsassetkompascomcropsfrilnlfmw00qldentqvdtz6m6sm0x00x0750x500dataphoto20221213639803062ce43jpgkompascomasip hasani suasana rumah dinas wali kota blitar jalan sodanco supriyadi nomor 18 kota blitar disatroni kawanan perampok selasa 13122022 profiling pelaku argo tim penyelidik gabungan profiling pelaku perampokan berdasarkan buktibukti dimiliki menolak memerinci hasil profiling identifikasi menggambarkan proses profiling rumit banyaknya kemungkinankemungkinan bukti data uji laboratorium forensik tim inafis berproses upaya mengerucutkan data sidik jari dna sampel tertinggal tempat kejadian perkara tkp menunggu hasil uji labfor data inafis terkait pengujian sampel dna sidik jari tertinggal tkp sidik jari pola tergantung kualitas sampel sidik jari hasil mengarah sekian kemungkinankemungkinan argo pekerjaan identifikasi memakan waktu lantaran proses pencocokan manual data argo menyebut proses penyelidikan positif menampik anggapan kepolisian mengalami kesulitan sehari selesai diberitakan kawanan perampok menyatroni rumah dinas wali kota blitar senin 12122022 penyekapan wali kota santoso istri feti wulandari pelaku kabur membawa uang tunai rp 400 juta barang berharga perhiasan milik feti kawanan perampok penganiayaan santoso berupaya menemukan uang tunai barang berharga miliknya kepolisian membentuk tim gabungan dipimpin direktur reserse kriminal polda jawa timur kombes totok suharyanto mengejar pelaku,www.kompas.com
"Gelapkan Truk Majikan dan Mengirimnya Keluar Pulau, Seorang Sopir Truk Dibekuk Polisi","Jumat, 02 Des 2022 14:06 WIB",satreskrim polres tarakan kalimantan utara berhasil mengamankan ar 44 sopir kota tarakan mencoba menggelapkan truk milik majikannya kasat reskrim polres tarakan iptu muhammad aldy ar kabur kota berau kalimantan timur pasca dilaporkan majikannya november 2022 ar dilaporkan terlibat menjual unit mobil dump truk nomor polisi 8360 gd milik majikan tempat ar berhasil menyeberangkan truk kabupaten tana tidung jumat 2122022 aldy melanjutkan polres tarakan penyelidikan lokasi pelarian ar area berau koordinasi polsek talisayan kabupaten berau ar berkutik dibekuk polisi lokasi ar polisi informasi mencoba menjual dump truk roda enam calon pembeli mencium kejanggalan mencoba mengecek truk pelabuhan feri imbuhnya calon pembeli agen penjual tiket keterangan truk dikirim ar kapal feri tarakan tana tidung ar mencatut nama majikan pemilik truk meloloskannya kapal ferry ar menjual truknya memilih kabur aldi peristiwa majikan ar mengalami kerugian rp 225 juta ar sangkakan pasal 372 kuhp penggelapan tutupnya,www.kompas.com
