title,date,description,source
"
        Murka Kapolda Metro ke Polisi Jaktim yang Tangani Korban Rampok    ","Rabu, 15 Des 2021 05:59 WIB",jakarta timur provos lakukan sidang disiplin tuntut mutasi area polda metro jaya fadil rapat gangguan kamtibman polda metro jaya senin 1312 fadil menyayangkan sikap aipda rudi berempati korban perampokan kabid propam awasi sentra pelayanan kepolisian terpadu spkt loket pelayanan masyarakat masyarakat melapor dilayani menyakiti hati masyarakat fadil irwasda kabid propam spktspkt tolong ditertibkan kapolres fadil fadil mengultimatum anggotanya kejadian terulang catat anggota menodai kemurnian profesi kabid propam jajaran tuntut hukuman mutasi area fadil,www.detik.com
"
        2 Anggota Brimob Tersangka Pembunuhan Pegawai Dishub Makassar Disidang Etik    ","Kamis, 26 Mei  2022 10:12 WIB",berkas terduga pelanggar selesai kabid humas polda sulsel kombes komang suartana suartana chaerul akmal sulaiman penahanan satreskrim polrestabes makassar diambil alih propam polda sulsel sidang kode etik polri tinggal nunggu sidang kode etik suartana disinggung tepatnya pelaksanaan sidang kode etik polri suartana propam polda sulsel mengajukan permohonan sidang kapolda sulsel irjen nana sudjana tunggu kabid propam mengajukan kapolda kombes suartana chaerul akmal sulaiman oknum anggota brimob terlibat pembunuhan najamuddin samasama membantu dalang pembunuhan kasatpol makassar nonaktif iqbal asnan mengeksekusi mati korban tersangka sulaiman oknum polisi menemui iqbal asnan ruangannya balai kota makassar pembunuhan iqbal mencari berani membunuh korban sulaiman chaerul akmal pembunuhan caherul mengeksekuki korban najamuddin pertigaan jalan manunggal 22 jalan danau tanjung bunga makassar 1054 wita minggu 34 sulaiman berperan menyediakan senjata api chaerul menembak mati korban rela pekerjaan kotor membunuh korban dijanjikan upah rp 200 juta,www.detik.com
"
        Cerita Mengerikan Korban KKB Papua Saat Ditembak dari Gunung, Temannya Tewas    ","Selasa, 17 Mei  2022 03:00 WIB",ditembak gunung pakai sniper anwar ditemui kediamannya wilayah kecamatan pallangga senin 1652022 malam anwar meluruskan pernyataan kepolisian menyebut dihadang anggota kkb anwar kejadian dihadang sepulang mengantar penumpang suara tembakan penghadangan duluan jatuh motor terjatuh berdaya bantuan aparat membawanya rumah sakit truk anwar sadar rekan seprofesinya meninggal dunia sadar mobil korban meninggal anwar mengaku luka bekas tembakan kepalanya rasakan anwar sadar rumah sakit memegang kepalanya berlubang luka tembak kepala dirasakan rambutku tercabut rumah sakit pakai helm bocor kepala tembus peluru helm kepala bebernya akibat penembakan korban anwar lumpuh kakinya hak rasakan tangannya cuman kaki tangan goyang lumpuh anwar wartawan anwar kondisi rasakan menjalani operasi selebihnya anwar mengalami gangguan ingatannya normal normal diberitakan anwar sauki diserang kampung lumbuk distrik nambut selasa 124 1000 wit perjalanan pulang korban tibatiba diserang dikenal otk anwar koma rumah sakit penembakan korban tertahan keluarga kesulitan memenuhi biaya pengobatan rencana pemulangan korban kendala dananya bantuan pemerintah donasi sekeluarga sepupu korban nur alamsyah ditemui rekan anwar warga toraja bernama saleno lolo korban nasib saleno nasib anwar korban saleno lolo tewas akibat menderita luka tembak rusuk sebelah kanan korban saleno dipulangkan dimakamkan toraja,www.detik.com
"
        Guru SD di Bulukumba Dipolisikan Perkosa Bocah 10 Tahun di Rumah-Sekolah    ","Senin, 02 Mei  2022 17:29 WIB",laporan pidana pemerkosaan kamaruddin ayah korban konfirmasi senin 252022 korban laporan polisi ppa polres bulukumba jumat 294 pekan surat tanda terima laporan polisi korban teregistrasi nomor sttlpb272iv2022spktpolres bulukumbapolda sulawesi selatan dibuli temantemannya situ terungkap ceritanya tahan dibuli korban mengadu guru mengajinya korban pemerkosaan guru peristiwa dugaan pemerkosaan kamaruddin korban mengadu kamaruddin pemerkosaan rumah februari 2022 pemerkosaan sekolah puasa februari korban diperkosa rumah kalinya puasa sabtu 23 april kantor sekolah kamaruddin mendengar pengakuan korban kamaruddin melaporkan kepala dusun terlapor tinggal desa korban jumat 294 kamaruddin laporan polisi polres bulukumba melapor polres bulukumba,www.detik.com
"
        Wanita Tewas Korban Perampokan Sadis di Bone Dibunuh Pelajar Dendam    ","Selasa, 15 Mar 2022 15:18 WIB",pelaku inisial pelajar 16 kapolres bone akbp ardiansyah wartawan selasa 1532022 ardiansyah kedapatan mencuri rokok kios korban korban mengancam melaporkan polisi keluarganya pelaku maaf korban melaporkan ardianysah aksi pencuriannya diungkap korban lantas rumah mengambil pisau dapur diselipkan pinggang sebelah kanan kios korban pelaku jengkel menikam kepala korban korban lari rumah ardiansyah situ menyusul korban rumah pelaku menyerang korban tewas pelaku mendekat arah korban mengambil parang milik korban tersimpan dapur memerangi korban korban meninggal dunia diberitakan korban diduga meninggal diduga mempertahankan uang rp 45 juta emas 50 gram polisi barang berharga korban digasak disembunyikan rumah korban kehilangan uang emas uangnya lemari korban ardiansyah ardianyah pembunuhan korban murni pelaku jengkel korban pembunuhan pelaku jengkel korban kedapatan mencuri rokok diancam korban lapor polisi dilaporkan tante pelaku pelaku takut malu ketahuan ardiansyah diberitakan korban ditemukan tergeletak rumahnya desa pattiro kecamatan boccoe bone 0900 wita senin 143 ditemukan kondisinya bersimbah darah diduga perampokan malam korban tinggal rsud tenriawaru menyebut murniati total mengalami 13 luka ke13 luka didominasi luka kepala korban hasil visumnya kepala 13 titik luka kepala tulang kepala retak humas rsud tenriawaru ramli kepala luka menganga alis kiri korban telapak tangan kanan punggung luka tangan kiri korban badan visum memeriksa memeriksa memeriksa penyebab kematian penyebab kematian ditahu autopsi,www.detik.com
"
        Polisi Akan Periksa Kejiwaan Pria Bunuh Waria dengan Sadis di Minahasa    ","Senin, 02 Mei  2022 13:24 WIB",pemeriksaan kejiwaan jadwalkan habis lebaran pekan polda libur ambil psikologi polda periksa kanit pidum polres minahasa aipda endro purnomo konfirmasi pemeriksaan kejiwaan pelaku menghabisi korban sadis endro menemukan organ tubuh korban terpisah pembunuhan pelaku rk sabtu 304 0530 wita terbilang sadis pelaku memukul kepala korban martil pecah tengkorak kepala pelaku menusuk korban gunting pelaku melukai dada korban menarik jantung korban pelaku menghabisi korban dinilai mengkhwatirkan membabibuta khawatirkan sambung endro,www.detik.com
"
        Hari Ini Polisi Rekonstruksi Eks Kasatpol PP Makassar Bunuh Pegawai Dishub    ","Kamis, 19 Mei  2022 05:30 WIB",rekonstruksi jam 10 pagi kapolrestabes makassar kombes budi haryanto budi rekonstruksi lokasi kejadian rekonstruksi pembunuhan runut sesuai kejadian kombes budi rekonstruksi tersangka iqbal asnan dihadirkan tersangka sahabuddin asri eks pegawai pemkot makassar dihadirkan tersangka oknum anggota brimob polda sulsel bernama sulaiman chaerul akmal tersangka dihadirkan cetus budi najamuddin sewang tewas ditembak melintas pertigaan jalan danaujalan manunggal 22 kecamatan tamalate makassar 1054 wita minggu 34 penembakan terekam kamera cctv diambil arah jalan manunggal 22 menyorot jalan danau tanjung bunga cctv berdurasi menit 20 lokasi kejadian pertigaan jalan masjid cheng hoo maccini sombala kecamatan tamalate kota makassar video menampilkan mobil minibus melintas korban melintas mengenakan sepeda motor berjaket cokelat pengendara motor berjaket kuning mendahului korban korban didahului pengendara motor korban tibatiba kehilangan keseimbangan petugas dishub makassar oleng arah kanan terjatuh jalan korban terjatuh bergerak berupaya bangkit pengguna jalan korban terjatuh mendekati korban berdaya diamankan pinggir jalan kasatpol makassar muhammad iqbal asnan geger ditangkap terkait pembunuhan najamuddin iqbal dalang mengotaki pembunuhan najamuddin iqbal asnan diringkus jalan muhammad tahir makassar 1600 wita sabtu 164 iqbal digelandang markas brimob polda sulsel jalan ks tubun kasatpol iqbal ditangkap kombes budi haryanto budi iqbal asnan terlibat cinta segitiga korban najamuddin iqbal sakit hati merencanakan pembunuhan korban motif pelaku cinta segitiga budi budi penembakan maut kaitannya instansi murni permasalahan pribadi korban pelaku motif pribadi kombes budi haryanto iqbal asnan pembunuhan dibantu oknum polisi brimob bernama sulaiman chaerul akmal sulaiman eksekutor penembakan akmal pemilik senjata api menembak korban oknum polri kabid humas polda sulsel kombes komang suartana suartana oknum polisi terlibat pembunuhan masingmasing berinisial sl eksekutor penembakan polisi ditulis hkm alias akm kendati peran polisi terungkap spesifik membantu eksekutor intinya membantu pembunuhan kombes suartana oknum polisi iqbal asnan dibantu oknum pemkot makassar pembunuhan masingmasing berinisial oknumnya pemda kepala satpol iqbal asnan suartana,www.detik.com
"
        Kesal Rekannya Dipaksa Oral Seks, 2 Pemuda di Makassar Curi Motor Pria    ","Rabu, 27 Apr 2022 21:20 WIB",pelaku pencurian sepeda motor amankan aksinya salah rekan pelaku korban terkait oral seks kapolsek ujung pandang kompol ardy yusuf keterangannya ardy pelaku diamankan jalan balai kota makassar selasa malam 244 polisi mengamankan unit sepeda motor hasil curian pelaku pelaku berhasil mengamankan barang bukti unit motor yamaha fino dd 5848 pelaku beserta barang bukti diamankan kantor kompol ardy korban inisial memarkir sepeda motornya jalan slamet ryadi berjalan kaki taman macan menemui pria berinisial mengajaknya berbuat mesum parkir kendaraannya korban bermain skateboard taman macan korban bertanyatanya mengajak berbuat mesum oral sex mendengar ajakan korban mengenal korban lantas menolak memilih pergi menghalangi cekcok berkelahi perkelahian bantuan rekanrekannya rekan lantas membantu pelaku fandi ishak zulkifli bantuan temannya grup datanglah temannya pelaku fandi ishak zulkifli sose untungnya korban kabur tinggalkan motornya parkir bebernya situ niat jahat membawa kabur motor milik muncul benak pelaku membawa kabur motor tempat timbul niat pelaku mengambil sepeda motor korban menyimpannya samping museum berselang menit korban jalan slamet ryadi mengambil sepeda motornya tenyata sepeda motor miliknya hilang korban mengambil sepeda motornya hilang melaporkan peristiwa ardy,www.detik.com
"
        Polisi Tangkap Komplotan Curanmor di Luwu Utara, 28 Motor Curian Disita    ","Jumat, 08 Apr 2022 02:00 WIB",28 unit kendaraan roda berhasil diamankan tersangka kapolres luwu utara akbp alfian nurnas alfian melancarkan aksinya februari 2021 maret 2022 menyasar kendaraan warga wilayah kecamatan sukamaju kecamatan bonebone luwu utara menjalankan aksi peran berbeda bertugas berjagajaga jalan mengecek motor sasaran alfian nurnas alfian pelaku berkeliling wilayah bonebone sukamaju pelaku kerap mengincar kendaraan terparkir teras rumah warga motor terkunci leher sasaran empuk pelaku alfian nurnas membeberkanpenangkapan tersangka rekaman cctv merekam aksi pencurian menyebut 28 unit motor disita dikejar polisi kabupaten kolaka utara kecamatan tomoni burau kabupaten luwu timur polisi berharap masyarakat waspada tindak kejahatan pencurian memperhatikan keamanan kendaraan salah satunya warga perangkat kunci lupa mengunci leher kendaraan terparkir,www.detik.com
"
        Maling Modus Servis Kompor Curi Emas-Permata Warga di Soppeng    ","Sabtu, 28 Mei  2022 04:32 WIB",49 gram emas permata hilang kerabat korban ami ks dalle aksi pencurian dusun amessangeng desa goarie kecamatan marioriwawo kabupaten soppeng rabu 2552022 ami pencurinya diduga melancarkan aksinya pelaku tugas pelaku berpurapura memperbaiki kompor gas menunggu rumah korban rumah informasi dihimpun aksi pencurian dusun amessangeng pencuri membidik rumah ditinggali korban kampung ratarata tinggal rumahnya melapor polisi ami terpisah kapolres soppeng akbp santiaji kartasasmita mempersilakan korban melaporkannya kantor polisi mengatensi korban laporkan polres soppeng lidik santiaji masyarakat soppeng berhatihati menerima tamu menerima tamu dikenali antisipasi kejadian amessangeng daerah,www.detik.com
