title,date,description,source
4 Negara Ini Diklaim Larang Klub-klubnya Beli Pesepakbola Rusia,"Kamis, 07 Jul 2022 14:20 WIB","\-

Situasi politik terkait memunculkan klaim bahwa ada empat negara yang melarang
klub-klubnya membeli dari negaranya Vladimir Putin tersebut.

Klaim itu dilontarkan oleh German Tkachenko, seorang agen pesepakbola.
Menurutnya, ada tekanan politis kepada klub-klub sepakbola di Inggris, Jerman,
Swiss, dan Amerika Serikat.

Menurut Tkachenko, klub di keempat negara tersebut dilarang mendatangkan
pemain atau pelatih sepakbola yang berasal dari Rusia.

ADVERTISEMENT

SCROLL TO RESUME CONTENT

""Ada tekanan langsung dari otoritas politik dan birokratik kepada klub dan
federasi... Saya tahu bahwa di Amerika, Jerman, Inggris, dan Swiss ada
instruksi khusus tidak mendatangkan pelatih dan pemain sepakbola dari Rusia,""
katanya seperti dilansir _RT.com._

Ini adalah imbas lanjutan dari invasi Rusia ke Ukraina. Klub-klub sepakbola
dari Rusia sendiri sudah dilarang berkecimpung dari kompetisi di bawah naungan
FIFA dan UEFA.

Tkachenko juga menambahkan bahwa di ajang olahraga lain seperti Wimbledon pun
para petenis dari Rusia dan Belarusia sudah dilarang tampil pada gelaran tahun
ini. Panitia Wimbledon menyebut hal itu sebagai arahan dari pemerintah
Inggris.

""Dan kami percaya bahwa saat ini, karena alasan-alasan politis, transfer
pesepakbola Rusia ke Eropa masih belum realistis,"" ujar Tkachenko.

Di sisi lain, Tkachenko menyebut bahwa situasinya perlahan sudah membaik buat
pesepakbola Rusia. Ia menyebut bahwa klub-klub Spanyol dan Italia, dan
segelintir di Jerman, sudah melunak.

 ",www.detik.com
"Duh, Tontowi Ahmad Ternyata Masih Suka Mimpi Bertanding","Rabu, 20 Mei  2020 20:30 WIB","\-

Tontowi Ahmad telah resmi pensiun. Tapi walaupun sudah gantung raket, kenangan
Owi semasa aktif bertanding di lapangan bulutangkis dulu rupanya masih suka
hadir dalam mimpi.

Tontowi Ahmad pensiun seiring dengan ucapan perpisahan yang ia sampaikan
melalui media sosial Instagram. Dia berterima kasih sekaligus mengucapkan
selamat tinggal pada dunia bulutangkis yang telah membesarkan namanya.

Bersama Liliyana Natsir, Tontowi Ahmad menjadi salah satu ganda campuran
terbaik sekaligus andalan Indonesia mendulang medali emas di berbagai
turnamen, baik single event maupun multievent.

ADVERTISEMENT

SCROLL TO RESUME CONTENT

Mereka telah menyumbang banyak gelar bergengsi seperti tiga gelar hat-trick di
All England 2012, 2013 dan 2014, gelar juara dunia tahun 2013. Puncaknya
adalah raihan emas di Olimpiade Rio de Janeiro 2016. Tontowi/Liliyana kembali
merebut gelar juara dunia pada tahun berikutnya.

Momen-momen itu pula yang secara tak sadar kerap dirindukan Tontowi Ahmad.
Sampai-sampai terbawa ke dalam alam mimpi.

""Ternyata cik Butet nggak pernah mengalami (sampai terbawa mimpi). Mungkin
tiap pemain beda-beda ya ha ha ha,"" kata Tontowi dalam rilis yang diterima
detikSport, Rabu (20/5/2020).

""Tapi yang pasti momen juara itu hal terbaik dalam hidup saya. Saya bisa
mewujudkan cita-cita sendiri dan orang tua yang mau anaknya dapat emas
olimpiade, juara dunia, juara All England. Saya bersyukur bisa membuat
keluarga saya bangga.""

Dari sejumlah deretan prestasinya yang mentereng, hanya medali emas Asian
Games yang belum digenggamnya. Pada Asian Games 2014 di Incheon,
Tontowi/Liliyana meraih medali perak, sedangkan pada Asian Games 2018 di
negeri sendiri, pasangan ini mempersembahkan medali perunggu.

 _(Selanjutnya: Momen paling berkesan dalam karier Tontowi Ahmad)_

Selanjutnya __

Halaman

1  2

 ",www.detik.com
Pesan Polisi untuk Bobotoh Jelang Duel Persib Vs PSS,"Kamis, 30 Jun 2022 13:30 WIB","\-

Persib Bandung akan melakoni laga kandang dalam perempat final Piala Presiden
2022. Polisi telah mengeluarkan rekomendasi agar pertandingan digelar tanpa
penonton.

Selain digelar tanpa penonton, rekomendasi yang keluar juga pertandingan
dilaksanakan di Stadion si Jalak Harupat, Kabupaten Bandung. Rekomendasi tanpa
penonton ini keluar imbas dari insiden maut di Stadion GBLA.

""Polda Jabar telah memberikan rekomendasi kepada panitia berupa pelaksanaan
pertandingan tanpa penonton dan dilaksanakan di Jalak Harupat,"" ucap Kabid
Humas Polda Jabar Kombes Ibrahim Tompo saat dikonfirmasi, Kamis (30/6/2022).

  

Dalam laga perempat final Piala Presiden, Persib akan menghadapi PSS Sleman.
Sebagai juara Grup C, Persib berhak menjadi tuan rumah berdasarkan regulasi.

Ibrahim menambahkan, rekomendasi tanpa penonton ini juga sesuai dengan sanksi
yang diberikan Komdis PSSI kepada tim berjuluk 'Maung Bandung'.

Oleh karena itu, Ibrahim meminta Bobotoh tidak datang ke stadion Si Jalak
Harupat. Bobotoh diminta hanya menyaksikan pertandingan dari rumah.

""Ya seperti pertandingan dua lainnya (di Grup C) sudah tidak ada penonton.
Jadi memang kami imbau kepada pendukung sebaiknya menonton di rumah saja dan
tidak datang ke stadion,"" katanya.

Seperti diketahui, dua Bobotoh Sofian Yusuf dan Ahmad Solihin meninggal dunia
saat pertandingan Persib Bandung vs Persebaya Surabaya dalam lanjutan Piala
Presiden di Grup C.

Imbas dari insiden tersebut, sejumlah orang diperiksa. Bahkan Persib mendapat
sanksi dari Komdis PSSI atas insiden tersebut.

 ",www.detik.com
Hantu Menakutkan Bagi Persib Itu Bernama Adu Penalti,"Sabtu, 02 Jul 2022 12:30 WIB","\-

Persib Bandung tersingkir dari Piala Presiden 2022 usai kalah 2-4 dari PSS
Sleman lewat adu penalti setelah di 90 menit waktu normal bermain imbang 1-1.
Persib memang sejak awal sangat menghindari jika pertandingan ini berakhir
dengan adu penalti.

Menggunakan format satu pertandingan, babak perempat final digelar hanya 90
menit tanpa ada perpanjangan waktu atau extra time. Jika imbang di waktu
normal, pertandingan dilanjut ke babak adu penalti.

Hal itulah yang kemudian dihindari oleh pelatih Persib Robert Albert. Robert
sebelumnya sudah mewanti-wanti agar laga melawan PSS di babak perempat final
Piala Presiden tidak dilanjut ke adu penalti

  

Adu penalti ibarat hantu menakutkan bagi Persib. Sehingga, Persib sangat
menghindari agar adu tos-tosan ini terjadi.

""Kami harus memastikan besok laga tidak harus diakhiri melalui adu penalti,
kami berusaha menuntaskan laga dalam 90 menit dan melihat ke depan untuk
melaju ke semifinal,"" kata Robert, Kamis (30/6) kemarin.

Benar saja, hal yang ditakutkan Robert terjadi. Laga melawan PSS harus
diakhiri adu penalti karena skor imbang 1-1 bertahan hingga 90 menit waktu
normal. Keberuntungan belum memihak kepada klub berjuluk 'Maung Bandung' di
babak adu penalti itu.

Dua dari empat penendang Persib gagal mengeksekusi penalti. Marc Klok
mengawali tendangan dengan mulus yang dibalas pemain PSS Ze Valente.
Selanjutnya Erwin Ramdani yang menjadi penendang kedua gagal. Tendangannya
ditepis M Ridwan.

Sementara penendang kedua PSS Bagus Nirwanto sukses memperdaya Fitrul Dwi
Rustapa. Rachmat Irianto yang jadi penendang ketiga membawa asa bagi Persib
dengan berhasil mengeksekusi penalti.

Selanjutnya __

Halaman

1  2

 ",www.detik.com
Langkah PP PBSI Cegah Atlet Keracunan Makanan di Indonesia Open 2022,"Senin, 13 Jun 2022 19:30 WIB","\-

menyiapkan langkah untuk mencegah atlet keracunan makanan di . Diharapkan tak
ada insiden seperti yang terjadi di .

Sebelumnya sejumlah atlet dari Malaysia dan Thailand dikabarkan mengalami
keracunan makanan. Hal ini kemudian menjadi noda gelaran Indonesia Masters
karena mendapat sorotan tajam, terutama dari publik Malaysia.

Apalagi atlet Malaysia Juan Shen Low sampai melaporkan insiden yang dialaminya
secara live di akun media sosial miliknya. Ia menyebut makanan yang
dikonsumsinya tidak bersih.

ADVERTISEMENT

SCROLL TO RESUME CONTENT

Menanggapi situasi itu, PP PBSI bergerak dengan melakukan investigasi.
Kemudian disiapkan juga aturan buat atlet buat konsumsi makanan selama gelaran
.

""Itu yang diduga keracunan makanan, mereka sudah tidak akan bertanding. Jadi
kalau ada kecurigaan itu sengaja untuk apa? Mereka sudah kalah, sudah tidak
akan bertanding di hari berikutnya,"" kata Sekjen PP PBSI Fadil Imran saat
memberikan keterangan pers, Senin (13/6/2022).

""Hasil investigasi sementara, mereka itu keluar. Makan di luar, tidak makan
yang disiapkan oleh hotel. Kenapa dia bisa makan di luar? Pemain Malaysia yang
hadir itu bukan mewakili BAM (Asosiasi Badminton Malaysia), tapi pemain
perseorangan,"" ujarnya menambahkan.

Dijelaskan Firman, nantinya atlet akan disediakan makanan di hotel setiap
pagi, siang, malam. Hal ini sebagai bentuk antisipasi karena hotel biasanya
hanya menyediakan sarapan pagi.

Dengan begitu, atlet tak perlu lagi mencari makanan keluar. Meski sebenarnya
saat ini Indonesia Masters sudah tak digelar bubble lagi dan tak ada
pembatasan pergerakan atlet seperti pada 2021 di Bali.

""(Makanan di hotel) tidak digabung dengan tamu-tamu hotel yang lain. Saya
selaku Sekjen akan memerintahkan untuk menambah dokter food security,"" tutur
Firman.

""Hasil investigasi sementara mereka itu makan di luar, tidak makan dari pihak
Hotel Century (tempat mereka menginap) Kami akan melakukan investigasi lagi.
Jadi setelah kejadian ini semua harus sesuai SOP dan ini akan kami lakukan di
,"" ucapnya.

 ",www.detik.com
Petenis Muda Priska Nugroho Jadi Juara di Denmark,"Sabtu, 07 Agu 2021 23:44 WIB","\-

Priska Madelyn Nugroho dan pasangannya Naho Sato asal Jepang berhasil
menjuarai ganda putri ITF Denmark Frederiksberg tournament 2021.

Bertanding di Lapangan 8 Frederiksberg Lawn Tennis pada Sabtu, 7 Agustus 2021,
keduanya mengalahkan pasangan Viktoria Dema (Ukraina) dan Ani Vangelova
(Bulgaria) dalam dua set dengan skor 6-0 dan 6-1.

Pasangan yang dihadapi oleh Priska dan Naho di final merupakan unggulan ketiga
dalam turnamen ini. Sementara itu, Priska dan Naho tidak berstatus unggulan
mengingat Priska baru mulai menjajal sektor pro setelah sebelumnya mengukir
banyak prestasi di level junior, termasuk menjuarai ganda putri Australia Open
junior 2020 bersama pasangannya Alexandra Eala asal Filipina.

ADVERTISEMENT

SCROLL TO RESUME CONTENT

Pertandingan berlangsung mudah bagi Priska/Naho. Pasangan ini mendikte
permainan Viktoria/Ani sejak awal pertandingan.

Seusai pertandingan Priska sampaikan bahwa dirinya merasa senang bisa kembali
mengharumkan nama Indonesia di ajang ITF Denmark Frederiksberg tournament 2021
ini. Wanita berusia 18 tahun itu mengakui dirinya harus tetap meningkatkan
permainan dan tidak cepat berpuas diri.

Selama mengikuti pertandingan di Denmark, Priska yang didampingi oleh Ibunda
tercinta mendapat dukungan penuh dari KBRI Kopenhagen. Duta Besar RI untuk
Denmark, Dewi Savitri Wahab, turut menyaksikan secara langsung permainan
Priska dalam turnamen ini.

Turnamen di Frederiksberg ini merupakan turnamen kedua bagi Priska di Denmark
setelah sebelumnya mengikuti turnamen di Kota Vejle, Denmark, pada minggu lalu
di mana dirinya mencapai babak semifinal di sektor tunggal putri.

Kehadiran Priska di Denmark merupakan bagian dari rangkaian turnya setelah
mengikuti berbagai pertandingan level junior termasuk di Roland Garros, J1
Roehampton, dan Wimbledon. Seusai Denmark, Priska akan melanjutkan tur ke
Jerman dan Austria sebelum pulang ke Tanah Air untuk persiapan Pekan Olahraga
Nasional yang akan berlangsung di Jayapura, Provinsi Papua.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Petenis Indonesia Jessy Rompies Raih Gelar Juara di AS,"Senin, 09 Agu 2021 12:09 WIB","\-

Petenis Indonesia Jessy Rompies berhasil memboyong gelar juara ganda turnamen
seri WTA 125. Berpasangan dengan Peangtarn Plipuech, Jessy menang dengan skor
3-6, 7-6 (5), (10-8).

Jessy memulai laga sejak 2 Agustus 2021 di Concord, Amerika Serikat. Ia
meleset ke final usai mengalahkan para pesaingnya.

Di partai puncak, Echi, panggilan karib Jessy Rompies, bersama Plupuech
berhasil memenangi duel melawan nonunggulan final Thoreau Tennis Open 2021.
Echi/Earth (Peangtarn Plipuech) menang atas Usue Maitane Arconada
(AS)/Cristina Bucsa (Spanyol) dengan skor 3-67-6(5) (10-8). Laga berakhir 96
menit pada Minggu (8/8) waktu setempat.

ADVERTISEMENT

SCROLL TO RESUME CONTENT

""Senang banget akhirnya bisa juara level WTA pertama kali,"" ucap Echi usai
tanding dalam keterangan tertulisnya.

""Lega rasanya bisa all out hari ini meski harus main dua kali langsung, semi
final dan final. It's worth it,"" imbuhnya.

Melalui gelar juara ini, Echi secara otomatis mendapatkan tambahan 160 poin
dan bakal melambungkan peringkat gandanya di kisaran 170 WTA, awal pekan ini.
Kantong Echi pun makin tebal dengan tambahan hadiah uang 2.500 dolar AS atau
sekitar Rp 36 juta.

Meskipun sudah juara, andalan kontingen Jawa Timur di PON Papua 2021 ini tetap
berada di Amerika Serikat guna mengikuti ITF World Tennis Tour W100
Landisville.

""Ini langsung ke sana karena Earth harus main kualifikasi tunggal, besok
Senin( 9/8). Sekitar enam jam perjalanan bermobil,"" paparnya.

Selain Jessy Rompies, Aldila Sutjiadi juga meramaikan turnamen bertitel Koser
Jewerel Tennis Challenge berhadiah total 10.000 dolar AS. Sementara Beatrice
Gumulnya terbang ke Kanada, mencoba peruntungan di nomor ganda WTA 1000
Montreal bersama Emily Webley-Smith (Inggris).

Sebelum Jessy, petenis Indonesia lainnya yang juga mengharumkan nama Indonesia
ialah Priska Madelyn Nugroho. Berpasangan dengan Naho Sato asal Jepang,
keduanya berhasil menjuarai ganda putri ITF Denmark Frederiksberg tournament
2021 pada Sabtu (7/8).

Pasangan non-seeded itu memang atas unggulan ketiga, Viktoria Dema
(Ukraina)/Ani Vangelova (Bulgaria) 6-0 6-1. ""Saya gembira dengan hasil ini,""
ucap Priska tentang gelar pertamanya di ajang profesional ini.

""Namun saya harus terus meningkatkan permainan. Jadwal pekan ini latihan di
Jerman sebelum ikut turnamen lagi di Austria,"" dia menambahkan.

 ",www.detik.com
"Jelang Asian Para Games, David Jacobs Turun di Turnamen Terbuka","Jumat, 14 Sep 2018 21:40 WIB","\- David Jacobs mematok target medali emas di Asian Para Games 2018. Dia
mengasah kemampuan dengan atlet profesional.  
  
David bakal turun di dua nomor cabang tenis meja. Yakni, nomor tunggal dan
nomor ganda.  
  
Dia bilang memiliki peluang terbesar untuk meraih medali emas ada di nomor
ganda putra. Sementara, sektor tunggal peluangnya 50-50.  
  

ADVERTISEMENT

SCROLL TO RESUME CONTENT

Nah, untuk mengasah kemampuannya, Davids, yang menyabet medali perunggu dalam
paralimpiade musim panas 2012 kala tampil di kelas TT10 ini, terus menempa
diri dengan mengikuti sejumlah turnamen umum.  
  
  
  
  
""Selama persiapan dari mulai Januari 2018, sampai sekarang sudah ikut kurang
lebih 10 turnamen. Tidak hanya yaang para tapi juga umum. Jadi sekaligus
sebagai latih tanding juga. Cuma untuk bulan ini kami perbanyak uji coba yang
ganda. Simulasi strategi pertandingan,"" kata David kepada pada Jumat
(14/9/2018).  
  
Bagi atlet berusia 41 tahun ini berlatih dengan atlet normal memberi pengaruh
besar kepada pola permainannya saat bertanding. Termasuk mengetahui karakter
dari banyak pemain.  
  
""Makanya selama saya pelatnas di Solo ini pun banyak sparring partner normal
yang datang. Ini inisiatif sendiri supaya banyak variasi bola dan main. Kurang
lebih sudah 2 pekan ini intensif latihannya,"" kata dia.  
  
""Tapi nanti kalau saat hari H itu kan tipe-tipe permainan lawan kita berbeda.
Nanti kalau saya umpama undian ketemu siapa nanti saya sparring dengan
karakter main yang akan menjadi lawan. Masih ada waktu juga,"" dia menambahkan.  
  
David menilai atlet pingpong asal Thailand, Korea Selatan, dan Malaysia akan
menjadi pesaing terberatnya di nomor ganda. Sementara, di sektor tunggal
hadangan terbesarnya dari China.  
  

 ",www.detik.com
David Jacobs Siap Tampil di Tunggal dan Ganda Tenis Meja Asian Para Games,"Jumat, 14 Sep 2018 20:40 WIB","\- Atlet nasional disabilitas tenis meja, David Jacobs, diturunkan pada dua
nomor di Asian Para Games 2018. Dia siap tempur.  
  
David merupakan satu dari 32 atlet tenis menja nasional yang akan diturunkan
National Paralimpiade Nasional (NPC) pada pesta olahraga atlet disabilitas se-
Asia pada 6- 13 Oktober 2018. Dia akan turun di tunggal dan ganda putra.  
  
Di nomor ganda, Jacobs akan berduet dengan Komet Akbar, yang sudah berlatih
dan bertanding bersamanya sejak 2011. Peraih medali perunggu di Paralimpiade
2012 London itu mengatakan persiapannya sudah masuk ke simulasi pertandingan,
baik untuk nomor tunggal dan ganda putra.  
  

ADVERTISEMENT

SCROLL TO RESUME CONTENT

""Karena sudah dekat begini saya lebih memperbanyak latih tanding. Karena
selain main di tunggal, saya juga harus berlatih main di ganda,"" kata David
kepada , Jumat (14/9/2018).  
  
""Enggak (sulit mecah fokusnya) karena sudah biasa kalau main di nomor tunggal
biasanya main di ganda juga. Dan ini bukan kali pertama saya main rangkap tapi
Asian Para Games sebelumnya juga,"" ujarnya yang sudah ikut APG sejak edisi
pertama ini.  
  
  
  
  
Maka tak heran, atlet berusia 41 tahun ini, juga tak merasa kesulitan sama
sekali ketika harus pecah-pecah fokus.  
  
""Hampir sama ya. Cuma memang untuk peluang besar di ganda putra karena China,
yang menjadi pesaing terberat, tak main di kelas kami, kelas 10 (kelas 10 yang
tingkat disabilitasnya lebih rendah). Sementara tunggal peluangnya 50:50,""
katanya.  
  
Para tenis meja dipatok target dua medali emas. Jacobs berharap bisa
menyumbang salah satunya.  
  
""Secara pribadi sebagai atlet saya ingin yang terbaik. Tapi, secara realistis
tunggal memang peluangnya 50 persen sementara ganda peluang emasnya besar,""
dia berharap.  
  
  

 ",www.detik.com
Persib Siap Tampung Pemain Jebolan Liga Santri,"Kamis, 30 Jun 2022 00:05 WIB","\-

Para santri yang memiliki bakat di atas rata-rata dalam gelaran sepak bola
Liga Santri Piala Kepala Staf Angkatan Darat (KSAD) 2022 tidak menutup
kemungkinan direkrut dan dididik. Sehingga kelak mereka bisa menjadi pemain
Persib Bandung.

Hal itu diungkapkan Komisaris PT Persib Bandung Bermartabat (PBB) Umuh Muchtar
kepada detikJabar usai menyaksikan final babak kualifikasi Liga Santri Piala
KASAD 2022 di Kabupaten Sumedang, Rabu (29/6/2022).

""Tidak menutup kemungkinan dan saya lihat banyak pemain yang bagus-bagus. Jadi
nanti bisa di Diklat dulu di Persib dan ke depannya tidak menutup kemungkinan
bisa jadi pemain Persib,"" ungkap Umuh.

  

Umuh secara khusus mengapresiasi kepada Kasad Jenderal TNI Dudung Abdurachman
yang menggelar turnamen Liga Santri 2022. Menurutnya, turnamen liga sepak
bola, khususnya yang melibatkan santri, terbilang jarang digelar.

""Liga santri ini sangat jarang. Makanya saya terima kasih sekali kepada Pak
Kasad yang telah menggelar Liga Santri ini,"" ucapnya.

![Umuh Muchtar saat menghadiri Liga Santri 2022 di
Sumedang.](https://akcdn.detik.net.id/community/media/visual/2022/06/29/umuh-
muchtar-saat-menghadiri-liga-santri-2022-di-sumedang-1_43.jpeg?w=480)Umuh
Muchtar saat menghadiri Liga Santri 2022 di Sumedang. Foto: Nur
Azis/detikJabar  
  
---  
  
Umuh menuturkan, Liga santri yang digelar dapat menjadi ajang pencarian bibit
pemain sepak bola. Pasalnya, sepakbola merupakan olahraga yang digemari
berbagai lapisan masyarakat.

""Ajang ini bisa jadi ajang mencari bibit pemain sepak bola. Jadi setelah dari
sini, masuk ke provinsi ,dengan begitu keterampilan dalam bermain bola akan
semakin bagus lagi,"" terangnya.

Sementara itu, dalam final babak kualifikasi Liga Santri tersebut, kesebelasan
Al-Ma'soem akhirnya menjadi juara setelah berhasil menumbangkan tim dari
Pesantren Darul Hikmah.

 ",www.detik.com
