title,date,description,source
"Nakagami Usai Bentur Ban Motor Ducati: Muka Memar, Leher Disangga","Rabu, 08 Jun 2022 11:35 WIB","\- takaaki nakagami, rider lcr honda idemitsu mengabarkan kondisi terkini fisiknya. rider jepang itu akhirnya keluar ke publik sejak mengalami crash dengan alex rins dan francesco bagnaia di tikungan pertama lap pembuka motogp catalunya 2022. nakagami mengalami kecelakaan hebat. dia yang start ke-12 bisa masuk ke grid terdepan. tapi apesnya ban depan selip, ia terjatuh membentur ban belakang motor pecco bagnaia. sementara motor rc213v menyeret keluar lintasan gsx-rr beserta alex rins. dalam tayangan ulang motogp, kepala nakagami terbentur keras dengan ban belakang desmosedici gp22 milik pecco bagnaia. saking kencangnya, visor dari helm nakagami sampai terlepas. advertisement scroll to resume content > one of those crashes you never want to see > > it all went wrong at turn 1 in the #motogp race 💥#catalangp 🏁 > pic.twitter.com/kjwlwm0yie > > — motogp™🏁 (@motogp) june 5, 2022 pecco bagnaia tidak mengalami cedera. tapi alex rins mengalami patah pergelangan tangan. sedangkan nakagami sempat dikhawatirkan mengalami cedera leher. seperti diketahui nakagami langsung dilarikan ke medical centre, lalu pebalap 30 tahun itu dibawa ke ruang intensive care unit (icu) rumah sakit general de catalunya, barcelona. dalam akun media sosial milikinya, nakagami terlihat memar di area mata. sementara lehernya masih menggunakan alat penyangga. usai insiden nakagami mengeluhkan sakit pada bagian leher dan pundak kanan. ""pertama-tama, aku ingin minta maaf kepada @rins42 @suzukimotogp, dan @peccobagnaia @ducaticorse untuk insiden di tikungan 1. aku benar-benar minta maaf sudah menghancurkan balapan kalian,"" cuit takaaki nakagami dilihat detikcom, rabu (8/6/2022). ""itu benar-benar menakutkan, tapi untungnya aku ok, tidak ada cedera yang serius. aku akan coba pulih secepat mungkin,"" tambah dia. > first of all, i want to apologize to @rins42 @suzukimotogp , and > @peccobagnaia @ducaticorse for the accident at turn 1. i'm really sorry > destroyed your race. > > it was a scary one but fortunately i'm ok, no serious injury. i'll try to > recovery asap.#catalangp #motogp pic.twitter.com/xx5h9qjw4f > > — takaaki nakagami (@takanakagami30) june 7, 2022 alex rins dan pecco bagnaia mendoakan supaya nakagami dalam keadaan oke. tapi dua rider ini meminta fim stewards untuk tetap menjatuhkan sanksi buat nakagami. tapi fim stewards memutuskan kejadian takaaki nakagami merupakan insiden balap biasa. hal ini diumumkan setelah mengecek kamera serta gambar dari atas helikopter. tidak ada lagi hal lain yang perlu didebatkan. [gambas:video 20detik]",www.detik.com
"Hasil FP3 MotoGP Belanda 2022 Usai, Siapa yang Tercepat?","Sabtu, 25 Jun 2022 16:41 WIB","\- sesi latihan bebas ketiga motogp belanda 2022 telah usai. di bawah sinar matahari yang terik, pebalap dari tim aprilia racing, aleix espargaro berhasil keluar sebagai yang tercepat. lalu disusul fabio quartararo di posisi kedua. pada sesi free practice ketiga di sirkuit tt assen, sabtu (25/6/2022) sore wib, espargaro berhasil mengemas waktu 1 menit 32,164 detik. pebalap asal spanyol itu berhasil mencatatkan torehan waktu tercepat. lalu di posisi kedua ada quartararo dengan catatan waktu 1 menit 32,205 detik. hanya berselisih 0,041 detik saja dengan espargaro. advertisement scroll to resume content pada tempat ketiga dihuni oleh alex rins dengan memperoleh waktu 1 menit 32,320 detik. lalu di belakangnya ada rider lcr honda, takaaki nakagami dengan meraih waktu 1 menit 32,355 detik dan berhak menempati posisi keempat. pada urutan kelima ada marco bezzecchi yang berhasil mencatatkan waktu 1 menit 32,382 detik. kemudian pada peringkat keenam diraih oleh francesco bagnaia yang mencatatkan waktu 1 menit 32,440 detik. ![barcelona, spain - june 05: aleix espargaro of spain and aprilia racing greets the fans during the motogp race during the motogp of catalunya - race at circuit de barcelona-catalunya on june 05, 2022 in barcelona, spain. \(photo by mirco lazzari gp/getty images\)](https://akcdn.detik.net.id/community/media/visual/2022/06/06/aleix- espargaro.jpeg?w=3500)aleix espargaro (photo by mirco lazzari gp/getty images) foto: getty images/mirco lazzari gp --- kemudian peringkat ketujuh hingga ke-10 diisi oleh maverick vinales, jorge marin, johann zarco, dan jack miller. sejumlah pebalap sempat mengalami insiden, seperti quartararo yang terjatuh di tikungan ke-15 dan dirinya meluncur ke gravel. lalu ada juga enea bastianini yang tergelincir dan motornya terlempar ke gravel saat masuk ke tikungan 7. nasib malang juga menimpa aleix espargaro. ketika waktu sesi fp3 menyisakan kurang lebih dua menit lagi, ia terjatuh dan tergelincir ke gravel. beruntung ia masih bisa mempertahankan catatan waktu tercepat. 1\. aleix espargaro 2\. fabio quartararo 3\. alex rins 4\. takaaki nakagami 5\. marco bezzecchi 6\. francesco bagnaia 7\. maverick vinales 8\. jorge martin 9\. johann zarco 10\. jack miller 11\. joan mir 12\. fabio di giannantonio 13\. franco morbidelli 14\. brad binder 15\. miguel oliveira 16\. luca marini 17\. enea bastianini 18\. lorenzo savadori 19\. andrea dovizioso 20\. alex marquez 21\. remy gardner 22\. stefan bradl 23\. raul fernandez 24\. darryn binder 25\. pol espargaro [gambas:video 20detik]",www.detik.com
Quartararo Sebut MotoGP Jerman Lebih Sulit dari MotoGP Mandalika,"Senin, 20 Jun 2022 21:13 WIB","\- fabio quartararo sukses menjuarai motogp jerman 2022. meski demikian, quartararo menilai balapan yang berlangsung di sirkuit sachsenring itu sangat sulit. bahkan melebihi kesulitan motogp mandalika di indonesia yang berlangsung dalam kondisi trek basah. rider monster energy yamaha, fabio quartararo berhasil menjadi kampiun motogp jerman 2022. pebalap asal prancis itu finis di depan johann zarco dan jack miller. dengan hasil itu, quartararo makin nyaman di puncak klasemen sementara, sekaligus menjauh dari kejaran aleix espargaro. menurut quartararo, kunci kesuksesannya juara di sachsenring karena dirinya bisa ngacir duluan di depan dan menjauh dari kejaran lawan-lawannya. jika saja di depannya ada pebalap ducati atau aprilia, balapan akan berjalan lebih sulit bagi quartararo. advertisement scroll to resume content ""itu sesuatu yang kita butuhkan. jika kami tidak bisa menyalip jumlah maksimal pebalap di lap pertama, maka itu akan menjadi rumit. jika di depan kami ada motor selain yamaha, maka sangat sulit bagi saya untuk menyalip, karena kami mengendarai dengan cara yang sangat berbeda. itulah mengapa anda harus mengambil risiko di beberapa lap awal,"" kata quartararo dikutip dari _motosan_. lanjut quartararo menambahkan, motogp jerman akhir pekan lalu merupakan salah satu seri yang paling sulit musim ini, bahkan lebih sulit dari motogp di sirkuit mandalika, lombok tengah, nusa tenggara barat, indonesia. ini karena quartararo dalam kondisi meriang, ditambah suhu di jerman yang terik, serta banyaknya lap yang harus dilalui, mencapai 30 lap. ""saya sangat lelah, saya merasa tidak enak sepanjang akhir pekan, dengan banyak batuk. di motor saya tidak punya masalah, selain fakta bahwa saya sedikit batuk di dalam helm. tapi balapannya sangat sulit, lebih sulit daripada (balapan) di (mandalika) indonesia,"" sambung quartararo. ""dalam beberapa lap pertama saya tahu bahwa sebagian besar pebalap memakai ban hard di belakang, jadi saat saya sudah unggul satu detik di depan, saya mulai mengendalikan diri, tidak terlalu memaksakan ban bekerja terlalu keras. kondisinya sangat sulit, saya hanya berakselerasi ketika zarco mulai mendekat, tetapi yang terpenting saya mengelola ban dengan baik,"" sambungnya. motogp seri selanjutnya akan digelar di sirkuit assen, belanda. el diablo pun optimis bisa meraih hasil terbaik di sini. ""saya suka assen, tapi saya tahu kondisinya akan sangat berbeda. saya harap matahari bersinar karena ini adalah sirkuit yang sangat spesial dan anda bisa melaju sangat cepat di kondisi kering. mari kita lihat bagaimana kondisinya, kami memiliki harapan yang tinggi di assen,"" tukasnya.",www.detik.com
Djokovic dan Agassi Pisah Jalan,"Senin, 02 Apr 2018 08:49 WIB","\- andre agassi tak lagi menjadi pelatih novak djokovic. keduanya memilih berpisah meski belum genap satu tahun bekerja sama. agassi, yang meraih delapan gelar grand slam saat masih jadi pemain, sepakat untuk melatih djokovic sejak mei 2017. kehadiran legenda tenis amerika serikat itu diharapkan bisa mengangkat kembali prestasi djokovic. [gambas:video 20detik] namun, dalam perjalanannya kerja sama agassi dan djokovic tak mulus. mereka berdua sering berbeda pendapat dan akhirnya memutuskan untuk menyudahi kerja sama. advertisement scroll to resume content ""saya hanya mengharapkan yang terbaik untuk dia ke depannya,"" ujar agassi dalam pernyataan yang dikutip _bbc._ ""hanya dengan niat terbaik, saya berusaha membantu novak. kami terlalu sering mendapati diri kami sepakat untuk tidak sepakat,"" katanya. dengan perginya agassi, saat ini tim pelatih djokovic tinggal menyisakan radek stepanek. stepanek, mantan petenis peringkat delapan dunia dari repiblik ceko, bergabung dengan djokovic sejak november 2017. prestasi djokovic menurun setelah dia menjuarai prancis terbuka 2016. petenis serbia itu diganggu cedera siku, yang memaksanya naik meja operasi dan absen lama dari lapangan tenis. djokovic mencoba bangkit pada tahun ini, tapi sejauh ini belum berhasil. mantan petenis nomor satu dunia itu disingkirkan hyeon chung di babak keempat australia terbuka, lalu tersisih di babak pertama indian wells dan miami masters.",www.detik.com
Gubsu Berang Ada Atlet Catur Marga Sihite tapi Tak Bela Sumut di PON,"Rabu, 27 Okt 2021 12:14 WIB","\- gubernur sumatera utara (gubsu) edy rahmayadi bercerita soal dirinya yang menyaksikan pon di papua. edy mengaku geram karena ada atlet bermarga batak yang tidak membela sumut. hal itu disampaikan edy rahmayadi saat penyerahan hadiah lomba inovasi bagi organisasi perangkat daerah di aula tengku rizal nurdin, rumah dinas gubsu, medan. edy awalnya menyampaikan prestasi sumut yang turun saat pon. ""pon masih jauh sekali juaranya, tapi ke depan tak ada alasan, begitu banyak orang-orang kita yang jago,"" kata edy, rabu (27/10/2021). edy mengatakan dirinya melihat kontingen sumut di cabang catur kekurangan satu orang untuk bertanding. dia mempertanyakan mengapa tim sumut bisa kekurangan orang. ""saya ingin sampaikan, tempat pertandingan catur itu sebesar ini (aula tengku rizal nurdin). bersaf, ada lima saf pertandingan catur. dari 34 provinsi, sumatera utara itu kurang satu timnya,"" ujar edy. edy mengaku berteriak ke arah atlet catur asal sumut. menurutnya, tiga atlet yang ada di lokasi menyebut tim catur sumut kekurangan orang. ""saya datang ke situ saudara-saudara, berteriak saya 'kenapa kalian hanya tiga?'. kurang satu, pak, kenapa kurang satu, pemainnya tak ada,"" tuturnya. dia pun heran mengapa atlet sumut kurang satu orang padahal banyak atlet catur bermarga batak. edy mengaku kesal melihat kondisi tersebut. ""sepanjang dua saf itu orang batak semua. orang batak semua di sini, kenapa pemain sumut kurang satu. kelakuan juga kalian-kalian orang batak ini, ampun saya,"" ujarnya. edy mengaku lebih kesal karena ada atlet bermarga batak yang menjadi juara. menurutnya, atlet itu bukan perwakilan provinsi sumut. ""ada marga sihite, perempuan, masih gadis. juara catur dunia (asal) jawa timur dikalahkan sama dia. saya datangi, saya pegang kepalanya, saya lihat marganya sihite. 'kurang ajar kau' saya bilang. pemain perempuan sumut tak ada, tapi sihite, juara dunia dikalahkan sama dia,"" sebut edy. ""kau orang mana? 'orang batak' (jawab atlet itu). kenapa kau mau dari kalimantan? 'emak saya di kampung anggrung' (jawab atlet). sontoloyo, saya bilang,"" pungkas edy.",www.detik.com
Tensi Tinggi Laga Futsal Jatim Vs Jabar di PON Papua,"Jumat, 01 Okt 2021 16:13 WIB","\- video pertandingan antara tim futsal jawa timur vs jawa barat di pon xx papua 2021 mendadak viral. tak hanya karena aksi antarpemain, tapi keputusan wasit yang disebut 'berat sebelah'. advertisement scroll to resume content",www.detik.com
"Kena Senggol, Aleix Espargaro: Quartararo Memang Super Pede","Senin, 27 Jun 2022 07:40 WIB","\- mungkin bisa naik podium andaikata tidak kena senggol . tapi espargaro tahu quartararo tak bermaksud buruk, cuma amat percaya diri saja. kesalahan dari quartararo di turn 5 sirkuit assen, minggu (26/6) malam wib, membuat dirinya meluncur keluar lintasan. dalam insiden lowside tersebut, quartararo juga menyenggol aleix espargaro. espargaro memang tidak sampai terjatuh dari motor seperti halnya quartararo. tapi ia tetap ikut keluar lintasan. kedua rider sama-sama bisa melanjutkan balapan, tapi jelas ada waktu yang terbuang dalam insiden tersebut. advertisement scroll to resume content pada prosesnya, fabio quartararo harus rela tidak bisa finis usai crash kedua tak berapa lama kemudian. sementara berhasil finis di posisi keempat motogp belanda 2022. bahkan aleix espargaro bisa saja finis lebih baik menilik lajunya saat itu. yang pasti, ia mampu melesat ke posisi finis empat walaupun sempat tercecer ke posisi ke-15 usai disenggol quartararo. usai balapan, langsung mendatangi espargaro untuk minta maaf. quartararo menyebut dirinya sudah membuat sebuah kesalahan bodoh bagaikan rookie dan merugikan espargaro yang ia nilai selayaknya jadi pemenang. lantas apa kata aleix espargaro soal insiden dengan di assen? ia maklum. ""alasan kenapa fabio melakukan manuver itu adalah karena merasa amat yakin dengan motornya. kita sudah pernah melihatnya di jerman, pada tikungan satu dengan (manuver pada) pecco (bagnaia),"" kata espargaro kepada _the-race.com._ ""ia bukan rider kotor, tapi kepercayaan dirinya memang sebesar itu."" ""aku tahu caranya berkendara. tingkat kepercayaan dirinya super tinggi, tapi ketika sedang melaju sekencang itu tidaklah mudah untuk tidak membuat kesalahan."" ""yang terjadi hari ini bukanlah karena ia arogan. tapi karena ia merasa super, jauh lebih kencang ketimbang rider yang lain, (sehingga) ia membuat keputusan yang buruk,"" tutur .",www.detik.com
Cerita Ibu Khalimatus Sadiyah Rajin Puasa Saat Anaknya Bertanding,"Selasa, 07 Sep 2021 17:21 WIB","\- doa ibu menjadi salah satu kunci kesuksesan khalimatus sadiyah alias alim (22) meraih medali emas di paralimpiade tokyo 2020. tak tanggung-tanggung, sang ibu rajin berpuasa setiap kali alim bertanding. maslukah (56) menyaksikan langsung perjuangan putrinya di partai final bulutangkis ganda putri di paralimpiade tokyo, sabtu (4/9). meski hanya bisa menonton via ponsel, ia sempat dek-dekan sampai menangis haru. itulah ekspresi yang digambarkan maslukah saat putri bungsunya, alim sukses membawa pulang medali emas paralimpiade tokyo 2020. berpasangan dengan leani ratri oktila, alim mengharumkan nama indonesia setelah menumbangkan atlet china, cheng hefang dan ma huihui di yoyogi national stadium. ""dia sempat telepon saya minta didoakan supaya menang,"" kata maslukah kepada wartawan di rumahnya, desa banjartanggul, kecamatan pungging, kabupaten mojokerto, selasa (7/9/2021). lazimnya seorang ibu, maslukah senantiasa memotivasi dan mendoakan alim tanpa harus diminta. bahkan, ia rela berpuasa setiap kali gadis kelahiran 17 september 1999 itu menghadapi pertandingan. ""saya selalu puasa kalau alim bertanding, puasa selama enam hari untuk mendoakan alim selalu sehat dan mendapatkan medali,"" terangnya. alim menderita kelainan fisik sejak lahir. tubuh sebelah kanan pasangan maslukah (56) dan sukohandoko ini kekurangan zat kapur sehingga lemah. bahkan, ia ditinggal pergi ayahnya saat usianya baru 2 tahun. keterbatasan itu tak menghalangi alim untuk berprestasi. apalagi saat meraih emas di paralimpiade tokyo 2020. berlatih ia getol berlatih bulutangkis sejak berusia 5 tahun. tangan kiri menjadi andalannya hingga sukses mengharumkan nama indonesia di kancah dunia. ""alhamdulillah alim semangat terus sampai sekarang, dia sudah diangkat sebagai pns kemenpora tahun 2019,"" tandas maslukah. [gambas:video 20detik]",www.detik.com
Pabrik Pembuatan Bola Sepak di China Kembali Bergeliat,"Selasa, 07 Jun 2022 21:30 WIB","china \- pabrik pembuatan bola sepak di guizhou, china kembali bergeliat. sebelumnnya, pandemi covid-19 membuat sejumlah pabrik menghentikan aktivitasnya.",www.detik.com
Hebat! Chico Taklukkan Kento Momota di BAC 2022,"Rabu, 27 Apr 2022 15:05 WIB","filipina \- kejutan terjadi di babak pertama badminton asia championship 2022. chico aura dwi wardoyo mengandaskan unggulan pertama, kento momota dalam duel tiga gim.",www.detik.com
